Date,Close/Last,Volume,Open,High,Low
12/02/2022,$43.06,30820930,$42.15,$45.06,$42.01
12/01/2022,$43.40,33691870,$41.45,$43.74,$41.30
11/30/2022,$40.88,30671800,$37.42,$40.90,$37.09
11/29/2022,$37.15,29118160,$38.48,$39.96,$36.73
11/28/2022,$38.03,42647300,$38.80,$40.15,$37.537
11/25/2022,$36.79,9401497,$36.73,$37.01,$36.04
11/23/2022,$36.77,15970700,$35.37,$37.04,$35.15
11/22/2022,$35.28,12669110,$35.12,$35.38,$34.38
11/21/2022,$35.21,15565560,$35.77,$36.091,$34.66
11/18/2022,$36.59,14746260,$38.29,$38.37,$36.08
11/17/2022,$37.72,16916580,$37.48,$38.27,$36.84
11/16/2022,$38.51,17334220,$39.07,$39.78,$37.86
11/15/2022,$40.02,26589080,$40.41,$41.73,$39.9604
11/14/2022,$38.40,17931150,$39.05,$39.31,$37.92
11/11/2022,$39.44,39173370,$36.61,$40.921,$36.13
11/10/2022,$36.51,32449060,$33.90,$36.60,$33.45
11/09/2022,$30.90,17640820,$32.03,$32.39,$30.44
11/08/2022,$32.80,18576020,$32.57,$33.25,$31.66
11/07/2022,$32.24,16129040,$32.61,$32.93,$31.46
11/04/2022,$32.15,30310850,$34.73,$35.00,$31.33
11/03/2022,$33.74,23395010,$32.92,$35.1561,$32.83
11/02/2022,$33.51,34905000,$34.93,$36.06,$33.505
11/01/2022,$34.79,32527650,$35.38,$36.40,$34.72
10/31/2022,$34.23,46021130,$34.07,$36.16,$33.90
10/28/2022,$34.19,39189500,$33.84,$34.7799,$32.58
10/27/2022,$34.10,85884020,$31.03,$34.60,$30.90
10/26/2022,$29.06,29508500,$29.20,$30.87,$28.55
10/25/2022,$29.83,19598760,$29.16,$30.16,$29.15
10/24/2022,$28.75,24463900,$29.32,$29.39,$27.83
10/21/2022,$29.75,32835880,$29.03,$29.75,$28.035
10/20/2022,$29.73,37547130,$28.50,$30.82,$28.38
10/19/2022,$28.35,22677750,$28.45,$28.63,$27.84
10/18/2022,$28.73,22754300,$29.25,$29.72,$28.33
10/17/2022,$27.76,22387320,$27.45,$27.995,$27.07
10/14/2022,$26.06,30476590,$26.99,$27.39,$25.98
10/13/2022,$26.24,34677450,$24.11,$26.56,$23.6304
10/12/2022,$25.99,20772490,$25.66,$26.45,$25.255
10/11/2022,$25.67,32097970,$26.40,$26.58,$24.95
10/10/2022,$26.45,21516600,$27.28,$27.28,$26.01
10/07/2022,$27.21,29793390,$29.08,$29.19,$27.01
10/06/2022,$30.06,36021980,$30.55,$31.08,$29.78
10/05/2022,$30.83,24091910,$30.42,$31.25,$30.12
10/04/2022,$31.53,43030960,$29.08,$31.845,$29.00
10/03/2022,$27.76,26422900,$27.30,$28.22,$26.48
09/30/2022,$26.94,24803940,$26.57,$28.14,$26.38
09/29/2022,$26.77,32086930,$28.32,$28.60,$26.51
09/28/2022,$29.24,24820610,$27.94,$29.37,$27.66
09/27/2022,$27.85,23308550,$29.03,$29.40,$27.66
09/26/2022,$28.25,25033050,$28.67,$29.94,$28.24
09/23/2022,$28.76,27542950,$28.41,$28.91,$27.65
09/22/2022,$28.57,34457100,$30.21,$30.5691,$28.32
09/21/2022,$30.55,28911790,$31.04,$32.43,$30.50
09/20/2022,$30.95,26104070,$32.31,$32.39,$30.79
09/19/2022,$32.94,25049750,$31.17,$33.03,$31.14
09/16/2022,$31.73,31975540,$32.43,$32.83,$31.22
09/15/2022,$33.85,23235240,$33.16,$34.73,$32.94
09/14/2022,$33.69,22981740,$32.58,$33.73,$31.89
09/13/2022,$32.70,29833310,$32.75,$33.52,$32.40
09/12/2022,$35.16,24260640,$34.75,$35.81,$34.60
09/09/2022,$34.81,40648170,$32.44,$34.90,$32.34
09/08/2022,$31.94,30419410,$30.42,$32.03,$29.89
09/07/2022,$30.98,22289250,$29.96,$31.0979,$29.37
09/06/2022,$29.84,25659490,$30.15,$30.36,$29.07
09/02/2022,$30.11,31478550,$31.80,$31.99,$29.86
09/01/2022,$31.27,28553510,$30.94,$31.36,$29.8207
08/31/2022,$31.65,26208650,$31.98,$33.35,$31.34
08/30/2022,$31.36,33550300,$32.47,$32.91,$30.53
08/29/2022,$31.94,21041840,$31.76,$33.20,$31.76
08/26/2022,$32.42,30299990,$34.37,$34.59,$31.80
08/25/2022,$34.34,23870650,$33.74,$34.71,$33.29
08/24/2022,$33.29,23435800,$32.68,$34.265,$32.41
08/23/2022,$32.47,20640420,$33.05,$33.80,$32.38
08/22/2022,$33.18,23788800,$33.39,$33.98,$32.57
08/19/2022,$34.20,28335160,$36.09,$36.44,$34.11
08/18/2022,$36.86,20334680,$37.29,$37.38,$36.0101
08/17/2022,$37.30,29058810,$38.75,$39.015,$37.10
08/16/2022,$39.58,30792060,$39.93,$40.39,$37.63
