ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001606587-21-000376	4927	0001848433	028-21108			Coppell Advisory Solutions LLC
0001606587-21-000375	2589	0001842440	028-20895			Alpha DNA Investment Management
0000950123-21-003793	9902		028-13627			Sculptor Capital II LP
0000950123-21-003791	5057		028-06663			Sculptor Capital LP
0000950123-21-003790	7502		028-13627			Sculptor Capital II LP
0000950123-21-003789	9885		028-06663			Sculptor Capital LP
0001833561-21-000002	5110	0000318989	028-00939			FIL Ltd
0001833560-21-000001	7121	0000318989	028-00939			FIL Ltd
0001632426-21-000003	4561	0000318989	028-00939			FIL Ltd
0000950123-21-003766	8470		028-06663			Sculptor Capital LP
0000950123-21-003764	6820		028-06663			Sculptor Capital LP
0000950123-21-003763	5117		028-13627			Sculptor Capital II LP
0000950123-21-003762	5127		028-06663			Sculptor Capital LP
0000950123-21-003759	10431		028-13627			Sculptor Capital II LP
0000950123-21-003757	6937		028-13627			Sculptor Capital II LP
0000950123-21-003756	5500		028-06663			Sculptor Capital LP
0000950123-21-003754	8613		028-13627			Sculptor Capital II LP
0001594417-21-000003	9491	0001407543	028-13411			ENVESTNET ASSET MANAGEMENT INC
0001628280-21-005028	3990		028-14498			Nuveen Asset Management LLC
0000950123-21-003540	3897		028-06663			Sculptor Capital LP
0000950123-21-003538	5042		028-13627			Sculptor Capital II LP
0000950123-21-003537	8819		028-13627			Sculptor Capital II LP
0000950123-21-003534	6053		028-06663			Sculptor Capital LP
0000950123-21-003533	4991		028-06663			Sculptor Capital LP
0000950123-21-003531	7312		028-13627			Sculptor Capital II LP
0000950123-21-003528	7124		028-13627			Sculptor Capital II LP
0000950123-21-003526	5384		028-06663			Sculptor Capital LP
0001039128-21-000003	4793		028-05990			Acadian Asset Management LLC
0001039128-21-000003	4818		028-10220			Westfield Capital Management Company LP
0001039128-21-000003	4795		028-04395			Baillie Gifford Overseas Ltd
0001039128-21-000003	4796		028-04825			Baillie Gifford & Co
0001039128-21-000003	4797		028-13826			Brookfield Public Securities Group LLC
0001039128-21-000003	4798		028-11728			Causeway Capital Management LLC
0001039128-21-000003	4799		028-16477			Comgest Asset Management International Limited
0001039128-21-000003	4800		028-14669			Copeland Capital Management
0001039128-21-000003	4801		028-05269			EARNEST Partners LLC
0001039128-21-000003	4802		028-13328			HS Management Partners LLC
0001039128-21-000003	4803		028-10329			Income Research & Management
0001039128-21-000003	4804		028-00074			Jennison Associates LLC
0001039128-21-000003	4805		028-19504			Levin Easterly Partners LLC
0001039128-21-000003	4806		028-06580			LSV Asset Management
0001039128-21-000003	4807		028-13243			Mar Vista Investment Partners
0001039128-21-000003	4808		028-03743			Marathon Asset Management LLP
0001039128-21-000003	4809		028-03425			NewSouth Capital Management, Inc
0001039128-21-000003	4810		028-10952			Pacific Investment Management Company LLC
0001039128-21-000003	4811		028-05655			Riverbridge Partners LLC
0001039128-21-000003	4812		028-12635			Robeco Institutional Asset Management (RIAM) US Inc
0001039128-21-000003	4813		028-05734			Sands Capital Management Inc
0001039128-21-000003	4814		028-17843			Sapience Investments, LLC
0001039128-21-000003	4815		028-10621			Shenkman Capital Management, Inc
0001039128-21-000003	4816		028-04557			Wellington Management Company LLP
0001039128-21-000003	4817		028-10245			Western Asset Management Company, LLC
0001039128-21-000003	4794		028-02634			Aristotle Capital Management LLC
0000950123-21-003334	8398		028-04037			AMUNDI PIONEER ASSET MANAGEMENT INC
0001513227-21-000002	9495	0000849854	028-15527			STRATEGIC WEALTH MANAGEMENT INC
0000947871-21-000305	10600	0001828929				B. Metzler seel. Sohn & Co. Holding AG
0000947871-21-000304	7592	0001828929				B. Metzler seel. Sohn & Co. Holding AG
0001541597-21-000002	9791	0001132597	028-17515			Itau Unibanco Holding S.A.
0000949509-21-000003	4229	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000003	4230	0001597857	028-17875			Hartree Partners, LP
0000940394-21-000619	8452	0001027817	028-05936			ATLANTA CAPITAL MANAGEMENT CO L L C
0000940394-21-000619	8453	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0000949509-21-000004	9348	0001692234	028-17598			Russell Investments Group, Ltd.
