ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001104659-21-044711	0	113	224409	
0001062993-21-003116	0	572	789349	N
0001850858-21-000001	0	265	998423	N
0001852858-21-000001	0	80	108376	
0001085146-21-001095	0	15	515485	
0001011712-21-000002	7	13963	612313603	N
0001085146-21-001094	0	280	198542	
0001853019-21-000001	0	81	219276	N
0001850996-21-000001	1	253	135315	N
0001606587-21-000376	1	655	93851	N
0001606587-21-000375	0	166	91040	N
0000950123-21-003793	1	6	242852	N
0000950123-21-003790	1	13	213829	N
0000318989-21-000062	10	1943	81212852	N
0001606587-21-000373	0	13	131988	N
0001838660-21-000004	0	36	288302	
0000950123-21-003763	1	12	250569	N
0000950123-21-003759	1	7	206207	N
0000950123-21-003757	1	12	203391	N
0000950123-21-003754	1	13	213829	N
0001852338-21-000001	0	11	159103310	N
0001606587-21-000370	0	538	138278	N
0000919574-21-002527	0	99	4919935	
0001606587-21-000368	0	540	292130	N
0000936698-21-000001	0	108	842905	N
0001606587-21-000366	0	410	101125	N
0001594417-21-000003	1	38	116457	N
0001567619-21-006466	0	61	61817	N
0001213900-21-015767	0	2	64003	
0001567619-21-006426	0	275	742696	N
0000052024-21-000004	0	58	133926	N
0001387131-21-003582	0	45	172815	
0001387131-21-003581	0	48	121374	
0001387131-21-003579	0	57	108423	
0000950123-21-003538	1	5	37695	N
0000950123-21-003537	1	4	47533	N
0000950123-21-003531	1	5	41088	N
0000950123-21-003528	1	13	218208	N
0001398344-21-006540	0	1605	75566	
0001398344-21-006536	0	1587	56516	
0001398344-21-006534	0	1713	88353	
0001398344-21-006532	0	8471	130841	
0001398344-21-006529	0	1867	69745	
0001398344-21-006525	0	33515	527036	
0001315863-21-000242	0	35	128290	N
0001398344-21-006523	0	35413	554183	
0001757128-21-000006	0	1	12473	
0001757128-21-000005	0	1	14942	
0001757128-21-000004	0	1	11696	
0001214659-21-003060	0	68	302735	
0001214659-21-003058	0	50	262428	
0001214659-21-003056	0	44	219324	
0001214659-21-003054	0	44	201273	
0001214659-21-003052	0	44	210938	
0001214659-21-003050	0	46	217078	
0001214659-21-003048	0	58	319637	
0001214659-21-003046	0	63	245380	
0001214659-21-003044	0	52	295121	
0001214659-21-003042	0	52	285387	
0001214659-21-003040	0	49	283258	
0001214659-21-003038	0	36	195150	
0001214659-21-003036	0	43	266098	
0001214659-21-003034	0	23	176550	
0001214659-21-003033	0	41	228111	
0001214659-21-003030	0	21	146458	
0001214659-21-003028	0	43	226114	
0001214659-21-003026	0	26	112787	
0001214659-21-003024	0	39	222152	
0001214659-21-003022	0	22	100339	
0001456228-21-000005	2	2361	26637396	N
0001387131-21-003479	0	6	139185	
0000909012-21-000052	0	73	1672828	N
0001837984-21-000002	0	76	114197	N
0001847820-21-000002	0	130	97101	N
0001214659-21-002998	0	45	121348	
0001104659-21-034595	0	112	162297	
0001847820-21-000003	0	4	4458	
0001214659-21-002983	0	89	142811	
0001214659-21-002981	0	77	126577	
0001214659-21-002979	0	74	117038	
0001214659-21-002977	0	65	93350	
0001214659-21-002975	0	72	111183	
0001085146-21-001080	0	69	149028	N
0000928052-21-000001	0	1093	3618309	N
0001085146-21-001077	0	42	123182	N
0001085146-21-001075	0	205	341597	N
0001085146-21-001074	0	181	307582	N
0001085146-21-001073	0	155	189252	N
0001376474-21-000078	0	916	367395	N
0001848433-21-000001	0	181	212906	N
0001177206-21-000004	0	1502	23413255	N
0001785445-21-000001	0	808	55083354	N
0001849614-21-000002	0	112	173655	N
0001849497-21-000001	0	442	118720	N
0001849614-21-000001	0	442	118720	N
0001849518-21-000001	0	216	101337	N
0001849561-21-000001	0	1081	171181	N
0001845743-21-000001	0	106	92534	N
0001849834-21-000001	0	8	1228209	N
0001580642-21-001119	0	120	212703	
0000950123-21-003332	16	13406	117576274	N
0001376474-21-000077	0	107	95280	N
0001085146-21-001071	0	44	716049	
0001849776-21-000001	0	11	104855	N
0000909012-21-000051	0	91	1311706	N
0000909012-21-000050	0	91	1506297	N
0000909012-21-000049	0	91	1346901	
0001513227-21-000002	1	41	106748	N
0000947871-21-000303	2	659	5377144	
0000354204-21-000651	3	3342	276927650	N
0001085146-21-001069	0	71	157500	N
0001606587-21-000361	0	28	126812	N
0000714142-21-000001	21	2328	9999901	N
0001493152-21-005542	1	123	855059	
0001830922-21-000001	0	78	121457	N
0001831193-21-000001	0	58	114063	N
0001105863-21-000003	0	157	538848	N
0001812178-21-000001	0	146	260047	N
0001831187-21-000001	0	158	219653	N
0001600035-21-000002	0	189	660385	N
0001105863-21-000002	0	150	478165	N
0001841768-21-000001	0	141	103533	N
0001831263-21-000001	0	136	150405	N
0001821549-21-000001	0	95	158293	N
0001819919-21-000001	0	115	109455	N
0001767905-21-000001	0	5	205034	N
0001768887-21-000001	0	37	192063	N
0001424367-21-000005	1	624	2320391	N
0001398344-21-005792	0	13	255198	
0001398344-21-005791	0	15	293702	
0001398344-21-005787	0	14	204721	
0001398344-21-005786	0	12	179641	
0001398344-21-005784	0	16	306174	
0001398344-21-005783	0	15	308843	
0001398344-21-005779	0	13	205142	
0001398344-21-005778	0	15	322272	
0001398344-21-005777	0	15	337519	
0001725547-21-000030	0	1	4521	N
0000950123-21-003276	0	4	32871	N
0000950123-21-003274	0	3	4798	N
0001393825-21-000083	1	589	9281032	
0001821984-21-000001	0	698	488760	N
0001849055-21-000001	0	163	110756	N
0001104659-21-032084	0	180	311910	
0000919574-21-002178	1	2	705358	
0000071210-21-000001	0	374	1154682	N
0001096906-21-000411	2	698	3903630	N
0001044207-21-000008	1	12	250565	N
0001085146-21-001066	0	108	341757	
0001848930-21-000002	0	83	122321	N
0000949509-21-000007	2	1	3816	
0000949509-21-000005	2	1	5302	
0000949509-21-000003	2	2	24578	
0000949509-21-000008	4	1	3413	
0000949509-21-000004	2	1	11762	
0000940394-21-000619	0	1442	63589109	
0001847820-21-000001	0	130	104472	N
0000949509-21-000006	2	1	4177	
0001221073-21-000024	0	64	98543	
0001580642-21-000956	0	21	503706	
0001666179-21-000003	0	425	680640	N
0001104659-21-031313	0	337	196046	
0000909012-21-000048	0	105	2455626	N
0000074260-21-000024	0	86	4022229	N
0001754960-21-000043	0	11	156970	N
0001387131-21-003086	0	8	216228	
0001387131-21-003085	0	8	191371	
0001387131-21-003084	0	9	158296	
0001398344-21-005366	0	6	506236	
0001062993-21-002150	0	395	1307349	N
0001062993-21-002148	0	670	4770744	N
0001085146-21-001062	0	52	92682	
0001085146-21-001061	0	85	138395	N
0001567619-21-005266	0	24	912654	N
0001848237-21-000001	0	296	212114	N
0001415345-21-000001	1	60	735551	N
0001374170-21-000028	0	2110	428278171	
0001580642-21-000875	0	104	258620	
0001398344-21-005304	0	229	187181	
0000950123-21-003228	0	830	1178512	N
0001398344-21-005301	0	156	35845	
0001398344-21-005298	0	1616	562316	
0000861177-21-000007	5	15010	213426057	
0001486180-21-000005	0	139	1350677	N
0001535845-21-000005	0	1463	37635545	N
0001628280-21-003636	0	67	2502562	N
0001533551-21-000002	1	34	864268	
0001486180-21-000004	0	140	1368319	N
0001535845-21-000004	0	1036	13327735	N
0001535845-21-000003	0	818	12479056	N
0001486180-21-000003	0	121	1093574	N
0001356783-21-000003	0	196	663512	N
0001740316-21-000002	0	430862	136	N
0001843867-21-000002	0	58	116720	N
0000950123-21-003199	2	337	677066	N
0001398344-21-005211	1	295	305477	
0000950123-21-003195	0	15	292327	N
0001221073-21-000022	0	377	489024	
0001846923-21-000001	0	24	105870	
