ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001800597-24-000002	0	115	168338552	N
0001993410-24-000003	0	102	197335331	N
0001879202-24-000034	0	13	398179073	
0001214659-24-010298	0	94	148531006	
0001703658-24-000004	0	29	40946115	N
0001630064-24-000003	0	5	125274	N
0001724269-24-000003	0	648	1992334908	N
0001999371-24-006872	0	13	157493587	
0002024873-24-000002	0	85	128633887	
0001628280-24-025769	1	62	3584398156	N
0002024873-24-000001	0	96	111923417	
0001074272-24-000004	0	900	2644179019	N
0001892688-24-000068	1	1	2436000	
0001085146-24-002681	0	175	3636256196	N
0001085146-24-002680	0	93	501307687	N
0002023475-24-000003	0	12	575440944	N
0002024152-24-000001	0	450	277792645	N
0000918504-24-000004	0	106	271769389	N
0001802530-24-000003	0	296	893407711	N
0002024333-24-000001	0	92	179140675	N
0001493152-24-021780	0	52	458857062	
0001976010-24-000005	0	43	229660694	N
0001616328-24-000002	0	281	1430493	N
0001525865-24-000004	0	384	257056901	N
0001994434-24-000005	0	236	191299728	N
0001573767-24-000010	0	60	29937551	
0001444597-24-000009	0	1	259025696	N
0001444597-24-000008	0	1	269295329	N
0001444597-24-000007	0	1	265683759	N
0001444597-24-000006	0	1	250647837	N
0001085146-24-002675	0	37	1257212306	N
0001214659-24-010023	0	107	493434128	
0001214659-24-010021	0	645	460530481	
0001214659-24-010022	0	101	424242933	
0001214659-24-010025	0	109	568639833	
0001214659-24-010024	0	108	542702987	
0001214659-24-010020	0	801	650462074	
0001214659-24-010026	0	106	565558318	
0001085146-24-002674	4	1879	83953811520	N
0001597298-24-000002	0	205	179269263	N
0001665337-24-000004	1	257	316356054	N
0001665337-24-000003	1	254	275156558	N
0000714142-24-000002	23	3675	11170610	N
0001519319-24-000006	0	102	161285070	N
0001519319-24-000005	0	96	154654628	N
0001519319-24-000008	0	103	163818359	N
0001519319-24-000009	0	108	181355767	N
0001519319-24-000007	0	102	166905765	N
0001994434-24-000004	0	226	183195338	N
