REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2021-06-30,Regis Management CO LLC,226,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),793.4,590.9,138.9,452,151.2,0,51.36,"1,437",643.8,229.8,24.14,8.45,15.7,295.9,69.8,24.09,477.7,7.71,17.2,1.73,373.6,77.43,673.6,195.9,184.3,0,3.13,201.5,-192.9,763.6,0,763.6,-900.7,1.15,0.024,"1,415",219,"1,437","1,437",747.9,201.5,62.56,-77.63,-38.69,2.24,0,18.2,19.28,-1.05,-55.57,0,0.014,40.68,13.82,-269.4,-4.71,0,-358.8,101.3,0,9.12,0,0,0,0,9.12,0,0,452.8,153.9,-44.56,-38.69,-5.88,133.1,50.45,82.7,160.4,36.53,123.8,0,-77.68,1.69,1.69,0,-1.11,-77.1,0.531,0,-77.63,2.24,-75.44,-0.28,-0.28,278.8,278.8
2021-09-30,Regis Management CO LLC,282,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"4,987","4,754","3,940",814.1,169,0,63.74,"5,713",726.1,242.9,23.27,8.45,14.82,347.4,73.84,38.7,547.7,5.06,38.67,2.65,438.2,63.05,745.1,197.4,186.7,0,3.48,206.1,-198.8,"4,968",0,"4,968","-1,040",0.375,0.028,0,"6,008","5,713","5,713","1,162",206.1,"-3,734",-168.9,-19.75,2.85,0,119.1,15.69,10.56,-17.91,0,-0.963,51.99,-22.56,-433.6,-17.27,0,-622.4,206.9,0,"4,254",0,"4,242",0,0,12.14,0,0,153.9,"3,955",-37.87,-19.75,-18.11,159.6,66.68,92.94,262.4,74.14,188.3,0,-169.5,1.52,1.52,0,-0.519,-168.5,0.433,0,-168.9,2.85,-166.6,-1.01,-1.01,166.9,166.9
2021-12-31,Regis Management CO LLC,316,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"4,301","3,908",820.2,"3,088",294,0,98.57,"5,922","1,621",255.8,24.54,8.45,16.09,"1,165",86.16,89.32,789.3,5.65,39.3,4.5,638.7,101.2,985.3,196,184.9,0,4.19,204.5,-197.6,"4,936",0,"4,936","-1,239",0.439,0.028,0,"6,175","5,922","5,922","4,253",204.5,-615.6,-198.9,19.61,3.21,0,143.7,16.75,47.42,-125.5,0,0.928,177,-4.96,"-3,162",-11.02,0,"-3,625",477.7,0,22.28,0,0,0,0,22.28,-0.011,0,"3,955",835.2,5.13,19.61,-14.49,190.5,82.9,107.6,308,94,214,0,-200.4,1.85,1.85,0,0.951,-197.6,1.34,0,-198.9,3.21,-197.2,-0.7,-0.7,284.1,284.1
2022-03-31,Regis Management CO LLC,214,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"4,221","3,930",644.7,"3,286",166.3,0,124.6,"5,929","1,708",259.1,38.22,8.45,29.77,"1,178",89.86,142.8,777,4.37,41.47,6.3,635.1,89.78,970.7,193.7,179.8,0,3.65,200.5,-190.3,"4,958",0,"4,958","-1,443",0.366,0.03,0,"6,401","5,929","5,929","4,463",200.5,-444.1,-203.2,21.85,4.68,0,151,18.04,38.32,127.2,0,-1.25,-18.86,-68.76,-264.1,-6.43,0,"-1,146",901,0,67.8,0,0,0,0,67.8,0.019,0,835.2,660.8,2.48,21.85,-19.37,228.9,97.35,131.6,337.2,109.8,227.4,0,-205.6,2.61,2.61,0,-0.488,-203.5,-0.251,0,-203.2,13.19,-192.4,-0.7,-0.7,291.4,291.4
2023-03-31,Regis Management CO LLC,216,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"4,342","3,815","1,063","2,752",277.6,53.94,195.2,"7,023","2,681",307.6,684.5,502.6,181.9,"1,212",124.3,352.2,"1,364",18.44,54.6,7.22,"1,133",150.8,"1,565",201,179.3,0,10.43,206.5,-195.2,"5,458",0,"5,458","-2,085",-46.59,0.032,0,"7,590","7,023","7,023","4,185",206.5,-856.9,-165.8,184.6,9.94,-26.66,172.5,25.05,152.5,266.7,0,4.16,-38.16,-80.13,-189.8,-7.41,-177.9,-897.3,897.6,0,-11.85,0,0,0,0,-11.85,-5.1,0,"1,103","1,080",172.4,184.6,-12.22,422.4,147.9,274.4,463.2,150.8,312.4,0,-188.8,4.76,4.76,0,-8.48,-192.5,-26.69,0,-165.8,20.03,-168.7,-0.53,-0.53,314.4,314.4
2023-06-30,Regis Management CO LLC,247,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"4,504","3,953",906.7,"3,046",305,0,245.6,"7,064","2,560",352.3,674.9,502.6,172.3,"1,087",0,446.5,"1,401",20.29,53.21,10.83,"1,145",172.3,"1,638",236.4,215.2,0,8.79,241.8,-229.3,"5,426",0,"5,426","-2,308",-47.86,0.032,0,"7,782","7,064","7,064","4,133",241.8,-664.9,-222.8,64.43,16.17,0,209.2,25.23,8.8,-27.09,0,2.07,-10.4,44.22,-196.4,-3.85,0,"-1,028",842.8,0,-22.37,0,0,0,0,-22.37,-2.29,0,"1,080",923.7,53.15,64.43,-11.28,497.2,173.2,324,531.7,183.7,348,0,-207.7,0,11.69,11.69,-11.23,-219,3.85,0,-222.8,27.32,-180.4,-0.7,-0.7,318.4,318.4
2023-09-30,Regis Management CO LLC,214,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"4,559","3,943",819,"3,124",394.1,0,222,"7,156","2,597",380.7,845.3,649.1,196.2,943.1,0,427.8,"1,479",24.76,58.53,12.54,"1,200",183.5,"1,732",253.4,225,0,7.33,254.3,-233.2,"5,423",12.49,"5,411","-2,509",-69.18,0.032,0,"7,989","7,156","7,156","4,067",254.3,-564.7,-201.4,79.28,17.7,1.39,229.2,25.5,-5.54,-88.85,0,4.08,31.59,47.63,-146.9,-8.51,-174.6,-870.9,913,0,-18.32,0,0,0,0,-18.32,-2,0,923.7,835.8,64.99,79.28,-14.28,557,190.7,366.3,572.3,211.4,360.9,0,-206,0,21.86,21.86,8.59,-197.4,4.01,0,-201.4,30.04,-176,-0.63,-0.63,320.1,320.1
2023-12-31,Regis Management CO LLC,279,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"4,985","4,008",939.9,"3,068",715.8,67.9,193.1,"7,722","2,738",392.1,843.4,657.4,186,"1,073",0,429.1,"1,994",23.67,27.3,20,"1,673",249.1,"2,254",260.2,224.4,0,11.46,251.7,-227.3,"5,469",12.18,"5,456","-2,716",-38.27,0.032,0,"8,211","7,722","7,722","4,141",251.7,-688.2,-207.5,217.3,19.73,-1.39,250.7,29.52,133.7,-317.7,0,-2.28,436.2,17.55,-64.78,-5.36,-10.05,"-1,105","1,062",0,-40.08,0,0,0,0,-40.08,8.46,120.9,835.8,956.7,205.3,217.3,-12.05,589,205.7,383.4,623.1,242.1,381,0,-239.8,0,35.53,35.53,32.64,-207.1,0.372,0,-207.5,19.73,-220,-0.64,-0.64,321.9,321.9
2024-03-31,Regis Management CO LLC,226,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"4,570","3,946",653,"3,293",353,0,271,"7,447","2,877",405.8,967.7,711.3,256.4,"1,091",0,413,"1,888",22.22,-40.49,16.04,"1,560",329.3,"2,149",261.2,225.7,0,14.15,254.8,-233.4,"5,298",11.74,"5,286","-3,065",-30.83,0.033,0,"8,382","7,447","7,447","4,383",254.8,-398.2,-226.1,299.4,23.16,-8.87,264.5,27.6,219.1,362.9,0,-3.09,-140.7,0,-362.2,-6.97,-123.1,"-1,037",814.5,-9.34,-223.7,0,0,-191.7,0,-31.96,0.535,-285.9,956.7,670.8,283.1,299.4,-16.31,623.6,209.4,414.2,687.4,277.4,410,0,-273.2,43.13,43.13,0,-2.56,-232.7,-6.61,-0.437,-225.6,23.16,-250.1,-0.7,-0.7,324.2,324.2
