REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-06-30,"Plotkin Financial Advisors, LLC",213673,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"68,130","58,240","21,045","37,195","7,483",0,"2,407","139,691","71,561","48,435","19,888","19,029",859,0,0,"3,238","11,308",920,899,0,264,"9,225","29,244","17,936","9,633",0,0,"10,532","-2,229","110,447",0,"110,447","62,784",-142,0,0,"47,805","139,691","139,691","37,195","10,532","-10,513","5,178","3,878","1,704",214,"1,695",43,"-4,956",-122,"-4,793",-56,"-4,778","4,793","-4,177","-3,255",-339,"-6,179","5,841",-245,"-2,152",-46,0,"-1,368",0,-738,93,"-2,358","23,927","21,569",623,"3,878","-3,255","18,687","3,829","14,858","8,895","4,462","4,433",0,"5,963",0,162,162,168,"6,131",953,0,"5,178","1,704","7,667",1.82,1.8,"2,877","2,879"
2020-09-30,"Plotkin Financial Advisors, LLC",246448,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"65,799","55,620","11,617","44,003","8,024",0,"2,155","146,437","80,638","51,730","19,775","19,031",744,"6,164",0,"2,969","11,944","1,106",975,0,379,"9,484","28,706","16,762","9,641",0,0,"10,616","-3,495","117,731",0,"117,731","68,513",308,0,0,"48,910","146,437","146,437","50,167","10,616","-1,001","7,846","9,828","1,698","-1,506","1,722",7,61,-377,187,139,299,-187,"-16,599","-3,689","-6,032","-14,130","7,255",-3,"-2,912",-196,0,"-1,725",0,-990,93,"-9,590","21,569","11,979","6,139","9,828","-3,689","21,470","4,194","17,276","9,236","4,763","4,473",0,"8,040",-53,93,146,146,"8,133",287,0,"7,846","1,698","9,738",2.75,2.71,"2,891","2,895"
2020-12-31,"Plotkin Financial Advisors, LLC",207875,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"75,670","61,954","17,576","44,378","11,335",0,"2,381","159,316","83,646","54,981","19,673","19,050",623,"6,234",0,"2,758","14,981","1,331","1,023","2,038",382,"10,207","31,026","16,045","9,631",0,0,"10,654","-4,240","128,290",0,"128,290","77,345",927,0,0,"50,018","159,316","159,316","50,612","10,654","-6,922","11,219","14,040","1,863",-377,"1,784",62,-511,"-3,059","2,607",-56,"2,604","-2,607","-5,173","-4,613",-64,"-5,737","5,268",-27,"-3,206",-158,0,"-1,929",0,"-1,120",314,"5,975","11,979","17,954","9,427","14,040","-4,613","28,072","5,210","22,862","10,087","5,208","4,879",0,"12,775",144,280,136,136,"13,055","1,836",0,"11,219","1,863","14,638",3.94,3.88,"2,890","2,893"
2021-06-30,"Plotkin Financial Advisors, LLC",234357,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"80,697","64,080","16,186","47,894","11,698",0,"4,919","170,609","89,912","61,434","19,733","19,219",514,"6,393",0,"2,352","14,874",973,"1,051",0,391,"12,459","32,382","17,508","10,956",0,0,"12,007","-5,455","138,227",0,"138,227","85,097",285,0,0,"52,845","170,609","170,609","54,287","12,007","-4,179","10,394","13,246","1,985",229,"2,548",-21,"-1,889","-1,366",-642,116,-639,642,"-8,195","-4,612",-259,"-10,297","7,034",-61,"-8,548",-70,0,"-7,079",0,"-1,400",117,"-3,380","19,891","16,511","8,634","13,246","-4,612","29,077","5,399","23,678","11,311","6,096","5,215",0,"12,367",0,121,121,146,"12,513","2,119",0,"10,394","1,986","14,353",3.67,3.61,"2,877","2,879"
2021-09-30,"Plotkin Financial Advisors, LLC",228749,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"75,421","58,075","14,496","43,579","12,088",0,"5,258","169,585","94,164","64,789","19,430","19,065",365,"6,758",0,"3,187","17,812","2,195","1,086",0,464,"14,067","36,225","18,413","11,554",0,0,"12,640","-5,781","133,360",0,"133,360","79,233",-207,0,0,"54,334","169,585","169,585","50,337","12,640","-1,856","9,194","14,091","1,995",-786,"2,379",-73,"1,382",-555,"1,165",694,"1,243","-1,165",-330,"-4,313",-98,"-7,786","11,984",-117,"-15,253",-219,0,"-13,458",0,"-1,575",-215,"-1,707","16,511","14,804","9,778","14,091","-4,313","29,010","5,771","23,239","12,816","6,316","6,500",0,"10,423",0,120,120,142,"10,565","1,371",0,"9,194","1,995","12,418",3.27,3.22,"2,855","2,859"
2021-12-31,"Plotkin Financial Advisors, LLC",243517,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"66,666","47,998","16,601","31,397","14,039",0,"4,629","165,987","99,321","69,964","19,831","19,197",634,"6,775",0,"2,751","21,135","4,083","1,127","1,256",561,"14,108","41,108","19,973","12,746",0,0,"13,873","-6,646","124,879",0,"124,879","69,761",-693,0,0,"55,811","165,987","165,987","38,172","13,873","-2,728","10,285","18,104","2,014",748,"2,406",34,"2,617","-2,038","3,679",876,"3,779","-3,679","5,829","-5,370",-523,"-6,093","17,938",-123,"-21,742",-173,0,"-20,061",0,"-1,508",-130,"2,061","14,804","16,865","12,734","18,104","-5,370","33,671","6,348","27,323","14,738","7,046","7,692",0,"12,585",15,117,102,103,"12,703","2,418",0,"10,285","2,014","14,599",3.72,3.68,"2,797","2,799"
2023-06-30,"Plotkin Financial Advisors, LLC",228723,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"69,560","53,446","28,785","24,661","12,511",0,"3,603","206,688","137,128","100,904","21,515","20,659",856,"6,208",0,"8,501","29,921","3,093","1,577","5,837","20,709","-1,295","72,655","42,734","34,822","6,010","-6,010","18,017","-10,105","134,033",0,"134,033","67,980","-3,106",0,0,"69,159","206,688","206,688","30,869","36,218","7,433","7,788","17,309","2,623","-1,137","4,060",444,"3,531","-1,424",0,-51,"5,006",0,"-5,203","-6,216",-83,-717,"1,816",-3,"5,292","8,235",0,-898,0,"-2,045",-14,"17,384","12,420","29,804","11,093","17,309","-6,216","31,999","5,945","26,054","16,478","9,344","7,318",-184,"9,576",207,323,116,-490,"9,293","1,505",0,"7,788","2,623","12,199",3.03,2.98,"2,568","2,612"
2023-12-31,"Plotkin Financial Advisors, LLC",215208,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"85,365","65,403","41,862","23,541","16,169",0,"3,793","229,623","144,258","109,881","21,442","20,654",788,"6,141",0,"6,794","31,960","4,849","1,623","3,655","19,982","1,851","76,455","44,495","35,611","6,950","-6,950","18,849","-9,965","153,168",0,"153,168","82,070","-2,155",0,0,"73,253","229,623","229,623","29,682","37,234","-4,628","14,017","19,404","3,172","-1,161","3,424","1,223","-1,271","-2,843","-1,270",594,"2,248",0,"-6,472","-7,665",-64,"-1,172","2,359",70,"-8,401",-307,0,"-5,942",0,"-2,152",396,"4,927","37,900","42,827","11,739","19,404","-7,665","40,111","7,695","32,416","14,883","10,517","5,515","-1,149","17,533",452,588,136,"-1,178","16,807","2,790",0,"14,017","3,172","20,705",5.46,5.33,"2,566","2,630"
2024-03-31,"Plotkin Financial Advisors, LLC",298632,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"75,330","58,120","32,307","25,813","13,430",0,"3,780","222,844","147,514","112,463","20,654","20,654",829,"6,218",0,"8,179","28,101","3,785","1,676","4,863",0,"17,777","73,315","45,214","35,957",0,0,"19,246","-9,989","149,529",0,"149,529","76,793","-2,655",0,0,"75,391","222,844","222,844","32,031","37,633","5,326","12,369","19,246","3,374",-456,"3,562","9,076",223,"2,520",0,"-1,112","-1,185",0,"-8,734","-6,400",-72,"-6,887","4,625",-72,"-19,767",-315,0,"-15,008","-1,273","-3,171",-288,"-9,570","41,961","32,391","12,846","19,246","-6,400","36,455","6,640","29,815","15,997","9,978","6,019",0,"13,818",458,585,127,-93,"14,183","1,814",0,"12,369","3,374","17,192",4.86,4.71,"2,545","2,625"
2024-06-30,"Plotkin Financial Advisors, LLC",386233,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"76,431","58,080","32,045","26,035","14,505",0,"3,846","230,238","153,807","117,017","20,654","20,654",984,"6,207",0,"9,929","27,004","3,173","1,917","2,244",0,"19,670","73,475","46,471","36,074",0,0,"19,602","-9,205","156,763",0,"156,763","81,188","-2,695",0,0,"78,270","230,238","230,238","32,242","37,991","5,946","13,465","19,370","3,637","-1,642","4,616",35,-741,"-1,170",0,250,179,0,"-8,298","-8,173",-57,"-3,289","3,233",-12,"-11,178",-299,0,"-6,299","-1,266","-3,314",-152,-258,"33,284","33,026","11,197","19,370","-8,173","39,071","7,308","31,763","16,916","10,537","6,379",0,"14,847",412,540,128,-153,"15,106","1,641",0,"13,465","3,637","18,484",5.31,5.16,"2,534","2,610"
