ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001451086-20-000007	70812		028-14467			Affinity Investment Advisors, LLC
0001451086-20-000007	70813		028-208827			Metis Global Partners
0001451086-20-000007	70814		028-13243			Mar Vista Investment Partners, LLC
0001451086-20-000007	70815		028-12654			AH Lisanti Capital Growth LLC
0001451086-20-000007	70816		028-19839			Heard Capital LLC
0001451086-20-000007	70817		028-12179			Phocas Financial
0001451086-20-000007	70818		028-10130			Denali Advisors
0001451086-20-000007	70819		028-14514			Fairpointe Capital LLC
0001451086-20-000007	70820		028-12654			Lisanti Capital Growth LLC
0001451086-20-000007	70821		028-18536			Solstein Capital, LLC
0001451086-20-000007	70794		028-14070			EAM Investors, LLC
0001041062-20-000113	24491		028-14777			J O HAMBRO CAPITAL MANAGEMENT LTD
0001041062-20-000113	24492		028-11937			JP Morgan Investment Management
0001041062-20-000113	24493		028-17689			Kettle Hill Capital Management, LLC
0001041062-20-000113	24494		028-13608			LMCG Investments, LLC
0001041062-20-000113	24495		028-6580			LSV Asset Management
0001041062-20-000113	24496		028-13124			Macquarie Investment Management
0001041062-20-000113	24497		028-3673			ManuLife Asset Management LLC
0001041062-20-000113	24498		028-17488			Maple-Brown Abbott
0001041062-20-000113	24499		028-13243			Mar Vista Investment Partners, LLC
0001041062-20-000113	24500		028-3743			Marathon Asset Management, LP
0001041062-20-000113	24501		028-4632			Martingale Asset Management L P
0001041062-20-000113	24502		028-13573			Neuberger Berman Group LLC
0001041062-20-000113	24503		028-17435			NN Investment Partners Holdings N.V.
0001041062-20-000113	24504		028-1474			NWQ Investment Management Company, LLC
0001041062-20-000113	24505		028-3042			PanAgora Asset Management Inc.
0001041062-20-000113	24506		028-4558			Parametric Portfolio Associates LLC
0001041062-20-000113	24507		028-12690			PCJ Investment Counsel Ltd
0001041062-20-000113	24508		028-13350			Poplar Forest Capital LLC
0001041062-20-000113	24509		028-1549			PRINCIPAL GLOBAL INVESTORS
0001041062-20-000113	24510		028-14009			QS Investors LLC
0001041062-20-000113	24511		028-19339			Qtron Investments LLC
0001041062-20-000113	24512		028-11173			Quantiative Management Associates
0001041062-20-000113	24513		028-10674			Ramius Advisors LLC
0001041062-20-000113	24514		028-14481			RWC Asset Management LLP
0001041062-20-000113	24515		028-4691			Schafer Cullen Capital Management Inc.
0001041062-20-000113	24516		028-10613			Snow Capital Management LP
0001041062-20-000113	24517		028-11300			Spectrum Asset Management, Inc.
0001041062-20-000113	24518		028-733			State Street Bank & Trust
0001041062-20-000113	24519		028-10640			Towle & Co
0001041062-20-000113	24520		028-7104			WCM Investment Management/CA
0001041062-20-000113	24466		028-17130			361 Capital, LLC
0001041062-20-000113	24467		028-5990			Acadian Asset Management LLC
0001041062-20-000113	24468		028-5508			AJO, LP
0001041062-20-000113	24469		028-10562			AllianceBernstein L.P.
0001041062-20-000113	24470		028-4895			Analytic Investors, LLC
0001041062-20-000113	24471		028-10120			AQR Capital Management LLC
0001041062-20-000113	24472		028-17137			Arcus
0001041062-20-000113	24473		028-13791			ArrowMark Partners
0001041062-20-000113	24474		028-5615			Axiom International Investors
0001041062-20-000113	24475		028-18146			Benefit Street Partners
0001041062-20-000113	24476		028-2951			Beutel Goodman Capital Management
0001041062-20-000113	24477		028-18913			Blackcrane Capital, LLC
0001041062-20-000113	24478		028-12820			Brigade Capital Management, LP
0001041062-20-000113	24479		028-13067			Cardinal Capital Management LLC
0001041062-20-000113	24480		028-11728			Causeway
0001041062-20-000113	24481		028-11563			Coho Partners
0001041062-20-000113	24482		028-14668			Copeland Capital Management, LLC
0001041062-20-000113	24483		028-10492			Falcon Point Capital
0001041062-20-000113	24484		028-14036			Fiera Capital Corp.
0001041062-20-000113	24485		028-18845			Fondsmaeglerselskabet Maj Invest A/S
0001041062-20-000113	24486		028-869			Fred Alger Management, LLC
0001041062-20-000113	24487		028-5229			Great Lakes Advisors LLC
0001041062-20-000113	24488		028-12836			Guggenheim Capital Llc
0001041062-20-000113	24489		028-11957			Hillsdale Investment Management Inc.
0001041062-20-000113	24490		028-4211			Intech Investment Management LLC
0001606588-20-000007	22008	0001050463	028-06620			MORGAN DEMPSEY CAPITAL MANAGEMENT LLC
0001606588-20-000007	22007	0001477872	028-13757			Saratoga Research & Investment Management
0001606588-20-000007	22006	0001419999	028-13243			MAR VISTA INVESTMENT PARTNERS LLC
0001606588-20-000007	22005	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001606588-20-000007	22004	0001508822	028-14059			ACR Alpine Capital Research, LLC
0001085146-20-002349	31758	0001535110	028-14604			Parametrica Management Ltd
0001624489-20-000006	94192	0001538449	028-14623			Mawer Investment Management Ltd.
0001624489-20-000006	94193	0001620577	028-17009			SETANTA ASSET MANAGEMENT
0001624489-20-000006	94191	0001364615	028-11964			Aperio Group, LLC
0001624489-20-000006	94187	0000938206	028-04207			DRIEHAUS CAPITAL MANAGEMENT LLC
0001624489-20-000006	94188	0001341401	028-11487			River Road Asset Management, LLC
0001624489-20-000006	94189	0001310051	028-11012			Pier Capital, LLC
0001624489-20-000006	94190	0001591546	028-15835			Pacific Ridge Capital Partners, LLC
0001434820-20-000006	13550	0001434819	028-13074			APG Asset Management N.V.
0001434820-20-000006	13551	0001323255	028-11397			APG Asset Management US Inc.
