ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001214659-20-008193	0	51	120550	
0001819695-20-000002	0	24	123913	N
0001085146-20-002416	0	99	137444	
0001393389-20-000004	0	553	729306	N
0001754960-20-000060	0	55	133685	N
0001618205-20-000004	0	165457	165457	N
0001774437-20-000005	0	152	144417	N
0001351431-20-000005	0	18	243662704	N
0001387131-20-008447	0	1	2540	
0001387131-20-008445	0	1	406	
0001387131-20-008442	0	1	1618	
0001085146-20-002415	13	511	2918519	
0001345471-20-000044	4	1	279058	
0000950123-20-009824	0	1	713237	N
0001286478-20-000005	0	253	551834	Y
0001089991-20-000003	1	242	848546	N
0001567619-20-016823	0	0	0	N
0000074260-20-000104	0	83	3200804000	N
0000919574-20-005877	7	2475	34036577	
0001723115-20-000007	0	61	120512	
0001085146-20-002413	0	1202	3891530	
0000950123-20-009733	0	1	232	N
0000950123-20-009692	0	261	6176686	N
0001720979-20-000009	0	0	0	N
0001802387-20-000003	0	153	203464	N
0001104659-20-104248	0	1115	252236	
0000950123-20-009646	8	3021	41378310	N
0001085146-20-002412	0	43	125497	
0001582732-20-000005	0	517	2070893	N
0000919574-20-005760	0	1335	4458591	
0001430681-20-000004	0	70	176653	Y
0001819955-20-000024	0	85	282670	
0001085146-20-002401	0	59	218991	N
0001214659-20-007734	1	28	166457	
0001803919-20-000002	0	47	80582	N
0001172661-20-001889	0	7	1154132	
0001126328-20-000181	4	55	751235	
0001819955-20-000022	0	84	215737	N
0001819955-20-000021	0	87	220338	N
0001819955-20-000020	0	88	211354	N
0001819955-20-000019	0	99	210351	N
0001819955-20-000018	0	94	182766	N
0001819955-20-000017	0	96	157937	N
0000714142-20-000003	22	2359	8406197	N
0001567619-20-016461	0	233	28223124	N
0001567619-20-016459	0	89	208956	N
0001376474-20-000217	0	9	161088	N
0001376474-20-000216	0	8	191687	N
0001376474-20-000215	0	8	199570	N
0000860828-20-000006	0	190	2404410	N
0001616328-20-000004	0	149	691325	N
0001586678-20-000004	0	603	1778377	N
0001628280-20-013177	1	69	2165597	N
0001126395-20-000008	0	440	1537388	N
0001085146-20-002397	0	1293	4945925	
0001517429-20-000003	0	41	137183	N
0001172661-20-001888	0	10	1921796	
0001602476-20-000003	0	71	173999	N
0001654954-20-009614	5	2751	39436371	N
0001085146-20-002396	0	141	167714	N
0000950123-20-009394	4	3857	60695603	N
0001537455-20-000009	0	7	88794	
0001537455-20-000008	0	8	19665	
0001376474-20-000210	0	183	161638	N
0001376474-20-000209	0	186	126316	N
