ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001661245-23-000005	167436	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001661245-23-000004	167473	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001661245-23-000003	169980	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001661245-23-000002	168021	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001104659-23-126763	168037	0000102909	028-06408	000105958	801-11953	VANGUARD GROUP INC
0001104659-23-126762	168989	0000102909	028-06408	000105958	801-11953	VANGUARD GROUP INC
0001104659-23-126760	170312	0000102909	028-06408	000105958	801-11953	VANGUARD GROUP INC
0001104659-23-126758	168872	0000102909	028-06408	000105958	801-11953	VANGUARD GROUP INC
0001104659-23-126757	167569	0000102909	028-06408	000105958	801-11953	VANGUARD GROUP INC
0001104659-23-126756	168548	0001767306	028-20247	000285366	801-114487	Vanguard Personalized Indexing Management, LLC
0001398344-23-022765	169973		028-19400	000166517	801-77698	RWC ASSET ADVISORS (US) LLC
0000315032-23-000030	169924	0001256909	028-10487			Northern Trust Investments, Inc
0000315032-23-000030	169923	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0000315032-23-000029	168756	0001256909	028-10487			Northern Trust Investments, Inc
0000315032-23-000029	168755	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0000315032-23-000028	168993	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0000315032-23-000028	168994	0001256909	028-10487			Northern Trust Investments, Inc
0000315032-23-000027	170089	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0000315032-23-000027	170090	0001256909	028-10487			Northern Trust Investments, Inc
0001420506-23-002302	168042		028-11326			State Street Global Advisors LTD
0001420506-23-002302	168043		028-02682			UBS ASSET MANAGEMAENT AMERICAS INC
0001420506-23-002302	168041		028-12194			BlackRock Investment Management (uk) Ltd.
0001398344-23-022280	170384		028-21264	000306128	801-117641	CSM Advisors, LLC
0001398344-23-022280	170383		028-21352	000312148	801-120192	NSI Retail Advisors, LLC
0001398344-23-022280	170382		028-10104	000109678	801-63055	ALTRINSIC GLOBAL ADVISOR, LLC
0001398344-23-022280	170381		028-18686	000170939	801-79728	RED CEDAR INVESTMENT MANAGEMENT, LLC
0001398344-23-022280	170380		028-05637	000108254	801-14172	ADVISORY RESEARCH, INC.
0001398344-23-022280	170379		028-10860	000125523	801-61878	ALGERT GLOBAL LLC
0001398344-23-022277	168710		028-05637	000108254	801-14172	ADVISORY RESEARCH, INC.
0001398344-23-022277	168711		028-18686	000170939	801-79728	RED CEDAR INVESTMENT MANAGEMENT, LLC
0001398344-23-022277	168712		028-10104	000109678	801-63055	ALTRINSIC GLOBAL ADVISOR, LLC
0001398344-23-022277	168713		028-21352	000312148	801-120192	NSI Retail Advisors, LLC
0001398344-23-022277	168714		028-21264	000306128	801-117641	CSM Advisors, LLC
0001398344-23-022277	168709		028-10860	000125523	801-61878	ALGERT GLOBAL LLC
0001085146-23-004548	167594	0001163653	028-10594			NOMURA HOLDINGS INC
0001085146-23-004540	170183	0001663865	028-17459			Orbis Allan Gray Ltd
0000743367-23-000005	168732	0001035463	028-06264			BAR HARBOR WEALTH MANAGEMENT
0000743367-23-000004	169323	0001035463	028-06264			BAR HARBOR WEALTH MANAGEMENT
0001134700-23-000004	170356					Westwood Global
0001134700-23-000004	170358					NB Cat
0001134700-23-000004	170354					Basswood
0001134700-23-000004	170355					Southeastern
0001134700-23-000004	170353					RGM
0001134700-23-000004	170357					Dalton
0001589176-23-000014	167440	0001589176	028-18920			SPX Gestao de Recursos Ltda
0000948046-23-000162	169063	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-23-004068	169435	0001388391	028-12094	000136196	8-66988	Walleye Trading LLC
0000950123-23-011063	167592					Comerica Bank
0001298088-23-000036	169575	0001298088				CIBC Private Wealth Group, LLC
0001298088-23-000035	169123	0001298088				CIBC Private Wealth Group, LLC
0001298088-23-000033	168060	0001298088				CIBC Private Wealth Group, LLC
0001298088-23-000032	168096	0001298088				CIBC Private Wealth Group, LLC
0001999371-23-000411	169687	0001005817	028-05097			TOMPKINS FINANCIAL CORP
0000809593-23-000045	169347	0001177244	028-10254			SHAPIRO CAPITAL MANAGEMENT LLC
0000809593-23-000045	169346	0001891811	028-21404			Newton Investment Management North America, LLC
0000809593-23-000045	169349	0000938487	028-04720			SSI INVESTMENT MANAGEMENT LLC
0000809593-23-000045	169350	0001540306	028-16390			Strategic Income Management, LLC
0000809593-23-000045	169351	0001314440	028-11261			Stephens Investment Management Group LLC
0000809593-23-000045	169352	0001259887	028-10665			LONDON CO OF VIRGINIA
0000809593-23-000045	169353	0001061186	028-07104			WCM INVESTMENT MANAGEMENT, LLC
0000809593-23-000045	169354	0001316915	028-11061			Zebra Capital Management LLC
0000809593-23-000045	169329	0001544935	028-14936			abrdn Investments Ltd
0000809593-23-000045	169330	0001598894	028-16037			AHL Partners LLP
0000809593-23-000045	169331	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0000809593-23-000045	169332	0000860644	028-02634			Aristotle Capital Management, LLC
0000809593-23-000045	169333	0001697748	028-17768			ARK Investment Management LLC
0000809593-23-000045	169334	0000872259	028-02825			BAHL & GAYNOR INC
0000809593-23-000045	169335	0000313028	028-01006			BARROW HANLEY MEWHINNEY & STRAUSS LLC
0000809593-23-000045	169336	0000829108	028-02204			Brandywine Global Investment Management, LLC
0000809593-23-000045	169337	0001107261	028-05563			BRIDGEWAY CAPITAL MANAGEMENT, LLC
0000809593-23-000045	169338		028-11728			CAUSEWAY CAPITAL MANAGEMENT LLC
0000809593-23-000045	169339	0001008894	028-05268			DEPRINCE RACE & ZOLLO INC
0000809593-23-000045	169340	0001741619	028-18801			EAM Global Investors LLC
0000809593-23-000045	169341	0001325447	028-11953			First Eagle Investment Management, LLC
0000809593-23-000045	169342	0001164833	028-10068			HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC
0000809593-23-000045	169343	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0000809593-23-000045	169344	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0000809593-23-000045	169345	0001800336	028-19790			National Investment Services of America, LLC
0000809593-23-000045	169348	0001591307	028-17328			Sound Point Capital Management, LP
0000950123-23-011039	168819		028-10998			Guidestone Capital Management, LLC
0000950123-23-011039	168820		028-19510			PGIM Investments LLC
0001085146-23-004536	168472	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-23-004536	168473	0000820027	028-00139			AMERIPRISE FINANCIAL INC
0000950103-23-016376	168468	0001671122	028-18539			Atairos Group, Inc.
0001415889-23-015141	168237	0001465109	028-13573			Neuberger Berman Group LLC
0001415889-23-015139	168998	0001465109	028-13573			Neuberger Berman Group LLC
0001905128-23-000004	168579		028-03459			Smith Group
0001905128-23-000004	168577		028-02204			Brandywine
0001905128-23-000004	168578		028-01185			Frontier
0001905128-23-000004	168580		028-07104			WCM
0001905128-23-000004	168581		028-04557			Wellington
0001905128-23-000004	168576		028-10562			AllianceBernstein
0000895421-23-000493	169122	0001916464	028-22389			Cook Street Consulting, Inc.
0000891836-23-000026	168087		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0000891836-23-000025	169897		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0000891836-23-000024	168117		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0001593324-23-000006	168444	0001791965				Kingsview Wealth Management, LLC
0001593324-23-000006	168443	0000919160				GUINNESS ATKINSON FUNDS
0001964116-23-000005	167838	0001626116		000172832	801-80480	SVB WEALTH LLC
0000927337-23-000019	169312	0001279891	028-10687			WOLVERINE ASSET MANAGEMENT LLC
0000927337-23-000019	169311	0000927337	028-17509			WOLVERINE TRADING, LLC
0001070092-23-000026	167871	0000913760				StoneX Group Inc.
0001405086-23-000276	167367	0001749824	028-19277	000290080	801-112261	INHERENT GROUP, LP
0000850401-23-000032	167762	0000850401	028-02494			TCW GROUP INC
0000850401-23-000031	168977	0000850401	028-02494			TCW GROUP INC
0000850401-23-000029	168933	0000850401	028-02494			TCW GROUP INC
0000850401-23-000029	168934	0001125816	028-06487			FIRST TRUST ADVISORS LP
0000850401-23-000028	167609	0000850401	028-02494			TCW GROUP INC
0000092230-23-000092	168731	0000092230	028-03501			TRUIST FINANCIAL CORP
0000950123-23-011010	170000		028-13935			Morgan Stanley
0001085146-23-004520	168703	0001927705	028-22928	000282312	801-118278	Delap Wealth Advisory, LLC
0001085146-23-004520	168704	0001903880	028-21624	000116091	801-61445	JACKSON THORNTON ASSET MANAGEMENT, LLC
0001085146-23-004520	168705	0001964068	028-22786	000313110	801-122267	Allegiance Financial Group Advisory Services LLC
0001085146-23-004520	168706	0001965271	028-22886	000316408	801-122309	WATERSHED PRIVATE WEALTH LLC
0001398344-23-020744	169915	0001695078	028-19635	000116978	801-61471	Ambassador Advisors, LLC
0001595888-23-000049	167865	0001595888	028-16162			JANE STREET GROUP, LLC
0001595888-23-000048	167391	0001595888	028-16162			JANE STREET GROUP, LLC
0000850401-23-000030	170429	0000850401	028-02494			TCW GROUP INC
0000950103-23-016257	167422	0001671122	028-18539			Atairos Group, Inc.
0001595888-23-000046	167428	0001595888	028-16162			JANE STREET GROUP, LLC
0001595888-23-000047	169522	0001595888	028-16162			JANE STREET GROUP, LLC
0001650393-23-000006	168310	0000913760				StoneX Group Inc.
0000354497-23-000018	169252	0001328575	028-11769	000106108	801-52378	BNY Mellon Advisors, Inc.
0001595888-23-000045	168981	0001595888	028-16162			JANE STREET GROUP, LLC
0001532155-23-000161	168840	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000160	167500	0001920120				AXA Investment Managers US Inc.
0001532155-23-000160	167501	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-23-000160	167504	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-23-000160	167503	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-23-000160	167502	0000201772	028-00878			ESSEX INVESTMENT MANAGEMENT CO LLC
0001532155-23-000160	167505	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000159	168176	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001532155-23-000159	168203	0001163368	028-10952			PACIFIC INVESTMENT MANAGEMENT CO LLC
0001532155-23-000159	168202	0001920120	028-22489			AXA Investment Managers US Inc.
0001532155-23-000159	168201	0000812295	028-01343			JANUS HENDERSON INVESTORS US LLC
0001532155-23-000159	168200	0000860644	028-02634			Aristotle Capital Management, LLC
0001532155-23-000159	168163	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-23-000159	168164	0000313028	028-01006			BARROW HANLEY MEWHINNEY & STRAUSS LLC
0001532155-23-000159	168165	0001086363	028-04293			BLACKROCK FINANCIAL MANAGEMENT INC/DE
0001532155-23-000159	168166	0001305227	028-12016			BlackRock Investment Management, LLC
0001532155-23-000159	168167	0001348883	028-11611			Clearbridge Investments, LLC
0001532155-23-000159	168168	0001217541	028-10648			DIAMOND HILL CAPITAL MANAGEMENT INC
0001532155-23-000159	168169	0001102578	028-05269			EARNEST PARTNERS LLC
0001532155-23-000159	168170	0000898420	028-03578			FRANKLIN ADVISERS INC
0001532155-23-000159	168171	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-23-000159	168172	0001519418	028-14519			Horizon Kinetics LLC
0001532155-23-000159	168173	0000020430	028-00255			Invesco Advisers, Inc.
0001532155-23-000159	168174	0000019617	028-00694			JPMORGAN CHASE & CO
0001532155-23-000159	168175	0000728100	028-00413			LORD, ABBETT & CO. LLC
0001532155-23-000159	168204	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000159	168177	0001230193	028-11866			MORGAN STANLEY INVESTMENT MANAGEMENT INC
0001532155-23-000159	168178	0001170789	028-12454			POST ADVISORY GROUP LLC
0001532155-23-000159	168179	0001257442	028-11338			SSGA FUNDS MANAGEMENT INC
0001532155-23-000159	168180	0000080255	028-00115			PRICE T ROWE ASSOCIATES INC /MD/
0001532155-23-000159	168181	0001177719	028-10220			WESTFIELD CAPITAL MANAGEMENT CO LP
0001532155-23-000159	168182	0000944388	028-11685			1832 Asset Management L.P.
0001532155-23-000159	168183	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-23-000159	168184	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001532155-23-000159	168185	0001229262	028-10981			GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001532155-23-000159	168186	0001086431	028-04379			FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP
0001532155-23-000159	168187	0001021642	028-05840			VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.
0001532155-23-000159	168188	0001455253	028-13328			HS Management Partners, LLC
0001532155-23-000159	168189	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001532155-23-000159	168190	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-23-000159	168191	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0001532155-23-000159	168192	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001532155-23-000159	168193	0001385495	028-12282			FIAM LLC
0001532155-23-000159	168194	0000813917	028-02013			HARRIS ASSOCIATES L P
