ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0002031642-25-000002	0	151	433456827	N
0002054965-25-000001	0	38	33830543	N
0002051288-25-000006	0	48	168208219	N
0002051288-25-000005	0	45	163788588	N
0002051288-25-000004	0	46	153428698	N
0002051288-25-000003	0	42	146136405	N
0002051288-25-000002	0	43	123318275	N
0001104659-25-015402	2	821	17256641589	
0001104659-25-015395	2	827	16593617319	
0001104659-25-015387	2	834	16813387974	
0000935836-25-000188	0	10	109138595	
0002057075-25-000001	0	75	125669	N
0001754960-25-000149	0	123	108469162	N
0001774207-25-000001	0	89	199551961	N
0001754960-25-000150	0	50	123051000	N
0001085146-25-001754	0	79	227693686	
0001765380-25-000133	0	373	781428600	N
0001085146-25-001753	0	100	262887245	
0001172661-25-001334	4	155	1398699009	
0002057073-25-000001	0	8	110621321	N
0001089355-25-000030	9	2700	63337213728	
0001105863-25-000001	0	171	645133962	N
0001172661-25-001333	0	51	166491107	
0001667731-25-000283	0	27	115595256	
0001214659-25-003041	0	50	107800910	
0001592613-25-000001	0	377	608884734	N
0001667731-25-000282	0	106	178121804	
0002057074-25-000001	0	53	145565	N
0001056559-25-000001	0	417	2259147009	N
0001867587-25-000002	0	252	822780726	N
0001172661-25-001331	0	28	106838778	
0001085146-25-001751	0	1	137471900	
0001951757-25-000272	0	65	90851866	N
0001667731-25-000281	0	78	239860763	
0002056763-25-000001	0	225	132061226	N
0001569550-25-000001	0	47	83264492	
0002057060-25-000001	0	637	4624895526	N
0001855713-25-000003	0	293	1513249000	N
0001095449-25-000017	0	110	141170988	N
0001445893-25-000001	0	282	162803754762	
0001095449-25-000016	0	35	165538527	N
0001007280-25-000001	0	2390	29110430292	N
0001765380-25-000132	0	229	697601308	N
0001019231-25-000002	0	174	846525713	N
0001095449-25-000015	0	241	155891694	N
0001911348-25-000001	0	11	118167459	N
0001727783-25-000003	0	258	496500	N
0001904388-25-000002	0	93	339041179	N
0002056447-25-000001	0	44	246980310	N
0001172661-25-001330	0	27	64870855	
0001951757-25-000271	0	117	164512094	N
0001609251-25-000002	0	12	169025	N
0002056653-25-000001	0	101	126194299	N
0001882673-25-000002	0	122	111455000	N
0001095449-25-000014	0	149	215667399	N
0000789307-25-000010	0	193	111753464	N
0001104659-25-014701	1	79	121487041	
0001767902-25-000003	0	277	333053547	N
0001840501-25-000002	0	1	4925727	
0001054646-25-000002	0	303	1065329426	N
0001104659-25-014688	0	1	16918583	
0001765380-25-000131	0	352	768528647	N
0001054646-25-000001	0	303	1033031969	N
0001452765-25-000002	0	1216	2053133520	N
0001581655-25-000002	0	173	339485906	
0001085146-25-001749	0	0	0	N
0000313028-25-000029	3	424	29847345124	N
0001085146-25-001748	0	0	0	N
0001905128-25-000002	6	313	1313649941	N
0002056939-25-000001	0	4	126191207	N
0002021464-25-000001	0	31	107487327	N
0001062993-25-002659	0	1815	1135018795	N
0000950123-25-002846	1	0	0	N
0002056367-25-000001	0	48	236439533	N
0002055645-25-000002	0	54	110490616	N
0001085146-25-001747	3	228	191174627	
0001085146-25-001746	0	47	365768389	N
0001085146-25-001745	0	70	138221143	N
0001085146-25-001744	0	816	1200349711	N
0001085146-25-001742	0	124	442001997	N
0001085146-25-001741	0	277	1987647268	N
0001085146-25-001740	0	47	196773151	N
0001085146-25-001739	0	26	3626098721	N
0001085146-25-001738	0	35	89848850	N
0001085146-25-001737	0	116	340151571	N
0001085146-25-001736	0	102	206551356	N
0001936193-25-000002	0	199	135495041	N
0002056691-25-000001	0	629	191658988	N
0000950123-25-002842	0	104	9898403305	N
0001085146-25-001734	0	159	223881128	N
0001172661-25-001324	0	137	542590975	
0001172661-25-001323	0	231	529865925	
0001869164-25-000001	0	164	192055289	N
0001172661-25-001322	0	115	203909483	
0000709447-25-000018	0	120	109671941	N
0001427373-25-000006	0	41	236984754	N
0001427373-25-000005	0	40	229725946	N
0001689829-25-000001	0	310	2035016044	N
0001427373-25-000004	0	40	201948281	N
0001689013-25-000002	0	291	608311625	N
0001765380-25-000128	0	233	880285064	N
0001398344-25-003005	1	526	388544418	
0001903786-25-000002	0	119	260431963	N
0001993352-25-000001	0	114	391262357	N
0001398344-25-002992	0	1	30000	
0001133521-25-000004	0	45	1987707664	
0001912970-25-000001	0	65	201433974	N
0002037077-25-000004	0	9	165029962	N
0001980273-25-000001	0	63	344487810	N
0002011081-25-000003	0	52	826400830	N
0001842785-25-000006	0	9	959725179	N
0001104659-25-014450	1	9	94098846	
0001892134-25-000001	0	50	2409201023	N
0001214659-25-002909	0	448	975003680	
0001104659-25-014411	0	135	406472956	
0001095449-25-000012	0	478	227775050	N
0002056693-25-000001	0	736	136817787	N
0001095449-25-000010	0	25	141738991	N
0001420506-25-000626	0	380	118274344	N
0001315863-25-000188	0	34	1157330770	N
0001420506-25-000634	0	20	229202382	N
0001085146-25-001732	0	113	275320832	N
0001095449-25-000006	0	68	85853736	N
0002056427-25-000001	0	7	100750457	N
0000897070-25-000003	0	101	847602370	N
0001698926-25-000001	0	125	191532118	N
0001085146-25-001730	0	113	91800330	Y
0001095449-25-000013	0	190	438362231	N
0001420506-25-000628	0	1856	780012085	N
0002029317-25-000001	0	1114	602827228	N
0001962685-25-000001	0	103	94256433	N
0001085146-25-001729	0	770	5925062039	N
0001909393-25-000002	0	16	252027434	N
0001420506-25-000631	0	366	712060223	N
0002056650-25-000001	0	521	96798862	N
0001437749-25-004065	0	121	148512853	N
0001106832-25-000001	0	283	2867118014	N
0001095449-25-000007	0	254	513546394	N
0001904326-25-000001	0	176	163846205	N
0001776588-25-000003	0	114	756309661	N
0001598350-25-000002	0	4	1962692928	N
0001104659-25-014337	0	238	508538836	
0001095449-25-000008	0	161	212042549	N
0001839498-25-000001	0	38	213132028	N
0001104659-25-014417	0	85	310558316	
0001104659-25-014408	0	173	701744857	
0001228242-25-000003	0	728	16784983204	N
0001907054-25-000001	0	170	221930204	N
0001598350-25-000003	0	20	2370183733	N
0001037792-25-000007	1	193	2157578073	N
0001104659-25-014410	0	158	252279555	
0000310436-25-000002	0	33	44624011	N
0001609251-25-000001	0	12	169025	N
0001172661-25-001319	0	134	154073992	
0001104659-25-014415	0	213	693316414	
0001104659-25-014412	0	84	255317494	
0001095449-25-000009	0	357	192413418	N
0001085146-25-001728	0	955	2265151006	N
0001172661-25-001320	0	29	36573022	
0002056243-25-000001	0	75	112898492	N
0001993399-25-000002	0	0	0	N
0001104659-25-014391	0	35	155344595	
0002011548-25-000001	0	152	167924743	N
0002031642-25-000001	0	150	416178263	N
0001104659-25-014414	0	42	175035124	
0001437749-25-004092	0	4	209398855	N
0001535264-25-000019	0	87	820896060	N
0000950123-25-002836	0	6	59904812	Y
0001904677-25-000001	0	109	239083491	N
0002056734-25-000001	0	19	136927658	N
0001104659-25-014413	0	129	689496324	
0001904677-25-000002	0	85	142639473	N
0002032331-25-000003	1	737	487382853	N
0001420506-25-000630	0	516	1262912033	N
0001926783-25-000002	5	542	686364006	N
0001818557-25-000001	0	77	199557012	N
0001095449-25-000011	0	973	784445792	N
0001104659-25-014334	1	6	1522641098	
0001214659-25-002906	0	45	99619417	
0001172661-25-001285	0	320	453958810	
0001904388-25-000001	0	93	339041179	N
0001172661-25-001283	0	38	729201978	
0002056100-25-000001	0	178	102445	N
0001013594-25-000309	1	13	1652060781	
0001960657-25-000001	0	46	196440439	N
0001990467-25-000001	0	968	13208883325	N
0002017870-25-000001	1	956	156667988	N
0001941040-25-000171	0	272	3062637532	
