ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001730033-24-000005	186031	0001093589	028-05119			ALTA CAPITAL MANAGEMENT LLC/
0001730033-24-000005	186032	0000813933	028-01880			ANCHOR CAPITAL ADVISORS LLC
0001172661-24-004588	185803	0001843358	028-20742	000298195	801-118093	Mach-1 Financial Group, LLC
0001172661-24-004588	185802	0001551727	028-14993	000149621	801-71500	MACROVIEW INVESTMENT MANAGEMENT LLC
0001172661-24-004588	185801	0001848433	028-21108	000156549	801-72171	Coppell Advisory Solutions LLC
0001526648-24-000024	185788	0000927971				BANK OF MONTREAL /CAN/
0001172661-24-004581	185435	0001679688	028-19781			DigitalBridge Group, Inc.
0001593324-24-000010	186692	0001566728	028-15439	000150764	801-70333	Capital Wealth Planning, LLC
0001593324-24-000010	186691	0001791965	028-19701			Kingsview Wealth Management, LLC
0001593324-24-000010	186690	0001409765	028-12657			Guinness Atkinson Asset Management Inc
0001172661-24-004580	185223	0001679688	028-19781			DigitalBridge Group, Inc.
0001172661-24-004579	185506	0001679688	028-19781			DigitalBridge Group, Inc.
0001172661-24-004578	186522	0001679688	028-19781			DigitalBridge Group, Inc.
0000891836-24-000058	186190		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0001172661-24-004576	185207	0000940445	028-04852	000106945	801-10232	BURNEY CO/
0000891836-24-000057	186114		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0000891836-24-000056	186182		028-18054	000142878	801-67841	Circle Wealth Management, LLC
0001140361-24-046179	186786	0001000275	028-11396			Royal Bank of Canada
0001964188-24-000005	187810	0001964189				Auto-Owners Insurance Co
0001104659-24-116810	184909	0001965482	028-23088	000295495		Foundry Group Next, LLC
0001972909-24-000002	185279	0001964189				Auto-Owners Insurance Co
0001398344-24-020512	186390		028-04766	000106244	801-46796	Monarch Capital Management
0001398344-24-020512	186389		028-10120	000111883	801-55543	AQR Capital Management
0001398344-24-020512	186387		028-10031	000107660	801-50387	Woodley Farra Manion
0001398344-24-020512	186386		028-16000	000168496	801-78977	Select Equity
0001398344-24-020512	186385		028-04558	000114310	801-60485	Parametric
0001398344-24-020512	186388		028-02634	000109876	801-60014	Aristotle Capital Management
0001104659-24-116779	187553	0001886840			028-23826	Peak XV Partners Operations LLC
0001104659-24-116776	187778	0001886840	028-23826			Peak XV Partners Operations LLC
0001104659-24-116775	186796	0001886840	028-23826			Peak XV Partners Operations LLC
0000921895-24-002583	184589	0001399386	028-13806	000161230	801-74294	Bandera Partners LLC
0000921895-24-002582	186142	0001399386	028-13806	000161230	801-74294	Bandera Partners LLC
0000921895-24-002581	185009	0001922318	028-22858			Pale Fire Capital SE
0000921895-24-002579	186028	0001922318	028-22858			Pale Fire Capital SE
0001213900-24-096771	185875	0001674350	028-17463			CCMP Capital GP, LLC
0001135428-24-000281	185507	0000721204	028-01190			RUSSELL FRANK CO/
0001140361-24-046157	186391	0001000275	028-11396			Royal Bank of Canada
0000950123-24-010975	184798		028-11396			Royal Bank of Canada
0001140361-24-046154	187392	0001000275	028-11396			Royal Bank of Canada
0000046195-24-000004	187256		028-00416			Bank of Hawaii
0001398344-24-020503	186859	0000315014	028-00460			PITCAIRN CO
0001167376-24-000019	184878	0001469589	028-13619			Q Global Advisors, LLC
0001167376-24-000018	187128	0001469589	028-13619			Q Global Advisors, LLC
0001172661-24-004570	187338	0001593324	028-17117	000159042	801-80466	Penserra Capital Management LLC
0001167376-24-000017	185828	0001469589	028-13619			Q Global Advisors, LLC
0002011783-24-000008	185305	0001641992	028-16895	000162360	802-75606	LGT CAPITAL PARTNERS LTD.
