ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001600151-24-000005	0	704	1166346	N
0001654954-24-014603	6	5987	56565335961	
0000714142-24-000004	23	3662	11468322	N
0002035543-24-000002	0	117	351348359	N
0001062993-24-019240	0	1855	1019780148	N
0001754960-24-000578	0	50	191244851	N
0001754960-24-000577	0	64	48671366	N
0002044874-24-000004	0	68	57737029	N
0001172661-24-005344	0	269	3523619947	
0002044874-24-000003	0	72	62525197	N
0002044874-24-000002	0	70	65885273	N
0001420506-24-002594	0	13	254269143	N
0001971875-24-000004	0	203	325021056	N
0001688882-24-000005	1	91	284375966	N
0001809187-24-000009	0	57	814945	N
0000950123-24-012002	1	1	51267421	N
0002035548-24-000003	0	125	242888554	N
0001279708-24-000008	0	29	194291	N
0001095449-24-000095	0	118	145160966	N
0001908965-24-000005	0	216	152048115	N
0001095449-24-000096	0	177	203211743	N
0001095449-24-000090	0	187	429760194	N
0001082339-24-000008	0	1081	56352037	N
0001727783-24-000006	0	280	328260000	N
0001905669-24-000005	0	94	105316797	N
0002021464-24-000007	0	28	175985858	N
0001340807-24-000008	0	22	1098608400	N
0001095449-24-000092	0	5	63609271	N
0000897070-24-000013	0	102	801251548	N
0001095449-24-000093	0	241	155235740	N
0002032228-24-000001	0	50	68594850	N
0001095449-24-000091	0	145	205821255	N
0001095449-24-000087	0	406	183923266	N
0001095449-24-000089	0	139	206106192	N
0001095449-24-000088	0	35	160844414	N
0001095449-24-000094	0	34	160135725	N
0001337263-24-000010	0	119	239259892	N
0001082339-24-000009	0	1081	4628358068	N
0001893327-24-000005	0	147	558780048	N
0001839882-24-039529	0	39	89788460	
0001654954-24-014562	0	1	0	
0001337263-24-000009	0	220	1561477520	N
0000036644-24-000006	0	489	1566922802	N
0001940660-24-000003	0	56	108516	N
0001894571-24-000009	0	26	989065613	N
0001908275-24-000005	0	116	125407506	N
0001894571-24-000008	0	23	540499498	N
0001398344-24-020966	1	521	379715932	
0001894571-24-000007	0	20	596573247	N
0000225602-24-000014	0	2	1714671854	N
0002005378-24-000004	0	50	181272596	N
0001418812-24-000022	1	11	4373981460	
0001461790-24-000046	0	263	694663488	N
0001569550-24-000009	0	58	79964098	
0000950123-24-011983	0	157	1001784913	N
0000846797-24-000003	1	217	739389003	N
0002045082-24-000001	1	743	170993190	N
0001172661-24-005343	0	240	540413669	
0000890163-24-000018	0	364	1253346492	
0001599863-24-000010	0	294	2287098067	N
0002011050-24-000006	5	124	140863	N
0001583092-24-000015	0	140	1216113	N
0001310051-24-000005	0	133	709667223	N
0001862787-24-000004	0	5	583227	N
0001845536-24-000004	0	112	239397910	N
0001376772-24-000006	0	160	422725867	N
0001948904-24-000005	0	940	194708697	N
0001849517-24-000006	0	26	376223269	N
0001214659-24-019247	0	65	286469501	
0001632118-24-000006	0	35	219170346	
0000919574-24-006813	0	30	160375644	
0001878326-24-000006	0	186	114763866	N
0001951757-24-001209	0	62	455940727	N
0001698607-24-000006	0	150	2109412	N
0001580642-24-006993	0	1776	10040982192	
0001531611-24-000005	0	11	11782076	N
0001536925-24-000005	0	1171	3170674	N
0001420506-24-002591	4	10	1417314087	N
0001286478-24-000009	0	262	859290493	N
0001085146-24-005983	0	120	436829093	N
