ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0002027344-25-000002	193381	0001888968	028-22610			KIM, LLC
0001172661-25-001345	193370	0001173475				JP MORGAN INVESTMENT MANAGEMENT INC
0001172661-25-001345	193371					FRANKLIN TEMPLETON PRIVATE PORTFOLIO GROUP
0001172661-25-001345	193372	0001364615	028-11964			Aperio Group, LLC
0001172661-25-001345	193373	0001229262				GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001172661-25-001345	193374	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-25-001345	193376	0001305227	028-12016			BlackRock Investment Management, LLC
0001172661-25-001345	193377	0001521019	028-14498			Nuveen Asset Management, LLC
0001172661-25-001345	193378	0001082917	028-04145			GW&K Investment Management, LLC
0001172661-25-001345	193379	0001163368				PACIFIC INVESTMENT MANAGEMENT CO LLC
0001172661-25-001345	193369	0001730242				55I, LLC
0001172661-25-001345	193375	0001230440				Neuberger Berman Investment Advisers LLC
0000943663-25-000062	193380	0002026352				Talaria Asset Management Pty Ltd
0002055297-25-000002	193352	0001697723	028-17779	000282580	801-107319	AE Wealth Management LLC
0001085146-25-001770	193353	0001593387	028-16841	000014822	801-71114	GeoWealth Management, LLC
0000950123-25-002905	193354		028-17796			EnCap Energy Capital Fund VIII, L.P.
0000950123-25-002905	193355		028-17797			EnCap Energy Capital Fund IX, L.P.
0000950123-25-002905	193356		028-20244			EnCap Energy Capital Fund X, L.P.
0000950123-25-002905	193357		028-21320			EnCap Energy Capital Fund XI, L.P.
0001977052-25-000001	193358	0001540235	028-14616	000105348	801-18564	Creative Planning
0001104659-25-016443	193351	0001522877	028-18932			AIA Group Ltd
0002000490-25-000004	193348	0001082509	028-04403	000104914	801-35294	SMITH CHAS P & ASSOCIATES PA CPAS
0002056307-25-000003	193350	0002057170				Universal- Beteiligungs- und Servicegesellschaft mbH
0002056307-25-000002	193347	0002057170				Universal- Beteiligungs- und Servicegesellschaft mbH
0001274419-25-000011	193344	0002055344	028-25248			Banque de Luxembourg S.A.
0001274419-25-000011	193343	0001935000	028-22581	000169820	801-10701	TRANSATLANTIQUE PRIVATE WEALTH LLC
0001274419-25-000011	193342	0002056095	028-25250			Banque Transatlantique SA
0001274419-25-000011	193345	0002052594	028-25159			BLI - Banque de Luxembourg Investments
0002056307-25-000001	193346	0002057170				Universal- Beteiligungs- und Servicegesellschaft mbH
0001557184-25-000004	193349	0002057170				Universal- Beteiligungs- und Servicegesellschaft mbH
0000820434-25-000001	193326	0001785199		000293992		Sheets Smith Investment Management
0001667731-25-000313	193325	0000895421	028-03432			MORGAN STANLEY
0001398344-25-003188	193323	0001423442	028-12966	000144594	801-68177	O'SHAUGHNESSY ASSET MANAGEMENT, LLC
0001398344-25-003188	193321	0000932859	028-04558	000114310	801-60485	PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001398344-25-003188	193320	0001364615	028-11964	000111616	801-57184	Aperio Group, LLC
0001398344-25-003188	193322	0001844345	028-20648	000291127	801-119228	Evolutionary Tree Capital Management, LLC
0002056910-25-000001	193331	0001911832	028-22291	000145706	801-69970	Forum Financial Management, LP
0001667731-25-000284	193328	0000895421	028-03432			MORGAN STANLEY
0001104659-25-015403	193340	0001944142				Resona Asset Management Co.,Ltd.
0001104659-25-015400	193329	0001944142				Resona Asset Management Co.,Ltd.
0001104659-25-015394	193330	0001944142				Resona Asset Management Co.,Ltd.
0001104659-25-015393	193332	0001944142				Resona Asset Management Co.,Ltd.
0001104659-25-015386	193338	0001944142				Resona Asset Management Co.,Ltd.
0001104659-25-015385	193327	0001944142				Resona Asset Management Co.,Ltd.
0001803279-25-000001	193339	0001772937	028-19460			Tolleson Wealth Management, Inc.
0001595888-25-000084	193341	0001595888	028-16162			JANE STREET GROUP, LLC
0001085146-25-001752	193324	0000096223	028-11122			Jefferies Financial Group Inc.
0001676234-25-000003	193319	0001743404	028-18893	000175083		FOUNDATIONS INVESTMENT ADVISORS, LLC
0001676234-25-000003	193318	0001520601	028-14467	000108278		AFFINITY INVESTMENT ADVISORS, LLC
0001676234-25-000003	193317	0001602020	028-18040	000165211		Anfield Capital Management, LLC
0001089355-25-000030	193337	0001475770	028-13626			Cowen Investment Management LLC
0001089355-25-000030	193334	0001999606	028-23436			TD Waterhouse Canada Inc.
0001089355-25-000030	193336	0001305841	028-10968			Epoch Investment Partners, Inc.
0001089355-25-000030	193335	0001551017	028-24317			TD PRIVATE CLIENT WEALTH LLC
0001089355-25-000030	193333	0001056053	028-05987			TD ASSET MANAGEMENT INC
0001085146-25-001751	193307	0001418333	028-13120	000105390	801-32108	MACQUARIE GROUP LTD
0001085146-25-001751	193309	0000764529	028-01523	000110052	801-21400	PEREGRINE CAPITAL MANAGEMENT LLC
0001085146-25-001751	193308	0001633863	028-16899	000106595	801-15908	Wellington Management Co LLP
0001085146-25-001751	193305	0001345929	028-13997	000110181	801-38826	BROWN ADVISORY INC
0001085146-25-001751	193306	0000200217	028-00400	000104596	801-1895	DODGE & COX
0001085146-25-001751	193304	0001109448	028-10562	000108477	801-56720	ALLIANCEBERNSTEIN L.P.
0001376474-25-000215	193310		028-04685	000123456	801-64500	Prospector Partners, LLC
0001085146-25-001749	193316	0001133639	028-06325			NEW YORK LIFE INVESTMENT MANAGEMENT LLC
0000313028-25-000029	193289	0001308668	028-10998			GuideStone Capital Management, LLC
0000313028-25-000029	193288	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-25-001748	193315	0001133639	028-06325			NEW YORK LIFE INVESTMENT MANAGEMENT LLC
0001905128-25-000002	193295		028-07104			WCM
0001905128-25-000002	193296		028-04557			Wellington
0001905128-25-000002	193294		028-03459			Smith Group
0001905128-25-000002	193293		028-01185			Frontier
0001905128-25-000002	193292		028-02204			Brandywine
0001905128-25-000002	193291		028-10562			AllianceBernstein
0002010602-25-000003	193281	0000872786	028-04059			BNP PARIBAS
0002010602-25-000002	193301	0000872786	028-04059			BNP PARIBAS
0002010602-25-000001	193300	0000872786	028-04059			BNP PARIBAS
0000950123-25-002844	193283		028-12863			Spinnaker Capital Limited
0000950123-25-002840	193311		028-24119			M&G Plc
0002056899-25-000001	193284	0002044885	028-25124			Raiffeisen Bank International AG
0001966160-25-000001	193290		028-22953			Oversea-Chinese Banking Corporation Limited 
0001965141-25-000001	193287		028-22953			Oversea-Chinese Banking Corporation Limited 
