ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001770133-24-000002	176026	0000039263	028-00183			CULLEN/FROST BANKERS, INC.
0000072971-24-000135	175994	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0000831001-24-000058	176680	0000831001	028-02427			CITIGROUP INC
0000072971-24-000134	176202	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0000950123-24-004314	176525		28-1235		001-09718	The PNC Financial Services Group, Inc.
0000072971-24-000133	176109	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0000950123-24-004313	176517		28-1235		001-09718	The PNC Financial Services Group, Inc.
0000950123-24-004312	176449		28-1235		001-09718	The PNC Financial Services Group, Inc.
0000831001-24-000057	176079	0000831001	028-02427			CITIGROUP INC
0000950123-24-004310	176314		28-1235		001-09718	The PNC Financial Services Group, Inc.
0000831001-24-000056	176112	0000831001	028-02427			CITIGROUP INC
0000831001-24-000055	176289	0000831001	028-02427			CITIGROUP INC
0000831001-24-000054	176174	0000831001	028-02427			CITIGROUP INC
0001438311-24-000002	176141	0001447946	028-13237			CQS (US), LLC
0001844952-24-000007	176333	0000891478	028-04177		001-12518	Banco Santander, S.A.
0000950123-24-004283	176022		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004286	176450		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004284	176203		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004287	176297		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004280	176140		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004285	176281		028-17489	000281225	801-106590	Coronation Investment Management
0000950123-24-004285	176282		028-13566			Mitsubishi UFJ Asset Management Co., Ltd.
0000950123-24-004285	176283		028-18096			Mitsubishi UFJ Asset Management (UK) Ltd.
0000950123-24-004285	176284		028-00290			NORTHERN TRUST CORP
0000950123-24-004285	176285		028-17598	000105734	801-17141	RUSSELL INVESTMENT GROUP LTD
0000950123-24-004285	176286		028-14770			WESTPAC BANKING CORP
0000950123-24-004285	176287		028-21707	000159461	801-72926	Sonen Capital LLC
0000950123-24-004285	176268		028-04395	000110296	801-21051	BAILLIE GIFFORD OVERSEAS LTD
0000950123-24-004285	176269		028-13997	000110181	801-38826	BROWN ADVISORY INC
0000950123-24-004285	176270		028-03697	000112379	801-13549	SOUND SHORE MANAGEMENT INC
0000950123-24-004285	176271		028-04701			ABERDEEN ASSET MANAGEMENT PLC/UK
0000950123-24-004285	176272		028-19504	000299607	801-114563	Levin Easterly Partners LLC
0000950123-24-004285	176273		028-02405	000106266	801-27721	COHEN & STEERS CAPITAL MANAGEMENT INC
0000950123-24-004285	176274		028-14100	000151480	801-70661	Sanders Capital, LLC
0000950123-24-004285	176275		028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0000950123-24-004285	176276		028-15414	000162793	802-75384	AMP Capital Investors Ltd
0000950123-24-004285	176277		028-16230	000170064	801-79255	Jackson Square Partners, LLC
0000950123-24-004285	176278		028-11022	000124509	801-62020	Aberdeen Asset Management Asia Limited
0000950123-24-004285	176279		028-03743	000132391	801-63397	Marathon Asset Management
0000950123-24-004285	176280		028-05734	000137610	801-64820	Sands Capital Management, LLC
0000950123-24-004281	176148		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004282	176524		028-13564	000296868	801-113352	Mitsubishi UFJ Trust & Banking Corp
0000950123-24-004275	176590		28-14097			Singapore Technologies Telemedia Pte Ltd
0001698287-24-000006	176447	0000891478	028-04177		001-12518	Banco Santander, S.A.
0000950123-24-004273	176107		28-14097			Singapore Technologies Telemedia Pte Ltd
0001739361-24-000007	176534	0000891478	028-04177		001-12518	Banco Santander, S.A.
0001697453-24-000006	176508	0000891478	028-04177		001-12518	Banco Santander, S.A.
0000009015-24-000012	176082	0000009015	028-00060	000106006	801-241	BARINGS LLC
0001171843-24-002734	176434	0001215838	028-13273	000306863	801-121221	JUPITER ASSET MANAGEMENT LTD
0001171843-24-002733	176233		028-20310	000305093	801-119089	NZS Capital, LLC
0000009015-24-000011	176581	0000009015	028-00060	000106006	801-241	BARINGS LLC
0001697263-24-000005	176060	0000891478	028-04177		001-12518	Banco Santander, S.A.
0001104659-24-059524	176198	0001872738	028-21833	000312387	801-121530	CenterBook Partners LP
0001104659-24-059524	176199	0001626220	028-17931	000169840	801-80782	Greenhouse Funds LLLP
0000850401-24-000014	176204	0000850401	028-02494			TCW GROUP INC
0000850401-24-000016	176154	0000850401	028-02494			TCW GROUP INC
0000850401-24-000016	176155	0001125816	028-06487			FIRST TRUST ADVISORS LP
0000850401-24-000017	176672	0000850401	028-02494			TCW GROUP INC
0001104659-24-059555	176514	0000934999	028-03691			DF DENT & CO INC
0001104659-24-059524	176197	0001592413	028-19492	000169007	801-114124	Strategy Capital LLC
