ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001398344-20-025283	0	213	215807	
0000950159-20-000284	1	105	4106900	
0001398344-20-025268	0	225	194450	
0001398344-20-025258	0	289	210505	
0001398344-20-025256	0	203	214247	
0001548468-20-000005	0	0	0	N
0001548468-20-000004	0	0	0	N
0001834802-20-000003	0	179	377019	N
0000905729-20-000281	0	36	14522	
0000905729-20-000280	0	24	9813	
0000905729-20-000279	0	22	9143	
0000905729-20-000278	0	33	11297	
0000905729-20-000277	0	24	7302	
0000905729-20-000276	0	20	6050	
0000905729-20-000275	0	23	6719	
0000905729-20-000274	0	27	8302	
0000905729-20-000273	0	27	9033	
0000905729-20-000272	0	24	9100	
0000905729-20-000271	0	22	6836	
0000905729-20-000270	0	32	11351	
0001834802-20-000002	0	181	359072	N
0000905729-20-000269	0	32	10359	
0000905729-20-000268	0	34	11136	
0001802437-20-000006	0	14	27742	N
0000905729-20-000267	0	32	10602	
0000905729-20-000266	0	31	10432	
0001398344-20-024957	0	2	2080	
0000905729-20-000265	0	33	10265	
0000905729-20-000264	0	30	9175	
0000905729-20-000263	0	27	8240	
0000905729-20-000262	0	25	7314	
0000905729-20-000261	0	16	4249	
0000905729-20-000260	0	5	1977	
0000905729-20-000259	0	18	4654	
0001085146-20-003101	0	75	171592	N
0000928052-20-000004	0	1049	3247033	N
0000950142-20-002829	0	28	928405	
0001580642-20-004543	0	442	1025797	
0001803988-20-000004	0	49	197189	N
0001834802-20-000001	0	156	294489	N
0000905729-20-000258	0	5	1191	
0000905729-20-000257	0	17	4323	
0000905729-20-000256	0	8	1941	
0000905729-20-000255	0	6	1453	
0000905729-20-000254	0	4	1714	
0001172661-20-002373	0	472	33281	
0001172661-20-002372	0	865	1090947	
0001082461-20-000010	0	168	910115	N
0001471085-20-000011	0	13	567858	N
0001085146-20-003097	0	64	83975	N
0001085146-20-003096	0	64	79675	N
0000919574-20-007505	0	37	486914	
0000919574-20-007503	0	93	1302218	
0001592613-20-000005	0	267	343058	N
0000940445-20-000010	1	499	1613929	N
0001580642-20-004488	0	90	153424	
0000820478-20-000027	0	2187	23880512	N
0001082461-20-000006	0	175	1002940	N
0000051812-20-000007	0	154	216649	N
0001783139-20-000007	0	76	553782	N
0001286478-20-000006	0	271	572802	Y
0001457716-20-000038	3	981	583010	N
0001172661-20-002371	0	6	3786	
0001172661-20-002370	0	88	316274	
0001172661-20-002369	0	7	10788	
0001172661-20-002368	0	87	303289	
0001172661-20-002367	0	2	1109	
0001172661-20-002366	0	84	273971	
0001172661-20-002365	0	3	1734	
0001172661-20-002364	0	3	1765	
0001172661-20-002363	0	88	291458	
0001697274-20-000007	0	587	212984	N
0000853758-20-000005	0	1244	6647421	N
0001080171-20-000010	0	190	2426460	N
0001579668-20-000005	0	2123	477011	N
0001567619-20-020817	0	219	7733527	N
0001606587-20-001279	0	57	166424	N
0001606587-20-001278	0	65	126398	N
0001764968-20-000005	0	95	170548	N
0001609251-20-000008	0	11	314096	N
0001567619-20-020747	0	48	794689	N
0001567619-20-020737	1	331	1389587	N
0001567619-20-020736	1	226	1069672	N
0001567619-20-020735	1	161	706853	N
0001628280-20-017169	1	67	2502562	N
0000919574-20-007447	0	103	1597982	
0001062993-20-006122	0	9	158017	N
0001062993-20-006120	0	9	147882	N
0001449434-20-000025	2	77	12256226	N
0001449434-20-000024	2	56	9208804	N
0001449434-20-000023	2	70	7579039	N
0000950123-20-012501	0	8	4359220	N
0001085146-20-003082	0	162	152580	N
0001041062-20-000152	9	4513	34534035	N
0000930413-20-002608	3	1270	31424916	
0001085146-20-003080	0	42	126396	N
0001055544-20-000004	0	111	689253	Y
0000051762-20-000007	0	138	1410049	N
0001830817-20-000004	0	182	132594	N
0001104659-20-131684	0	104	148472	
0001104659-20-131639	0	1171	5843971	
0001834210-20-000001	0	12	329602	N
0000714142-20-000004	21	2334	8820647	N
0001731191-20-000012	0	10	486950	N
0001628280-20-016951	1	66	2677788	N
0001802635-20-000003	0	41	127298	N
0001606587-20-001275	2	1157	1715703	N
0000919574-20-007385	0	36	155527	
