ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001606587-20-001279	21817	0001697110	028-17692			GenTrust, LLC
0001606587-20-001278	32011	0001697110	028-17692			GenTrust, LLC
0001041062-20-000152	25015		028-10640			Towle & Co
0001041062-20-000152	25016		028-07292			Voya Investment Management Co. LLC
0001041062-20-000152	25017		028-07104			WCM Investment Management
0001041062-20-000152	24953		028-05990			Acadian Asset Management LLC
0001041062-20-000152	24954		028-10562			AllianceBernstein L.P.
0001041062-20-000152	24955		028-04895			Analytic Investors, LLC
0001041062-20-000152	24956		028-10120			AQR Capital Management, LLC
0001041062-20-000152	24957		028-13791			ArrowMark Partners
0001041062-20-000152	24958		028-05615			Axiom International Investors LLC
0001041062-20-000152	24959		028-18146			Benefit Street Partners LLC
0001041062-20-000152	24960		028-02951			Beutel, Goodman & Company Ltd.
0001041062-20-000152	24961		028-12016			BlackRock Investment Management, LLC
0001041062-20-000152	24962		028-02204			Brandywine Global Investment Management, LLC
0001041062-20-000152	24963		028-12820			Brigade Capital Management, LP
0001041062-20-000152	24964		028-04549			Cardinal Capital Management, L.L.C.
0001041062-20-000152	24965		028-11728			Causeway Capital Management LLC
0001041062-20-000152	24966		028-18741			CenterSquare Investment Management LLC
0001041062-20-000152	24967		028-18745			Ceredex Value Advisors LLC
0001041062-20-000152	24968		028-05392			City National Rochdale, LLC
0001041062-20-000152	24969		028-11563			Coho Partners, Ltd.
0001041062-20-000152	24970		028-14668			Copeland Capital Management, LLC
0001041062-20-000152	24971		028-05269			EARNEST Partners, LLC
0001041062-20-000152	24972		028-10492			Falcon Point Capital, LLC
0001041062-20-000152	24973		028-14036			Fiera Capital Corporation
0001041062-20-000152	24974		028-18845			Fondsmaeglerselskabet Maj Invest A/S
0001041062-20-000152	24975		028-03935			Geneva Capital Management, LLC
0001041062-20-000152	24976		028-05229			Great Lakes Advisors, LLC
0001041062-20-000152	24977		028-04145			GW&K Investment Management, LLC
0001041062-20-000152	24978		028-11957			Hillsdale Investment Management Inc.
0001041062-20-000152	24979		028-13710			IndexIQ Advisors LLC
0001041062-20-000152	24980		028-04211			INTECH Investment Management LLC
0001041062-20-000152	24981		028-11119			Integrity Asset Management
0001041062-20-000152	24982		028-11246			Invesco Advisers, Inc.
0001041062-20-000152	24983		028-11937			J.P. Morgan Investment Management Inc.
0001041062-20-000152	24984		028-00074			Jennison Associates, LLC
0001041062-20-000152	24985		028-14777			JO Hambro Capital Management Limited
0001041062-20-000152	24986		028-17689			Kettle Hill Capital Management, LLC
0001041062-20-000152	24987		028-06588			Lazard Asset Management LLC
0001041062-20-000152	24988		028-13608			LMCG Investments, LLC
