ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001006378-21-000011	1	0	0	
0001062993-21-013649	0	17	217806	N
0001062993-21-013647	0	17	220711	N
0001062993-21-013645	0	17	209842	N
0001062993-21-013643	0	17	196595	N
0000919574-21-007570	0	1	171673	
0000919574-21-007569	0	1	23996	
0001393825-21-000105	1	991	7374195	
0001172661-21-002441	0	40	1791545	
0001172661-21-002440	0	72	44458	
0001172661-21-002439	0	34	1560118	
0001172661-21-002438	0	40	33596	
0001172661-21-002437	0	15	1564455	
0001172661-21-002436	0	21	21785	
0001800217-21-000003	0	432	746093	N
0001800217-21-000002	0	500	655860	N
0001800217-21-000001	0	144	178569	N
0001567619-21-022527	0	305	1732176	N
0000902664-21-005391	0	1	29323	
0001085146-21-003442	0	150	434161	N
0001059057-21-000006	0	67	145811	N
0001894203-21-000003	0	24	475711	
0000948046-21-000195	16	22632	197754787	
0000918504-21-000008	0	107	260966	N
0001505817-21-000034	3	1	7925	N
0001894203-21-000001	0	23	459027	N
0001085146-21-003436	4	1689	14550672	N
0001693750-21-000005	0	625	582765	Y
0001054522-21-000005	0	0	0	N
0001054522-21-000004	0	0	0	N
0001628280-21-025139	1	69	2584656	N
0001628280-21-025138	1	65	2498440	N
0001628280-21-025136	1	65	2498440	N
0001628280-21-025135	1	63	2521639	N
0001628280-21-025134	1	64	2036479	N
0001628280-21-025133	1	65	2308307	N
0001376474-21-000456	0	17	129983	N
0001376474-21-000455	0	18	132746	N
0000949509-21-000024	2	2	32652	
0000861177-21-000013	0	16	5308	
0001166716-21-000010	0	265	449593	
0001898296-21-000001	0	80	250160	N
0001849683-21-000004	0	131	236497	N
0001633288-21-000005	0	94	527673	N
0001725547-21-000112	0	169	421329	N
0001133219-21-000007	0	32	260440	N
0001536799-21-000005	0	88	8253	N
0001894206-21-000001	0	18	161185	N
0001580642-21-005768	0	472	1421078	
0001767217-21-000004	0	17	182942	N
0001085146-21-003425	0	885	1591492	N
0001172661-21-002424	0	476	4465058	
0001785498-21-000005	0	179	233243	
0001879371-21-000003	0	324	772803	N
0001085146-21-003424	0	95	215245	N
0001085146-21-003423	0	99	2112580	N
0001789082-21-000013	0	25	1833803	N
0001789082-21-000012	0	25	1924933	N
0001789082-21-000011	0	24	3301812	N
0001789082-21-000010	0	20	2678734	N
0001789082-21-000009	0	21	1885662	N
0001789082-21-000008	0	22	1019543	N
0001789082-21-000007	0	16	490655	N
0001789082-21-000006	0	14	494776	N
0001315863-21-000959	0	2	232135	N
0000903783-21-000006	0	394	370405	N
0001104366-21-000008	0	89	857183	N
0001541596-21-000004	0	138	188990	N
0001822731-21-000004	0	58	175075	N
0001178913-21-003783	2	417	580279	
0001606587-21-001661	0	118	418235	N
0001221073-21-000125	0	116	209748	
0001012975-21-000492	0	139	6884438	N
0001791965-21-000005	1	973	2110488	N
0001691919-21-000013	0	76	414166	N
0001691919-21-000011	0	62	355725	N
0001735513-21-000004	0	176	583422	N
0001580642-21-005644	0	131	247296	
0001600746-21-000005	0	51	368120	N
0001085146-21-003422	0	136	388082	N
0001573311-21-000005	0	254	1079886	N
0001449434-21-000013	2	167	20215396	N
0001628280-21-024299	0	70	2740035	N
0000891092-21-007504	0	238	2497962000	
0000950123-21-015974	0	1873	24012228	N
0001172661-21-002421	0	40	152167	
0001062993-21-011783	0	81	314878	N
0001172661-21-002420	0	44	142714	
0001172661-21-002419	0	40	125561	
0000928052-21-000004	0	1111	4107792	N
0001894921-21-000003	0	16	109390	N
0001172661-21-002418	0	40	100233	
0001172661-21-002417	0	40	92115	
0001172661-21-002416	0	38	76908	
0001606587-21-001658	0	25	243139	N
0001895362-21-000002	0	220	2754051	N
0001536262-21-000005	0	23	409592	N
0001694883-21-000008	0	2216	564230	N
0000950123-21-015874	1	3	1105132	N
0001580642-21-005559	16	1192	755244	
0001085146-21-003421	0	61	217780	N
0001437749-21-027350	4	209	236964	N
0001085146-21-003419	0	303	423215	N
0001085146-21-003418	0	290	389167	N
0001085146-21-003420	0	299	425996	N
0001074272-21-000008	0	414	2651079	
0001765893-21-000004	0	0	0	N
0001697478-21-000006	0	270	163676	N
0001767724-21-000007	0	69	216540	
0001398344-21-021955	0	528	3646777	
0000936938-21-000004	0	130	154601	N
0001801142-21-000005	0	204	39891	N
0000938582-21-000006	0	12	844989	N
0001567619-21-020941	0	71	2874475	N
0001802490-21-000006	0	97	89248	
0001544204-21-000008	0	229	7226664	N
0000950123-21-015791	2	3384	14977	N
0001104659-21-141992	2	3129	18759401	
0001062993-21-011251	4	36	636305	N
0001580642-21-005524	5	64	171019	
0001062993-21-011214	0	44	387293	N
0001845688-21-000002	0	199	729824	N
0000092230-21-000085	4	7901	52285806	N
0001511739-21-000005	0	127	482694	N
0001172661-21-002413	0	43	101935	
0001172661-21-002412	1	35	9207721	
0001390777-21-000109	25	26735	512341430	N
0001602476-21-000004	0	101	254917	N
0001606587-21-001647	2	55	186070	N
0001398344-21-021839	0	407	167791	
0001105863-21-000006	0	166	591059	N
0001505791-21-000004	0	40	38780	N
0001013234-21-000004	0	79	156680	N
0001437749-21-027041	55	453	487982	N
0001674623-21-000006	0	517	1144652	N
0001674623-21-000005	0	465	1126492	N
0001632253-21-000005	0	60	2070249	N
0001085146-21-003415	0	88	153022	N
0001420506-21-001739	1	362	371235	N
0001398344-21-021729	0	62	243544	
0001608046-21-000007	0	505	52516705	N
0001616328-21-000004	0	278	967230	N
0001800228-21-000004	0	1	42351	N
0001172661-21-002411	0	1235	1590882	
0001803557-21-000005	0	511	411257	N
0001214659-21-011965	0	105	234046	
0001811805-21-000007	0	120	166298	
0001567619-21-020655	0	3	553985	N
0001567619-21-020654	0	3	643160	N
0000849854-21-000007	1	73	192385	N
0001012975-21-000478	0	14	1921787	N
0001012975-21-000477	0	14	2660582	N
0001793399-21-000013	0	63	136618	N
0001310929-21-000016	0	110	1750180	
0001172661-21-002409	0	3	94302	
0001062993-21-011040	0	1	86487	N
0001062993-21-011038	0	1	20121	N
0001805250-21-000002	0	506	153882	N
0001733456-21-000004	0	40	129279	N
0001774207-21-000006	0	93	212058	N
0001062993-21-011009	0	122	143650	N
0001062993-21-010998	0	93	122300	N
0001420506-21-001737	0	124	381251	N
0001831263-21-000008	0	155	191847	N
0001584686-21-000004	0	489	947834	N
0001537783-21-000004	0	504	2125725	N
0001104659-21-140378	2	61	3066008	N
0001803386-21-000005	0	891	150536	N
0001172661-21-002407	0	203	3736372	
0000902664-21-005016	0	36	1740188	
0001894044-21-000001	0	53	127218	N
0001468395-21-000006	0	20	240218	
0000950123-21-015686	0	2417	6160740	N
0001213900-21-060186	0	16	132127	
0001805754-21-000004	0	30	142440	N
0001666606-21-000009	0	332	788526	N
0001795626-21-000003	0	0	0	N
0001548916-21-000005	0	462	2046682	N
0001837241-21-000008	0	4	217018	N
0001080628-21-000008	0	821	5216109	
0001795626-21-000001	0	4	217018	N
0001795626-21-000002	0	4	217018	N
0001837241-21-000009	0	0	0	N
0001214659-21-011911	0	162	4210664	
0000092230-21-000084	4	7978	44480100	N
0001172661-21-002406	0	106	5935377	
0001131181-21-000005	0	113	368861	N
0001104659-21-140005	0	131	47422378	
0001398344-21-021671	0	63	285102	
0001580642-21-005484	21	1568	3143706	
0001104659-21-139970	0	7	354667	
0001768089-21-000004	0	159	267343	N
0001437749-21-026870	0	486	316013	N
0000092230-21-000083	4	8420	49217625	N
0001754960-21-000217	0	1	11476	N
0000949509-21-000023	2	1	60473	
0001445893-21-000008	0	163	3148348	N
0001445893-21-000007	0	122	2951220	N
0000950123-21-015677	0	3	209796	N
0001567619-21-020567	0	8	1490	N
0001085146-21-003413	0	14	234422	N
0000950123-21-015675	1	9	100153	N
0001445893-21-000006	0	101	3388966	N
0001356783-21-000014	0	206	790945	N
0001862427-21-000002	0	51	170507	N
0001567619-21-020557	2	25	1139968	N
0001372130-21-000005	0	225	527355	N
0001085146-21-003412	0	1794	6289006	N
0001085146-21-003411	0	1408	5136405	N
0001085146-21-003410	0	1957	7388932	N
0000909012-21-000151	0	484	350701562	N
0001166588-21-000009	2	9537	70358355	N
0001849614-21-000006	0	365	383466	N
0001606587-21-001639	0	97	112139	N
0001853322-21-000008	0	1379	281894	N
0001567619-21-020552	0	4	1001131	N
0001764970-21-000004	0	336	169306	N
0001606587-21-001638	4	214	507093	N
0001398344-21-021661	0	528	3646777	
0001730765-21-000005	0	189	213570	N
0001166620-21-000005	0	119	465528	N
0001580642-21-005482	0	112	418983	
0001085146-21-003409	14	782	5536112	
0001567619-21-020542	0	1	8739	N
0001701879-21-000004	0	27	5445991	N
0001731509-21-000008	1	11	32251452	N
0001085146-21-003407	0	226	329671	N
0001085146-21-003406	8	2211	228656071	
0001085146-21-003403	0	0	0	N
0001633037-21-000004	0	543	1055298887	N
0001085146-21-003401	0	986	7395533	N
0001085146-21-003400	0	52	249885	N
0001877093-21-000003	0	75	148094	N
0001683689-21-000005	0	14	251938	N
0001849055-21-000007	0	125	143230	N
0001178913-21-003607	2	417	580279	
0001768302-21-000005	0	137	390187	N
0001815217-21-000004	0	59	234572	N
0001172661-21-002405	0	43	1305712	
0001740842-21-000004	0	65	53078	N
0001054257-21-000005	0	498	210253	N
0001666606-21-000007	0	332	788526	N
0000950123-21-015661	2	8	1126381	N
0001606587-21-001635	0	95	1477336	N
0001567619-21-020530	0	19	1950858	N
0001616525-21-000007	1	802	3378654	N
0001775863-21-000019	0	209	788232	N
0001104659-21-139709	0	1195	379430	
0001837984-21-000005	0	74	129005	N
0001606587-21-001633	0	359	603991	N
0001666606-21-000005	0	332	788526	N
0001178913-21-003587	2	147	812197	
0000950123-21-015655	0	61	1348416	N
0001178913-21-003573	4	668	9502677	
0001167376-21-000031	2	147	120134	N
