ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001019056-20-000392	17861	0001103882	028-05431			Paloma Partners Management Co
0001172661-20-001432	91830	0001627608	028-16854			Monashee Investment Management LLC
0000093751-20-000884	31571	0000093751	028-00399			STATE STREET CORP
0000093751-20-000881	32344	0000093751	028-00399			STATE STREET CORP
0000093751-20-000879	95740	0000093751	028-00399			STATE STREET CORP
0000093751-20-000877	111971	0000093751	028-00399			STATE STREET CORP
0000093751-20-000874	31736	0000093751	028-00399			STATE STREET CORP
0000093751-20-000872	47333	0000093751	028-00399			STATE STREET CORP
0000093751-20-000870	15855	0000093751	028-00399			STATE STREET CORP
0000093751-20-000868	62645	0000093751	028-00399			STATE STREET CORP
0000093751-20-000866	15988	0000093751	028-00399			STATE STREET CORP
0000093751-20-000864	18309	0000093751	028-00399			STATE STREET CORP
0000093751-20-000862	16344	0000093751	028-00399			STATE STREET CORP
0001085146-20-001663	36765	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001085146-20-001663	36766	0001105467	028-05505			SAWGRASS ASSET MANAGEMENT LLC
0001172661-20-001426	24775	0001390777	028-12592			Bank of New York Mellon Corp
0001508097-20-000004	23314		028-01190			Frank Russell Company
0001650290-20-000004	26069	0001086318	028-04211			INTECH INVESTMENT MANAGEMENT LLC
0001650290-20-000004	26068	0001426459	028-12736			BlackRock Internationl, Ltd.
0001651960-20-000003	27222		028-10665			London Co of Virginia
0001651960-20-000003	27224		028-15134			Broad Run Investment Management, LLC
0001651960-20-000003	27223		028-14071			St. James Investment Company, LLC
0001085146-20-001645	58616	0001145263	028-06683			TCW INVESTMENT MANAGEMENT Co LLC
0001085146-20-001645	58617	0001259887	028-10665			LONDON CO OF VIRGINIA
0001085146-20-001645	58618	0001092351	028-05601			THOMAS WHITE INTERNATIONAL LTD
0001085146-20-001645	58619	0001008322	028-04041			THOMPSON SIEGEL & WALMSLEY LLC
0001085146-20-001645	58620	0001145020	028-06605			THORNBURG INVESTMENT MANAGEMENT INC
0001085146-20-001645	58621	0001071483	028-04171			TODD ASSET MANAGEMENT LLC
0001085146-20-001645	58622	0000877035	028-02924			TURNER INVESTMENTS LLC
0001085146-20-001645	58623	0000102909	028-06408			VANGUARD GROUP INC
0001085146-20-001645	58535	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001085146-20-001645	58536	0001493338	028-13991			Allianz Global Investors U.S. LLC
0001085146-20-001645	58537	0001508822	028-14059			ACR Alpine Capital Research, LLC
0001085146-20-001645	58538	0001093589	028-05119			ALTA CAPITAL MANAGEMENT LLC/
0001085146-20-001645	58539	0001369702	028-11962			AMI ASSET MANAGEMENT CORP
0001085146-20-001645	58540	0000813933	028-01880			ANCHOR CAPITAL ADVISORS LLC
0001085146-20-001645	58541	0001364615	028-11964			Aperio Group, LLC
0001085146-20-001645	58542	0000860644	028-02634			Aristotle Capital Management, LLC
0001085146-20-001645	58543	0001398103	028-12481			Ashfield Capital Partners, LLC
0001085146-20-001645	58544	0000700529	028-01162			ATALANTA SOSNOFF CAPITAL, LLC
0001085146-20-001645	58545	0001027817	028-05936			ATLANTA CAPITAL MANAGEMENT CO L L C
0001085146-20-001645	58546	0000872259	028-02825			BAHL & GAYNOR INC
0001085146-20-001645	58547	0001305227	028-12016			BlackRock Investment Management, LLC
0001085146-20-001645	58548	0001015079	028-05620			BRANDES INVESTMENT PARTNERS, LP
0001085146-20-001645	58549	0001512978	028-14438			Brookmont Capital Management
0001085146-20-001645	58550	0001345929	028-13997			BROWN ADVISORY INC
0001085146-20-001645	58551	0000823621	028-01398			CAMBIAR INVESTORS LLC
0001085146-20-001645	58552	0000874791	028-02903			CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001085146-20-001645	58553	0001596076	028-15733			Capital Innovations LLC
0001085146-20-001645	58554	0000897378	028-03434			CONGRESS ASSET MANAGEMENT CO /MA
0001085146-20-001645	58555	0001427514	028-13023			Dana Investment Advisors, Inc.
0001085146-20-001645	58556	0001036325	028-04121			DAVIS SELECTED ADVISERS
0001085146-20-001645	58557	0000727770	028-05267			MACQUARIE INVESTMENT MANAGEMENT BUSINESS TRUST
0001085146-20-001645	58558	0001214639	028-10309			DSM CAPITAL PARTNERS LLC
0001085146-20-001645	58559	0000790502	028-01666			EAGLE ASSET MANAGEMENT INC
0001085146-20-001645	58560	0001102578	028-05269			EARNEST PARTNERS LLC
0001085146-20-001645	58624	0001040188	028-06354			VICTORY CAPITAL MANAGEMENT INC
0001085146-20-001645	58625	0001068837	028-07292			VOYA INVESTMENT MANAGEMENT LLC
0001085146-20-001645	58626	0000740913	028-01347			REAVES W H & CO INC
0001085146-20-001645	58627	0001600435	028-18951			Wakefield Asset Management LLLP
0001085146-20-001645	58628	0001061186	028-07104			WCM INVESTMENT MANAGEMENT, LLC
