ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001754960-24-000464	184302	0001761755	028-19141	000288576	801-110591	TOWNSQUARE CAPITAL LLC
0002023101-24-000003	184277	0001563660	028-21533			Desjardins Global Asset Management Inc.
0002035675-24-000003	184281	0001542266	028-14862	000150632	801-70383	Granite Investment Partners, LLC
0002035675-24-000003	184288	0001483964	028-13809	004183964	801-54909	LADENBURG THALMANN ASSET MANAGEMENT
0002035675-24-000003	184287	0001043187	028-14431	000023131	801-54859	OSAIC WEALTH, INC.
0002035675-24-000003	184286	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0002035675-24-000003	184285	0000108572	028-00825	000106302	801-51257	WRIGHT INVESTORS SERVICE INC
0002035675-24-000003	184284	0000881432	028-03019	000107177	801-39348	MERITAGE PORTFOLIO MANAGEMENT
0002035675-24-000003	184283	0001121330	028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0002035675-24-000003	184282	0001171592	028-10195	000108911	108-32487	HAHN CAPITAL MANAGEMENT LLC
0002035675-24-000003	184280	0001427514	028-13023	000105879	801-14828	Dana Investment Advisors, Inc.
0002035675-24-000003	184279	0001140771	028-10301	000110552	801-10883	DAVIDSON INVESTMENT ADVISORS
0002035675-24-000002	184270	0001171592	028-10195	000108911	108-32487	HAHN CAPITAL MANAGEMENT LLC
0002035675-24-000002	184271	0001121330	028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0002035675-24-000002	184272	0000881432	028-03019	000107177	801-39348	MERITAGE PORTFOLIO MANAGEMENT
0002035675-24-000002	184273	0000108572	028-00825	000106302	801-51257	WRIGHT INVESTORS SERVICE INC
0002035675-24-000002	184276	0001483964	028-13809	004183964	801-54909	LADENBURG THALMANN ASSET MANAGEMENT
0002035675-24-000002	184275	0001043187	028-14431	000023131	801-54859	OSAIC WEALTH, INC.
0002035675-24-000002	184268	0001427514	028-13023	000105879	801-14828	Dana Investment Advisors, Inc.
0002035675-24-000002	184269	0001542266	028-14862	000150632	801-70383	Granite Investment Partners, LLC
0002035675-24-000002	184267	0001140771	028-10301	000110552	801-10883	DAVIDSON INVESTMENT ADVISORS
0002035675-24-000002	184274	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0002035675-24-000001	184297	0001043187	028-14431	000023131	801-54859	OSAIC WEALTH, INC.
0002035675-24-000001	184295	0000108572	028-00825	000106302	801-51257	WRIGHT INVESTORS SERVICE INC
0002035675-24-000001	184294	0000881432	028-03019	000107177	801-39348	MERITAGE PORTFOLIO MANAGEMENT
0002035675-24-000001	184293	0001121330	028-05837	000108893	801-45536	LOGAN CAPITAL MANAGEMENT INC
0002035675-24-000001	184292	0001171592	028-10195	000108911	108-32487	HAHN CAPITAL MANAGEMENT LLC
0002035675-24-000001	184291	0001542266	028-14862	000150632	801-70383	Granite Investment Partners, LLC
0002035675-24-000001	184298	0001483964	028-13809	004183964	801-54909	LADENBURG THALMANN ASSET MANAGEMENT
0002035675-24-000001	184290	0001427514	028-13023	000105879	801-14828	Dana Investment Advisors, Inc.
0002035675-24-000001	184289	0001140771	028-10301	000110552	801-10883	DAVIDSON INVESTMENT ADVISORS
0002035675-24-000001	184296	0001086483	028-04587	000110897	801-40592	ZACKS INVESTMENT MANAGEMENT
0000950123-24-009019	184266		028-16262			Consolidated Press International Holdings Ltd
0000950123-24-009018	184300		028-16262			Consolidated Press International Holdings Ltd
0000950123-24-009017	184278		028-16262			Consolidated Press International Holdings Ltd
0000950123-24-009015	184265		028-16262			Consolidated Press International Holdings Ltd
0000950123-24-009013	184264		028-16262			Consolidated Press International Holdings Ltd
0000950123-24-009011	184299		028-16262			Consolidated Press International Holdings Ltd
0002035712-24-000001	184301	0001641864	028-16878	000130640	801-62943	Giverny Capital Inc.
