ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001390777-22-000118	142163	0000937729	028-10991			FAYEZ SAROFIM & CO
0001390777-22-000118	142162	0001725296	028-18741			CENTERSQUARE INVESTMENT MANAGEMENT LLC
0001390777-22-000118	142164	0001465109	028-13573			Neuberger Berman Group LLC
0001357643-22-000007	142141	0001357550				Weiss Asset Management LP
0001357643-22-000006	142140	0001357550				Weiss Asset Management LP
0001905128-22-000006	142136		028-04557			Wellington
0001905128-22-000006	142137		028-10622			Zevenbergen
0001905128-22-000006	142135		028-07104			WCM
0001905128-22-000006	142134		028-03459			Smith Group
0001905128-22-000006	142133		028-01185			Frontier
0001905128-22-000006	142132		028-02204			Brandywine
0001905128-22-000006	142131		028-01006			Barrow Hanley
0001905128-22-000006	142130		028-10562			AllianceBernstein
0001085146-22-004229	142144	0001386060	028-12484			Boston Partners
0001085146-22-004229	142145	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004228	142123	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004228	142122	0001386060	028-12484			Boston Partners
0001085146-22-004227	142142	0001386060	028-12484			Boston Partners
0001085146-22-004227	142143	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004226	142127	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004226	142126	0001386060	028-12484			Boston Partners
0001085146-22-004225	142139	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004225	142138	0001386060	028-12484			Boston Partners
0001085146-22-004224	142125	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004224	142124	0001386060	028-12484			Boston Partners
0001085146-22-004223	142129	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004223	142128	0001386060	028-12484			Boston Partners
0001085146-22-004222	142147	0001418427	028-12627			Robeco Schweiz AG
0001085146-22-004222	142146	0001386060	028-12484			Boston Partners
0001567619-22-020637	142088	0001128122	028-22699			VALLEY FINANCIAL MANAGEMENT, INC.
0001567619-22-020637	142087	0000924166	028-04334			HALLMARK CAPITAL MANAGEMENT INC
0001765681-22-000008	142101	0001928010	028-22508			Storm King Capital Partners, LLC
0001765681-22-000007	142096	0001928010	028-22508			Storm King Capital Partners, LLC
0001567619-22-020613	142109	0001684956	028-22607			GRAYHAWK INVESTMENT STRATEGIES INC.
0001567619-22-020613	142108	0001915565	028-22361			Wealthsimple Inc.
0001398344-22-022371	142086	0001695078	028-19635			Ambassador Advisors, LLC
0000950123-22-012501	142110		028-12863			Spinnaker Capital Limited
0001569638-22-000004	142085	0001730083	028-18427			M Financial Asset Management, Inc.
0000924166-22-000015	142100					Valley National Bank
0000924166-22-000013	142097					Valley National Bank
0000924166-22-000012	142094					Valley National Bank
0000950123-22-012480	142112		028-21340			Oaktree Fund Advisors, LLC
0000950123-22-012480	142111		028-05050			Oaktree Capital Management, L.P.
0001532155-22-000124	142083	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-22-000123	142102	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001140361-22-041696	142090	0001080818	028-04371			ENTRUST GLOBAL PARTNERS L L C
0001755765-22-000004	142107		028-00139			Ameriprise Financial Inc
0001755765-22-000004	142105		028-00126			Glenmede Trust Co
0001755765-22-000004	142106		028-11543			Advisors Capital Management
0001755765-22-000004	142104		028-18952			Resources Management Corp
0001755765-22-000004	142103		028-05602			Bradley, Foster & Sargent
0001085146-22-004144	142098	0001692234	028-17598			Russell Investments Group, Ltd.
0001085146-22-004144	142099	0000820027	028-00139			AMERIPRISE FINANCIAL INC
0000093751-22-000633	142114	0000093751	028-00399			STATE STREET CORP
0000093751-22-000632	142082	0000093751	028-00399			STATE STREET CORP
0000093751-22-000631	142084	0000093751	028-00399			STATE STREET CORP
0000093751-22-000630	142092	0000093751	028-00399			STATE STREET CORP
0000093751-22-000629	142093	0000093751	028-00399			STATE STREET CORP
0000093751-22-000628	142115	0000093751	028-00399			STATE STREET CORP
0000093751-22-000627	142089	0000093751	028-00399			STATE STREET CORP
0000093751-22-000626	142113	0000093751	028-00399			STATE STREET CORP
0000093751-22-000625	142095	0000093751	028-00399			STATE STREET CORP
0000093751-22-000624	142091	0000093751	028-00399			STATE STREET CORP
0001442676-22-000006	141029	0000720672	028-04621			STIFEL FINANCIAL CORP
0001725950-22-000004	140038	0000720672	028-04621			STIFEL FINANCIAL CORP
0001567619-22-020344	139633	0001163653				NOMURA HOLDINGS INC
0001567619-22-020343	140613	0001163653				NOMURA HOLDINGS INC
0001567619-22-020342	139964	0001163653				NOMURA HOLDINGS INC
0001567619-22-020341	141331	0001163653				NOMURA HOLDINGS INC
0001567619-22-020340	139792	0001163653				NOMURA HOLDINGS INC
0001541597-22-000004	140619	0001132597	028-17515			Itau Unibanco Holding S.A.
0001567619-22-020183	140353	0001652044	028-22702			Alphabet Inc.
0001567619-22-020288	140354	0001652044	028-22702			Alphabet Inc.
0001567619-22-020317	140362	0001652044	028-22702			Alphabet Inc.
0001595888-22-000028	140372	0001595888	028-16162			JANE STREET GROUP, LLC
0001567619-22-020285	140411	0001652044	028-22702			Alphabet Inc.
0001567619-22-020252	140421	0001652044	028-22702			Alphabet Inc.
0001567619-22-020179	141209	0001652044	028-22702			Alphabet Inc.
0001567619-22-020316	141023	0001652044	028-22702			Alphabet Inc.
0001567619-22-020284	141033	0001652044	028-22702			Alphabet Inc.
0001567619-22-020279	141045	0001652044	028-22702			Alphabet Inc.
0001567619-22-020286	141053	0001652044	028-22702			Alphabet Inc.
0001567619-22-020310	141070	0001652044	028-22702			Alphabet Inc.
0001567619-22-020236	141071	0001652044	028-22702			Alphabet Inc.
0001567619-22-020275	141077	0001652044	028-22702			Alphabet Inc.
0001567619-22-020246	141082	0001652044	028-22702			Alphabet Inc.
0001567619-22-020278	140274	0001652044	028-22702			Alphabet Inc.
0001567619-22-020320	140301	0001652044	028-22702			Alphabet Inc.
0001567619-22-020245	139709	0001652044	028-22702			Alphabet Inc.
0001567619-22-020307	139722	0001652044	028-22702			Alphabet Inc.
0001567619-22-020249	139752	0001652044	028-22702			Alphabet Inc.
0001648711-22-000011	140194		028-13577			Riverfront Investment Group, LLC
0001648711-22-000011	140195		028-17931			Greenhouse Funds LLLP
0001567619-22-020184	140204	0001652044	028-22702			Alphabet Inc.
0001595888-22-000026	140212	0001595888	028-16162			JANE STREET GROUP, LLC
0001567619-22-020253	140213	0001652044	028-22702			Alphabet Inc.
0001567619-22-020240	140982	0001652044	028-22702			Alphabet Inc.
0000872786-22-000008	141788	0001166588	028-10038			BNP PARIBAS ARBITRAGE, SNC
0001567619-22-020265	141789	0001652044	028-22702			Alphabet Inc.
0001567619-22-020296	141790	0001652044	028-22702			Alphabet Inc.
0001567619-22-020301	141809	0001652044	028-22702			Alphabet Inc.
0001298088-22-000025	141811	0001179157				CIBC Private Wealth Advisors, Inc.
0001298088-22-000025	141812	0001607902				CIBC National Trust Co
0001567619-22-020182	141838	0001652044	028-22702			Alphabet Inc.
