ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001954551-22-000008	0	122	134771	N
0001954551-22-000007	0	117	112136	N
0001954551-22-000006	0	110	103076	N
0001954551-22-000005	0	132	153423	N
0001954551-22-000004	0	108	136655	N
0001735057-22-000009	0	1651	255600	N
0001372130-22-000004	0	211	417400	N
0001951586-22-000005	9	1609	1108832	N
0001178913-22-004419	1	50	411295	
0001736648-22-000005	0	77	746782	N
0001567619-22-021940	0	54	41164287	N
0001567619-22-021939	0	38	43959679	N
0001398344-22-024851	0	52	725117	
0000919574-22-007144	1	23	425846	
0001062993-22-024243	0	50	1148010	N
0001062993-22-024245	0	44	1332469	N
0001062993-22-024249	0	42	1512421	N
0001062993-22-024251	0	44	1247718	N
0001398344-22-024613	1	172	94966	
0001754960-22-000322	0	47	93007	N
0001754960-22-000321	0	49	96076	N
0001754960-22-000320	0	52	113603	N
0001754960-22-000319	0	50	110433	N
0001008322-22-000013	2	8	48440	
0001754960-22-000318	0	36	33426	N
0001420506-22-002397	0	3	119051	N
0001802879-22-000001	0	78	164263	N
0001575239-22-000009	0	573	1156838	N
0001012975-22-000548	0	14	569100	N
0001012975-22-000547	0	16	2673586	N
0001062993-22-023727	0	8	18621	N
0001085146-22-004251	0	284	254523	N
0001420506-22-002394	0	390	154476	N
0001580642-22-006215	0	492	1369901	
0001420506-22-002384	0	179	895642	N
0001085146-22-004244	0	213	1234018	N
0000869772-22-000024	2	106	1064522	N
0001390777-22-000118	12	29	854176	
0001085146-22-004236	0	93	85572	N
0001420506-22-002374	0	35	357483463	N
0001009012-22-000013	0	186	1060792	N
0001810720-22-000006	0	157	624976	
0001652327-22-000010	0	18	418019	N
0000891943-22-000005	0	849	1025703	N
0001104659-22-124543	0	48	99114	
0001357550-22-000111	2	667	4069313	N
0001795594-22-000005	0	0	0	
0001398344-22-023959	0	342	4409405	
0000918504-22-000005	0	99	245241	N
0001398344-22-023925	0	191	139163	
0001567619-22-021141	5	2	954	N
0001567619-22-021139	5	2	853	N
0001567619-22-021137	5	3	955	N
0001567619-22-021135	5	3	937	N
0001905128-22-000006	8	513	1186206	N
0001602603-22-000007	0	178	339387	N
0001567619-22-021097	5	2	764	N
0001567619-22-021095	5	2	884	N
0001567619-22-021092	5	2	934	N
0001567619-22-021090	5	2	1000	N
0001085146-22-004229	2	936	30944986	N
0001085146-22-004228	2	925	32184533	N
0001085146-22-004227	2	924	42454243	N
0001085146-22-004226	2	915	46984806	N
0001085146-22-004225	2	917	45104540	N
0001085146-22-004224	2	948	45111924	N
0001085146-22-004223	2	946	40575421	N
0001085146-22-004222	2	932	38057184	N
0001085146-22-004221	5	1105	4043705	N
0001085146-22-004220	5	925	4397059	N
0001085146-22-004219	5	994	5131538	N
0001085146-22-004218	5	1005	5338578	N
0001085146-22-004217	5	1037	5684246	N
0001085146-22-004216	5	883	6069015	N
0001085146-22-004215	5	898	5632613	N
0001085146-22-004214	5	1035	5754306	N
0001085146-22-004213	5	866	3770660	N
0001085146-22-004212	5	868	3491954	N
0001085146-22-004211	0	59	105985	N
0001616328-22-000004	0	241	773502	N
0001602603-22-000006	0	175	381550	N
0001567619-22-021034	5	2	934	N
0001567619-22-021032	5	2	836	N
0001567619-22-021030	5	2	847	N
0001567619-22-021028	5	2	817	N
0001420506-22-002358	0	292	97582	N
0001172661-22-002606	1	77	1071105	
0001806820-22-000005	0	59	296147	N
0001049648-22-000005	0	55	126332	N
0001628280-22-030930	1	66	2632338	N
0001618205-22-000005	0	60	142011	N
0001493152-22-033569	0	38	202150	
0001493152-22-033565	0	45	206059	
0001493152-22-033563	0	41	193306	
0001493152-22-033561	0	43	169818	
0001493152-22-033557	0	50	169128	
0001493152-22-033549	0	62	149074	
0001493152-22-033547	0	58	129006	
0001493152-22-033544	0	53	93559	
0001493152-22-033538	0	57	107818	
0001908965-22-000007	0	215	115636	N
0001909178-22-000001	2	1285	2406458	N
0001606587-22-002373	0	132	171061	N
0001062993-22-022673	0	113	131753	N
0000905729-22-000234	0	80	160820	
0001867587-22-000005	0	175	583450	N
0001862864-22-000008	0	1300	162021	N
0001842785-22-000009	0	10	487023	N
0001909393-22-000009	0	58	279973	N
0001082509-22-000006	0	117	1177404	N
0001911266-22-000004	0	125	86983	N
0001745885-22-000009	0	679	184669	N
0001085146-22-004201	0	57	269972	N
0001802084-22-000004	0	903	368376	N
0001104659-22-121193	0	869	1315823	
0001754960-22-000317	0	208	2714120	N
0001567619-22-020756	5	2	779	N
0001567619-22-020754	5	2	921	N
0001567619-22-020752	6	2	981	N
0001567619-22-020750	6	2	1174	N
0001580642-22-005858	21	1950	3311218	
0001666606-22-000008	0	480	1288794	N
0001812902-22-000003	0	77	112578	N
0000714142-22-000003	24	3777	8532357	N
0001420506-22-002357	0	117	24520	N
0001731509-22-000012	0	10	1359622	N
0001420506-22-002355	0	237	100405	N
0001666788-22-000005	0	42	40519	N
0001172661-22-002605	0	3093	64688009	
0001085146-22-004197	0	19	551000	N
0001567619-22-020675	6	2	1219	N
0001580642-22-005854	0	293	319272	
0001567619-22-020673	6	2	1326	N
0001104659-22-120703	0	277	2267112	
0001567619-22-020667	6	2	1291	N
0001567619-22-020663	6	1	423	N
0001665337-22-000004	1	265	251678	N
0001727407-22-000005	0	87	73013	N
0001765380-22-000170	0	1553	676717	N
0001715635-22-000006	0	78	802319	N
0000831571-22-000006	0	527	1514166	Y
0001062993-22-022522	0	428	473025	N
0001085146-22-004196	0	70	181092	N
0001081019-22-000008	0	3100	59176536	N
0001732371-22-000003	0	29	11684	N
0001765681-22-000008	0	8	342270	N
0001765681-22-000007	0	11	740576	N
0001493152-22-032954	0	426	3401177	
0001765681-22-000006	0	9	805652	N
0001765681-22-000005	0	9	1272289	N
0001765681-22-000004	0	6	815253	N
0001765681-22-000003	0	5	481586	N
0001104659-22-120324	0	54	223563	
0001085146-22-004194	0	103	284165	N
0001085146-22-004193	0	69	88999	N
0001085146-22-004192	0	339	703635	N
0001085146-22-004191	0	348	828053	N
0001085146-22-004190	0	357	816269	N
0001085146-22-004189	0	343	751698	N
0001085146-22-004188	0	353	760505	N
0001085146-22-004187	0	356	713180	N
0001085146-22-004186	0	353	678645	N
0001085146-22-004185	0	339	587889	N
0001085146-22-004184	0	343	566849	N
0001085146-22-004183	0	346	485244	N
0001085146-22-004182	0	351	606671	N
0001085146-22-004181	0	368	606412	N
0001085146-22-004180	0	372	604172	N
0001085146-22-004179	0	363	579969	N
0001085146-22-004178	0	381	519709	N
0001085146-22-004177	0	401	596004	N
0001085146-22-004176	0	391	577274	N
0001085146-22-004175	0	389	570313	N
0001085146-22-004174	0	405	613374	N
0001085146-22-004173	0	406	598777	N
0001085146-22-004172	0	405	603344	N
0001085146-22-004171	0	396	597704	N
0001085146-22-004170	0	381	561910	N
0001085146-22-004169	0	386	537881	N
0001085146-22-004168	0	380	532699	N
0001085146-22-004167	0	388	533026	N
0001085146-22-004166	0	372	515072	N
0001085146-22-004165	0	399	530989	N
0001085146-22-004164	0	409	572692	N
0001085146-22-004163	0	422	568729	N
0001843019-22-000007	0	33	337056	N
0001567619-22-020613	1	166	429117	N
0001085146-22-004162	0	424	551642	N
0001085146-22-004161	0	419	519370	N
0001085146-22-004160	0	417	521662	N
0001085146-22-004159	0	419	517389	N
0001085146-22-004158	0	437	496196	N
0001085146-22-004157	0	437	466193	N
0001085146-22-004156	0	389	449043	N
0001085146-22-004155	0	392	449987	N
0001085146-22-004154	0	380	393417	N
0001632105-22-000006	0	262	257684	N
0001104659-22-120213	1	2	294846	
0001656150-22-000005	0	39	110868	N
0001781948-22-000004	0	4247	1817319	Y
0001764386-22-000005	0	280	251563	N
0001815123-22-000005	0	71	136417	N
0001809159-22-000001	0	100583	77	N
0001719203-22-000009	0	46	8636	N
0001021117-22-000005	0	126	459783	N
0001398344-22-022373	1	386	421869	
0001951586-22-000004	9	1637	1075855	N
0001486180-22-000010	0	172	521632	N
0001398344-22-022371	0	51	42753	
0001809187-22-000004	0	36	885606	N
0000074260-22-000074	0	63	3011639	N
