ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001941040-23-000239	0	77	364562735	
0001860698-23-000004	0	71	156729171	N
0001938514-23-000004	0	197	191922536	N
0001569638-23-000005	0	9	31035	N
0001938514-23-000003	0	197	173055777	N
0001569638-23-000004	1	207	484899	N
0001938514-23-000002	0	200	164513566	N
0001092838-23-000009	0	240	142383272	
0001092838-23-000008	0	240	142383272	N
0000950123-23-008602	8	690	26060794637	N
0000950123-23-008604	8	598	25343402059	N
0001994335-23-000015	0	258	291970013	N
0001994335-23-000014	0	180	278094259	N
0001994335-23-000013	0	197	272786865	N
0001994335-23-000012	0	217	252642601	N
0001994335-23-000011	0	317	256419231	N
0001994335-23-000010	0	224	271157879	N
0001994335-23-000009	0	250	233668914	N
0001994335-23-000008	0	262	215755693	N
0001994335-23-000007	0	246	212355321	N
0001994335-23-000006	0	250	206613990	N
0001994335-23-000005	0	204	192318714	N
0001994335-23-000004	0	205	169177295	N
0001085146-23-003539	0	0	0	N
0001085146-23-003538	0	0	0	N
0001085146-23-003537	0	0	0	N
0001085146-23-003536	5	1532	14432960711	
0001085146-23-003534	5	1610	11950525611	
0001085146-23-003533	5	1519	12038881631	
0001085146-23-003530	4	1506	15905805167	N
0001085146-23-003529	4	1597	17058172074	N
0001085146-23-003528	4	1677	13716843513	N
0001085146-23-003527	4	1618	15880161442	N
0001085146-23-003526	4	1591	11411017784	N
0001085146-23-003525	4	1530	12730304139	N
0001994335-23-000003	0	176	150843346	N
0001994335-23-000002	0	160	106244549	N
0001994335-23-000001	0	183	128334399	N
0001546408-23-000005	0	1062	1218775184	N
0000312069-23-000108	7	9442	157930705	N
0001317724-23-000006	0	92	4531769668	N
0001317724-23-000005	0	89	5001518315	N
0000918504-23-000003	0	102	238860247	N
0001085146-23-003521	0	106	117593500	N
0001085146-23-003520	0	104	112276148	N
0001085146-23-003519	0	104	108572662	N
0001085146-23-003518	0	105	99287613	N
0001085146-23-003517	0	100	104004223	N
0001085146-23-003516	0	106	121198840	N
0001085146-23-003515	0	101	123447659	N
0001085146-23-003514	0	106	113033516	N
0000936938-23-000004	0	81	136553986	N
0000936938-23-000003	0	83	150316617	N
0000936938-23-000002	0	79	142556608	N
0000936938-23-000001	0	79	124857349	N
0001062993-23-018098	0	1	0	N
0001062993-23-018100	0	1	0	N
0001546531-23-000012	1	1	951	
0001992748-23-000007	0	53	196986215	N
0001992748-23-000006	0	57	175683402	N
0001992748-23-000005	0	56	162589210	N
0001992748-23-000004	0	51	140457385	N
0001992748-23-000003	0	55	143910833	N
0001992748-23-000002	0	60	146134680	N
0001992748-23-000001	0	58	140551521	N
0001291318-23-000013	4	424	2007984117	N
0001291318-23-000014	4	449	1732629000	N
0001629996-23-000008	0	32	24791	N
0001172661-23-003254	0	85	255712049	
0001343916-23-000002	0	135	168319652	N
0001343916-23-000003	0	127	180171969	N
0001806820-23-000003	0	68	414277911	N
0001172661-23-003252	0	82	255935058	
0001172661-23-003251	0	83	225991200	
0001172661-23-003250	0	87	220706747	
0001992785-23-000001	0	359	153825234	N
0001992825-23-000003	0	2511	457701849	N
0001992825-23-000002	0	2364	341826698	N
0000902664-23-004727	0	299	3878568823	
0001172661-23-003249	0	156	154509189	
0001172661-23-003248	0	132	126305966	
0001172661-23-003247	0	136	106125657	
0001172661-23-003246	0	130	113591910	
0001172661-23-003245	0	102	98830433	
0001172661-23-003244	0	88	92696703	
0001398344-23-017978	0	229	132466571	
0001398344-23-017975	0	175	126784110	
0001698091-23-000003	0	112	178765765	N
0001839498-23-000006	0	78	233394273	N
0001839498-23-000005	0	72	214884730	N
0001992825-23-000001	0	2202	258113763	N
0001085146-23-003513	0	168	523694946	N
0001767435-23-000052	2	75	806963721	
0001767435-23-000051	2	82	718321402	
0001767435-23-000050	2	78	701583795	
0001767435-23-000049	2	82	638858947	
