FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
"AFT, FORSYTH & COMPANY, INC.",18,3848923.1666666665,9888626
AGF INVESTMENTS INC.,12,60066.916666666664,115229
AGF Investments LLC,11,6374.545454545455,15713
AGF MANAGEMENT LTD,9,79179563.22222222,158335307
"AGP FRANKLIN, LLC",1,3718532.0,3718532
"AHL INVESTMENT MANAGEMENT, INC.",13,4218924.615384615,7612890
AIFG Consultants Ltd.,9,460916.55555555556,599453
"AIGEN INVESTMENT MANAGEMENT, LP",5,5203.6,10600
"AIMZ Investment Advisors, LLC",21,6964985.571428572,21622290
"AIRE ADVISORS, LLC",13,19383501.384615384,45842162
"AJ Advisors, LLC",9,1630292.111111111,2343711
"AJ WEALTH STRATEGIES, LLC",15,1678259.2666666666,13733859
"AJO, LP",4,58810.75,67518
"AJOVista, LLC",3,2098127.3333333335,2315346
AKUNA SECURITIES LLC,7,22624898.57142857,112619758
ALBERT D MASON INC,21,209353.47619047618,1614923
ALBION FINANCIAL GROUP /UT,20,30691933.15,87941191
"ALETHEA CAPITAL MANAGEMENT, LLC",17,112644.70588235294,455974
"ALEXANDER LABRUNERIE & CO., INC.",4,23993961.75,26789403
ALGERT GLOBAL LLC,20,7416.6,34932
ALKEON CAPITAL MANAGEMENT LLC,21,8168857.047619048,75271953
"ALLEN WEALTH MANAGEMENT, LLC",5,2275282.8,2747859
ALLSTATE CORP,20,7451365.9,86512201
ALLSTATE INVESTMENT MANAGEMENT CO,1,86512201.0,86512201
"ALM First Financial Advisors, LLC",1,217865.0,217865
ALPHA WINDWARD LLC,6,354.1666666666667,972
"ALPHASIMPLEX GROUP, LLC",4,322.5,546
"ALPINE WOODS CAPITAL INVESTORS, LLC",21,4965731.095238095,36505998
ALTA CAPITAL MANAGEMENT LLC/,21,41281154.0,117181434
"ALTERNA WEALTH MANAGEMENT, INC",13,2669554.076923077,4879935
ALTFEST L J & CO INC,21,1262201.5714285714,26287731
AM INVESTMENT STRATEGIES LLC,19,58426.26315789474,84427
AM Squared Ltd,1,17148.0,17148
AMALGAMATED BANK,21,571805.1428571428,1472892
"AMARA FINANCIAL, LLC.",2,299345.5,310289
AMERICAN ASSET MANAGEMENT INC.,9,555806.6666666666,728722
AMERICAN FINANCIAL & TAX STRATEGIES INC,5,1194760.8,1290928
AMERICAN INTERNATIONAL GROUP INC,4,550947.0,683663
"AMERICAN INTERNATIONAL GROUP, INC.",13,289629917.7692308,869775252
AMERICAN NATIONAL BANK & TRUST CO /VA/,1,19822108.0,19822108
AMERICAN NATIONAL INSURANCE CO,8,119156.125,158053
AMERICAN NATIONAL INSURANCE CO /TX/,1,116536.0,116536
"AMERIFLEX GROUP, INC.",1,13384790.0,13384790
AMF Pensionsforsakring AB,4,111937.75,157042
AMF Tjanstepension AB,11,455401663.8181818,1575261934
AMG National Trust Bank,19,31626849.736842107,89420636
AMI ASSET MANAGEMENT CORP,21,43142678.52380952,133942838
AMI INVESTMENT MANAGEMENT INC,14,1639018.9285714286,4403300
AMICA MUTUAL INSURANCE CO,21,46516.90476190476,80926
AMJ Financial Wealth Management,21,519545.4285714286,1540198
AMP Capital Investors Ltd,1,6764.0,6764
AMS Capital Ltda,2,11363.5,11557
AMUNDI,1,336534.0,336534
"AMUNDI ASSET MANAGEMENT US, INC.",1,655310.0,655310
AMUNDI PIONEER ASSET MANAGEMENT INC,6,806456.3333333334,1496358
AMUSSEN HUNSAKER ASSOCIATES LLC,17,15573234.235294119,60574428
ANCHOR CAPITAL ADVISORS LLC,21,6223868.714285715,25444978
ANDERSON FISHER LLC,5,2511.6,3649
ANDERSON HOAGLAND & CO,21,12993517.333333334,35261541
"ANGELES WEALTH MANAGEMENT, LLC",12,15540654.083333334,32520042
"ANGLEPOINT ASSET MANAGEMENT, LTD.",2,22140.0,37516
"AO Asset Management, LP",2,29100.0,37881
APCM Wealth Management for Individuals,12,3319.25,6839
APPALOOSA LP,1,93105600.0,93105600
"APPLETON GROUP, LLC",3,134385.0,402098
APPLETON PARTNERS INC/MA,21,70567.0,90848
"APPLIED RESEARCH INVESTMENTS, LLC",9,4349.111111111111,8505
AR ASSET MANAGEMENT INC,21,43463.71428571428,63003
ARBOR CAPITAL MANAGEMENT INC /ADV,13,1675668.2307692308,2894451
"ARBOR TRUST WEALTH ADVISORS, LLC",21,3062249.476190476,9123302
ARCADIA INVESTMENT ADVISORS LLC,3,39735.333333333336,51984
ARCADIA INVESTMENT MANAGEMENT CORP/MI,21,10082496.523809524,30088801
ARDSLEY ADVISORY PARTNERS LP,6,2558391.1666666665,6103028
ARGENT CAPITAL MANAGEMENT LLC,21,57813693.0,165145932
"ARGI Investment Services, LLC",13,15131.461538461539,24840
