FILINGMANAGER_NAME,Quarter_Count,Average_Holdings_Per_Quarter,Max_Holdings_Single_Quarter
CULLEN CAPITAL MANAGEMENT LLC,1,689.0,689
"CULLEN CAPITAL MANAGEMENT, LLC",5,821.0,985
"CULLEN INVESTMENT GROUP, LTD.",5,46758677.4,53639368
CULLINAN ASSOCIATES INC,21,56168052.0952381,178102478
"CULTIVAR CAPITAL, INC.",5,361965.4,410259
CUMBERLAND ADVISORS INC,20,1670624.2,4879935
"CURA WEALTH ADVISORS, LLC",1,3649371.0,3649371
"CUSTOM INDEX SYSTEMS, LLC",5,8902872.4,10739011
CUTLER INVESTMENT COUNSEL LLC,21,2027963.5238095238,6008797
CV Advisors LLC,13,6973202.769230769,18064545
"CVA Family Office, LLC",21,4035689.761904762,13541126
CVFG LLC,1,7914003.0,7914003
"CWA Asset Management Group, LLC",20,35216259.1,131336736
"CWC Advisors, LLC.",1,5756793.0,5756793
"CWH Capital Management, Inc.",5,3552.8,4849
"CWM, LLC",23,222234.08695652173,546961
"CWS Financial Advisors, LLC",20,5398926.0,16386513
CX Institutional,21,11896184.761904761,44315715
CXI Advisors,1,68.0,68
"CYNOSURE MANAGEMENT, LLC",2,2819.5,3722
CYPRESS ASSET MANAGEMENT INC/TX,20,9006802.5,29493215
CYPRESS CAPITAL MANAGEMENT LLC,5,7654.6,9068
CYPRESS FINANCIAL PLANNING LLC,11,1225199.0,2280048
CYPRESS FUNDS LLC,21,16670750.952380951,60389068
"Cable Car Capital, LP",1,55092400.0,55092400
"Cable Hill Partners, LLC",21,5630289.0,19917986
"Cache Advisors, LLC",1,62338051.0,62338051
CacheTech Inc.,3,3009377.6666666665,3353889
Cadence Bank,13,21715820.769230768,42762101
Cadence Capital Management LLC,3,573.6666666666666,669
Cadence Wealth Management LLC,16,335493.5,765144
"Cadent Capital Advisors, LLC",17,3885392.6470588236,10282647
"Caerus Investment Advisors, LLC",13,2578707.6153846155,4290034
"Cahaba Wealth Management, Inc.",12,2603.0833333333335,4189
"Cahill Wealth Management, LLC",12,2737131.25,4782060
"Cairn Investment Group, Inc.",16,9182.875,13706
"Caitlin John, LLC",5,703336.6,896470
Calamos Advisors LLC,9,885279370.4444444,1079657914
Calamos Wealth Management LLC,9,116983821.66666667,153138930
"California Capital Advisors, Inc.",1,10579.0,10579
California Public Employees Retirement System,5,8228125941.4,9968030204
"Callan Capital, LLC",21,14150297.238095239,60595706
"Callan Family Office, LLC",9,14035601.222222222,76531357
"Calton & Associates, Inc.",12,13341.083333333334,30068
"Camarda Financial Advisors, LLC",20,1413277.65,5697147
"Cambria Investment Management, L.P.",9,2821.5555555555557,6290
Cambridge Advisors Inc.,21,3412094.3333333335,10085904
"Camden Capital, LLC",13,1797269.6923076923,23015147
"Camelot Portfolios, LLC",21,527816.619047619,2006541
Campbell & CO Investment Adviser LLC,12,992945.6666666666,4030259
Campbell Wealth Management,21,3222.3333333333335,5712
Campion Asset Management,15,2040639.6666666667,4611955
Campion Asset Management LLC,1,2337.0,2337
"Canal Capital Management, LLC",21,9652410.095238095,30946062
Canandaigua National Trust Co of Florida,2,3285166.0,3817903
Candlestick Capital Management LP,9,30557039.888888888,88805606
Candriam Luxembourg S.C.A.,11,332166.36363636365,537303
Candriam S.C.A.,11,571623968.7272727,888456877
Cannell & Co.,8,51209781.875,91978511
Cannell & Spears LLC,4,184688035.75,200285380
"Cannon Advisors, Inc.",2,6433463.5,6647052
"Cannon Financial Strategists, Inc.",16,734674.6875,2699413
"Cannon Global Investment Management, LLC",2,2641.5,3573
"Cannon Wealth Management Services, LLC",2,3448732.0,3581164
"Canopy Partners, LLC",5,10307929.4,14033022
"Canton Hathaway, LLC",21,5604.476190476191,8437
"Canvas Wealth Advisors, LLC",16,10347520.375,25572958
"CapWealth Advisors, LLC",21,11778203.666666666,38046943
Capasso Planning Partners LLC,13,5197605.384615385,11930366
"Capco Asset Management, LLC",21,3537.3333333333335,29640
"Cape Investment Advisory, Inc.",6,4083275.3333333335,5448117
"Capital A Wealth Management, LLC",1,1062477.0,1062477
"Capital Advantage, Inc.",21,4704703.476190476,12997286
"Capital Advisors Wealth Management, LLC",16,5201540.875,13258293
"Capital Advisors, Ltd. LLC",21,5327.238095238095,9976
"Capital Advisory Group Advisory Services, LLC",28,781417.0714285715,3735277
"Capital Analysts, LLC",5,10956.0,15293
Capital Asset Advisory Services LLC,20,12511487.7,36355256
"Capital CS Group, LLC",17,540602.2352941176,1659180
"Capital Financial Services, LLC",9,528851.7777777778,4708620
"Capital Group Private Client Services, Inc.",3,317334.6666666667,537184
"Capital Impact Advisors, LLC",9,124460.55555555556,1096089
"Capital Investment Advisors, LLC",19,34925033.94736842,111391111
"Capital Investment Advisory Services, LLC",21,13376096.0,35547825
"Capital Investment Counsel, Inc",21,45831462.61904762,136333555
"Capital Investment Counsel, LLC",5,13846246.4,18200943
"Capital Investment Services of America, Inc.",21,764879.1904761905,2192240
"Capital Management Associates, Inc",5,7710261.8,8916417
Capital Market Strategies LLC,13,8963501.076923076,16272864
"Capital Planning Advisors, LLC",21,8327326.142857143,24892589
Capital Planning LLC,17,2344299.1764705884,6835853
"Capital Square, LLC",21,1201683.0,3386096
"Capital Wealth Alliance, LLC",21,864389.0,2836692
"Capital Wealth Planning, LLC",21,83062396.66666667,396817853
"Capitol Family Office, Inc.",13,1741610.7692307692,3308549
Capitolis Advisors LLC,7,389501.5714285714,1230165
Capitolis Liquid Global Markets LLC,5,476306951.8,662216029
"Caprock Group, LLC",8,69668958.0,113097952
"Capstone Financial Advisors, Inc.",21,13336883.61904762,38962194
"Capstone Financial Group, Inc.",4,10005.25,11397
"Capstone Triton Financial Group, LLC",15,6410324.133333334,13865313
"Capstone Wealth Management, LLC",1,2135697.0,2135697
"Caption Management, LLC",4,25047162.5,100168000
"Carbahal Olsen Financial Services Group, LLC",1,2125106.0,2125106
"Cardan Capital Partners, LLC",8,11410.125,15070
Cardano Asset Management N.V.,3,473451.6666666667,527592
Cardano Risk Management B.V.,4,774148.5,961506
Cardinal Capital Management,8,23065796.875,29861756
"Cardinal Capital Management, Inc.",14,147842.7142857143,311128
Cardinal Point Capital Management ULC,4,6542487.75,8772567
"Cardinal Point Capital Management, ULC",5,6023816.2,9489644
Cardinal Point Wealth Management LLC,4,2198.5,2512
"Cardinal Point Wealth Management Partners, LLC",6,1393596.0,4744822
Cardinal Strategic Wealth Guidance,21,1397421.8095238095,3911060
"Carl P. Sherr & Co., LLC",20,4447777.2,12207575
"Carlsbad Wealth Advisory Group, Inc.",1,2938904.0,2938904
Carlson Capital Management,21,4443575.666666667,15168963
"Carlton Hofferkamp & Jenks Wealth Management, LLC",21,3534170.761904762,9657483
Carmel Capital Management L.L.C.,13,8225172.846153846,13876273
"Carmel Capital Partners, LLC",13,1358091.1538461538,2709294
"Carmichael Hill & Associates, Inc.",20,6987017.2,21186745
Carmignac Gestion,6,1353411.1666666667,3409218
"Carnegie Capital Asset Management, LLC",18,39688290.44444445,136306294
Carnegie Investment Counsel,3,151850819.33333334,166203839
Carnegie Lake Advisors LLC,2,13302.0,13893
"Carolina Wealth Advisors, LLC",21,250056.2380952381,812937
Carr Financial Group Corp,9,4295386.888888889,5640632
Carrera Capital Advisors,3,2372572.6666666665,3025290
Carrhae Capital LLP,1,49457950.0,49457950
"Carroll Financial Associates, Inc.",9,42929.444444444445,65109
"Carroll Investors, Inc",13,12025918.307692308,21764143
Carson Advisory Inc.,13,2993511.076923077,5238119
"CarsonAllaria Wealth Management, Ltd.",13,1371749.1538461538,3231558
"Cartenna Capital, LP",2,43159976.0,86319774
"Carter Financial Group, INC.",1,2955.0,2955
"Cascade Financial Partners, LLC",4,41079866.25,47061661
"Cascade Investment Advisors, Inc.",21,3995251.0,5485670
"Cascades Capital Asset Management, LLC",2,11396739.5,11780828
"Cascadia Advisory Services, LLC",6,6061.333333333333,7924
Cassaday & Co Wealth Management LLC,9,41461221.666666664,74793528
"Cassady Schiller Wealth Management, LLC",13,3235814.3846153845,6171099
"Cassia Capital Partners, LLC",16,659597.6875,2480287
Castellan Group,15,1082904.7333333334,5328819
"Castellan Group, LLC",1,4068.0,4068
"Castle Financial & Retirement Planning Associates, Inc.",1,116.0,116
Castle Hook Partners LP,2,105090703.5,210087553
"Castle Rock Wealth Management, LLC",20,4491601.9,14367506
"CastleArk Alternatives, LLC",1,98875.0,98875
CastleKnight Management LP,2,2985970.0,4257140
"Castleview Partners, LLC",11,3546385.1818181816,11918642
"Catalina Capital Group, LLC",5,14172208.0,20109376
Catalyst Capital Advisors LLC,6,704.0,977
Catalyst Funds Management Pty Ltd,2,37077443.0,68598934
"Catalyst Wealth Management, LLC",2,2859619.0,3251923
"Catalytic Wealth RIA, LLC",4,20342591.0,27217429
"Cavalier Investments, LLC",18,1615675.9444444445,6574514
"Cavalry Management Group, LLC",3,26192.666666666668,33900
Caxton Associates LP,2,2661720.0,3433218
"Cedar Brook Financial Partners, LLC",19,6555535.0,21093542
"Cedar Mountain Advisors, LLC",21,782663.9047619047,2251816
"Cedar Point Capital Partners, LLC",5,1433165.2,1704109
"Cedar Wealth Management, LLC",21,616058.9047619047,1817689
Cedrus LLC,12,2964421.3333333335,4253735
"Ceeto Capital Group, LLC",4,64624.25,72943
Centennial Bank/AR/,9,4196011.333333333,7005400
Centennial Wealth Advisory LLC,17,2700297.470588235,7149371
Center For Asset Management LLC,16,2106724.0,5873025
"Center Lake Capital Management, LLC",2,15882250.0,19397000
"Center for Financial Planning, Inc.",21,2429286.0476190476,7263573
CenterBook Partners LP,8,9356628.625,25175223
"CenterStar Asset Management, LLC",21,4500006.80952381,27213848
Centered Wealth LLC dba Miller Equity Capital Advisors,21,1404600.1904761905,4069325
"Centerline Wealth Advisors, LLC",1,11041058.0,11041058
"Centerpoint Advisors, LLC",21,6850.571428571428,11757
Centerpoint Advisory Group,1,6024730.0,6024730
"Centiva Capital, LP",21,29976763.19047619,148531818
Central Asset Investments & Management Holdings (HK) Ltd,14,264155.5714285714,1996045
Central Pacific Bank - Trust Division,4,1704431.0,1927733
"Centre Asset Management, LLC",21,22678.47619047619,33329
Centric Wealth Management,20,5946367.0,16295602
"Centricity Wealth Management, LLC",1,1357778.0,1357778
Centurion Wealth Management LLC,8,14710161.5,18217070
CenturyLink Investment Management Co,2,8508.5,9120
Cercano Management LLC,8,36151647.0,93024999
Ceredex Value Advisors LLC,1,21389725.0,21389725
Cerity Partners LLC,16,378491676.5,1723430071
Cerro Pacific Wealth Advisors LLC,4,14218865.0,16773712
Certified Advisory Corp,16,6871603.9375,28438664
"Certus Wealth Management, LLC",7,5939732.142857143,9636512
Cetera Advisor Networks LLC,18,135284076.6111111,489177823
Cetera Advisors LLC,18,79275553.83333333,396283496
Cetera Investment Advisers,21,305269966.61904764,1311257214
"Cetera Trust Company, N.A",5,9953913.4,11293191
Challenger Wealth Management,1,5633995.0,5633995
"Chandler Asset Management, Inc.",4,411.75,1540
"Chaney Capital Management, Inc.",5,7200551.8,8899448
"Change Path, LLC",9,13818.777777777777,28854
"Channing Global Advisors, LLC",3,3946499.6666666665,5262827
"Chapman Investment Management, LLC",21,3533859.904761905,9925316
"Chapwood Capital Investment Management, LLC",1,791.0,791
"Charis Legacy Partners, LLC",1,1025406.0,1025406
"Charles Carroll Financial Partners, LLC",9,5020557.777777778,10212832
"Charles Schwab Investment Advisory, Inc.",17,429347.5882352941,1433207
Charles Schwab Trust Co,21,2926561.761904762,16306349
Charles Winkler,1,21230.0,21230
"Charter Oak Capital Management, LLC",16,7243110.125,19908264
"Checchi Capital Advisers, LLC",21,14600033.42857143,46603071
Chemistry Wealth Management LLC,13,19312734.307692308,32706701
"Cherry Creek Investment Advisors, Inc.",15,6935068.933333334,20497788
"Cherry Tree Wealth Management, LLC",7,2959202.714285714,3565798
Chesapeake Wealth Management,21,4037886.0476190476,11733929
Chesley Taft & Associates LLC,13,43823583.76923077,75543474
"Cheviot Value Management, LLC",21,3554292.6666666665,9828206
Cheyne Capital Management (UK) LLP,2,399.0,505
"Chicago Capital, LLC",21,41469287.61904762,133161611
Chicago Partners Investment Group LLC,21,19255090.95238095,61776028
"Chicago Wealth Management, Inc.",21,1137770.7142857143,3497456
Chico Wealth RIA,12,776654.4166666666,1404982
Chimera Capital Management LLC,1,1010.0,1010
"China Universal Asset Management Co., Ltd.",13,14124079.692307692,67336435
"Chiron Investment Management, LLC",11,3606364.5454545454,13095532
Choate Investment Advisors,21,40918205.428571425,149378223
"Choice Wealth Advisors, LLC",17,3305890.9411764704,8451425
"Chokshi & Queen Wealth Advisors, Inc",1,22460141.0,22460141
Chou Associates Management Inc.,3,10179253.333333334,11018480
Chris Bulman Inc,3,10826417.333333334,11733690
"Christensen, King & Associates Investment Services, Inc.",5,2717183.4,3133291
"Christopher J. Hasenberg, Inc",4,53681.0,76879
"Chronos Wealth Management, LLC",21,5063913.857142857,15161958
"Chung Wu Investment Group, LLC",1,6639385.0,6639385
Cinctive Capital Management LP,10,10532085.1,82450000
Ciovacco Capital Management LLC,6,183905.0,419581
Cipher Capital LP,5,2863123.2,3661441
"Circle Wealth Management, LLC",19,318269656.2105263,1645182239
"Citadel Investment Advisory, Inc.",17,270.88235294117646,401
Citizens Business Bank,48,3038826.7916666665,31362353
Citizens National Bank Trust Department,20,9986666.65,30887304
"Cito Capital Group, LLC",17,46439.23529411765,62694
Citrine Capital LLC,1,800843.0,800843
"City Center Advisors, LLC",4,698358.0,857702
City State Bank,13,3062154.3846153845,14818103
"Cladis Investment Advisory, LLC",13,17853690.53846154,27237116
"Claraphi Advisory Network, LLC",13,1054046.0,13510964
Clare Market Investments LLC,25,38046890.48,65337732
Clarendon Private LLC,1,6085094.0,6085094
ClariVest Asset Management LLC,12,208520.25,284972
"Clarity Asset Management, Inc.",5,154918.8,230815
"Clarity Capital Advisors, LLC",5,2688174.2,3168034
Clarity Capital Partners LLC,5,5931978.8,6611839
Clarity Financial LLC,17,10925016.411764706,35453720
"Clarity Wealth Advisors, LLC",21,10508246.523809524,33453551
Clarity Wealth Development LLC,1,3182265.0,3182265
"Clarius Group, LLC",21,11772277.904761905,37814902
"Clark & Stuart, Inc",1,2183913.0,2183913
"Clark Capital Management Group, Inc.",21,99351956.66666667,336778215
Clark Financial Advisors,2,2729.0,2835
"Clarkston Capital Partners, LLC",21,13095489.476190476,39407677
Claro Advisors LLC,21,10276465.952380951,31106934
"Clarus Group, Inc.",17,5134727.470588235,10674445
Clarus Wealth Advisors,20,3281390.65,8892292
"Clay Northam Wealth Management, LLC",13,7538955.538461538,14234506
"Claybrook Capital, LLC",12,3263.75,20888
Clayton Financial Group LLC,5,6985172.4,9071624
Clean Yield Group,21,7606917.476190476,26325164
"Clear Creek Financial Management, LLC",20,4086836.65,14857987
"Clear Harbor Asset Management, LLC",21,29933188.76190476,86553688
"Clear Perspective Advisors, LLC",7,7718.714285714285,9713
"Clear Perspectives Financial Planning, LLC",10,24746.4,138021
Clear Point Advisors Inc.,5,2509198.0,2959374
"Clear Rock Advisors, LLC",3,2593271.0,3199121
Clear Street Derivatives LLC,4,9307.0,17787
ClearAlpha Technologies LP,1,398177.0,398177
"Clearbridge Investments, LLC",18,1810748720.0,6611525618
Clearline Capital LP,2,17276500.5,31455044
"Clearstead Advisors, LLC",21,57396163.85714286,249581476
"Clearstead Trust, LLC",13,9046915.384615384,22130150
Clearview Wealth Advisors LLC,17,655269.6470588235,1434182
"Clearwater Capital Advisors, LLC",21,4436019.666666667,14195365
"Clientfirst Wealth Management, LLC",9,1474793.0,3573994
"Clifford Group, LLC",9,1939578.0,2655411
Climber Capital SA,1,3038912.0,3038912
Close Asset Management Ltd,21,38524.380952380954,74793
CloudAlpha Capital Management Limited/Hong Kong,6,38842619.333333336,144897714
"Coalescence Partners Investment Management, LP",1,13269000.0,13269000
"Coastal Bridge Advisors, LLC",21,5811868.476190476,23298530
"Coastal Capital Group, Inc.",6,4114.833333333333,5575
"Coastal Investment Advisors, Inc.",16,7504577.75,35621864
Coastline Trust Co,2,41812975.5,43933935
"Coastwise Capital Group, LLC",12,4514597.583333333,8425263
Cobblestone Asset Management LLC,6,1204479.3333333333,1489248
"Coco Enterprises, LLC",1,202.0,202
Code Waechter LLC,2,1049690.5,2097454
Codex Capital Asset Management L.L.C.,3,694040.0,751260
"Codex Capital, L.L.C.",15,600154.4666666667,1486800
"Coe Capital Management, LLC",7,2674.4285714285716,3757
"CogentBlue Wealth Advisors, LLC",1,2035312.0,2035312
"Cognios Capital, LLC",2,9651.0,10856
"Cohen Capital Management, Inc.",12,1590247.1666666667,3256712
Cohen Investment Advisors LLC,17,4532732.352941177,10625033
Cohen Klingenstein LLC,21,52964508.333333336,157868218
"Coho Partners, Ltd.",1,963375.0,963375
Coign Capital Advisors LLC,1,1771366.0,1771366
Coleford Investment Management Ltd.,1,20017323.0,20017323
Collaborative Holdings Management LP,1,1371840.0,1371840
Collaborative Wealth Managment Inc.,13,3543355.3076923075,6232954
"Collar Capital Management, LLC",1,4738948.0,4738948
Collier Financial,1,140393.0,140393
"Colonial River Investments, LLC",2,11985876.5,13509734
"Colonial River Wealth Management, LLC",15,4328340.6,14193620
Colonial Trust Advisors,21,32356447.285714287,94962538
Colonial Trust Co / SC,10,24434274.0,42704325
"Colony Family Offices, LLC",16,2302480.125,6933385
"Colony Group, LLC",4,219229769.25,875584723
"Colorado Capital Management, Inc.",21,5579.0952380952385,8693
Columbia Asset Management,1,55572575.0,55572575
"Columbia River Financial Group, LLC",1,492.0,492
Columbia Trust Co 01012016,16,3583162.875,16627831
"Columbus Macro, LLC",21,1161275.238095238,8335110
"Column Capital Advisors, LLC",16,1321156.5,5836602
"Commonwealth Financial Services, LLC",6,3461174.0,5275803
Commonwealth Retirement Investments LLC,9,1814990.4444444445,2970291
"Community Bank & Trust, Waco, Texas",21,36414.857142857145,53763
Community Bank of Raymore,20,1402903.1,3730006
"Community Bank, N.A.",21,32585908.333333332,96711652
"Community Capital Management, Inc.",7,422028.0,2936500
"Community Capital Management, LLC",5,1620.0,3255
"Community Financial Services Group, LLC",14,8621843.142857144,29869842
Compass Advisory Group LLC,17,997011.2941176471,2294816
"Compass Financial Group, INC/SD",9,2441690.3333333335,3538416
"Compass Financial Group, Inc.",4,274548.25,312775
Compass Financial Services Inc,1,1312538.0,1312538
"Compass Ion Advisors, LLC",21,1795692.9523809524,6726695
Compass Planning Associates Inc,1,95971.0,95971
Compass Wealth Management LLC,9,2460481.3333333335,4090169
"Comprehensive Financial Consultants Institutional, Inc.",12,4015476.5,7218018
"Comprehensive Financial Planning, Inc./PA",1,8227579.0,8227579
"Comprehensive Portfolio Management, LLC",1,8652.0,8652
"Comprehensive Wealth Management, LLC",4,231201.25,245123
"Compton Financial Group, LLC",17,570846.4117647059,1441249
"Compton Wealth Advisory Group, LLC",21,5134969.857142857,16249557
"Concentric Capital Strategies, LP",5,30977462.0,94165552
Concentrum Wealth Management,21,11141141.095238095,46283356
"Concord Asset Management, LLC/VA",13,6867539.461538462,17159487
Concord Investment Counsel Inc.,1,25701179.0,25701179
Concord Wealth Partners,17,7693685.0,23735412
"Concorde Asset Management, LLC",21,1096895.5238095238,3728703
Concorde Financial Corp,1,208.0,208
"Concurrent Investment Advisors, LLC",5,95606418.6,123435801
"Conestoga Capital Advisors, LLC",21,360205.14285714284,1213664
Confluence Wealth Management LLC,4,5772.0,8577
"Confluence Wealth Services, Inc.",12,22190989.166666668,42852544
Congress Park Capital LLC,21,4086918.1428571427,10757000
Congress Wealth Management LLC / DE /,4,48150058.25,114440587
"Connecticut Wealth Management, LLC",21,7902411.428571428,28156941
"Connective Capital Management, LLC",9,6156459.0,10655266
"Connective Portfolio Management, LLC",2,1765437.0,2173598
"Connectus Wealth, LLC",10,148552381.5,289388850
Connolly Sarah T.,12,2979335.0,10604922
"Connor, Clark & Lunn Investment Management Ltd.",21,185023492.7142857,591783697
"Conrad Siegel Investment Advisors, Inc.",13,1284316.0,2667739
"Conservest Capital Advisors, Inc.",20,1402146.05,4409194
"Consilium Wealth Advisory, LLC",13,9141214.692307692,18179783
Consolidated Investment Group LLC,21,14056.42857142857,18614
Consolidated Planning Corp,21,5866611.285714285,19279864
Consolidated Portfolio Review Corp,8,20969019.5,47126820
Constant Guidance Financial LLC,6,3656248.0,8427462
Constitution Capital LLC,17,5691079.411764706,16141795
"Continuum Advisory, LLC",32,14819154.40625,64248132
Contour Asset Management LLC,1,115064234.0,115064234
"Convergence Financial, LLC",10,3108139.6,9698523
"Convergence Investment Partners, LLC",21,1320678.142857143,8800462
"Cook Wealth, LLC",4,4062930.25,6440562
"Cooksen Wealth, LLC",5,776185.6,918541
"Coombe, Bender & Co LLC",9,2423699.222222222,4041582
Cooper Financial Group,21,11852655.285714285,38964479
"Coordinated Financial Services, Inc.",1,2464915.0,2464915
"Coordinated Financial Services, Inc./CO",2,1853767.0,2016114
"Copeland Capital Management, LLC",25,2570981.08,10263671
"Copley Financial Group, Inc.",1,746066.0,746066
Coppell Advisory Solutions Corp.,3,4157125.3333333335,5374283
Coppell Advisory Solutions LLC,9,8296560.333333333,30482068
"Copperleaf Capital, LLC",14,944533.1428571428,2130849
"Copperwynd Financial, LLC",21,2772028.714285714,12527965
Corbenic Partners LLC,11,8167.636363636364,12308
"Cordant, Inc.",20,48816.05,169814
Cordasco Financial Network,11,2005.2727272727273,3346
Cordatus Wealth Management LLC,11,13336.272727272728,21874
Core Alternative Capital,21,12895329.142857144,33548833
"Core Wealth Advisors, Inc.",21,1057161.380952381,3518997
"Core Wealth Management, Inc.",8,459997.75,740502
Core Wealth Partners LLC,9,11041996.666666666,17118953
"CoreCap Advisors, LLC",11,20264112.727272727,44483690
CoreFirst Bank & Trust,17,5706597.94117647,12966507
"Corebridge Financial, Inc.",3,941980795.3333334,999029304
"Corient Capital Partners, LLC",11,4629.454545454545,6203
Corient Private Wealth LLC,7,2320551767.428571,2890272462
"Cornell Pochily Investment Advisors, Inc.",21,9905772.19047619,45299522
"Cornerstone Advisors, LLC",19,67188588.57894737,185461052
"Cornerstone Advisory, LLC",21,10394740.285714285,29356224
"Cornerstone Capital, Inc.",21,4025459.523809524,11793279
"Cornerstone Financial Group, LLC /NE/",1,808355.0,808355
"Cornerstone Investment Partners, LLC",9,54568.22222222222,83041
"Cornerstone Management, Inc.",24,327005.4583333333,563284
Cornerstone Planning Group LLC,8,3685556.875,6283278
"Cornerstone Retirement Group, Inc.",4,1686267.25,3289539
"Cornerstone Select Advisors, LLC",1,4315214.0,4315214
"Cornerstone Wealth Advisors, Inc.",16,893799.6875,2345616
"Cornerstone Wealth Group, LLC",21,17188052.19047619,60215397
"Cornerstone Wealth Management, LLC",20,28005743.7,87393684
"Corps Capital Advisors, LLC",1,10301313.0,10301313
"Corrigan Financial, Inc.",14,6074618.857142857,8364871
Corsicana & Co.,6,6122.5,7352
Corton Capital Inc.,9,731338.2222222222,1502880
"Corundum Group, Inc.",21,2375453.238095238,7458728
"Corundum Trust Company, INC",5,2403054.8,3118650
Corvex Management LP,4,255387.5,667719
"Costello Asset Management, INC",19,774783.2105263158,1995861
"Coston, McIsaac & Partners",11,10506.90909090909,14419
Cottage Street Advisors LLC,21,4005145.476190476,12539173
"Coulter & Justus Financial Services, LLC",10,724991.8,4981159
"Councilmark Asset Management, LLC",4,14810732.25,17197343
Counterpoint Mutual Funds LLC,3,258520.0,775424
"Counterweight Ventures, LLC",5,6407369.2,7678378
"Country Club Trust Company, n.a.",9,18352.444444444445,28942
"Courage Miller Partners, LLC",21,852145.0952380953,2302862
"Court Place Advisors, LLC",21,2379580.714285714,11356604
Coury Firm Asset Management LLC,8,931165.5,2359867
"Cove Private Wealth, LLC",5,11505796.0,15528294
"Cove Street Capital, LLC",2,350479.5,363109
Covea Finance,10,56109543.5,134085386
"Covenant Asset Management, LLC",21,8435495.666666666,24050679
"Covenant Multifamily Offices, LLC",8,4463.5,8609
"Covenant Partners, LLC",21,1517301.0952380951,6151176
Covestor Ltd,13,1211.0,1725
"Covey Capital Advisors, LLC",8,1049916.75,1298929
Covington Capital Management,12,87374.41666666667,118969
Covington Investment Advisors Inc.,21,30947.0,57324
Cowen Prime Advisors LLC,10,95690.9,951229
Cowen Prime Services LLC,6,425.0,490
Cox Capital Mgt LLC,21,1411165.857142857,3958029
Coyle Financial Counsel LLC,21,1294907.761904762,4316061
"Crabel Capital Management, LLC",8,354.5,566
Crake Asset Management LLP,19,52881853.21052632,185860675
"Cranbrook Wealth Management, LLC",21,1375066.3333333333,6966036
"Crane Advisory, LLC",10,5526899.1,19609586
"Cravens & Co Advisors, LLC",9,679857.0,805860
"Crawford Fund Management, LLC",5,1026526.4,2233348
"Crawford Lake Capital Management, LLC",4,20675.25,49014
Creative Capital Management Investments LLC,9,7473354.888888889,20338386
Creative Planning,20,777092132.75,2523955241
"CreativeOne Wealth, LLC",12,9370859.666666666,70081723
Credit Capital Investments LLC,1,451637.0,451637
"Creegan & Nassoura Financial Group, LLC",21,1445747.0952380951,4064711
Creekmur Asset Management LLC,5,5322030.8,6367356
Creekside Partners,3,8956407.0,9564107
"Crescent Capital Consulting, LLC",5,5546.0,7276
"Crescent Sterling, Ltd.",9,5110617.0,5923070
"Cresset Asset Management, LLC",10,403593263.2,2152876791
"Cresta Advisors, Ltd.",10,6854317.0,9583057
"Crestline Management, LP",9,3720880.4444444445,24010680
Crestmont Private Wealth LLC,7,451369.71428571426,737678
Crestone Asset Management LLC,28,357229.5714285714,2086640
Crestwood Advisors Group LLC,17,72820982.47058824,285646320
"Crestwood Advisors Group, LLC",5,308953340.4,364856270
"Crestwood Capital Management, L.P.",2,2236.0,2251
"Crew Capital Management, Ltd.",16,3600496.75,7210235
Crewe Advisors LLC,17,3673672.6470588236,16258400
Crews Bank & Trust,1,19582343.0,19582343
"Cribstone Capital Management, LLC",13,427310.8461538461,5501629
Cromwell Holdings LLC,3,9284799.666666666,10250692
Cross Staff Investments Inc,13,6182602.153846154,11135098
"Crosspoint Capital Strategies, LLC",1,36.0,36
"Crown Oak Advisors, LLC",1,1080061.0,1080061
"Crown Wealth Group, LLC",13,3823594.076923077,7425703
Crumly & Associates Inc.,21,1705549.5714285714,7073442
Csenge Advisory Group,21,15867161.19047619,48029860
"Cubic Asset Management, LLC",16,841450.125,2563701
"Cullen Capital Management, LLC",10,1055499.4,1588664
Cumberland Partners Ltd,3,28249.333333333332,31260
"Cunning Capital Partners, LP",16,3346.4375,7204
Curated Wealth Partners LLC,17,3993186.9411764704,9747851
Curi Capital,2,1294.0,1298
"Curi RMB Capital, LLC",4,69221280.25,77957835
"Curi Wealth Management, LLC",11,3650270.6363636362,11237351
"Curran Financial Partners, LLC",17,2535706.882352941,6457162
"Curtis Advisory Group, LLC",21,2303481.8095238097,8793286
"Cushing Capital Partners, LLC",1,2219623.0,2219623
Custom Portfolio Group LLC,3,516491.0,564462
"Custos Family Office, LLC",13,2079407.0,3863759
"Cutler Capital Management, LLC",1,1086.0,1086
Cutler Group LLC / CA,7,747.0,2019
Cutler Group LP,11,7853.454545454545,34131
"Cutter & CO Brokerage, Inc.",21,2919740.8095238097,8082523
"Cyndeo Wealth Partners, LLC",9,25995345.444444444,45669492
"Cynosure Group, LLC",5,3804104.0,5772463
"Cynosure Management, LLC",2,1580339.0,1820958
Cypress Advisory Group LLC,1,3489741.0,3489741
Cypress Capital Group,21,1431455.761904762,3974083
Cypress Capital Management LLC (WY),21,7639547.857142857,20770586
"Cypress Capital, LLC",20,3221119.3,9941626
"Cypress Point Wealth Management, LLC",13,846030.0769230769,2427185
"Cypress Wealth Services, LLC",21,10931376.904761905,33551320
Cyr Financial Inc.,3,919885.3333333334,964013
"Cyrus J. Lawrence, LLC",11,20233.18181818182,26129
