ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001223779-20-000004,18238005,COMMERCIAL METALS CO,COM,201723103,,1919,94069,SH,,SOLE,,94069,0,0,commercial metals co,TEXAS PERMANENT SCHOOL FUND,30-JUN-2020,,2020-06-30
0001223779-20-000004,18238123,META FINL GROUP INC,COM,59100U108,,457,25156,SH,,SOLE,,25156,0,0,meta finl group inc,TEXAS PERMANENT SCHOOL FUND,30-JUN-2020,,2020-06-30
0001223779-20-000004,18237870,KENNAMETAL INC,COM,489170100,,1881,65509,SH,,SOLE,,65509,0,0,kennametal inc,TEXAS PERMANENT SCHOOL FUND,30-JUN-2020,,2020-06-30
0001738560-20-000010,18646039,Commercial Metals Company,COMMON,201723103,,214,10513,SH,,SOLE,,10513,0,0,commercial metals company,"ISLAY CAPITAL MANAGEMENT, LLC",30-JUN-2020,,2020-06-30
0001426859-20-000008,37890629,PLATINUM GROUP METALS LTD,COM,72765Q882,,213,138421,SH,,SOLE,,138421,0,0,platinum group metals ltd,Ruffer LLP,30-JUN-2020,,2020-06-30
0001426859-20-000008,37890643,WHEATON PRECIOUS METALS CORP,COM,962879102,,202326,4354190,SH,,SOLE,,4354190,0,0,wheaton precious metals corp,Ruffer LLP,30-JUN-2020,,2020-06-30
0001800369-20-000004,7480107,TRILOGY METALS INC NEW COM,Stock,89621C105,,0,166,SH,,SOLE,,0,0,166,trilogy metals inc new com,Atlas Private Wealth Management,30-JUN-2020,,2020-06-30
0001800369-20-000004,7480160,WHEATON PRECIOUS METALS CORP COM,Stock,962879102,,53,1200,SH,,SOLE,,0,0,1200,wheaton precious metals corp com,Atlas Private Wealth Management,30-JUN-2020,,2020-06-30
0001567619-20-014102,57613774,KENNAMETAL INC,COM,489170100,,537,18711,SH,,SOLE,,18711,0,0,kennametal inc,Arizona State Retirement System,30-JUN-2020,,2020-06-30
0001567619-20-014102,57614066,COMMERCIAL METALS CO,COM,201723103,,546,26780,SH,,SOLE,,26780,0,0,commercial metals co,Arizona State Retirement System,30-JUN-2020,,2020-06-30
0001665642-20-000003,48309590,WHEATON PRECIOUS METALS CORP,COM,962879102,,12,265,SH,,SOLE,,0,0,265,wheaton precious metals corp,"Cedar Wealth Management, LLC",30-JUN-2020,,2020-06-30
0001085146-20-001984,14096123,COMMERCIAL METALS CO,COM,201723103,,2519,123502,SH,,SOLE,,123502,0,0,commercial metals co,State of New Jersey Common Pension Fund D,30-JUN-2020,,2020-06-30
0001085146-20-001984,14096383,KENNAMETAL INC,COM,489170100,,2209,76946,SH,,SOLE,,76946,0,0,kennametal inc,State of New Jersey Common Pension Fund D,30-JUN-2020,,2020-06-30
0001625292-20-000006,12086135,WHEATON PRECIOUS METALS CORP COM,FOREIGN STOCK,962879102,,550,12479,SH,,SOLE,,12479,0,0,wheaton precious metals corp com,Argent Trust Co,30-JUN-2020,,2020-06-30
0001794935-20-000004,12403658,SPDR S&P METALS AND MINING ETF,ETF,78464A755,,325,15345,SH,,SOLE,0,0,0,15345,spdr s&p metals and mining etf,Heartwood Wealth Advisors LLC,30-JUN-2020,,2020-06-30
0001582202-20-000003,7301744,KENNAMETAL INC,COM,489170100,,5311,185000,SH,,SOLE,,185000,0,0,kennametal inc,Swiss National Bank,30-JUN-2020,,2020-06-30
0000315297-20-000009,8071448,     KENNAMETAL INC,COM,489170100,,402,13995,SH,,SOLE,,13995,0,0,     kennametal inc,PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,30-JUN-2020,,2020-06-30
0001582202-20-000003,7302617,WHEATON PRECIOUS METALS CORP,COM,962879102,,167523,3835000,SH,,SOLE,,3835000,0,0,wheaton precious metals corp,Swiss National Bank,30-JUN-2020,,2020-06-30
0001506071-20-000003,37371848,WHEATON PRECIOUS METALS CORP,COM,962879102,,2579,58550,SH,,SOLE,,18000,0,40550,wheaton precious metals corp,"Wellington Shields Capital Management, LLC",30-JUN-2020,,2020-06-30
0001641866-20-000006,13645557,SWEDISH EXPT CR CORP RG METAL ETN22,Stock,870297405,,0,0,SH,,SOLE,0,0,0,0,swedish expt cr corp rg metal etn22,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13643517,POWERSHARES DB MULTISECTOR PRECIOUS METAL,CEF,46140H502,,0,0,SH,,SOLE,0,0,0,0,powershares db multisector precious metal,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13644573,META FINL GROUP INC COM,Stock,59100U108,,0,0,SH,,SOLE,0,0,0,0,meta finl group inc com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13644600,MINCO BASE METALS CORP COM ISIN CA60254E1060 SEDOL 92367156,Stock,60254E106,,0,0,SH,,SOLE,0,0,0,0,minco base metals corp com isin ca60254e1060 sedol 92367156,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13645766,SILVERCORP METALS INC COM,Stock,82835P103,,1,100,SH,,SOLE,0,100,0,0,silvercorp metals inc com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13646764,AMG ADVANCED METALLURGICAL G SHS,Stock,N04897109,,1830,102500,SH,,SOLE,0,102500,0,0,amg advanced metallurgical g shs,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13645906,TRILOGY METALS INC NEW COM,Stock,89621C105,,0,128,SH,,SOLE,0,128,0,0,trilogy metals inc new com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13643835,KENNAMETAL INC COM,Stock,489170100,,0,0,SH,,SOLE,0,0,0,0,kennametal inc com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13646903,FORTESCUE METAL GROUP LTD SHS,Stock,Q39360104,,12,1300,SH,,SOLE,0,1300,0,0,fortescue metal group ltd shs,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13642052,FORTESCUE METALS GROUP LTD SPONSORED ADR,Stock,34959A206,,0,0,SH,,SOLE,0,0,0,0,fortescue metals group ltd sponsored adr,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13640211,ABERDEEN STD PRECIOUS METALS PHYSCL PM BASKET,CEF,003263100,,0,0,SH,,SOLE,0,0,0,0,aberdeen std precious metals physcl pm basket,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13645146,POWERSHS DB MULTI SECT COMM DB BASE METALS,Stock,73936B705,,0,0,SH,,SOLE,0,0,0,0,powershs db multi sect comm db base metals,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13646183,WHEATON PRECIOUS METALS CORP COM,Stock,962879102,,257,6108,SH,,SOLE,0,6108,0,0,wheaton precious metals corp com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13641371,COMMERCIAL METALS CO COM,Stock,201723103,,2,89,SH,,SOLE,0,89,0,0,commercial metals co com,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13645310,SPDR SER TR SP METALS MNG,Stock,78464A755,,3,150,SH,,SOLE,0,150,0,0,spdr ser tr sp metals mng,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13641503,ETFS PRECIOUS METALS BASKET PHYS PM BSKT,CEF,26922W109,,0,0,SH,,SOLE,0,0,0,0,etfs precious metals basket phys pm bskt,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001641866-20-000006,13641505,ETFS WHITE METALS BASKET TR PHY WM BSK SHS,CEF,26923B104,,0,0,SH,,SOLE,0,0,0,0,etfs white metals basket tr phy wm bsk shs,"IFP Advisors, Inc",30-JUN-2020,,2020-06-30
0001626116-20-000007,12991457,Wheaton Precious Metals,COM,962879102,,1518,34468,SH,,SOLE,,34468,0,0,wheaton precious metals,BOSTON PRIVATE WEALTH LLC,30-JUN-2020,,2020-06-30
0001697723-20-000003,12227615,KENNAMETAL INC,COM,489170100,,483,16828,SH,,SOLE,,0,0,16828,kennametal inc,AE Wealth Management LLC,30-JUN-2020,,2020-06-30
0001582202-20-000003,7302477,SILVERCORP METALS INC,COM,82835P103,,2060,387800,SH,,SOLE,,387800,0,0,silvercorp metals inc,Swiss National Bank,30-JUN-2020,,2020-06-30
0001582202-20-000003,7302478,SILVERCREST METALS INC,COM,828363101,,1918,210600,SH,,SOLE,,210600,0,0,silvercrest metals inc,Swiss National Bank,30-JUN-2020,,2020-06-30
