ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0000950123-24-008359,104124102,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,136366727,133336,SH,,SOLE,,133336,0,0,asml holding n v,Novo Holdings A/S,30-JUN-2024,,2024-06-30
0000950123-24-008375,104569549,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1435913,1404,SH,,SOLE,,1404,0,0,asml holding n v,Siemens Fonds Invest GmbH,30-JUN-2024,,2024-06-30
0001104659-24-089264,104565922,ASML HOLDING NV,N Y REGISTRY SHS,N07059210,,24938248,24384,SH,,SOLE,,24384,0,0,asml holding nv,Fullerton Fund Management Co Ltd.,30-JUN-2024,,2024-06-30
0000950123-24-008379,104296767,ASML Holding,ADR,N07059210,,208050896,203427,SH,,SOLE,,195421,95,7911,asml holding,DSM Capital Partners LLC,30-JUN-2024,,2024-06-30
0001172661-24-003395,104743309,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,16889363,16514,SH,,SOLE,,16514,0,0,asml holding n v,NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,30-JUN-2024,,2024-06-30
0001963212-24-000004,104540272,ASML HOLDING N V N Y REGISTRY SHS,ADR,N07059210,,1366657,1459,SH,,SOLE,,1459,0,0,asml holding n v n y registry shs,"Icon Wealth Advisors, LLC",30-JUN-2024,,2024-06-30
0001104659-24-089387,104356000,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,5218991,5103,SH,,SOLE,,5103,0,0,asml holding n v,LOGAN CAPITAL MANAGEMENT INC,30-JUN-2024,,2024-06-30
0001689013-24-000003,104578566,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,650456,636,SH,,SOLE,,0,0,636,asml holding n v,JT Stratford LLC,30-JUN-2024,,2024-06-30
0001398344-24-014618,104590394,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,254905,249,SH,,SOLE,,67,0,182,asml holding n v,"Waverly Advisors, LLC",30-JUN-2024,,2024-06-30
0001172661-24-003384,104682740,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1543291,1509,SH,,SOLE,,1509,0,0,asml holding n v,"Quadcap Wealth Management, LLC",30-JUN-2024,,2024-06-30
0001398344-24-014614,104206096,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,561479,549,SH,,SOLE,,549,0,0,asml holding n v,Family Management Corp,30-JUN-2024,,2024-06-30
0001172661-24-003381,104191883,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,561479,549,SH,,SOLE,,0,0,549,asml holding n v,"Ellevest, Inc.",30-JUN-2024,,2024-06-30
0001140361-24-037187,104739626,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,BBG019PD35Z0,2967962,2902,SH,,SOLE,,3362,0,0,asml holding n v,NOMURA ASSET MANAGEMENT CO LTD,30-JUN-2024,,2024-06-30
0001398344-24-014611,104692816,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,16274702,15913,SH,,SOLE,,12002,0,3911,asml holding n v,GLENMEDE TRUST CO NA,30-JUN-2024,,2024-06-30
0001172661-24-003376,104292340,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,1883869,1842,SH,,SOLE,,1842,0,0,asml holding n v,NEOS Investment Management LLC,30-JUN-2024,,2024-06-30
0001398344-24-014602,104377304,ASML HOLDING N V,N Y REGISTRY SHS,N07059210,,951138,930,SH,,SOLE,,928,0,2,asml holding n v,"Clark Capital Management Group, Inc.",30-JUN-2024,,2024-06-30
