REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,"Flaharty Asset Management, LLC",1577446
31-DEC-2024,"Flavin Financial Services, Inc.",1573879
31-DEC-2024,Flower City Capital,603500
31-DEC-2024,Flywheel Private Wealth LLC,486801
31-DEC-2024,"Focus Financial Network, Inc.",245455990
31-DEC-2024,Focus Partners Wealth,503213499
31-DEC-2024,"Focused Wealth Management, Inc",2916074
31-DEC-2024,"Foguth Wealth Management, LLC.",1123368
31-DEC-2024,Fonville Wealth Management LLC,1218505
31-DEC-2024,"Forefront Analytics, LLC",2008785
31-DEC-2024,Forge First Asset Management Inc.,1035376
31-DEC-2024,"Formidable Asset Management, LLC",19344864
31-DEC-2024,Fort Point Capital Partners LLC,7920014
31-DEC-2024,Fort Sheridan Advisors LLC,19741386
31-DEC-2024,"ForthRight Wealth Management, LLC",384944
31-DEC-2024,"Fortis Capital Advisors, LLC",26014091
31-DEC-2024,Fortis Capital Management LLC,15655199
31-DEC-2024,Fox Hill Wealth Management,9441557
31-DEC-2024,Fragasso Financial Advisors Inc,14443041
31-DEC-2024,Franchise Capital Ltd,81162190
31-DEC-2024,"Francis Financial, Inc.",4530948
31-DEC-2024,G&S Capital LLC,3316025
31-DEC-2024,"G2 CAPITAL MANAGEMENT, LLC / OH",4388618
31-DEC-2024,GABELLI FUNDS LLC,185178121
31-DEC-2024,GABLES CAPITAL MANAGEMENT INC.,18308429
31-DEC-2024,GAGNON SECURITIES LLC,2679354
31-DEC-2024,GAM Holding AG,62427795
31-DEC-2024,"GAMCO INVESTORS, INC. ET AL",42925799
31-DEC-2024,GARDA CAPITAL PARTNERS LP,13578330
31-DEC-2024,GARDNER LEWIS ASSET MANAGEMENT L P,37072903
31-DEC-2024,GARRISON BRADFORD & ASSOCIATES INC,1297000
31-DEC-2024,"GARRISON POINT ADVISORS, LLC",8580997
31-DEC-2024,GATEWAY INVESTMENT ADVISERS LLC,605747202
31-DEC-2024,"GC Wealth Management RIA, LLC",12036399
31-DEC-2024,GDS Wealth Management,3909184
31-DEC-2024,"GEM Asset Management, LLC",989836
31-DEC-2024,"GEN Financial Management, INC.",220102
31-DEC-2024,GENERAL AMERICAN INVESTORS CO INC,29357400
31-DEC-2024,Future Fund LLC,2997621
31-DEC-2024,Future Financial Wealth Managment LLC,506273
31-DEC-2024,"Fusion Capital, LLC",2260358
31-DEC-2024,Freestone Grove Partners LP,5795822
31-DEC-2024,"Frank, Rimerman Advisors LLC",66126276
31-DEC-2024,"Franklin, Parlapiano, Turner & Welch, LLC",705560
31-DEC-2024,"Frazier Financial Advisors, LLC",159290
31-DEC-2024,FreeGulliver LLC,377626
31-DEC-2024,"Freedom Day Solutions, LLC",6505561
31-DEC-2024,Freedom Financial Partners LLC,853406
31-DEC-2024,"Freedom Investment Management, Inc.",11454274
31-DEC-2024,Friday Financial,335725
31-DEC-2024,"Fulton Bank, N.A.",42607262
31-DEC-2024,Friedenthal Financial,272417
31-DEC-2024,"Frisch Financial Group, Inc.",3781
31-DEC-2024,Front Row Advisors LLC,38853320
31-DEC-2024,"Front Street Capital Management, Inc.",1278
31-DEC-2024,Fulcrum Capital LLC,23136287
31-DEC-2024,"Full Sail Capital, LLC",379101
31-DEC-2024,Fullerton Fund Management Co Ltd.,185328123
31-DEC-2024,"Gilman Hill Asset Management, LLC",3226317
31-DEC-2024,"Gitterman Wealth Management, LLC",516346
31-DEC-2024,Gladius Capital Management LP,71120925
31-DEC-2024,"HANTZ FINANCIAL SERVICES, INC.",46148
31-DEC-2024,"HARBERT FUND ADVISORS, INC.",7184515
31-DEC-2024,HARBOR ADVISORY CORP /MA/,632506
31-DEC-2024,"HARBOR CAPITAL ADVISORS, INC.",31083
31-DEC-2024,"HARBOR INVESTMENT ADVISORY, LLC",9778339
31-DEC-2024,HARBOUR INVESTMENT MANAGEMENT LLC,1091106
31-DEC-2024,"HARBOUR INVESTMENTS, INC.",32800057
31-DEC-2024,HARDING LOEVNER LP,110913233
31-DEC-2024,HARMONY ASSET MANAGEMENT LLC,15341118
31-DEC-2024,"HARRELL INVESTMENT PARTNERS, LLC",11630022
31-DEC-2024,HARRIS ASSOCIATES L P,569390
31-DEC-2024,HART & PATTERSON FINANCIAL GROUP LLC,436174
31-DEC-2024,HARTFORD INVESTMENT MANAGEMENT CO,203564571
31-DEC-2024,HARTLINE INVESTMENT CORP/,120774786
31-DEC-2024,HARVARD MANAGEMENT CO INC,105905257
31-DEC-2024,HARVEY CAPITAL MANAGEMENT INC,57985751
31-DEC-2024,"HAZLETT, BURT & WATSON, INC.",3499
31-DEC-2024,"HB Wealth Management, LLC",122666024
31-DEC-2024,"HAP Trading, LLC",49067544
31-DEC-2024,HANSEATIC MANAGEMENT SERVICES INC,1997429
31-DEC-2024,Gladstone Capital Management LLP,134290
31-DEC-2024,HANCOCK WHITNEY CORP,103555195
31-DEC-2024,Guardian Partners Inc.,1958878
31-DEC-2024,"Guardian Wealth Management, Inc.",253808
31-DEC-2024,Guerra Advisors Inc,2611123
31-DEC-2024,"Guidance Point Advisors, LLC",547632
31-DEC-2024,"Guided Capital Wealth Management, LLC",2446771
31-DEC-2024,"Guild Investment Management, Inc.",8254135
31-DEC-2024,Guinness Asset Management LTD,47520022
31-DEC-2024,Guinness Atkinson Asset Management Inc,8504317
31-DEC-2024,Gulf International Bank (UK) Ltd,257527
31-DEC-2024,Gunderson Capital Management Inc.,16437322
31-DEC-2024,"Gutierrez Wealth Advisory, LLC",161716
31-DEC-2024,"HAGER INVESTMENT MANAGEMENT SERVICES, LLC",8634583
31-DEC-2024,"HALBERT HARGROVE GLOBAL ADVISORS, LLC",160272
31-DEC-2024,HALL CAPITAL MANAGEMENT CO INC,1199210
31-DEC-2024,HALL LAURIE J TRUSTEE,8914
31-DEC-2024,"HAMEL ASSOCIATES, INC.",229899
31-DEC-2024,"HAMILTON CAPITAL PARTNERS, LLC",12656092
31-DEC-2024,"HBC Financial Services, PLLC",85
31-DEC-2024,HBK Sorce Advisory LLC,26193428
31-DEC-2024,HBW ADVISORY SERVICES LLC,847777
31-DEC-2024,"HC Advisors, LLC",1140357
31-DEC-2024,HOERTKORN RICHARD CHARLES,475387
31-DEC-2024,"HOEY INVESTMENTS, INC",184081599
31-DEC-2024,"HOGE FINANCIAL SERVICES, LLC",2784538
31-DEC-2024,"HOHIMER WEALTH MANAGEMENT, LLC",7619776
31-DEC-2024,HOLDERNESS INVESTMENTS CO,23678652
31-DEC-2024,HOLLENCREST CAPITAL MANAGEMENT,14412817
31-DEC-2024,HOME FEDERAL BANK OF TENNESSEE,436443
31-DEC-2024,"HOURGLASS CAPITAL, LLC",4751180
31-DEC-2024,"HOWARD BAILEY SECURITIES, LLC",2635457
31-DEC-2024,"HOWARD FINANCIAL SERVICES, LTD.",10389315
31-DEC-2024,"HOWARD WEALTH MANAGEMENT, LLC",876356
31-DEC-2024,HOWE & RUSLING INC,22188660
31-DEC-2024,HOWLAND CAPITAL MANAGEMENT LLC,60360133
31-DEC-2024,"HRC WEALTH MANAGEMENT, LLC",1522063
31-DEC-2024,HSBC HOLDINGS PLC,7755547365
31-DEC-2024,HT Partners LLC,2941727
31-DEC-2024,HTLF Bank,1041285
31-DEC-2024,"HMV Wealth Advisors, LLC",3291448
31-DEC-2024,"HMS Capital Management, LLC",7693308
31-DEC-2024,HM PAYSON & CO,191183304
31-DEC-2024,HERITAGE INVESTORS MANAGEMENT CORP,68981
31-DEC-2024,HCR Wealth Advisors,36110304
31-DEC-2024,"HEADINVEST, LLC",4618905
31-DEC-2024,HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,2919784076
31-DEC-2024,HELIOS CAPITAL MANAGEMENT PTE. LTD,3558685
31-DEC-2024,HENDLEY & CO INC,2031
31-DEC-2024,HENGEHOLD CAPITAL MANAGEMENT LLC,4292912
31-DEC-2024,"HERBST GROUP, LLC",3166832
31-DEC-2024,HERITAGE OAK WEALTH ADVISORS LLC,591816
