FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"Claybrook Capital, LLC",,-0.75,1.74,106.69,6.0,451.48,-78.48,10.57,0.26,-17.38,-9.3,62061.82,18.62,16.53,-7.28,-100.0,,,,
Clayton Financial Group LLC,,,,,,,,,,,,,,,,,inf,2.52,16.16,-3.44
Clean Yield Group,,24.09,3.01,4.38,-3.22,16.27,4.57,18.75,-12.57,-16.35,-9.79,106202.44,20.22,19.17,-0.86,11.42,7.18,4.97,-1.66,1.31
"Clear Creek Financial Management, LLC",,137.96,-100.0,inf,-79.68,550.84,4.69,10.34,-6.89,-16.62,-12.34,98220.76,15.71,14.82,-5.87,21.33,6.25,8.83,-1.59,0.96
"Clear Harbor Asset Management, LLC",,-35.2,103703.03,-99.89,1.7,12.56,8.46,19.66,-8.18,-17.54,-9.62,104890.51,64.72,39.39,-8.32,17.91,9.54,5.79,-3.97,5.03
"Clear Perspective Advisors, LLC",,28.95,-77.95,383.27,6.31,29.42,-2.3,37.15,-100.0,,,,,,,,,,,
"Clear Perspectives Financial Planning, LLC",,,,inf,5.84,14.48,4.22,19.65,-8.7,-16.4,-8.86,102156.25,20.22,-100.0,,,,,,
Clear Point Advisors Inc.,,,,,,,,,,,,,,,,inf,25.26,6.34,-3.35,-6.59
"Clear Rock Advisors, LLC",,,,,,,,,,,,,,,,inf,0.99,7.2,-100.0,
Clear Street Derivatives LLC,,,,,,,,,,,,,,,,,inf,24.8,-30.38,-69.55
ClearAlpha Technologies LP,,,,,,,,,,,,,,,,,inf,-100.0,,
"Clearbridge Investments, LLC",,,inf,1.33,4.59,10.34,1.21,15.72,-13.33,-18.1,-4.94,97827.84,17.42,11.43,-8.73,18.61,9.17,94.71,-53.09,-6.06
Clearline Capital LP,,,inf,-100.0,,,,,,,,,,,,,,,inf,49.06
"Clearstead Advisors, LLC",,37.94,2.78,14.32,8.04,16.33,-1.65,21.51,-2.56,-14.99,-18.48,106620.14,23.11,18.29,102.36,-44.33,9.79,112.92,-2.28,-3.85
"Clearstead Trust, LLC",,,,,,,inf,18.23,-8.41,-16.35,43.42,7.31,110141.24,-3.98,5.98,32.87,0.39,2.18,-3.32,15.31
Clearview Wealth Advisors LLC,,,,inf,106.08,-41.92,7.73,10.79,-26.57,-16.12,-9.31,99714.35,-5.18,15.94,-11.14,19.29,6.92,-3.81,-7.09,-2.82
"Clearwater Capital Advisors, LLC",,25.69,2.36,11.29,10.42,15.06,4.07,17.17,2.05,-16.85,-2.36,103949.73,21.01,3.0,-7.49,21.82,16.2,12.8,117.87,-11.73
Client First Investment Management LLC,,,,,,,,,,,,,,,,inf,11.88,6.23,-3.73,-2.05
"Clifford Group, LLC",,,,,,,,,,,,inf,22.55,30.58,-6.56,19.66,12.03,5.92,-3.47,-1.35
Climber Capital SA,,,,,,,,,,,,,,,,,,,,inf
Close Asset Management Ltd,,30.7,4.9,6.65,6.12,17.54,2.58,19.29,0.0,-27.22,-14.36,-5.87,-47.83,-0.43,-5.1,22.56,12.64,9.62,-2.9,-2.04
CloudAlpha Capital Management Limited/Hong Kong,,,,,,,,,inf,-100.0,inf,-100.0,inf,-96.87,1507.27,-95.92,420.37,29.61,-100.0,inf
"Coalescence Partners Investment Management, LP",,,,,,,,,,,,,,,,,,inf,7.75,66.66
"Coastal Bridge Advisors, LLC",,40.83,-4.88,22.59,31.48,36.14,126.21,42.97,-66.39,79.55,-55.43,106751.24,27.93,117.02,-47.22,22.58,7.13,9.23,-2.71,-1.3
"Coastal Capital Group, Inc.",,23.85,7.24,7.06,0.57,-100.0,,,,,,,,,,,,,,
"Coastal Investment Advisors, Inc.",,55.62,3.29,1.17,20.88,13.47,3.85,26.57,-8.04,-20.37,-7.62,108770.68,13.58,8.11,0.09,-100.0,,,,
Coastline Trust Co,,,,,,,,,,,,,,,,,,,inf,-0.91
"Coastwise Capital Group, LLC",,,,,,,,,inf,16.29,-7.13,112322.36,37.4,-10.65,4.57,19.93,9.54,5.64,10.35,6.33
Cobblestone Asset Management LLC,,,,,,,,,,,,,,,,inf,11.88,6.23,-3.73,-2.05
"Coco Enterprises, LLC",,,,inf,4.04,16.75,9.77,42.42,85.64,-62.25,-8.73,1.46,116814.96,18.27,-7.21,19.09,10.28,-100.0,,
Code Waechter LLC,,,,,,,,,,,,,,,,,,,inf,95636.95
Codex Capital Asset Management L.L.C.,,,,,,,,,,,,,,,,,,inf,2.28,-2.05
"Codex Capital, L.L.C.",,,inf,0.94,3.84,142996.48,2.97,129.15,-54.12,0.0,-30.04,2.97,20.22,7.94,-12.53,16.12,11.88,-100.0,,
"Coe Capital Management, LLC",,inf,88.19,46.44,-6.57,12.39,-100.0,,,,,,,,,,,,,
"CogentBlue Wealth Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
"Cognios Capital, LLC",,-100.0,,,,,,,,,,,,,,,,,,
"Cohen Capital Management, Inc.",,29.04,-0.05,-2.81,6.0,14.85,4.07,19.29,-8.33,-16.7,-8.02,104373.06,20.21,18.12,-7.28,18.27,12.87,6.16,-2.95,-1.14
Cohen Investment Advisors LLC,,,,inf,102.77,-40.12,3.8,18.21,-9.16,-16.11,-10.24,103904.08,21.4,5.34,-1.37,7.06,27.95,-27.0,23.87,-1.99
Cohen Klingenstein LLC,,29.09,3.37,111.5,26.22,14.9,5.51,18.57,-2.08,-16.7,-9.32,102870.89,20.22,18.12,-7.28,19.09,11.88,6.23,-6.08,-12.47
"Coho Partners, Ltd.",,24.17,-4.74,5.65,-2.04,51.62,0.09,19.3,-11.38,-23.09,-9.31,2.95,117555.14,17.22,-7.65,18.56,14.9,-44.66,-100.0,
Coign Capital Advisors LLC,,,,,,,,,,,,,,,,,,,,inf
Coleford Investment Management Ltd.,,,,,,,,,,,,,,,,,,,,inf
Collaborative Wealth Managment Inc.,,,,,inf,-100.0,,inf,-100.0,inf,-8.95,103962.25,14.45,10.23,-4.73,14.74,8.27,5.3,-16.61,-1.95
"Colonial River Investments, LLC",,,,,,,,,,,,,,,,,,,inf,-3.67
"Colonial River Wealth Management, LLC",,,,inf,-7.09,15.07,1.59,35.89,-19.26,-34.34,-8.93,105132.62,20.57,35.46,11.23,71.58,36.55,8.14,-100.0,
Colonial Trust Advisors,,30.16,0.61,5.58,4.51,14.41,2.07,17.4,-9.91,-16.88,-6.93,102427.11,19.08,15.25,-8.48,16.2,10.57,4.8,-1.38,-6.16
Colonial Trust Co / SC,,,,,,,,,,,inf,99207.4,22.51,13.93,-11.72,27.19,10.47,8.21,1.25,9.17
"Colony Family Offices, LLC",,,,,,,,,,inf,-9.31,103171.57,20.22,-100.0,,,inf,-100.0,,
"Colony Group, LLC",,,,,,,,,,,,,,,,inf,94.44,255.36,47237.23,-100.0
"Colorado Capital Management, Inc.",,27.96,-0.52,11.07,31.65,18.63,10.74,11.53,-7.96,-19.88,-9.34,-1.23,13.66,21.86,-4.04,16.64,22.76,0.59,-7.59,-26.05
Columbia Asset Management,,28.48,4.67,6.69,7.81,-22.73,10.29,18.31,-100.0,inf,-8.37,3.2,21.17,17.64,-7.41,18.11,-0.05,18.45,-4.0,96384.41
"Columbia River Financial Group, LLC",,,,,,,,,,,,,,,,,,,,inf
Columbia Trust Co 01012016,,27.93,-100.0,inf,7.0,19.14,4.36,0.0,17.83,-9.74,-6.3,193294.47,-43.66,19.36,-5.72,26.56,-100.0,,,
"Columbus Macro, LLC",,-100.0,,,,,,,,inf,-10.7,112537.92,49.77,51.05,-9.77,20.7,2.52,6.77,-7.57,324.99
"Column Capital Advisors, LLC",,39.48,-4.48,-26.94,6.02,17.42,3.23,14.62,-2.18,-16.61,-6.82,118407.82,43.36,33.05,-13.59,-100.0,,,,
"Commonwealth Financial Services, LLC",,,,,,,,,,,,,,,inf,19.08,0.0,26.6,-8.93,7.5
Commonwealth Retirement Investments LLC,,,,,,,,,,,,inf,20.65,20.84,-6.08,17.45,10.73,5.78,-2.44,0.62
"Community Bank & Trust, Waco, Texas",,30.14,0.65,3.79,3.46,16.04,3.11,18.56,-5.09,-15.92,-8.71,2.62,19.86,17.85,-31.01,55.27,14.89,6.12,-2.92,-2.85
Community Bank of Raymore,,37.91,0.0,37.85,-19.51,1.08,2.49,-99.83,61300.0,-16.78,36.4,210198.42,19.19,17.57,-7.28,20.38,17.41,-40.62,1.87,20.14
"Community Bank, N.A.",,36.27,2.23,1.85,3.98,13.07,2.42,4.41,-9.03,-14.18,-7.42,107202.49,24.21,12.86,274.41,-71.58,9.01,5.97,-4.87,-3.4
"Community Capital Management, Inc.",,29.04,-18.14,-3.87,-5.79,7.0,-100.0,,,,,,,,,,,,,
"Community Capital Management, LLC",,,,,,,inf,19.29,-8.32,-34.35,-9.33,102887.4,20.22,18.12,-7.28,-100.0,,,,
"Community Financial Services Group, LLC",,-10.79,-2.79,3.34,-2.36,11.93,1.15,18.84,-100.0,,,,,,inf,-100.0,inf,8.0,-3.33,-1.42
Compass Advisory Group LLC,,,,inf,-10.17,15.04,-100.0,,,,,,inf,82.14,-15.49,16.22,0.66,5.08,-19.45,-2.04
"Compass Financial Group, INC/SD",,,,,,,,,,,,,,,,inf,19.43,9.38,8.96,-2.04
"Compass Financial Group, Inc.",,,inf,-7.53,1.81,17.33,4.17,0.0,-17.09,-100.0,inf,2.82,10.98,142395.41,-32.43,19.09,128.69,12.39,-7.97,-2.05
Compass Financial Services Inc,,,,,,,,,,,,,,,,,,,,inf
"Compass Ion Advisors, LLC",,29.11,137.68,-39.6,12.59,35.27,-10.7,139.02,-53.03,-16.81,-9.29,102306.52,26.0,17.07,162.53,19.62,7.98,0.93,1.62,-2.57
Compass Planning Associates Inc,,,,,,,,,,,,,,,,,,,,inf
