FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,,,inf,2.49,-7.41,14.09,36.28,14.83,-28.84,31.91,42604.31,68.42,26.18,2.13,-4.79,-29.25,12.57,19.55,54.36
ADAMSBROWN WEALTH CONSULTANTS LLC,,,,,,,,inf,5.03,-31.27,22.13,-100.0,inf,33.39,-1.79,8.68,-32.7,-12.85,22.76,184.03
ADAPT Investment Managers SA,,,,,,,,,,,,,,,,,,,,inf
"ADE, LLC",,,,inf,-6.39,1.78,14.29,38.78,0.0,-36.58,17.97,-100.0,inf,26.18,-4.41,-0.7,-33.4,12.57,32.22,54.36
ADELL HARRIMAN & CARPENTER INC,,106.07,80.28,70.41,-5.84,1.76,14.89,39.35,3.42,-34.77,15.59,-51.45,63.72,29.49,-9.58,-0.39,-29.77,10.33,23.36,60.42
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",,,,,,,,,,,,,inf,-60.92,-100.0,,,,,
ADIRONDACK TRUST CO,,154.47,57.83,54.66,-0.13,6.29,51.79,-7.8,35.33,-34.24,4.65,47526.21,67.89,26.88,-8.95,6.16,-14.03,26.11,9.35,55.04
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",,,inf,100.0,225.0,7.69,110685.71,-99.7,-34.04,-35.48,20.0,-100.0,,,,,,,,
ADVENT CAPITAL MANAGEMENT /DE/,,21.74,34.36,34.31,-23.92,-77.22,-20.92,-57.63,-33.08,-100.0,,,,,,,,inf,-100.0,
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,89.36,-100.0,,,,,,
ADVISOR PARTNERS LLC,,,inf,1284.14,166.31,-44.85,66.56,65.86,5.74,-36.43,-100.0,,,,,,,,,
ADVISORS MANAGEMENT GROUP INC /ADV,,,,inf,-100.0,,inf,41.12,18.21,-100.0,inf,-100.0,inf,26.87,-4.12,14.42,-29.49,13.69,26.09,116.45
ADVISORY RESEARCH INC,,76.66,-28.3,39.35,4.03,26.96,67.19,-10.49,-21.64,43.91,-61.28,34805.43,79.6,277.67,-31.02,-44.11,-100.0,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
ADVOCATE GROUP LLC,,,,,,,,,,,,,inf,26.18,-3.85,-0.7,-12.02,19.92,31.63,54.36
AE Wealth Management LLC,,180.46,140.96,65.29,-22.53,29.13,16.68,50.11,25.98,-31.66,22.79,48025.52,98.01,23.31,5.7,-8.84,-72.16,60.12,15.58,32.08
AEGON ASSET MANAGEMENT UK PLC,,,,,,inf,13.97,33.11,-100.0,,,,,,,,,,,
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,inf,-36.61,16.7,87.22,-15.83,25.73,-100.0,inf,-41.91,40.18,33.36,45.7
"AF Advisors, Inc.",,,,inf,-100.0,inf,13.93,46.76,5.88,-32.18,15.36,99957.4,-14.79,28.0,-4.41,-0.34,-35.56,6.45,32.22,54.36
"AFFINITY INVESTMENT ADVISORS, LLC",,,,,inf,-11.88,8.61,31.95,-0.35,-37.5,18.04,-100.0,,,,,,,,
AFFINITY WEALTH MANAGEMENT LLC,,,,inf,-6.24,-100.0,,,,,,inf,16.76,51.56,-20.42,-0.7,-29.25,14.83,32.22,29.52
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,,,,,,,,,inf,-37.45,18.09,44348.44,53.67,37.41,-10.21,-4.25,-42.16,-24.19,-13.6,93.89
"AFS Financial Group, LLC",,,,,,,,,,,,,inf,84.09,-4.41,-17.86,-100.0,,,
"AFT, FORSYTH & COMPANY, INC.",,,inf,-29.33,-100.0,,,inf,-100.0,,,,,,,,,,,
AGF INVESTMENTS INC.,,38.27,-39.57,125.27,-1.55,0.47,36.94,51.19,-100.0,,,,,,,,,,,
AGF Investments LLC,,inf,4388.24,59.5,-32.37,-51.88,21.72,-71.16,-100.0,,,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,18.67,797.85,7.3,35.87,-81.28,-53.72,91.73,93.19
"AIGEN INVESTMENT MANAGEMENT, LP",,-61.57,132.89,-100.0,inf,20.39,-100.0,inf,-100.0,,,,,,,,,,,
"AIMZ Investment Advisors, LLC",,inf,87.76,71.29,-5.34,98.8,-42.94,36.27,1.99,-37.49,18.14,-56.21,168374.16,26.18,-4.41,-0.7,-49.32,12.89,19.86,27.42
"AIRE ADVISORS, LLC",,,,,,,,inf,64.19,-32.58,98.8,33596.74,60.89,31.35,-7.59,22.81,-33.06,0.59,83.23,60.08
"AJ Advisors, LLC",,,,,,,,,,,,,inf,26.18,-0.3,-1.33,-100.0,,,
"AJ WEALTH STRATEGIES, LLC",,,,,,,,inf,108.66,32.57,36.78,-72.2,144865.84,39.03,-100.0,,,,,
"AJO, LP",,,inf,-100.0,,,,,,,,,,,,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,-21.37,12.57,-100.0,
AKUNA SECURITIES LLC,,,,,,,,,,inf,-100.0,,,,,,,,,
ALBERT D MASON INC,,,,,,,inf,69.41,-100.0,,,,,,,,,,,
ALBION FINANCIAL GROUP /UT,,102.15,101.95,68.69,-100.0,inf,14.52,35.61,2.11,-33.59,24.11,51111.59,68.46,25.31,-4.46,-0.95,-78.15,9.45,56.34,55.1
ALERUS FINANCIAL  NA,,,,,inf,67.52,191.56,-34.77,30.61,7.92,15.91,54700.73,-7.18,14.49,67.27,-24.64,-33.17,71.44,-100.0,
ALERUS FINANCIAL NA,,,,,,,,,,,,,,,,,,,inf,41.05
"ALEXANDER LABRUNERIE & CO., INC.",,,,,,,,,,,,,,,,,inf,12.37,28.79,53.92
ALGERT GLOBAL LLC,,inf,11.55,34.37,-79.06,-100.0,,,inf,-24.09,9.07,-58.7,304.4,-43.34,-100.0,,,,inf,252.19
ALKEON CAPITAL MANAGEMENT LLC,,,inf,230.35,-100.0,,,,inf,-22.34,18.46,46097.27,124.44,25.84,-4.3,40.64,-29.25,41.76,47.75,-100.0
ALLSTATE CORP,,114.35,85.39,56.58,1.43,-5.13,5.08,404.7,-39.15,-45.23,24.45,47816.83,-85.95,38.21,-4.41,-4.5,-32.6,5.53,-60.97,-100.0
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
ALPHA WINDWARD LLC,,88.89,98.82,-100.0,,,,,,,,,,,,,,,,
"ALPHASIMPLEX GROUP, LLC",,,inf,-26.58,-100.0,,,,inf,-17.97,0.4,-100.0,,,,,,,,
"ALPINE WOODS CAPITAL INVESTORS, LLC",,,,,,,,,,inf,-100.0,inf,-100.0,,,,,,,
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,,,,,,,inf,-100.0,,,,,inf
ALTFEST L J & CO INC,,,,,,,,inf,-100.0,,,,,inf,-9.96,-0.96,-100.0,inf,59.91,213923.63
AM INVESTMENT STRATEGIES LLC,,inf,242.31,64.47,11.1,-12.99,0.35,43.93,4.71,-30.61,18.18,-37.18,84.81,38.47,7.09,-0.46,-21.61,79.96,46.29,110.07
AM Squared Ltd,,,,,,,,,,,,inf,-9.98,-100.0,,,,,,
AMALGAMATED BANK,,-26.41,95.34,104.74,-8.61,289.38,14.1,211.07,10.31,-68.64,24.08,-52.32,68.76,26.71,-5.22,-5.7,-38.08,11.94,29.54,52.37
