ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001140361-23-024652,92238819,NVIDIA CORPORATION,COM,67066G104,,27777000,100000,SH,Put,SOLE,,100000,0,0,nvidia corporation,Royal Bank of Canada,31-MAR-2023,,2023-03-31
0001140361-23-024652,92238818,NVIDIA CORPORATION,COM,67066G104,,13889000,50000,SH,Call,SOLE,,50000,0,0,nvidia corporation,Royal Bank of Canada,31-MAR-2023,,2023-03-31
0001398344-23-009821,87432002,NVIDIA CORPORATION,COM,67066G104,,373045,1343,SH,,SOLE,,1343,0,0,nvidia corporation,"Clarkston Capital Partners, LLC",31-MAR-2023,,2023-03-31
0001104659-23-060664,85301031,NVIDIA CORPORATION,COM,67066G104,,10929137,39346,SH,,SOLE,,39346,0,0,nvidia corporation,GLUSKIN SHEFF & ASSOC INC,31-MAR-2023,,2023-03-31
0001674623-23-000004,86929556,NVIDIA CORPORATION,COM,67066G104,,2638925,9500,SH,,SOLE,,0,0,9500,nvidia corporation,"WEALTHSOURCE PARTNERS, LLC",31-MAR-2023,,2023-03-31
0001803662-23-000002,90739566,NVIDIA CORPORATION,Equity,67066G104,,321049,1156,SH,,SOLE,,0,0,1156,nvidia corporation,MAGNOLIA CAPITAL ADVISORS LLC,31-MAR-2023,,2023-03-31
0001513189-23-000017,86451066,NVIDIA CORP COM,Common Stock,67066G104,,1732451,6237,SH,,SOLE,,5038,0,1199,nvidia corp com,First Western Trust Bank,31-MAR-2023,,2023-03-31
0001062993-23-011092,91569895,NVIDIA COR,COM,67066G104,,292000713,1051232,SH,,SOLE,,1051232,0,0,nvidia cor,SOFTBANK GROUP CORP.,31-MAR-2023,,2023-03-31
0001172661-23-002264,92722117,NVIDIA CORPORATION,COM,67066G104,,1112028,4003,SH,,SOLE,,4003,0,0,nvidia corporation,"AIRE ADVISORS, LLC",31-MAR-2023,,2023-03-31
0001172661-23-002266,89961736,NVIDIA CORPORATION,COM,67066G104,,1526069,5494,SH,,SOLE,,0,0,5494,nvidia corporation,"Vident Investment Advisory, LLC",31-MAR-2023,,2023-03-31
0001104659-23-060680,88936004,NVIDIA CORPORATION,COM,67066G104,,54243672524,195282689,SH,,SOLE,,0,0,195282689,nvidia corporation,VANGUARD GROUP INC,31-MAR-2023,,2023-03-31
