FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,inf,-8.59,4.37,48.32,19.97,-30.25,-16.1
APEIRON CAPITAL Ltd,,,,,,,,,,,,,,inf,-43.6,-100.0,,,,
APPALOOSA LP,,,,,,,,,,,,,,inf,-18.78,28.58,28.21,15.26,-27.84,71.72
AR ASSET MANAGEMENT INC,,,,,,,,,,,,,,,,,,,inf,-8.52
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,,,,,,,,,,,,inf,108.0,-0.57,57.55,29.05,9.07,-15.44,-1.99
"ARGI Investment Services, LLC",,,,,,,,,,inf,-12.63,17.31,-100.0,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,-7.22,34.62,-15.24,32.41,17.1,46.06,-17.28,-16.94
ARK Investment Management LLC,,,,,,,,inf,-8.16,-17.22,-100.0,,,,,,,,,
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,181.67,6.47,-18.78,28.58,0.0,27.32,1.43,40.45
ARMSTRONG HENRY H ASSOCIATES INC,,,,,,,,,,,,,,,,,,inf,168.43,61.3
"ARS Investment Partners, LLC",,35.79,2.13,30.93,33.55,40.37,7.85,8.28,-16.32,-40.15,-17.78,36795.18,222.72,6.47,-18.78,34.26,28.21,5.39,-18.53,-80.78
"ARTHUR M. COHEN & ASSOCIATES, LLC",,,inf,32.17,0.0,47.8,7.94,6.8,-16.01,-28.89,-12.68,131360.73,24.58,9.39,-17.91,34.53,24.49,7.58,-19.59,-15.72
"ASB Consultores, LLC",,,,,,,,inf,31.83,-39.11,-12.93,133524.75,20.8,-15.98,-100.0,,inf,-21.64,-42.21,-100.0
ASHFORD CAPITAL MANAGEMENT INC,,,,,,,,,,,,,,,,,,inf,-100.0,
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"ASPIRIANT, LLC",,,,,,,,,,,,,,,,inf,27.81,-32.32,-100.0,inf
"ASSETMARK, INC",,43.84,-2.27,16.24,-25.94,8.98,87.64,857.54,56.22,-14.06,-3.88,-100.0,,,inf,40.73,32.55,10.33,-17.04,-10.52
ATLAS CAPITAL ADVISORS INC.,,,,,,,,,,,,,,,,,,,,inf
ATLAS CAPITAL ADVISORS LLC,,62.57,81.38,16.01,24.87,8.23,3.7,7.19,-20.54,-37.75,-14.99,5.76,33.73,6.68,-18.82,27.52,30.08,5.55,-25.79,-100.0
ATRIA INVESTMENTS LLC,,151.37,-35.04,38.86,26.42,16.89,11.66,17.84,-5.5,-42.94,-22.69,-100.0,,,,,,,,
"ATTICUS WEALTH MANAGEMENT, LLC",,,,,,,inf,-100.0,inf,-33.33,0.0,120110.0,24.58,25.83,81.22,-51.24,28.21,5.39,-18.53,-16.82
