REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,Summa Corp.,15364558
31-DEC-2024,"Sumitomo Mitsui DS Asset Management Company, Ltd",28369706
31-DEC-2024,Successful Portfolios LLC,1161912
31-DEC-2024,"Symphony Financial, Ltd. Co.",783375
31-DEC-2024,"Strengthening Families & Communities, LLC",236
31-DEC-2024,"Stratos Wealth Partners, LTD.",6492465
31-DEC-2024,"Stratos Wealth Advisors, LLC",1070037
31-DEC-2024,"Stratos Investment Management, LLC",4044049
31-DEC-2024,"Strategic Wealth Partners, Ltd.",2333922
31-DEC-2024,"Strategic Wealth Investment Group, LLC",751188
31-DEC-2024,"Strategic Investment Solutions, Inc. /IL",185150
31-DEC-2024,Strategic Investment Advisors / MI,218610
31-DEC-2024,Swiss National Bank,552273018
31-DEC-2024,"Synergy Asset Management, LLC",289270
31-DEC-2024,"Strategic Blueprint, LLC",1113395
31-DEC-2024,TD Capital Management LLC,16065
31-DEC-2024,"THOMPSON DAVIS & CO., INC.",902905
31-DEC-2024,THOMAS STORY & SON LLC,6965
31-DEC-2024,TFG Advisers LLC,572678
31-DEC-2024,"TFC Financial Management, Inc.",36358
31-DEC-2024,TFB Advisors LLC,616633
31-DEC-2024,TEALWOOD ASSET MANAGEMENT INC,1540
31-DEC-2024,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,26320
31-DEC-2024,TEACHER RETIREMENT SYSTEM OF TEXAS,11531
31-DEC-2024,TD ASSET MANAGEMENT INC,158265460
31-DEC-2024,"Synergy Financial Group, LTD",370584
31-DEC-2024,"TCTC Holdings, LLC",25970
31-DEC-2024,"TCI Wealth Advisors, Inc.",413439
31-DEC-2024,"TCFG WEALTH MANAGEMENT, LLC",947477
31-DEC-2024,"TAURUS ASSET MANAGEMENT, LLC",17582555
31-DEC-2024,TANDEM CAPITAL MANAGEMENT CORP /ADV,297747
31-DEC-2024,"T. Rowe Price Investment Management, Inc.",543308
31-DEC-2024,"Systematic Alpha Investments, LLC",6596704
31-DEC-2024,"Syntegra Private Wealth Group, LLC",590180
31-DEC-2024,"Strategic Financial Concepts, LLC",879350
31-DEC-2024,Strategic Advocates LLC,225636
31-DEC-2024,"SkyOak Wealth, LLC",595736
31-DEC-2024,Soltis Investment Advisors LLC,392999
31-DEC-2024,"Spectrum Strategic Capital Management, LLC",1714341
31-DEC-2024,Sowell Financial Services LLC,2651189
31-DEC-2024,"Sovran Advisors, LLC",642906
31-DEC-2024,"Sovereign Financial Group, Inc.",364061
31-DEC-2024,South Dakota Investment Council,18417
31-DEC-2024,"Sound View Wealth Advisors Group, LLC",946994
31-DEC-2024,"Sound Income Strategies, LLC",178165
31-DEC-2024,"Sonora Investment Management Group, LLC",687175
31-DEC-2024,"Solstein Capital, LLC",19930
31-DEC-2024,"St. Johns Investment Management Company, LLC",798905
31-DEC-2024,Snowden Capital Advisors LLC,8045097
31-DEC-2024,Smithfield Trust Co,822
31-DEC-2024,Smith Salley Wealth Management,225032
31-DEC-2024,"Smith Group Asset Management, LLC",395346
31-DEC-2024,"Smith Anglin Financial, LLC",424094
31-DEC-2024,Smartleaf Asset Management LLC,1563347
