ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001681490-22-000004,74811049,AMAZON COM INC,COM,023135106,,1377,13440,SH,,SOLE,,0,0,0,amazon com inc,"Cascade Investment Advisors, Inc.",30-SEP-2022,,2022-09-30
0001104659-22-119195,74811937,AMAZON COM INC COM,COM,023135106,,1054,9329,SH,,SOLE,,0,0,9329,amazon com inc com,"Virtue Capital Management, LLC",30-SEP-2022,,2022-09-30
0001455495-22-000004,74764256,AMAZON COM INC,COM,023135106,,4516,39962,SH,,SOLE,,39962,0,0,amazon com inc,"IMA Wealth, Inc.",30-SEP-2022,,2022-09-30
0000714395-22-000053,74730265,AMAZON COM INC,COM,023135106,,11851,104872,SH,,SOLE,,100043,0,4829,amazon com inc,"GERMAN AMERICAN BANCORP, INC.",30-SEP-2022,,2022-09-30
0001729254-22-000004,74724576,AMAZON COM INC COM,Stock,023135106,,2230,19730,SH,,SOLE,0,19730,0,0,amazon com inc com,Front Row Advisors LLC,30-SEP-2022,,2022-09-30
0001084683-22-000009,74763994,Amazon.com Inc,Stock,023135106,,9365,82873,SH,,SOLE,0,82873,0,0,amazon.com inc,GREENWOOD GEARHART INC,30-SEP-2022,,2022-09-30
0001597298-22-000006,74782110,"AMAZON.COM, INC",COM,023135106,,835974,7398,SH,,SOLE,,0,0,7398,"amazon.com, inc","Verity Asset Management, Inc.",30-SEP-2022,,2022-09-30
0000861787-22-000022,74785597,Amazon.com Inc,COM,023135106,,14419,127598,SH,,SOLE,NONE,126568,0,1030,amazon.com inc,Washington Trust Bank,30-SEP-2022,,2022-09-30
0000897070-22-000011,74794770,AMAZON,COM,023135106,,1209,10700,SH,,SOLE,0,10700,0,0,amazon,ASHFORD CAPITAL MANAGEMENT INC,30-SEP-2022,,2022-09-30
0001398344-22-022219,74782526,AMAZON COM INC,COM,023135106,,103761,918242,SH,,SOLE,,572873,0,345369,amazon com inc,GLENMEDE TRUST CO NA,30-SEP-2022,,2022-09-30
0001719305-22-000004,74814283,AMAZON COM INC,COM,023135106,,5516,48814,SH,,SOLE,,0,0,48814,amazon com inc,Verdence Capital Advisors LLC,30-SEP-2022,,2022-09-30
0000926833-22-000008,74736891,AMAZON COM INC,COM,023135106,,5115,45263,SH,,SOLE,0,0,0,45263,amazon com inc,WISCONSIN CAPITAL MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001606587-22-002365,74740959,AMAZON COM INC COM,U.S. UTILITS ETF,464287697,,56500,500,SH,,SOLE,,500,0,0,amazon com inc com,Oxler Private Wealth LLC,30-SEP-2022,,2022-09-30
0000749044-22-000005,74731092,AMAZON.COM INC,Ordinary Share,023135106,,2051,18153,SH,,SOLE,1,18153,0,0,amazon.com inc,RESOURCES MANAGEMENT CORP /CT/ /ADV,30-SEP-2022,,2022-09-30
0001606587-22-002365,74740958,AMAZON COM INC COM,BLOOMBERG INTL,78464A151,,2260,20,SH,,SOLE,,20,0,0,amazon com inc com,Oxler Private Wealth LLC,30-SEP-2022,,2022-09-30
0001606587-22-002365,74740957,AMAZON COM INC COM,NUVEEN BLOOMBERG,78464A284,,56500,500,SH,,SOLE,,500,0,0,amazon com inc com,Oxler Private Wealth LLC,30-SEP-2022,,2022-09-30
0001606587-22-002365,74740956,AMAZON COM INC COM,HIGH YIELD ETF,30151E814,,56500,500,SH,,SOLE,,500,0,0,amazon com inc com,Oxler Private Wealth LLC,30-SEP-2022,,2022-09-30
0001698219-22-000005,74790064,AMAZON COM INC,COM,023135106,,26163,231527,SH,,SOLE,0,0,0,231527,amazon com inc,Doyle Wealth Management,30-SEP-2022,,2022-09-30
0001878326-22-000005,74819328,AMAZON COM INC,COM,023135106,,1348,11932,SH,,SOLE,DelosCA,0,0,11932,amazon com inc,"Delos Wealth Advisors, LLC",30-SEP-2022,,2022-09-30
0001606587-22-002367,74736963,AMAZON.COM INC,COM,023135106,,62160,550092,SH,,SOLE,NONE,550092,0,0,amazon.com inc,"Traynor Capital Management, Inc.",30-SEP-2022,,2022-09-30
0001606587-22-002369,74823966,Amazon.com Inc,COM,023135106,,335,2969,SH,,SOLE,,2969,0,0,amazon.com inc,LIBERTY WEALTH MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001308331-22-000004,74811758,AMAZON.COM INC COM,COM,023135106,,95,840,SH,,SOLE,,840,0,0,amazon.com inc com,Boit C F David,30-SEP-2022,,2022-09-30
0001606587-22-002369,74823825,AMAZON COM INC,COM,023135106,,1925,17041,SH,,SOLE,,17041,0,0,amazon com inc,LIBERTY WEALTH MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001106832-22-000005,74817149,AMAZON COM INC,COM,023135106,,19613,173570,SH,,SOLE,,173570,2,0,amazon com inc,CASTLEARK MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001398344-22-022196,74759196,AMAZON COM INC,COM,023135106,,1796,15889,SH,,SOLE,,15889,0,0,amazon com inc,EPG Wealth Management LLC,30-SEP-2022,,2022-09-30
0001847772-22-000004,74781323,AMAZON.COM INC,COM,023135106,,9465,91950,SH,,SOLE,,0,0,9465,amazon.com inc,EMC Capital Management,30-SEP-2022,,2022-09-30
0001587192-22-000004,74758759,AMAZON COM INC,COM,023135106,,1714,15164,SH,,SOLE,,200,0,14964,amazon com inc,"Blume Capital Management, Inc.",30-SEP-2022,,2022-09-30
