FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ADVISOR PARTNERS LLC,,139.58,39.43,9.0,-11.17,-44.09,10.28,-14.6,-8.08,-1.88,-100.0,,,,,,,,,
ADVISORY RESEARCH INC,,,,,,,,,,,,,,inf,-1.52,-100.0,,,,
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
AE Wealth Management LLC,,65.12,58.6,-2.39,18.72,-28.16,45.12,-10.72,-19.65,-18.25,76.96,94738.47,61.29,9.4,28.16,65.91,-58.77,-12.91,-7.86,33.86
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,,,,,,,,,,,,inf
"AFT FORSYTH AND COMPANY, INC.",,inf,-100.0,,,,,,,,,,,,,,,,,
"AFT, FORSYTH & COMPANY, INC.",,,inf,-9.1,-2.31,8.64,13.35,-16.36,-29.39,-23.37,-20.43,88705.12,49.31,4.22,-1.46,33.74,8.16,-8.53,5.92,22.89
AGF INVESTMENTS INC.,,484.21,38.74,-20.22,-65.58,562.16,8.42,-57.08,-100.0,,,,,,,,,,,
AGF Investments LLC,,,,,,,inf,-61.06,-100.0,,,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,-100.0,,,inf,-100.0,inf,-13.78,94.62
"AHL INVESTMENT MANAGEMENT, INC.",,,,,,,,inf,-100.0,,,,,,,,,,,
"AIGEN INVESTMENT MANAGEMENT, LP",,-100.0,inf,494.21,-81.92,-100.0,,inf,-100.0,,,,,,,,,,,
"AIRE ADVISORS, LLC",,,,,,,,inf,5.47,-30.45,-100.0,,,,,inf,15.49,-10.14,3.69,29.63
"AJ WEALTH STRATEGIES, LLC",,0.35,-8.89,3.61,-13.63,1.25,-2.17,-7.85,-40.38,-22.26,-38.71,-7.82,125222.53,6.82,-100.0,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,14.46,-100.0,,
