ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0002012065-24-000001,98838518,TESLA INC,COM,88160R101,,469130,1888,SH,,SOLE,,0,0,1888,tesla inc,PROATHLETE WEALTH MANAGEMENT LLC,31-DEC-2023,,2023-12-31
0001815355-24-000007,98841458,TESLA INC,COM,88160R101,,291873,27789,SH,,SOLE,,0,0,27789,tesla inc,"Scarborough Advisors, LLC",31-DEC-2023,,2023-12-31
0001172661-24-001665,98839350,TESLA INC,COM,88160R101,,356569,1435,SH,,SOLE,,1435,0,0,tesla inc,NAPA WEALTH MANAGEMENT,31-DEC-2023,,2023-12-31
0001420506-24-000514,98848588,TESLA INC,COM,88160R101,,263389,1060,SH,,SOLE,,1000,0,60,tesla inc,CHELSEA COUNSEL CO,31-DEC-2023,,2023-12-31
0001803296-24-000001,98840891,TESLA INC,COM,88160R101,,764076,3075,SH,,SOLE,,3075,0,0,tesla inc,"WNY Asset Management, LLC",31-DEC-2023,,2023-12-31
0001911726-24-000002,98845818,TESLA INC,COM,88160R101,,126476,509,SH,,SOLE,,23,0,486,tesla inc,Raleigh Capital Management Inc.,31-DEC-2023,,2023-12-31
0001911726-24-000002,98845819,TESLA INC,COM,88160R101,,48454,195,SH,,SOLE,,0,0,195,tesla inc,Raleigh Capital Management Inc.,31-DEC-2023,,2023-12-31
0001911726-24-000002,98845820,TESLA INC,COM,88160R101,,223848,901,SH,,SOLE,,125,0,776,tesla inc,Raleigh Capital Management Inc.,31-DEC-2023,,2023-12-31
0001943239-24-000001,98850442,Tesla Inc,A,88160R101,,8113866,32654,SH,,SOLE,,24407,0,8247,tesla inc,V-Square Quantitative Management LLC,31-DEC-2023,,2023-12-31
0001905128-24-000003,98835393,TESLA MOTORS INC.,Equities,88160R101,,715125,2878,SH,,SOLE,,328,0,2550,tesla motors inc.,American Trust,31-DEC-2023,,2023-12-31
0001616328-24-000001,98839615,Tesla Motors Inc,Equities,88160R101,,3491,14048,SH,,SOLE,,0,0,14048,tesla motors inc,"Garde Capital, Inc.",31-DEC-2023,,2023-12-31
0001085146-24-001532,98837131,TESLA INC,COM,88160R101,,474057,2371,SH,,SOLE,,0,0,2371,tesla inc,"Austin Wealth Management, LLC",31-DEC-2023,,2023-12-31
0000944317-24-000001,98837840,TESLA INC,COM,88160r101,,331721,1335,SH,,SOLE,,1335,0,0,tesla inc,SMITH SHELLNUT WILSON LLC /ADV,31-DEC-2023,,2023-12-31
0002011548-24-000002,98838121,TESLA INCORPORATED,COM,88160R101,,567777,2285,SH,,SOLE,,0,0,2285,tesla incorporated,"Novak & Powell Financial Services, Inc.",31-DEC-2023,,2023-12-31
0002012239-24-000001,98837954,TESLA INC,COM,88160R101,,10443366,42029,SH,,SOLE,,0,0,42029,tesla inc,Clarity Capital Partners LLC,31-DEC-2023,,2023-12-31
0002011891-24-000002,98850868,Tesla Inc,COM,88160r101,,4287522,17255,SH,,SOLE,,3294,0,13961,tesla inc,GLOBALT Investments LLC / GA,31-DEC-2023,,2023-12-31
0002011908-24-000001,98848115,"Tesla, Inc",Stock,88160R101,,79762,321,SH,,SOLE,0,0,0,321,"tesla, inc",Able Wealth Management LLC,31-DEC-2023,,2023-12-31
0002007383-24-000002,98835670,TESLA INC,COM,88160R101,,754244,3035,SH,,SOLE,,0,0,3035,tesla inc,"Wellington Wealth Strategies, LLC.",31-DEC-2023,,2023-12-31
0002011215-24-000002,98840490,TESLA INC,COM,88160R101,,14508,58,SH,,SOLE,,58,0,0,tesla inc,"VOISARD ASSET MANAGEMENT GROUP, INC.",31-DEC-2023,,2023-12-31
0001398344-24-003319,98841089,TESLA INC,COM,88160R101,,880365,3543,SH,,SOLE,,0,0,3543,tesla inc,"Covenant Partners, LLC",31-DEC-2023,,2023-12-31
0001951757-24-000255,98849931,TESLA INC,COM,88160R101,,1407883,5666,SH,,SOLE,,0,0,5666,tesla inc,Prospect Financial Services LLC,31-DEC-2023,,2023-12-31
0001172661-24-001614,98848392,TESLA INC,COM,88160R101,,408501,1644,SH,,SOLE,,1644,0,0,tesla inc,"Taylor Financial Group, Inc.",31-DEC-2023,,2023-12-31
0001214659-24-003063,98840306,TESLA INC,COM,88160R101,,4646576,18700,SH,Call,SOLE,,18700,0,0,tesla inc,READYSTATE ASSET MANAGEMENT LP,31-DEC-2023,,2023-12-31
0001214659-24-003063,98840307,TESLA INC,COM,88160R101,,4646576,18700,SH,Put,SOLE,,18700,0,0,tesla inc,READYSTATE ASSET MANAGEMENT LP,31-DEC-2023,,2023-12-31
0000080255-24-000820,98484942,TESLA INC,COMM STK,88160R101,,5567846,22407622,SH,,SOLE,,21307361,0,1100261,tesla inc,PRICE T ROWE ASSOCIATES INC /MD/,31-DEC-2023,,2023-12-31
0000877134-24-000005,98636676,TESLA INC,COMMON STOCK,88160R101,,540693,2176,SH,,SOLE,,2176,0,0,tesla inc,WESBANCO BANK INC,31-DEC-2023,,2023-12-31
0001286534-24-000003,98721612,TESLA INC COM,COM,88160r101,,422,1699,SH,,SOLE,,1699,0,0,tesla inc com,WINSLOW ASSET MANAGEMENT INC,31-DEC-2023,,2023-12-31
0001329948-24-000006,97039347,TESLA INC,Common Stock,88160R101,,89204,358998,SH,,SOLE,0,358998,0,0,tesla inc,Janney Montgomery Scott LLC,31-DEC-2023,,2023-12-31
0001329948-24-000006,97039348,TESLA INC,Common Stock,88160R101,,3589,14445,SH,,SOLE,0,14445,0,0,tesla inc,Janney Montgomery Scott LLC,31-DEC-2023,,2023-12-31
0001329948-24-000006,97039349,TESLA INC,Common Stock,88160R101,,223,898,SH,,SOLE,0,898,0,0,tesla inc,Janney Montgomery Scott LLC,31-DEC-2023,,2023-12-31
0001631864-24-000001,97108076,Tesla Inc,COM,88160r101,,3314226,13338,SH,,SOLE,,13338,0,0,tesla inc,"Pinnacle Wealth Management Advisory Group, LLC",31-DEC-2023,,2023-12-31
0001608046-24-000003,97375076,TESLA INC,COM,88160R101,,1073178411,4318973,SH,,SOLE,,4318973,0,0,tesla inc,National Pension Service,31-DEC-2023,,2023-12-31
0001597506-24-000003,97193387,TESLA INC,NOTE 2.000% 5/1,88160RAG6,,120188,10000,PRN,,SOLE,,0,0,10000,tesla inc,Warberg Asset Management LLC,31-DEC-2023,,2023-12-31
0001793755-24-000004,96831639,TESLA INC,COM,88160R101,,13248,53317,SH,,SOLE,,48665,0,4652,tesla inc,Banque Cantonale Vaudoise,31-DEC-2023,,2023-12-31
0001313893-24-000001,97046035,TESLA INC,COM,88160R101,,729040,2934,SH,,SOLE,0,2934,0,0,tesla inc,"Maple Capital Management, Inc.",31-DEC-2023,,2023-12-31
0001420506-24-000153,96868066,TESLA INC,COM,88160R101,,149531282,601784,SH,,SOLE,,0,0,0,tesla inc,"Empower Advisory Group, LLC",31-DEC-2023,,2023-12-31
