FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"AAF Wealth Management, LLC",,,,,,inf,11.76,31.63,55.34,-18.7,2.52,95709.28,57.61,15.31,-12.43,9.41,-29.55,19.02,10.83,0.72
"AAFCPAs Wealth Management, LLC",,,,inf,-5.06,-100.0,,,,,,,,,,,,,,
AAFMAA Wealth Management & Trust LLC,,,,inf,-11.18,-29.14,40.12,25.47,99.05,-63.66,-58.11,86314.43,24.93,0.94,-32.42,21.65,12.87,16.06,14.33,-5.36
ABEILLE ASSET MANAGEMENT SA,,,,,,,,,inf,-32.55,15.74,68484.47,-100.0,,,,,,,
"ABLE Financial Group, LLC",,,,,,,,,,,,,inf,23.82,-7.35,15.56,-14.78,24.13,9.93,11.06
"ABLES, IANNONE, MOORE & ASSOCIATES, INC.",,,,,,,,,,,,,,,,inf,-10.0,21.84,1.59,6.42
ABNER HERRMAN & BROCK LLC,,550.28,20.94,21.84,-8.78,10.29,1.45,26.75,-1.97,-30.2,-23.68,-6.36,27.17,18.37,-14.93,14.79,-16.05,-4.11,10.3,8.31
"ABOUND FINANCIAL, LLC",,,,,,,,,,,,,,,,,,,,inf
"ABSHER WEALTH MANAGEMENT, LLC",,468.15,25.96,20.1,9.21,15.68,-2.25,25.56,-1.6,-20.06,-0.8,103065.96,20.32,2.19,-10.84,9.81,-10.39,24.46,-0.57,-0.87
"ABSOLUTE CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,,,,,,inf,52.54,8.33,3.4
ACADEMY CAPITAL MANAGEMENT,,,,,,,,,,,,,,,,,,,inf,7.08
ACADEMY CAPITAL MANAGEMENT INC/TX,,,,,,,,,,,,,,,,inf,-12.29,22.56,-100.0,
"ACAS, LLC",,,,,inf,12.95,0.59,103.8,-41.24,-13.95,-100.0,inf,21.75,11.94,-11.34,12.64,-10.12,28.28,5.23,0.69
"ACCESS FINANCIAL SERVICES, INC.",,28.68,13.28,37.42,-16.82,19.94,4.78,28.67,0.52,-25.87,4.45,94120.63,25.67,17.63,-11.73,12.45,-6.77,21.58,6.34,6.13
ACCIDENT COMPENSATION CORP,,291.34,-100.0,,,,,,,,,,,,,,,,,
"ACCREDITED INVESTOR SERVICES, LLC",,,,,,,,,,,,,,,,,,,,inf
"ACCURATE INVESTMENT SOLUTIONS, INC.",,-100.0,,,,,,,,,,,,,,,,,,
ACG Wealth,,38.7,23.45,13.32,-8.1,0.37,-0.24,9.39,-24.16,-21.74,-1.06,-100.0,,,,,,,,
"ACIMA PRIVATE WEALTH, LLC",,43.48,26.98,14.18,-9.67,11.77,2.93,28.27,-8.87,89344.15,1.08,-7.57,31.41,17.63,-12.22,-0.25,-16.99,12.43,10.63,6.95
ACORN CREEK CAPITAL LLC,,,,,,,,,,,,,,,,inf,-19.03,27.6,15.79,10.77
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,49.16,43.22,213.56,-7.12,13.98,92.7,-33.33,-0.95,-23.29,0.4,105437.56,26.6,13.12,-9.71,10.31,-23.35,21.04,-22.91,7.4
"ACT Advisors, LLC.",,,,inf,13.65,9.17,-0.39,33.24,-24.51,-7.13,1.76,99303.16,10.58,-14.37,8.72,16.16,-12.06,44.25,14.98,17.34
"ACT WEALTH MANAGEMENT, LLC",,,,inf,7.85,9.94,0.0,27.69,-2.2,-13.71,-11.88,94628.99,25.11,16.4,-18.52,11.8,-13.8,22.82,6.25,6.93
ACTIAM N.V.,,436.77,-69.06,11.6,-11.25,9.11,-3.37,24.53,28.18,-20.73,2.45,48.37,24.17,-100.0,,,,,,
"ACUTE INVESTMENT ADVISORY, LLC",,,,,,,,inf,-3.35,144.32,1.1,32000.83,28.75,17.63,-5.21,34.06,-70.56,21.86,10.63,-7.0
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,37.61,22.36,14.55,-14.8,12.23,3.27,23.58,-3.54,-23.11,-2.71,91655.49,22.96,-100.0,inf,7.46,-8.88,22.22,13.22,5.32
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,43.46,22.2,17.96,-15.33,7.02,6.11,18.2,-1.67,-21.7,1.08,91125.39,26.91,17.63,-16.74,9.17,-10.93,41.93,-0.97,1.34
ADAMSBROWN WEALTH CONSULTANTS LLC,,,,,,,,inf,12.58,-16.11,17.55,92608.96,26.69,20.16,-11.23,12.61,-10.6,25.5,37.09,1.79
ADAPT Investment Managers SA,,,,,,,,,,,,,,,,,,,,inf
"ADAPT WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,53.8,12.15,8.43
"ADE, LLC",,,,inf,-25.75,12.28,5.71,26.47,-3.54,-21.7,0.68,96256.44,26.67,17.17,-11.77,12.46,-11.28,25.75,8.79,8.0
ADELL HARRIMAN & CARPENTER INC,,,inf,9.06,-10.88,9.13,-3.09,25.05,-1.76,-23.55,2.03,-9.59,23.42,12.65,-12.84,10.65,-7.96,21.79,10.19,7.55
"ADG Wealth Management Group, LLC",,,,,,,,,,,,,,,,,,,,inf
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",,,,inf,-9.12,10.04,5.41,25.48,-1.66,-14.94,-7.02,188074.38,27.48,-41.44,-13.94,-100.0,,,,
ADIRONDACK TRUST CO,,61.64,8.16,14.31,-5.67,10.97,6.38,17.65,2.34,-21.09,0.69,93065.63,25.09,16.81,-13.35,1.49,-5.49,22.91,10.03,5.49
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",,43.46,-99.87,2945.45,22.39,15.0,156852.17,-99.87,-17.83,-36.57,39.03,69847.83,26.97,73.13,-22.02,18.38,-100.0,,,
ADVENT CAPITAL MANAGEMENT /DE/,,inf,-100.0,,,,,,,,,,,,,,,inf,-100.0,
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,21.3,-100.0,,,,,,
ADVISOR PARTNERS LLC,,150.85,35.24,16.99,-1.2,-48.39,1.89,25.55,-2.08,-20.22,-100.0,,,,,,,,,
ADVISORS MANAGEMENT GROUP INC /ADV,,37.94,30.9,13.96,268.93,16.99,-13.71,25.1,-1.8,-11.09,0.35,-5.97,18.28,16.7,-12.16,13.83,-7.32,24.64,9.77,15.21
ADVISORY RESEARCH INC,,16.05,22.47,66.73,-23.58,1.58,2.49,26.6,-18.25,1655.51,27.4,90969.58,-38.64,62.57,-12.68,-8.75,-91.5,39.12,28.55,7.42
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
ADVOCATE GROUP LLC,,,,,,,,,,inf,-2.34,91424.13,16.22,16.29,-15.52,4.27,-17.63,19.12,3.98,9.32
AE Wealth Management LLC,,59.33,34.29,18.18,-5.61,16.45,7.29,27.7,1.16,-16.56,2.65,99238.11,24.98,22.69,-5.15,22.63,-80.58,63.47,-7.52,11.62
AEGON ASSET MANAGEMENT UK PLC,,,,,,inf,6.58,25.37,-100.0,,,,,,,,,,,
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,inf,-24.19,-6.44,87.66,-37.99,21.88,-100.0,inf,-25.79,20.38,15.64,-16.05
"AF Advisors, Inc.",,,inf,18.32,-4.18,11.79,3.12,25.38,-1.51,-23.31,1.2,99923.32,15.87,18.24,-11.72,13.12,-11.01,22.23,10.95,7.49
"AFFINIA FINANCIAL GROUP, LLC",,32.98,56.77,13.21,-10.06,11.9,-3.76,13.24,-2.16,-9.62,-7.8,94273.41,-100.0,,,,,,,
"AFFINITY INVESTMENT ADVISORS, LLC",,26.99,13.95,3.68,-13.7,-11.57,0.86,21.7,-3.65,-26.06,-3.5,93735.61,1.07,-22.79,-17.43,-4.14,-21.32,21.99,6.56,7.09
AFFINITY WEALTH MANAGEMENT LLC,,46.0,7.18,20.06,6.41,8.93,3.04,26.37,-20.12,-15.49,0.42,101286.17,28.96,22.99,-11.34,14.18,-12.94,27.48,9.54,10.23
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,,,,,,,,inf,-0.42,-13.38,-3.12,92336.95,26.71,11.25,-100.0,inf,-27.59,26.03,1.74,4.64
"AFS Financial Group, LLC",,,,,,,,,,,,inf,27.93,15.49,-12.09,-49.45,-77.88,-42.61,-100.0,
"AFT FORSYTH AND COMPANY, INC.",,inf,-100.0,,,,,,,,,,,,,,,,,
"AFT, FORSYTH & COMPANY, INC.",,,inf,14.1,-8.51,12.92,1.63,23.83,-30.02,-25.74,-0.31,88674.84,24.69,14.41,-11.26,15.57,-15.61,28.36,10.5,4.46
AGF INVESTMENTS INC.,,42.93,27.34,13.55,-33.13,-55.93,5.04,25.01,14.52,-7.1,1.54,-100.0,,,,,,,,
AGF Investments LLC,,33.13,-63.95,11.73,-39.9,10.17,-3.94,3.07,8.32,-78.21,-100.0,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,23.91,-84.86,567.1,-25.88,128.03,33.5,-16.65,44.41
"AGP FRANKLIN, LLC",,,,,,,,,,,,,,,,,,,,inf
"AHL INVESTMENT MANAGEMENT, INC.",,,,,,,,inf,-2.34,-21.38,0.5,90556.77,26.26,12.63,-12.43,11.71,-10.93,29.38,4.45,4.36
AIFG Consultants Ltd.,,,,,,,,,,,,inf,51.12,33.63,-34.99,10.06,-36.47,113.75,5.29,-0.23
"AIGEN INVESTMENT MANAGEMENT, LP",,537.34,-100.0,,inf,-100.0,,inf,-100.0,,,,,,,,,,,
"AIMZ Investment Advisors, LLC",,43.0,22.46,17.23,-8.19,123.9,-48.58,25.64,-4.55,-21.93,0.74,-1.38,125587.01,8.7,-11.88,10.17,-12.99,19.68,10.14,5.18
"AIRE ADVISORS, LLC",,,,,,,,inf,-1.17,-17.2,5.12,94344.0,30.73,20.22,-8.52,10.75,48.75,21.91,10.21,7.28
"AJ Advisors, LLC",,,,,,,,,,,,inf,23.88,17.47,-12.21,28.19,-11.54,-54.51,12.28,7.52
"AJ WEALTH STRATEGIES, LLC",,47.33,37.74,15.68,-8.99,3.68,8.08,52.88,-1.56,-3.52,1.77,-18.42,115190.55,21.18,-100.0,,,,,
"AJO, LP",,5.01,-16.1,-100.0,,,,,,,,,,,,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,-9.98,22.82,-100.0,
AKUNA SECURITIES LLC,,,,,,,,,,inf,-52.31,-74.61,-14.69,333035.41,-68.6,-72.18,-100.0,,,
ALBERT D MASON INC,,43.46,27.08,16.35,-7.52,12.55,3.48,26.01,-12.69,-21.58,1.37,-10.78,25.78,17.58,-11.74,12.31,-10.6,121799.59,9.04,-20.68
ALBION FINANCIAL GROUP /UT,,43.87,26.92,17.92,-100.0,inf,1.56,27.34,-1.53,-19.03,1.48,94248.45,-5.1,16.84,-12.61,13.62,-11.04,22.9,11.17,8.21
"ALETHEA CAPITAL MANAGEMENT, LLC",,42.53,8.39,-1.34,-7.84,12.11,-19.42,60.33,-36.84,-41.32,1.22,91880.72,26.93,17.64,-11.73,-11.45,-100.0,,,
"ALEXANDER LABRUNERIE & CO., INC.",,,,,,,,,,,,,,,,,inf,22.46,4.31,6.15
ALGERT GLOBAL LLC,,31.82,34.1,6.18,-2.65,17.37,0.5,60.82,9.44,-25.54,-5.64,-1.04,29.61,17.93,-100.0,inf,-35.54,197.2,4474.37,20.07
ALKEON CAPITAL MANAGEMENT LLC,,76.45,-15.97,376.46,-59.11,-26.61,-50.38,63.8,-33.81,-97.45,5993.39,15855.9,-87.59,17.63,-11.73,12.45,-10.93,22.82,10.63,7.48
"ALLEN WEALTH MANAGEMENT, LLC",,,,,,,,,,,,,,,,inf,-18.09,23.27,16.38,8.51
ALLSTATE CORP,,35.52,7.83,7.47,-1.4,4.28,-5.1,309.08,-37.56,-35.91,2.93,95539.03,-89.42,17.63,-11.73,6.51,-14.09,17.7,-70.37,-100.0
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
"ALM First Financial Advisors, LLC",,,,,,,,,,,,,,,,,,,,inf
ALPHA WINDWARD LLC,,41.32,116.96,-100.0,,,,,,,,,,,,,,,,
"ALPHASIMPLEX GROUP, LLC",,inf,-100.0,,,,,,inf,-21.78,-13.92,-100.0,,,,,,,,
