FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
DOHENY ASSET MANAGEMENT /CA,,176.65,16.19,-27.62,-3.63,18.96,-8.67,-7.05,-2.24,-100.0,inf,-73.57,149.81,22.44,-10.34,13.19,48.44,117.88,-44.99,18.76
"DOHJ, LLC",,52.49,3.74,-1.59,-33.13,5.07,0.59,0.41,-4.53,-34.26,8.38,75873.46,16.99,35.86,-1.55,7.55,19.14,7.42,17.07,56.73
"DOLIVER ADVISORS, LP",,11.58,-34.63,27.61,7.94,42.58,-1.2,-14.92,0.69,-30.1,28.38,76683.76,15.54,24.8,-1.47,19.45,16.32,14.22,2.39,16.85
"DONALDSON CAPITAL MANAGEMENT, LLC",,53.58,148.59,-41.38,-10.61,14.65,-9.33,5.49,4.95,-38.86,12.36,67398.3,30.54,22.72,-9.07,8.45,22.65,12.79,0.78,20.69
"DOPKINS WEALTH MANAGEMENT, LLC",,,,,,,,inf,-2.1,-34.97,9.43,92227.59,-1.15,26.21,0.37,16.13,22.19,7.14,-8.61,24.22
DORCHESTER WEALTH MANAGEMENT Co,,48.92,-20.3,-12.01,3.31,11.61,-34.89,28.1,71.29,-18.08,8.28,67492.36,37.08,35.82,4.7,16.1,23.98,6.34,18.15,18.15
"DOVER ADVISORS, LLC",,,,,,,,,,,,inf,68.28,-8.29,-1.99,-11.42,127.31,10.24,3.11,20.44
DOWLING & YAHNKE LLC,,37.2,7.76,5.24,-3.31,13.61,-3.26,4.64,-0.28,-30.21,6.77,-100.0,,,,,,,,
DRAVO BAY LLC,,,,,,,,,inf,-100.0,,,,,,,,inf,-100.0,
"DRH Investments, Inc.",,47.52,-100.0,,,,,,,,,,,,,,,,,
DRIEHAUS CAPITAL MANAGEMENT LLC,,6.45,-70.53,0.24,30.34,-9.68,0.62,1.43,-12.12,-34.02,-4.53,76159.12,16.36,-100.0,,,,,,
"DRIVE WEALTH MANAGEMENT, LLC",,,,,,,,inf,27.59,-9.58,8.99,82094.46,78.17,7.27,-5.27,21.58,18.57,9.01,-53.18,161.44
DROMS STRAUSS ADVISORS INC /MO/ /ADV,,-100.0,inf,-100.0,inf,20.76,-5.7,0.21,-100.0,inf,8.35,-25.53,23.12,28.83,-0.77,-47.55,155.04,100863.39,-9.52,12.07
DSAM Partners (London) Ltd,,-50.39,46.2,-57.22,-100.0,inf,-100.0,,,,,,,,,,,,,
DSM CAPITAL PARTNERS LLC,,,,,,,,,,,,,,,,,,,,inf
DSM Capital Partners LLC,,42.0,9.7,1.71,-0.2,23.58,12.26,-5.04,-28.27,-36.06,5.19,-8.12,113814.82,17.83,-2.94,35.26,14.1,-5.92,-8.69,-100.0
"DT Investment Partners, LLC",,41.52,14.13,4.14,9.85,-43.31,35.79,-8.64,19.61,-34.8,-16.1,76765.95,18.17,30.01,-2.4,38.68,15.18,3.87,0.2,18.61
"DUALITY ADVISERS, LP",,,inf,-26.58,26.99,-18.56,-100.0,,,,,inf,-100.0,,inf,-100.0,,,,
DUBUQUE BANK & TRUST,,inf,-2.36,-100.0,,,,,,,,,,,,,,,,
DUBUQUE BANK & TRUST CO,,-100.0,,,,,inf,-0.15,-3.42,-39.93,0.74,165.24,134708.95,32.31,-100.0,,,,,
"DUDLEY CAPITAL MANAGEMENT, LLC",,,,,,,,,,,,inf,28.7,-14.65,7.94,20.6,25.18,12.3,-2.49,19.08
DUFF & PHELPS INVESTMENT MANAGEMENT CO,,32.02,5.13,4.73,-3.54,-2.46,-5.63,23.75,-1.05,-32.35,9.48,74236.5,22.96,42.57,-1.69,12.15,8.78,-69.58,-100.0,
DUMONT & BLAKE INVESTMENT ADVISORS LLC,,112.3,-11.0,0.98,-5.87,7.12,5.61,3.83,-1.41,-34.67,6.61,-32.47,14.2,26.53,-3.32,18.32,120041.48,114.96,-51.86,15.09
DUNCKER STREETT & CO INC,,45.99,11.86,6.25,-10.48,19.37,-4.44,3.44,-1.56,-36.13,5.65,65061.31,44.99,28.82,-3.47,21.39,22.31,10.36,-2.96,17.96
DUPONT CAPITAL MANAGEMENT CORP,,41.9,16.09,-10.13,-22.89,15.51,-30.95,-24.05,-11.04,-36.49,70.51,81980.84,34.23,16.84,-53.54,-5.28,135.26,-48.23,-10.19,17.74
"DURANTE & WATERS, LLC",,,,,,,,,,,,,,,,inf,-40.64,9.94,-4.13,17.74
"DWM Financial Group, Inc.",,17.19,-32.93,3.12,-100.0,,,,,,,,,,,,,,,
DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.,,,,inf,-100.0,,,,,,,,,,,,,,,
DYNAMO INTERNACIONAL GESTAO DE RECURSOS LTDA.,,,,,,,,,,inf,-35.82,196.49,-58.45,128.64,-34.64,-89.46,-100.0,,,
