ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001846287-24-000004,106611153,SALESFORCE INC,COM,79466L302,,27371,100,SH,,SOLE,,100,0,0,salesforce inc,Tacita Capital Inc,30-SEP-2024,,2024-09-30
0001214659-24-018331,107960214,SALESFORCE INC,COM,79466L302,,260846,953,SH,,SOLE,,953,0,0,salesforce inc,Intrepid Financial Planning Group LLC,30-SEP-2024,,2024-09-30
0001796874-24-000005,105987818,SALESFORCE INC,COM,79466L302,,226517,828,SH,,SOLE,,0,0,828,salesforce inc,"VERUS CAPITAL PARTNERS, LLC",30-SEP-2024,,2024-09-30
0000806097-24-000004,106076584,SALESFORCE INC,COM,79466L302,,6107109,22312,SH,,SOLE,0,22312,0,0,salesforce inc,MERIDIAN MANAGEMENT CO,30-SEP-2024,,2024-09-30
0000806097-24-000004,106076585,SALESFORCE INC,COM,79466L302,,30656,112,SH,,SOLE,1360533,112,0,0,salesforce inc,MERIDIAN MANAGEMENT CO,30-SEP-2024,,2024-09-30
0001830817-24-000004,107306801,SALESFORCE INC,COM,79466L302,,1599211,5843,SH,,SOLE,,0,0,5843,salesforce inc,Platform Technology Partners,30-SEP-2024,,2024-09-30
0000810121-24-000004,107348774,SALESFORCE INC,COM,79466L302,,850411,3107,SH,,SOLE,NONE,0,0,3107,salesforce inc,"HARBOUR INVESTMENTS, INC.",30-SEP-2024,,2024-09-30
0001852858-24-000007,106169250,SALESFORCE INC,COM,79466L302,,1392134,5086,SH,,SOLE,,0,0,5086,salesforce inc,"Everhart Financial Group, Inc.",30-SEP-2024,,2024-09-30
0001085146-24-005326,107071601,SALESFORCE INC,COM,79466L302,BBG001SDLP09,1008621,3685,SH,,SOLE,,3685,0,0,salesforce inc,"Seed Wealth Management, Inc.",30-SEP-2024,,2024-09-30
0001085146-24-005328,107266375,SALESFORCE INC,COM,79466L302,BBG001SDLP09,4941565,18054,SH,,SOLE,,1775,0,16279,salesforce inc,"Wealth Advisors of Tampa Bay, LLC",30-SEP-2024,,2024-09-30
0001085146-24-005333,105832713,SALESFORCE INC,COM,79466L302,BBG001SDLP09,892884,3262,SH,,SOLE,,3262,0,0,salesforce inc,"TBH Global Asset Management, LLC",30-SEP-2024,,2024-09-30
0001078013-24-000006,106307138,SALESFORCE INC COM,COM,79466L302,,288227,1053,SH,,SOLE,,1053,0,0,salesforce inc com,"GREAT LAKES ADVISORS, LLC",30-SEP-2024,,2024-09-30
0001078013-24-000006,106307137,SALESFORCE INC COM,COM,79466L302,,4979929,18194,SH,,SOLE,,18131,0,63,salesforce inc com,"GREAT LAKES ADVISORS, LLC",30-SEP-2024,,2024-09-30
0001078013-24-000006,106307135,Salesforce Inc Com,COM,79466L302,,5211214,19039,SH,,SOLE,,0,0,0,salesforce inc com,"GREAT LAKES ADVISORS, LLC",30-SEP-2024,,2024-09-30
0001025038-24-000010,106700103,SALESFORCE INC,COM,79466L302,,263628,963,SH,,SOLE,,0,0,963,salesforce inc,"ARVEST INVESTMENTS, INC.",30-SEP-2024,,2024-09-30
0001078013-24-000006,106307133,SALESFORCE INC,COM,79466L302,,988124,3610,SH,,SOLE,,3489,0,121,salesforce inc,"GREAT LAKES ADVISORS, LLC",30-SEP-2024,,2024-09-30
0001085146-24-005335,106271182,SALESFORCE INC,COM,79466L302,BBG001SDLP09,236759,865,SH,,SOLE,,0,0,865,salesforce inc,ACCOUNT MANAGEMENT LLC,30-SEP-2024,,2024-09-30
0001085146-24-005337,107693035,SALESFORCE INC,COM,79466L302,BBG001SDLP09,5404952,19747,SH,,SOLE,,19747,0,0,salesforce inc,SeaBridge Investment Advisors LLC,30-SEP-2024,,2024-09-30
0001085146-24-005347,108013291,SALESFORCE INC,COM,79466L302,BBG001SDLP09,97882254,357613,SH,,SOLE,,357613,0,0,salesforce inc,State of New Jersey Common Pension Fund D,30-SEP-2024,,2024-09-30
0000759458-24-000005,107267212,Salesforce.Com,Com,79466L302,,860818,3145,SH,,SOLE,0,3145,0,0,salesforce.com,Canandaigua National Trust Co of Florida,30-SEP-2024,,2024-09-30
0000829407-24-000007,107955968,SALESFORCE INC,COM,79466L302,,595644,2173,SH,,SOLE,Montag,0,0,2173,salesforce inc,MONTAG A & ASSOCIATES INC,30-SEP-2024,,2024-09-30
0001586767-24-000006,107799347,SALESFORCE INC,COM,79466L302,,200612,733,SH,,SOLE,SRS Capital Advisors,0,0,733,salesforce inc,"SRS Capital Advisors, Inc.",30-SEP-2024,,2024-09-30
0001903905-24-000014,108008196,SALESFORCE INC,COM,79466L302,,20544,75,SH,,SOLE,,0,0,75,salesforce inc,"Peterson Financial Group, Inc.",30-SEP-2024,,2024-09-30
0001062993-24-018420,106271012,Salesforce Inc,COM,79466L302,,1753386,6406,SH,,SOLE,NONE,6406,0,0,salesforce inc,Coastline Trust Co,30-SEP-2024,,2024-09-30
0001974403-24-000006,106058533,SALESFORCE INC,COM,79466L302,,312851,1143,SH,,SOLE,,1143,0,0,salesforce inc,"Vawter Financial, Ltd.",30-SEP-2024,,2024-09-30
0001427351-24-000010,106296769,SALESFORCE INC,COM,79466L302,,824688,3013,SH,,SOLE,,3013,0,0,salesforce inc,MERIDIAN INVESTMENT COUNSEL INC.,30-SEP-2024,,2024-09-30
0001398344-24-020096,106858930,SALESFORCE INC,COM,79466L302,,982619,3590,SH,,SOLE,,3590,0,0,salesforce inc,"Ipswich Investment Management Co., Inc.",30-SEP-2024,,2024-09-30
0001729048-24-000004,108003392,Salesforce.com,COM,79466L302,,4172,15243,SH,,SOLE,,15243,0,0,salesforce.com,"Nicollet Investment Management, Inc.",30-SEP-2024,,2024-09-30
0001584686-24-000002,107362982,SALESFORCE INC,COM,79466L302,,7852740,28690,SH,,SOLE,,28690,0,0,salesforce inc,Kentucky Retirement Systems Insurance Trust Fund,30-SEP-2024,,2024-09-30
0001537783-24-000006,106832499,SALESFORCE INC,COM,79466L302,,18477067,67506,SH,,SOLE,,67506,0,0,salesforce inc,Kentucky Retirement Systems,30-SEP-2024,,2024-09-30
0002011652-24-000004,106786648,Salesforce Com,COM,79466L302,,4379,16,SH,,SOLE,0,1,0,0,salesforce com,"Lummis Asset Management, LP",30-SEP-2024,,2024-09-30
0001941040-24-000471,107512171,SALESFORCE INC,COM,79466L302,,15961946,58317,SH,,SOLE,,58317,0,0,salesforce inc,"Metis Global Partners, LLC",30-SEP-2024,,2024-09-30
0001172661-24-004479,107693288,SALESFORCE INC,COM,79466L302,,48315849,176522,SH,,SOLE,,176522,0,0,salesforce inc,"Curi RMB Capital, LLC",30-SEP-2024,,2024-09-30
0001398344-24-019999,107489206,SALESFORCE INC,COM,79466L302,,759494,2773,SH,,SOLE,,0,0,2773,salesforce inc,"Angeles Investment Advisors, LLC",30-SEP-2024,,2024-09-30
0002012016-24-000005,107978380,SALESFORCE INC,COM,79466L302,,31771,116,SH,,SOLE,,0,0,116,salesforce inc,Planning Capital Management Corp,30-SEP-2024,,2024-09-30
0001666757-24-000009,107257894,Salesforce Inc,Com,79466L302,,4890103,17866,SH,,SOLE,,17732,22,112,salesforce inc,"Zions Bancorporation, N.A.",30-SEP-2024,,2024-09-30
0000869353-24-000008,107546191,Salesforce.com,COM,79466L302,,486383,1777,SH,,SOLE,,1777,0,0,salesforce.com,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC",30-SEP-2024,,2024-09-30
0001951757-24-001179,108004344,SALESFORCE INC,COM,79466L302,,1373750,5019,SH,,SOLE,,0,0,5019,salesforce inc,"Sargent Investment Group, LLC",30-SEP-2024,,2024-09-30
0001951757-24-001176,106985198,SALESFORCE INC,COM,79466L302,,227796,832,SH,,SOLE,,0,0,832,salesforce inc,"Lifeworks Advisors, LLC",30-SEP-2024,,2024-09-30
0001951757-24-001175,106315913,SALESFORCE INC,COM,79466L302,,700452,2532,SH,,SOLE,,0,0,2532,salesforce inc,Kapstone Financial Advisors LLC,30-SEP-2024,,2024-09-30
0001951757-24-001173,105799624,SALESFORCE INC,COM,79466L302,,351183,1281,SH,,SOLE,,0,0,1281,salesforce inc,"Intellectus Partners, LLC",30-SEP-2024,,2024-09-30
0001951757-24-001171,105798135,SALESFORCE INC,COM,79466L302,,362180,1323,SH,,SOLE,,0,0,1323,salesforce inc,Balboa Wealth Partners,30-SEP-2024,,2024-09-30
0001398344-24-020050,105963186,SALESFORCE INC,COM,79466L302,,2552915,9327,SH,,SOLE,,0,0,9327,salesforce inc,"OAK HARBOR WEALTH PARTNERS, LLC",30-SEP-2024,,2024-09-30
0001801145-24-000008,106217938,SALESFORCE INC,COM,79466L302,,1154508,4218,SH,,SOLE,,4218,0,0,salesforce inc,Bank of Marin,30-SEP-2024,,2024-09-30
0001941040-24-000472,106650882,SALESFORCE INC,COM,79466L302,,3795363,13866,SH,,SOLE,,13866,0,0,salesforce inc,KCM INVESTMENT ADVISORS LLC,30-SEP-2024,,2024-09-30
0001572838-24-000014,108005061,SALESFORCE INC,COM,79466L302,,9087993,33203,SH,,SOLE,,33203,0,0,salesforce inc,"Empirical Finance, LLC",30-SEP-2024,,2024-09-30
0001666789-24-000007,106515794,SALESFORCE INC,COM,79466L302,,7166414,26183,SH,,SOLE,,0,0,26183,salesforce inc,"Sheaff Brock Investment Advisors, LLC",30-SEP-2024,,2024-09-30
0001988563-24-000008,106514033,SALESFORCE INC,COM,79466L302,,436567,1595,SH,,SOLE,,0,0,1595,salesforce inc,"LJI Wealth Management, LLC",30-SEP-2024,,2024-09-30
0001989349-24-000002,106609271,SALESFORCE INC,COM,79466L302,,2008836,7339,SH,,SOLE,,0,0,7339,salesforce inc,KPP Advisory Services LLC,30-SEP-2024,,2024-09-30
0001518364-24-000008,106768804,SALESFORCE INC,COM,79466L302,,442863,1618,SH,,SOLE,,1518,0,100,salesforce inc,Accredited Investors Inc.,30-SEP-2024,,2024-09-30
0001844375-24-000004,106565194,SALESFORCE INC,COM,79466L302,,386206,1411,SH,,SOLE,,1411,0,0,salesforce inc,"Veery Capital, LLC",30-SEP-2024,,2024-09-30
0000950123-24-010460,107213025,Salesforce Com Inc Com,COM,79466L302,,13686,50,SH,,SOLE,,50,0,0,salesforce com inc com,Mechanics Financial Corp,30-SEP-2024,,2024-09-30
0001540656-24-000009,106041039,SALESFORCE INC,COM,79466L302,,1116737,4080,SH,,SOLE,,4080,0,0,salesforce inc,Gladius Capital Management LP,30-SEP-2024,,2024-09-30
0001540656-24-000009,106041040,SALESFORCE INC,PUT,79466L952,,4516215,16500,SH,Put,SOLE,,16500,0,0,salesforce inc,Gladius Capital Management LP,30-SEP-2024,,2024-09-30
0001765380-24-000403,107621663,SALESFORCE INC,COM,79466L302,,791220,2891,SH,,SOLE,0,57,0,2834,salesforce inc,"Adero Partners, LLC",30-SEP-2024,,2024-09-30
0001420506-24-002239,106847136,SALESFORCE INC,COM,79466L302,,1573390,5748,SH,,SOLE,,0,0,5748,salesforce inc,"Atlanta Consulting Group Advisors, LLC",30-SEP-2024,,2024-09-30
