FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"ACIMA PRIVATE WEALTH, LLC",,,,,,,,inf,-33.82,72378.96,-95.29,-11.31,76.12,9.12,4.61,17.9,37.18,3.84,13.53,2.28
ACORN CREEK CAPITAL LLC,,,,,,,,,,,,,,,,inf,45.56,4.82,17.76,9.04
ACORN FINANCIAL ADVISORY SERVICES INC /ADV,,,,,,,,inf,-36.17,-25.57,-15.6,88825.42,72.49,33.1,-8.03,2.15,4.31,5.14,11.73,-0.11
"ACT Advisors, LLC.",,,,,,,,,,,,,,,inf,28.01,37.03,21.48,15.68,11.37
"ACT CAPITAL MANAGEMENT, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
"ADAGE CAPITAL PARTNERS GP, L.L.C.",,-100.0,,,inf,3.65,136.63,2796.75,-38.21,-31.23,-17.94,90718.14,63.73,-100.0,inf,14.22,36.95,-0.24,12.87,2.45
ADAMCAPITAL Gestao de Recursos Ltda.,,,,,,,,inf,111993.15,-99.95,-26.75,-100.0,,,,,,,,
"ADAMS DIVERSIFIED EQUITY FUND, INC.",,,,,,,,inf,-26.71,-31.57,-15.86,61937.71,76.12,35.41,4.61,17.9,53.28,-2.34,2.46,-1.53
ADAMSBROWN WEALTH CONSULTANTS LLC,,,,,,,,inf,-100.0,inf,-15.92,-100.0,inf,35.59,5.24,18.76,37.21,16.84,14.88,3.9
"ADAPT WEALTH ADVISORS, LLC",,,,,,,,,,,,,,,,,inf,6.54,11.32,4.32
"ADE, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
ADELL HARRIMAN & CARPENTER INC,,,,,,,,inf,-50.09,-100.0,inf,-58.49,71.25,22.99,20.18,23.25,36.65,2.99,13.29,2.25
"ADIRONDACK RETIREMENT SPECIALISTS, INC.",,,,,,,,,,,inf,172887.5,78.43,-33.17,-100.0,,,,,
ADIRONDACK TRUST CO,,,,,,,,inf,-22.51,-31.84,-21.86,84395.27,72.44,49.74,-1.52,63.87,-1.78,2.99,12.18,1.51
"ADVANCED RESEARCH INVESTMENT SOLUTIONS, LLC",,,,,,,,,inf,145.45,54.32,-100.0,,,,,,,,
"ADVISOR GROUP HOLDINGS, INC.",,,,,,,,,,,,inf,100.42,-100.0,,,,,,
ADVISOR PARTNERS LLC,,,inf,111.11,9.21,-39.76,-26.0,-10.81,784.85,4211.64,-100.0,,,,,,,,,
ADVISORS MANAGEMENT GROUP INC /ADV,,,,,,,,inf,31.21,-30.95,-16.05,-15.14,70.89,45.33,-100.0,,inf,6.86,8.26,2.12
ADVISORY RESEARCH INC,,,,,,,,inf,4.81,78.44,-100.0,,inf,359.62,-12.4,-100.0,,,inf,2.41
"ADVISORY SERVICES NETWORK, LLC",,,,,,,,,,,,,,inf,-100.0,,,,,
ADVOCATE GROUP LLC,,,,,,,,,,,,,inf,35.41,4.96,17.9,37.18,3.84,-21.6,-19.84
AE Wealth Management LLC,,inf,89.86,-66.52,54.07,-51.37,-3.48,21064.41,-98.18,3241.07,-23.07,119220.4,83.23,11.5,26.81,52.74,-69.85,20.92,17.25,17.73
AEGON ASSET MANAGEMENT UK PLC,,,,,,,,inf,-100.0,,,,,,,,,,,
AEGON ASSET MANAGEMENT UK Plc,,,,,,,,,inf,-20.95,-20.78,-100.0,inf,31.74,-100.0,inf,3331.53,7.62,12.68,113.47
"AFFINITY INVESTMENT ADVISORS, LLC",,,inf,2.84,50.12,-8.39,-22.67,19.62,-5.28,-20.5,7.26,136633.49,99.41,42.29,-2.08,27.3,-20.8,-13.44,13.39,-10.11
AFFINITY WEALTH MANAGEMENT LLC,,,,,inf,11.93,7.69,13.46,18.95,-35.29,-96.92,139440.33,25.72,15.72,16.38,-51.78,13.76,-39.33,13.53,2.39
AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP,,,,,,,,,,,,,,inf,1.88,2.24,35.55,-5.71,19.95,4.61
