FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"AFS Financial Group, LLC",,,,,,,,,,,,inf,49.47,7.84,-16.06,-51.59,-100.0,,,
"AFT, FORSYTH & COMPANY, INC.",,,,inf,-14.36,19.71,4.42,23.06,32.89,-40.58,-22.52,85153.44,43.6,-100.0,,inf,22.44,-10.13,1.15,-100.0
AGF INVESTMENTS INC.,,27.3,49.29,20.01,-40.41,24.36,8.93,37.4,-25.78,-30.0,-100.0,,,,,,,,,
AGF Investments LLC,,,inf,2530.0,-31.94,16.2,3.37,14.42,6.91,-77.95,-100.0,,,,,,,,,
AGF MANAGEMENT LTD,,,,,,,,,,,,inf,44.06,-100.0,inf,151.33,-65.78,-28.42,-100.0,
"AGP FRANKLIN, LLC",,,,,,,,,,,,,,,,,,,,inf
AI-Squared Management Ltd,,,,,,,,,,,,,,,,,,inf,78.67,-100.0
"AIGEN INVESTMENT MANAGEMENT, LP",,-100.0,inf,-100.0,,inf,-100.0,inf,-100.0,,,,,,,,,,,
"AJO, LP",,-3.73,144.48,-100.0,,,,,,,,,,,,,,,,
"AJOVista, LLC",,,,,,,,,,,,,,,,inf,22.44,-10.13,-100.0,
AKUNA SECURITIES LLC,,,,,,,,,,inf,-100.0,,,,,,,,,
ALBION FINANCIAL GROUP /UT,,,,,,inf,60.0,-12.5,1542.86,-96.52,-25.0,-100.0,,inf,13.3,13.65,204.88,-10.13,17.34,-26.38
ALGERT GLOBAL LLC,,-6.61,144.39,-13.22,-8.45,21.73,2.17,17.12,-21.99,-100.0,,,,,,,,,,
ALKEON CAPITAL MANAGEMENT LLC,,,,,,,inf,-100.0,inf,-7.23,-16.99,101556.59,51.0,-100.0,,,,,,
ALLSTATE CORP,,30.39,38.44,11.68,-6.99,10.35,-0.08,406.66,-39.35,-38.19,-11.89,102086.21,-87.39,16.32,-9.74,35.2,19.29,-9.44,-72.92,2391.39
ALLSTATE INVESTMENT MANAGEMENT CO,,,,,,,,,,,,inf,-100.0,,,,,,,
"ALPHASIMPLEX GROUP, LLC",,inf,9.58,-100.0,,,,,,,,,,,,,,,,
"ALPINE WOODS CAPITAL INVESTORS, LLC",,3.41,61.2,20.32,4.82,56.62,9.56,39.31,-4.85,0.57,-74.23,-65.29,553.12,61.52,-5.46,137232.01,-59.13,6.53,-27.9,-22.49
"ALTERNA WEALTH MANAGEMENT, INC",,,,,,,,,inf,-100.0,,,,,,,,inf,-100.0,
ALTFEST L J & CO INC,,,,,,,,,,,,,,inf,-8.19,53.74,-47.21,-100.0,inf,-100.0
AM INVESTMENT STRATEGIES LLC,,,,,,,,inf,-24.04,-100.0,,,,,,inf,33.22,-19.2,5.25,-33.14
AM Squared Ltd,,,,,,,,,,,,inf,46.02,-100.0,,,,,,
AMALGAMATED BANK,,-48.23,51.35,14.23,-18.17,364.22,4.97,214.73,7.61,-65.57,-16.21,2.92,50.62,12.35,-10.52,36.86,5.45,-10.44,-0.89,-27.98
AMERICAN INTERNATIONAL GROUP INC,,15.5,50.8,-100.0,,,,,,,,,,,,,,,,
"AMERICAN INTERNATIONAL GROUP, INC.",,,,inf,-18.44,16.9,118.49,-29.85,-2.52,-30.1,-18.88,95659.26,51.85,15.18,-7.69,46.32,-100.0,,,
AMERICAN NATIONAL BANK,,,,inf,22.73,40.74,28.95,24.49,57.38,-27.08,-40.0,57.14,174387.88,16.22,-7.12,19.29,16.36,-4.21,-100.0,
AMERICAN NATIONAL BANK & TRUST,,,,,,,,,,,,,,,,,,,inf,-29.61
AMERICAN NATIONAL INSURANCE CO,,,inf,11.97,-14.4,19.43,9.43,-74.47,-100.0,,,,,,,,,,,
"AMERIFLEX GROUP, INC.",,,,,,,,,,,,,,,,,,,,inf
AMF Tjanstepension AB,,,,,,,,,,,,,,,,inf,-18.49,18.03,102.31,-63.73
AMG National Trust Bank,,,,,,inf,9.5,40.18,-24.1,-100.0,,,,,,,inf,-100.0,,
AMJ Financial Wealth Management,,inf,26.86,13.83,-13.62,-10.96,27.55,48.41,-16.01,-100.0,,,,,,,inf,-100.0,,
AMP Capital Investors Ltd,,,,,inf,-100.0,,,,,,,,,,,,,,
AMUNDI PIONEER ASSET MANAGEMENT INC,,-100.0,,,,,,,,,,,,,,,,,,
AMUSSEN HUNSAKER ASSOCIATES LLC,,,,inf,9.11,37.14,82.37,46.57,-54.2,-39.66,-37.31,100349.13,29.93,13.83,-14.75,29.27,-100.0,,,
ANDERSON FISHER LLC,,4.64,43.79,-2.16,-100.0,,,,,,,,,,,,,,,
"ANGELES WEALTH MANAGEMENT, LLC",,,,,,,,,inf,-39.11,0.0,116426.61,62.43,2.94,-10.82,55.51,34.42,-13.9,-2.51,-35.98
"ANGLEPOINT ASSET MANAGEMENT, LTD.",,,inf,259.39,-59.91,-100.0,,,,,,,,,,,,,,
APPALOOSA LP,,,,,,,,,,,,,,inf,-11.1,26.67,-0.71,-24.46,-16.2,-22.17
"APPLETON GROUP, LLC",,,,,,inf,9.59,27.35,-25.26,-100.0,,inf,32.02,-100.0,,,,,,
APPLETON PARTNERS INC/MA,,,,,,,inf,53.85,-18.44,-100.0,,,,,,inf,-16.26,-100.0,,inf
ARCADIA INVESTMENT MANAGEMENT CORP/MI,,,,,,,,,,inf,-20.0,697800.0,51.32,12.36,-9.74,43.37,22.44,-10.13,1.15,-30.8
ARDSLEY ADVISORY PARTNERS LP,,-100.0,inf,173.85,101.59,42.67,-26.99,-67.43,-100.0,,inf,-100.0,,,,inf,-60.81,-38.89,-100.0,
"ARGI Investment Services, LLC",,,,,,,,inf,8.8,22.79,-21.56,-100.0,,,,,,,,
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",,,,,,,,,,,,inf,51.32,14.04,-9.74,42.29,22.44,-0.73,1.48,-26.45
ARK Investment Management LLC,,,,,,,,,inf,-9.09,-100.0,,inf,46.63,2.09,67.32,-25.23,12.11,235.46,13.11
"ARMISTICE CAPITAL, LLC",,,,,,,,,inf,-7.89,-7.94,-100.0,,,,,,,,
"ARMSTRONG ADVISORY GROUP, INC",,,,,,,,,,,,inf,48.25,14.39,-11.18,43.96,0.0,1.52,7.31,-31.95
ARMSTRONG HENRY H ASSOCIATES INC,,,,,,,,,,,,,,,,,inf,0.0,-100.0,
"ARS Investment Partners, LLC",,inf,65.75,0.24,-4.5,7.2,9.72,24.68,-58.71,17.21,-100.0,,,inf,-8.86,46.09,22.07,-10.13,11.68,-26.38
ARVEST TRUST CO N A,,,,,,,,,,,,,,,,,inf,-100.0,,
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.",,,,inf,-100.0,,,inf,524.59,-75.46,89.3,-100.0,,inf,-100.0,,inf,35.66,-100.0,inf
"ASB Consultores, LLC",,,,,,,,,,,,,,inf,-100.0,,inf,-29.45,-27.66,-100.0
"ASHTON THOMAS SECURITIES, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
