ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0001908386-25-000002,109117202,MICROSOFT CORP,COM,594918104,,369787,877,SH,,SOLE,,0,0,877,microsoft corp,"Leverty Financial Group, LLC",31-DEC-2024,,2024-12-31
0001800379-25-000001,109209746,MICROSOFT CORP,COM,594918104,,6490581,15399,SH,,SOLE,,0,0,15399,microsoft corp,"SkyOak Wealth, LLC",31-DEC-2024,,2024-12-31
0001104659-25-005890,109251319,MICROSOFT CORP COM,Stock,594918104,,5432602,12889,SH,,SOLE,,12888,0,0,microsoft corp com,"Western Pacific Wealth Management, LP",31-DEC-2024,,2024-12-31
0001454308-25-000002,109272864,MICROSOFT CORP,COM,594918104,,650796,1544,SH,,SOLE,,0,0,1544,microsoft corp,"Tanglewood Wealth Management, Inc.",31-DEC-2024,,2024-12-31
0002001434-25-000001,109195495,MICROSOFT CORP,COM,594918104,,2424877,5753,SH,,SOLE,,5753,0,0,microsoft corp,Level Wealth Management LLC,31-DEC-2024,,2024-12-31
0001085146-25-000468,109123740,MICROSOFT CORP,COM,594918104,,456063,1082,SH,,SOLE,,0,0,1082,microsoft corp,"Sunesis Advisors, LLC",31-DEC-2024,,2024-12-31
0001754960-25-000069,109166899,MICROSOFT CORP,COM,594918104,,2631708,6244,SH,,SOLE,,0,0,6244,microsoft corp,Horst & Graben Wealth Management LLC,31-DEC-2024,,2024-12-31
0001731837-25-000001,109273662,MICROSOFT CORP,Common Stock,594918104,,23319817,55326,SH,,SOLE,,0,0,55326,microsoft corp,"GPS Wealth Strategies Group, LLC",31-DEC-2024,,2024-12-31
0001767699-25-000001,109189141,MICROSOFT CORP,COM,594918104,,1543112,3661,SH,,SOLE,0,0,0,3661,microsoft corp,"ALTERNA WEALTH MANAGEMENT, INC",31-DEC-2024,,2024-12-31
0000892303-25-000001,109147528,MICROSOFT CORP,COMMON STOCK,594918104,,120703965,286367,SH,,SOLE,,286117,0,250,microsoft corp,STOCK YARDS BANK & TRUST CO,31-DEC-2024,,2024-12-31
0001951757-25-000120,109236469,MICROSOFT CORP,COM,594918104,,2515170,5967,SH,,SOLE,,0,0,5967,microsoft corp,ADAMSBROWN WEALTH CONSULTANTS LLC,31-DEC-2024,,2024-12-31
0001951757-25-000121,109224830,MICROSOFT CORP,COM,594918104,,5167392,12260,SH,,SOLE,,0,0,12260,microsoft corp,"CCG WEALTH MANAGEMENT, LLC",31-DEC-2024,,2024-12-31
0001951757-25-000122,109277517,MICROSOFT CORP,COM,594918104,,20956906,49720,SH,,SOLE,,0,0,49720,microsoft corp,CFM WEALTH PARTNERS LLC,31-DEC-2024,,2024-12-31
0001310929-25-000001,109117815,Microsoft Corp,COM,594918104,,46486392,110288,SH,,SOLE,,18869,0,91419,microsoft corp,Willis Investment Counsel,31-DEC-2024,,2024-12-31
0001951757-25-000123,109154866,MICROSOFT CORP,COM,594918104,,5618513,12578,SH,,SOLE,,0,0,12578,microsoft corp,"Cook Wealth, LLC",31-DEC-2024,,2024-12-31
0002001434-25-000002,109167454,MICROSOFT CORP,COM,594918104,,8361342,19837,SH,,SOLE,,19837,0,0,microsoft corp,"Burford Brothers, Inc.",31-DEC-2024,,2024-12-31
0001509550-25-000004,109178296,Microsoft Corp,COM,594918104,,836126,1984,SH,,SOLE,0,0,0,0,microsoft corp,"Sequent Asset Management, LLC",31-DEC-2024,,2024-12-31
0001511098-25-000001,109188126,Microsoft Corp.,CS,594918104,,62299,147802,SH,,SOLE,,62299,0,0,microsoft corp.,Baskin Financial Services Inc.,31-DEC-2024,,2024-12-31
