FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
ENTERPRISE FINANCIAL SERVICES CORP,,22.5,-8.57,-22.77,-100.0,inf,-65.74,-100.0,,,,,,,,,,,,
"Edmonds Duncan Registered Investment Advisors, LLC",,22.0,3.28,43.65,-1.99,18.38,9.52,-68.96,2.8,-19.89,-12.24,92233.72,17.57,15.4,9.32,9.91,8.55,24.7,-8.06,-100.0
"Empirical Asset Management, LLC",,,,,,,,inf,-2.07,11.97,-29.25,-100.0,,,,,,,,
"Endurance Wealth Management, Inc.",,-41.9,3.45,20.01,19.06,18.9,9.13,8.79,-55.84,-21.2,-9.86,-5.56,31.92,15.21,-100.0,,,,,
"Ensign Peak Advisors, Inc",,18.92,1.29,12.97,19.04,15.92,8.35,8.59,-7.78,-21.68,-100.0,,,,,,,,,
Enterprise Financial Services Corp,,,,,inf,-100.0,,,,,,,,,,,,,,
"Essex Financial Services, Inc.",,,,,,,,inf,97.35,-61.8,-12.38,-12.83,117705.68,8.14,9.17,8.61,7.46,-100.0,,
FAI Wealth Management,,inf,-37.16,12.04,-3.19,-100.0,,,,,,,,,,,,,,
FCA CORP /TX,,,,inf,-41.18,-100.0,,,,,,,,,,,,,,
Fairway Wealth LLC,,,,,,,,,,,,,,,,inf,8.05,3055.65,-96.51,14.26
Family CFO Inc,,,,,,,,inf,-4.88,78423.08,-12.09,-7.72,17.21,16.32,42.08,-18.01,8.04,20.47,-8.85,22.8
"Filbrandt Wealth Management, LLC",,inf,-60.96,-100.0,,,inf,-100.0,,,,,,,,,,,,
"Financial Advantage, Inc.",,-100.0,,,,inf,6.29,7.96,-4.21,-20.12,-11.11,-100.0,,,,,,,,
"Forum Financial Management, LP",,,,,,,,inf,-5.74,-100.0,,,,,,,,,,
"Franklin, Parlapiano, Turner & Welch, LLC",,,,inf,17.49,18.32,9.68,9.12,-4.85,-21.53,-12.27,92123.87,17.57,15.4,9.32,6.75,8.05,20.69,-8.95,14.14
"Front Street Capital Management, Inc.",,,,,,inf,3.8,0.0,-18.7,-100.0,,,,,inf,4.99,-27.65,75.82,-28.52,217.58
"Frontier Asset Management, LLC",,,,,,,,,,,,,,,,,,inf,-8.83,46.56
"Fusion Capital, LLC",,36.99,-0.25,10.28,8.86,22.76,14.12,8.79,0.14,-4.24,-10.43,92998.88,18.42,13.53,11.24,7.2,21.4,33.62,-6.81,15.0
G&S Capital LLC,,-100.0,,,,,,,,,,,,,,,,,,
"GILL CAPITAL PARTNERS, LLC",,23.4,-1.19,19.49,17.69,12.69,9.56,7.34,-1.13,0.0,-20.02,86810.58,17.63,16.41,7.04,7.1,16.26,12.9,-11.53,11.61
Geo Capital Gestora de Recursos Ltd,,-34.77,-9.58,50.97,-17.7,4.8,-42.85,-35.63,6.2,255.45,21.27,17.95,12.15,-11.4,-29.12,26.04,20.31,17.89,-23.52,-30.78
Goodman Financial Corp,,,,,,,,,,,,,,,,,,inf,-100.0,
"Halpern Financial, Inc.",,70.84,-26.17,19.58,17.69,18.38,9.49,3215.73,-3.99,-21.65,-8.2,-7.76,17.57,10.71,21.07,-6.33,11.52,12.52,-12.11,-100.0
"Harfst & Associates, Inc.",,209.38,2.2,23.27,34.99,7.18,20.2,12.87,6.91,-23.72,-100.0,,,,,,,,,
"Heritage Financial Services, LLC",,,,,,,,inf,10.09,-27.51,-7.08,-100.0,,,,,,,,
"Hunter Perkins Capital Management, LLC",,inf,3.94,-100.0,,,,,,,,,,,,,,,,
ICW Investment Advisors LLC,,,,,,,,,,,inf,-100.0,,,,,,,,
"IFP Advisors, Inc",,,,,,,,,,,,,,,,,,,,
"ISLAY CAPITAL MANAGEMENT, LLC",,34.88,1.72,8.78,40.23,-0.1,-100.0,,,,,,,,,,,,,
Indiana Trust & Investment Management CO,,21.15,-2.14,16.37,15.75,-13.61,46.53,5.52,-4.54,-21.47,-12.18,-4.64,115896.71,35.54,14.32,9.69,10.04,23.61,-100.0,
Indiana Trust & Investment Management Co,,,,,,,,,,,,,,,,,,,inf,5.27
"JBF Capital, Inc.",,,,,,,,,,,,,inf,-100.0,,,,,,
JDM Financial Group LLC,,,,,,,,,,,,inf,16.43,15.4,8.36,6.75,0.06,22.09,-6.18,10.8
"James Reed Financial Services, Inc.",,,,,,,,inf,-100.0,,,,,,,,,,,
Kentucky Retirement Systems Insurance Trust Fund,,,,,,,,,,,,,,,,,,,,inf
"LAM GROUP, INC.",,,,,,,,,,,,inf,17.39,-42.07,9.16,59.99,8.04,20.61,-8.92,14.06
"LBMC INVESTMENT ADVISORS, LLC",,27.8,69.2,18.64,16.29,159.97,10.56,8.05,-3.73,-37.08,-13.4,88688.79,16.63,16.12,16.59,5.18,21.76,59.8,-7.21,13.99
LOUISBOURG INVESTMENTS INC.,,,,,,,,,,,,,,,,inf,7.28,8.36,-3.27,4.74
LYNCH & ASSOCIATES/IN,,,,,,,,,,,inf,104300.27,20.55,53.68,25.03,16.82,8.84,21.58,-7.41,16.9
"Laurel Wealth Advisors, Inc.",,-5.06,-100.0,inf,40.5,16.74,-3.22,75.71,-38.47,-22.46,-100.0,inf,-100.0,,,,,,,
"Lebenthal Global Advisors, LLC",,,,inf,17.86,37.23,10.41,-100.0,,,,,,,,,,,,
"Left Brain Wealth Management, LLC",,,,,,,,,,,,inf,-100.0,,,,,,,
"Legacy Financial Advisors, Inc.",,,inf,11.37,28.66,42.45,12.89,18.55,2.56,-26.89,-14.38,105507.19,29.7,28.69,32.95,124.84,-42.05,24.71,-8.15,17.18
"Lindbrook Capital, LLC",,42.2,4.43,19.39,22.15,19.08,-6.18,48.57,-2.66,-22.8,-2.48,96487.9,24.49,26.1,13.85,27.55,11.62,24.05,-9.75,17.41
Lionsbridge Wealth Management LLC,,,,inf,17.62,18.62,-100.0,,,,,,,,,,,,,
MBA Advisors LLC,,,,,inf,25.75,8.42,70.12,-3.57,-100.0,,,,,,,,,,
"MKD WEALTH COACHES, LLC",,,,,inf,18.75,9.36,8.56,-100.0,,,,,,,,,,,
"Mackey Komara & Dankovich, LLC",,,,inf,-100.0,,,,,,,,,,,,,,,
"Mariner, LLC",,,,,,,,,,,,,,,,,inf,-100.0,,
"Martin Capital Partners, LLC",,,,,,,,,,inf,5.48,-100.0,,,,,,,,
"McGinn Investment Management, Inc.",,,,,,,,inf,-100.0,,,,,,,,,,,
"MinichMacGregor Wealth Management, LLC",,,,inf,10.96,19.34,8.62,12.06,0.85,-21.07,-15.66,99000.42,-100.0,,,,,,,
"NBC SECURITIES, INC.",,,,,,,,,,,,,,,inf,-0.17,13.52,29.59,-9.34,13.89
"NEIRG Wealth Management, LLC",,,,,,,,inf,-5.95,2.88,6.01,92832.45,17.11,-42.15,-100.0,,,,,
"Nadler Financial Group, Inc.",,23.56,66.84,19.8,21.77,16.31,6.58,9.58,-7.61,-100.0,,,,,,,,,,
"New England Investment & Retirement Group, Inc.",,-100.0,,,,inf,14.41,-100.0,,,,,,,,,,,,
NewSquare Capital LLC,,-72.81,3.23,21.88,15.38,148.89,5.36,7.63,-80.31,-48.0,76.92,109230.43,205.67,28.48,9.32,-61.18,8.05,151.43,55.15,73.08
North Star Investment Management Corp.,,18.76,11.26,20.63,21.24,14.17,10.06,10.78,0.02,-19.86,-12.11,88699.87,6.63,11.37,7.8,6.7,-100.0,inf,-8.95,14.76
"Opus Capital Group, LLC",,,,,,,,inf,-100.0,,,,,,,,,,,
PENN DAVIS MCFARLAND INC,,21.4,3.44,17.12,15.9,18.96,6.95,7.73,-7.75,-22.28,-11.79,91371.62,16.49,13.14,7.47,2.88,5.35,17.06,-4.38,14.32
"PWMCO, LLC",,-100.0,,,,,,,,,,,,,,,,,,
"Paragon Wealth Strategies, LLC",,,,,,inf,-100.0,,,,inf,118555.17,-100.0,,,,,,,
"Parallel Advisors, LLC",,29.19,3.67,16.43,53.4,22.21,114.13,-37.83,-0.53,-21.87,-10.43,90912.8,142.05,18.54,10.68,-48.17,12.89,23.5,-6.21,19.9
