ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001104659-22-074155	134142	0001910624	028-21884			Sheares Healthcare Group Pte. Ltd.
0001405086-22-000191	134122	0001259927	028-10797			LASRY MARC
0001405086-22-000190	134123	0001259927	028-10797			LASRY MARC
0000923338-22-000006	134102	0001451531	028-13357			SPRING CREEK CAPITAL LLC
0001905128-22-000004	134108		028-03425			NewSouth
0001905128-22-000004	134109		028-03459			Smith Group
0001905128-22-000004	134110		028-07104			WCM
0001905128-22-000004	134111		028-04557			Wellington
0001905128-22-000004	134112		028-10622			Zevenbergen
0001905128-22-000004	134106		028-01185			Frontier
0001905128-22-000004	134105		028-02204			Brandywine
0001905128-22-000004	134104		028-01006			Barrow Hanley
0001905128-22-000004	134103		028-10562			AllianceBernstein
0001905128-22-000004	134107		028-16230			Jackson Square
0001730083-22-000004	134095	0001569638	028-15330			M Holdings Securities, Inc.
0001432354-22-000017	134091		028-15178			Mirae Asset Global Investments Co., Ltd.
0000950123-22-006761	134087					Syncona Investment Management Limited
0000950123-22-006761	134086					Syncona Limited
0000950123-22-006761	134085					Syncona Portfolio Limited
0000950123-22-006759	134092					Syncona Holdings Limited
0000950123-22-006759	134093					Syncona Limited
0000950123-22-006759	134094					Syncona Investment Management Limited
0000950123-22-006757	134088					Syncona Portfolio Limited
0000950123-22-006757	134089					Syncona Holdings Limited
0000950123-22-006757	134090					Syncona Investment Management Limited
0000950123-22-006755	134084					Syncona Limited
0000950123-22-006755	134083					Syncona Holdings Limited
0000950123-22-006755	134082					Syncona Portfolio Limited
0001172661-22-001523	134060	0001388391	028-12094			Walleye Trading LLC
0001172661-22-001522	134071	0001388391	028-12094			Walleye Trading LLC
0001050471-22-000003	134055		028-10469			Lazard Asset Managemnt LLC
0000919574-22-003644	134067	0001511881	028-14308			Theleme Partners LLP
0000038777-22-000123	134073	0000038777	028-00734			FRANKLIN RESOURCES INC
0001172661-22-001512	134048	0001390777	028-12592			Bank of New York Mellon Corp
0000950123-22-006713	134072		28-14494			Cisco Systems, Inc.
0001508097-22-000032	134070	0001678434	028-17483			Emerald Acquisition Ltd.
0001508097-22-000031	134059	0001678434	028-17483			Emerald Acquisition Ltd.
0001508097-22-000030	134061	0001678434	028-17483			Emerald Acquisition Ltd.
0001508097-22-000029	134058	0001692234	028-17598			Russell Investments Group, Ltd.
0001508097-22-000028	134046	0001692234	028-17598			Russell Investments Group, Ltd.
0001508097-22-000027	134057	0001692234	028-17598			Russell Investments Group, Ltd.
0001508097-22-000026	134050	0001692234	028-17598			Russell Investments Group, Ltd.
0001508097-22-000025	134063	0001692234	028-17598			Russell Investments Group, Ltd.
0001508097-22-000024	134044	0001692234	028-17598			Russell Investments Group, Ltd.
