ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000919192-22-000009	0	3002	12592024	N
0001567619-22-013459	0	1	56652	N
0001519676-22-000014	0	172	278085	
0001519676-22-000012	0	186	369296	
0001519676-22-000010	0	286	438232	
0001519676-22-000008	0	229	271100	
0001519676-22-000006	0	214	372686	
0001817681-22-000003	0	2	864176	N
0001104659-22-074155	31	96	23967124	
0001666788-22-000003	0	177	143270	N
0001725547-22-000105	0	1	20894	N
0001085146-22-002263	0	21	532447	N
0000950123-22-006880	0	785	1497255	N
0000950123-22-006874	0	11	141953	N
0001398344-22-012164	0	28720	149365	
0001567619-22-013024	0	1	154044	N
0001831985-22-000010	0	61	123763	N
0000779519-22-000003	0	62	92214	N
0001085146-22-002260	0	81	345416	N
0001839882-22-013161	0	128	257949	
0001831985-22-000009	0	74	191412	N
0001831985-22-000008	0	73	166445	N
0001831985-22-000007	0	68	153452	N
0001831985-22-000006	0	80	220062	N
0001831985-22-000005	0	77	202806	N
0001405086-22-000189	4	16	201072	N
0001831985-22-000004	0	77	203591	N
0001831985-22-000003	0	75	198429	N
0001650092-22-000005	0	97	241708	N
0001698926-22-000002	0	126	200462	N
0001172661-22-001532	0	1	161533	
0001172661-22-001531	0	2	214419	
0000950123-22-006858	0	2	44911	N
0000950123-22-006857	0	2	33877	N
0001606587-22-001278	0	110	102482	N
0001059057-22-000005	0	117	188354	N
0001754960-22-000152	0	49	38188	N
0001754960-22-000151	0	47	37538	N
0001455495-22-000002	0	304	435678	N
0001606587-22-001276	0	260	503904	N
0000902664-22-003256	0	1	57964	
0000923338-22-000006	0	13	1375975	
0001420506-22-001152	0	128	643115	N
0001606587-22-001274	0	51	42898	N
0001606587-22-001270	0	806	1491997	N
0001420506-22-001150	0	135	528149	N
0001132716-22-000013	0	20	4169748	
0001513227-22-000002	0	52	63162	N
0001905128-22-000004	10	610	1490146	N
0001931750-22-000002	0	33	115384	
0001931750-22-000001	0	40	116504	
0001735605-22-000003	0	126	234323	N
0001376474-22-000283	0	42	463347	N
0001398344-22-011689	0	101	217685	
0001221073-22-000049	0	108	112744	
0001085146-22-002241	0	251	266116	N
0000950123-22-006807	0	2	2795715	N
0001606587-22-001266	0	221	507887	N
0001606587-22-001265	0	218	479994	N
0001606587-22-001264	0	205	421417	N
0001766929-22-000003	0	36	287555	N
0000714142-22-000002	21	2317	10262794	N
0001730083-22-000004	1	21	24144	N
0001652442-22-000005	0	36	2783297	
0001085146-22-002239	0	136	369422	
0001567619-22-012405	0	1	5050	N
0001221073-22-000048	0	81	122481	
0001085146-22-002237	0	190	262422	N
0001085146-22-002236	0	130	341038	N
0001606587-22-001261	0	51	42898	N
0001606587-22-001259	0	52	37192	N
0001918181-22-000004	0	2	216924	N
0001918181-22-000003	0	1	107233	N
0001606587-22-001257	0	52	37405	N
0001918181-22-000002	0	2	412036	N
0001918181-22-000001	0	1	111316	N
0001606587-22-001255	0	50	33112	N
0001085146-22-002232	0	142	75213	
0001104659-22-068183	0	1	8222	
0001104659-22-068184	0	2	53399	
0000902664-22-003171	0	2	225887	
0000902664-22-003172	0	2	200365	
0001062993-22-014300	0	951	7021896	N
0001633037-22-000002	0	539	1052694218	N
0000950123-22-006784	0	115	361906	N
0001606587-22-001252	0	543	1494260	N
0001606587-22-001251	0	549	1361393	N
0001606587-22-001248	0	523	1389664	N
0001606587-22-001247	0	501	1269318	N
0001567619-22-012046	7	3233	47658098	N
0001085146-22-002226	0	316	333678	N
0001454027-22-000004	2	3236	8322405	N
0001725547-22-000102	0	17	349175	N
0001931642-22-000006	0	129	127940	N
0001931642-22-000005	0	143	126091	N
0001085146-22-002224	2	104	345119	
0001221073-22-000047	0	76	120495	
0001910666-22-000004	0	677	165534	N
0000950123-22-006759	3	4	104681	N
0001628280-22-015758	1	65	2677409	N
0001062993-22-013855	0	50	107825	N
0001911264-22-000004	0	64	127796	Y
0001606587-22-001238	0	92	130868	N
0001606587-22-001236	0	99	136788	N
0001642044-22-000005	0	18	11909	
0001012975-22-000255	0	8	699754	N
0001567619-22-011873	0	2	11422	N
0000950123-22-006736	0	51	1895745	N
0001787423-22-000005	0	4	115171	N
0001172661-22-001523	0	2250	3741517	
0001172661-22-001522	0	2067	3219482	
0001867894-22-000003	0	80	140448	
0001867894-22-000002	0	76	150332	
0001616328-22-000002	0	275	973835	N
0001845688-22-000002	0	565	22983	N
0001908938-22-000003	0	633	276741	N
0001606587-22-001234	0	198	231615	N
0001104659-22-065622	0	1	401156	
0000950123-22-006722	0	66	489881	N
0001649451-22-000006	0	977	2016285000	N
0001542265-22-000004	0	1254	3892671	N
0001058470-22-000005	0	161	587247	N
0001764970-22-000003	0	396	154410	N
0001567619-22-011734	0	3	287879	N
0001606587-22-001232	0	205	263853	N
0000919574-22-003643	2	10	5982147	
0000919574-22-003642	1	8	3503184	
0001172661-22-001520	0	24	585994	
0001172661-22-001519	0	24	548165	
0001172661-22-001518	0	24	545451	
0001172661-22-001517	0	24	497951	
0001172661-22-001516	0	23	463265	
0001172661-22-001515	0	23	405284	
0001172661-22-001514	0	24	372977	
0001172661-22-001513	0	24	319658	
0000038777-22-000123	2	60	3117077	
0001172661-22-001512	0	306	2509396	
0001567619-22-011726	0	196	39257395	N
0001930301-22-000003	0	73	83663	N
0001930301-22-000002	0	75	86970	N
0001037792-22-000011	1	239	1857272	N
0001802862-22-000003	0	30	130631	N
0001844894-22-000004	0	275	173196	N
0001844895-22-000003	0	131	194854	N
0000950123-22-006712	1	5	260733	N
0001508097-22-000032	0	47	12316570	N
0001083323-22-000002	0	181	261261	N
0001508097-22-000031	0	47	12316570	N
0001508097-22-000030	0	44	12904181	N
0001508097-22-000029	0	42	14501319	N
0001508097-22-000028	0	42	31442856	N
0001508097-22-000027	0	40	24380665	N
0001508097-22-000026	0	42	29711112	N
0001508097-22-000025	0	45	32033328	N
0001508097-22-000024	0	44	40760456	N
0001508097-22-000023	0	44	45153542	
0001652348-22-000003	0	109	191733	N
0000870260-22-000003	0	242	259396	N
0000036644-22-000004	0	541	1958342	N
0001928999-22-000003	0	1572	187862	N
0001710537-22-000008	1	3121	394272	N
0000950123-22-006704	0	209	803615	N
0001508097-22-000022	0	38	16922309	N
0001508097-22-000021	0	40	24700858	N
0001508097-22-000020	0	46	48198764	N
0001508097-22-000019	0	40	24071837	N
0001508097-22-000018	0	42	23041107	N
0001508097-22-000017	0	44	19926705	N
0001508097-22-000016	0	45	48338305	N
0001569638-22-000001	1	502	1320775	N
0001508097-22-000015	0	43	21830690	
0001508097-22-000014	0	41	20375503	N
0001508097-22-000013	0	40	19508339	N
0001508097-22-000012	0	41	19896230	N
0001508097-22-000011	0	38	17958762	N
0001420506-22-001127	0	141	226980	N
0001508097-22-000010	0	38	16922309	N
0001508097-22-000009	0	40	15078101	N
0001062993-22-013352	0	108	338948	Y
0001581298-22-000002	0	172	1196744	N
0001089707-22-000002	0	90	163280	N
0000869367-22-000003	0	77	1344868	N
0001567619-22-011589	0	36	299094	N
0001420506-22-001125	0	1	17324	N
0001138486-22-000004	0	441	816448	N
0001508097-22-000008	0	44	53798689	N
0001573876-22-000012	34	3985	3397443	
0001567619-22-011475	3	428	1327169	N
0001597298-22-000004	0	207	157363	N
0001420506-22-001120	0	139	230971	N
0001062993-22-013224	0	120	156788	N
0001832521-22-000004	0	61	144179	N
0001053292-22-000005	0	45	199029	N
0001632253-22-000003	0	58	206124	N
0001567619-22-011448	8	3423	118027464	N
0001451531-22-000002	1	23	2530724	N
0001930346-22-000001	0	435	611372	N
0000950123-22-006670	1	2182	12906858	N
0001606587-22-001230	0	193	389457	N
0001606587-22-001228	0	185	342807	N
0001606587-22-001227	0	189	415863	N
0001606587-22-001226	0	354	655802	N
0001567619-22-011366	0	1	1128132	N
0001398344-22-010157	0	637	4555221	
0001928999-22-000002	0	1587	198747	N
0001850901-22-000004	0	15	461759	N
0001221073-22-000046	0	210	480226	
0001221073-22-000045	0	145	432562	
0001085146-22-002214	0	85	582175	N
0001508097-22-000006	0	44	50189067	N
0001315863-22-000428	0	242	884879	N
0001567619-22-011353	0	20	864242	N
0000950103-22-008903	4	3	188702	
0001387131-22-006334	0	52	1079681	
0001770632-22-000008	3	234	3679136	N
0001145443-22-000169	8	3041	118608522	
0000919574-22-003573	2	16	426760	
0000950123-22-006648	0	70	330275	N
0001062993-22-013078	0	624	814387	N
0001834913-22-000004	2	1149	3356692	N
0001308685-22-000007	0	1	148838	
0000749044-22-000003	1	509	715695	N
0001563525-22-000002	0	563	1309838	N
0001600145-22-000005	0	308	943339	N
0001062993-22-013058	0	66	102818	N
0000873687-22-000003	0	5	120640	N
0001172661-22-001506	1	2	84677	
0001172661-22-001505	1	2	108419	
0001172661-22-001504	1	5	212043	
0001567619-22-011257	0	2	98373	N
0001567619-22-011256	0	1	57346	N
0001567619-22-011255	0	1	63097	N
0000803016-22-000018	0	32	180103	N
0001567619-22-011254	0	1	32125	N
0001754960-22-000150	0	11	95081	
0001720777-22-000002	0	252	530557	N
0001065350-22-000011	2	580	580757460	N
0001065350-22-000010	2	440	405104247	N
0001065350-22-000009	3	258	2016399	N
0001776033-22-000003	0	307	510085	N
0001065350-22-000008	3	160	1755034	N
0001065350-22-000007	3	295	8924807	N
0001065350-22-000006	2	454	438612013	N
0001065350-22-000005	3	231	9141769	N
0000821103-22-000004	0	75	142392	N
0001875768-22-000004	0	111247	64	N
0001606587-22-001224	0	80	324213	N
0001062993-22-012945	0	299	334113	N
0001567619-22-011233	0	14	426222000	N
0001085146-22-002212	0	41	145445	
0001819581-22-000006	0	64	320982	N
0001580642-22-002805	0	691	2845955	
0001420506-22-001116	0	11	1674181	N
0001567619-22-011197	0	7	3198661	N
0001606587-22-001222	0	158	201497	N
0001166588-22-000018	2	8180	74382663	
0001693838-22-000004	0	69	255682	
0001483824-22-000003	0	93	837589	N
0001513126-22-000003	0	132	1648542	N
0001172661-22-001501	0	10	210714	
0001736648-22-000001	0	76	822101	N
0001845003-22-000003	0	195	198686	N
0001104659-22-062407	0	1	805	
0001104659-22-062400	0	3	284928	
0000921895-22-001720	2	1	40128	
0001768635-22-000002	0	199	302897	N
0001567619-22-011178	0	396	955870	N
0000884548-22-000002	0	161	962181	N
0001821268-22-000121	0	221	490309	
0001567619-22-011165	0	160	954689	N
0001713521-22-000002	0	95	214028	N
0001641438-22-000003	0	320	539392	N
0001567738-22-000005	0	43	374211	N
0000936938-22-000002	0	86	152096	N
0001085146-22-002210	0	19	134552	
0001080382-22-000016	0	74	544518	
0001085146-22-002209	0	104	226343	N
0001567619-22-011156	0	312	579360	N
0001567619-22-011155	0	512	768565	N
0001567619-22-011152	0	914	11079133	N
0001567619-22-011150	0	1435	15221188	N
0001597694-22-000005	0	162	6090034	N
0001214659-22-007164	0	3	43521	
0001567619-22-011132	6	2459	33411215	N
0001928635-22-000001	0	171	156492	N
0001213900-22-027777	0	246	1237122	
0001567619-22-011122	1	1	137243	N
0001567619-22-011117	1	1	115550	N
0001800641-22-000006	0	21	327772	
0001567619-22-011087	0	1	2318	N
0001420506-22-001114	0	30	86372	N
0001808748-22-000002	0	87	268176	N
0001540866-22-000005	0	9	486318	
0001172661-22-001499	1	571	9074396	
0001908938-22-000002	0	634	276741	N
0001313893-22-000002	0	102	851794	N
0001803386-22-000002	0	61	2167	N
0001846532-22-000004	0	375	526695	N
0001803386-22-000001	0	133	36518	N
0001105863-22-000002	0	169	630629	N
0001221362-22-000002	0	320	4138190	N
0001062993-22-012695	0	249	296114	N
0001437749-22-012765	0	465	216137	N
0001437749-22-012764	0	518	335756	N
0001849517-22-000008	0	23	261040	N
0001694283-22-000003	0	73	128827	N
0001313294-22-000004	0	347	2093703	N
0001533964-22-000006	3	1439	1350580	N
0001476804-22-000007	0	291	973252	N
0000950123-22-006609	1	1	55400	N
0001314377-22-000002	5	313	309627	N
0000950123-22-006608	1	1	50700	N
0001387131-22-006230	3	1484	6493995	N
0000950123-22-006605	1	1	68800	N
0000950123-22-006604	1	1	78960	N
0000950123-22-006602	1	1	59743	N
0000950123-22-006599	1	1	54377	N
0001215208-22-000004	5	303	136899	N
0000950123-22-006597	1	1	76229	N
0000950123-22-006595	1	1	67606	N
0001706164-22-000002	0	172	408318	N
0001215208-22-000003	4	306	332276	N
0001398344-22-009801	0	1854	122970	
0001172661-22-001498	0	516	899135	
0001215208-22-000002	4	337	621094	N
0001592616-22-000002	3	238	280225	N
0001846677-22-000006	0	23	441966	N
0001172661-22-001497	0	2	754549	
0001172661-22-001496	0	1	352407	
0001541617-22-000015	0	22	6925171	N
0001315863-22-000418	0	11	922634	N
0001172661-22-001493	2	300	7063911	
0001595888-22-000014	5	12510	309147605	N
0001213900-22-027401	0	284	1301115	
0001882903-22-000003	0	29	143833	N
0000950123-22-006564	0	22	105317	N
0001633275-22-000006	0	161	1684713	N
0001420506-22-001109	0	50	93525	N
0001849517-22-000007	0	23	261038	N
0001848237-22-000003	0	591	423423	N
0000950123-22-006579	0	2	1059658	N
0001085146-22-002206	0	16	2322105	N
0000950123-22-006568	1	615	1828791	N
0001845849-22-000002	1	30	4166000	N
0001085146-22-002205	0	1192	7294507	N
0001908275-22-000003	0	106	109758	N
0001750585-22-000003	0	24	106438	N
0001681681-22-000003	0	5	272408	N
0001398344-22-009797	0	952	452459	
0001688382-22-000015	0	101	656478	
0000950123-22-006577	0	1	0	N
0001314376-22-000002	5	342	391412	N
0001864910-22-000002	0	603	362185	N
0001777469-22-000004	0	40	179697	N
0001541617-22-000014	0	22	6925171	N
0001611518-22-000004	0	207	588398	N
0001665590-22-000002	0	32	347039	N
0001777469-22-000003	0	40	157515	N
0001420506-22-001112	0	190	973986	N
0001162695-22-000002	0	53	162507	N
0001076809-22-000128	0	618	3564608	
0001420506-22-001107	0	15	143361	N
0001681681-22-000004	0	981	8972438	N
