ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001567619-22-007750	0	4	1204707	N
0001085146-22-001269	0	39	106086	
0001580642-22-001796	0	166	1765597	
0001580642-22-001797	0	181	1954125	
0001095449-22-000027	0	43	102677	N
0001580642-22-001795	0	165	1729243	
0001882673-22-000014	0	128	104484	N
0001178913-22-001290	2	368	522752	
0001833471-22-000002	0	0	0	N
0001133219-22-000001	0	35	286940	N
0000930413-22-000611	0	126	281829	
0001591122-22-000003	0	561	1820974	N
0001754960-22-000075	0	48	126760	
0000897101-22-000322	0	205	262979	
0001580642-22-001661	0	122	483704	
0001918613-22-000001	0	56	114188	
0001085146-22-001261	0	212	204673	N
0001733456-22-000001	0	40	129279	N
0001785199-22-000002	0	58	140833	Y
0001910666-22-000002	0	668	162279	N
0001172661-22-001036	1	77	3708143	
0001398344-22-006173	0	1560	1395720	
0001104659-22-036346	0	2	351931	
0001808361-22-000002	0	61	126452	N
0001420506-22-000572	0	106	79387	N
0001420506-22-000570	0	99	65621	N
0001420506-22-000568	0	81	56168	N
0001420506-22-000566	0	55	32608	N
0001420506-22-000564	0	11	168815	N
0001420506-22-000562	0	12	154241	N
0001420506-22-000560	0	12	155477	N
0001420506-22-000558	0	12	140274	N
0001058800-22-000004	0	142	756296	N
0001894203-22-000005	0	28	550099	N
0001894203-22-000004	0	28	512968	N
0001567619-22-007210	0	1	138471	N
0001172661-22-001032	0	4	70026	
0001172661-22-001031	0	45	251555	
0001172661-22-001030	0	12	149910	
0001172661-22-001029	0	37	180953	
0001172661-22-001028	0	10	132909	
0001172661-22-001027	0	32	153098	
0001172661-22-001026	0	11	110771	
0001172661-22-001025	0	33	135139	
0000919574-22-002339	1	11	5982147	
0001172661-22-001024	0	13	117341	
0001172661-22-001023	0	32	136334	
0001172661-22-001022	0	12	115779	
0001172661-22-001021	0	30	120745	
0001172661-22-001020	0	4	4121	
0001172661-22-001019	0	35	186700	
0001917686-22-000001	0	97	329230	N
0001877090-22-000002	0	166	123472	
0001905128-22-000003	5	443	1310311	N
0001914606-22-000005	0	45	233713	
0001914606-22-000004	0	47	217251	
0001914606-22-000003	0	44	209596	
0001914606-22-000002	0	38	166109	
0001914606-22-000001	0	38	152072	
0001398344-22-005998	0	215	134968	
0001580642-22-001562	0	842	256821	
0001214659-22-004023	0	167	1156816	
0000950123-22-003490	1	26	558375	N
0001085146-22-001249	0	88	106162	
0001787423-22-000002	0	4	150139	N
0001580642-22-001514	0	130	249394	
0001889283-22-000001	0	4	150138	N
0001868491-22-000001	0	119	134910	N
0001172661-22-001018	1	32	13095134	
0001628280-22-006172	1	68	2663471	N
0001606587-22-000617	0	133	299744	N
0001914083-22-000004	0	3	4594019	Y
0001914083-22-000002	0	3	4329790	Y
0001914083-22-000008	0	3	4488016	Y
0001214659-22-003925	0	374	1936303	
0001914083-22-000006	0	3	3561146	Y
0001914083-22-000003	0	4	4552943	Y
0001914083-22-000012	0	4	3712843	Y
0001914083-22-000001	0	3	3222008	Y
0001914083-22-000013	0	4	5296036	Y
0001914083-22-000009	0	3	4981464	Y
0001914083-22-000011	0	6	4260572	Y
0001914083-22-000010	0	4	5250189	Y
0001914083-22-000007	0	4	4169467	Y
