ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001390777-22-000044	130224	0001390777	028-12592			Bank of New York Mellon Corp
0000950123-22-003565	130223		028-16612			UBS Group AG
0000950123-22-003563	130222		028-16612			UBS Group AG
0001172661-22-001032	130201	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001031	130184	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001030	130198	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001029	130183	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001028	130194	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001027	130193	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001026	130192	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001025	130182	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001024	130196	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001023	130200	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001022	130190	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001021	130204	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001020	130197	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001172661-22-001019	130191	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0001905128-22-000003	130187		028-01203			CS McKee
0001905128-22-000003	130189		028-07104			WCM
0001905128-22-000003	130188		028-03425			NewSouth
0001905128-22-000003	130186		028-02204			Brandywine
0001905128-22-000003	130185		028-10562			AllianceBernstein
0000950123-22-003492	130203					THRC Management, LLC
0001541597-22-000001	130199	0001132597	028-17515			Itau Unibanco Holding S.A.
0001178913-22-001052	130202	0001912576	028-22354			Psagot Value Holdings Ltd. / (Israel)
0001178913-22-001050	130205	0001912576	028-22354			Psagot Value Holdings Ltd. / (Israel)
0000950123-22-003429	130195		028-13183			Citadel Advisors LLC
0001792397-22-000003	130166	0001379119	028-12015			Livingston Group Asset Management CO (operating as Southport Capital Management)
0001792397-22-000002	130167	0001379119	028-12015			Livingston Group Asset Management CO (operating as Southport Capital Management)
0001567619-22-006750	130162	0001879898				Atlas FRM LLC
0001567619-22-006749	130165	0001879898				Atlas FRM LLC
0001567619-22-006684	130163	0001915565	028-22361			Wealthsimple Inc.
0001178913-22-000955	130168	0001912576	028-22354			Psagot Value Holdings Ltd. / (Israel)
0001178913-22-000953	130164	0001912576	028-22354			Psagot Value Holdings Ltd. / (Israel)
0001172661-22-001011	130146	0001388391	028-12094			Walleye Trading LLC
0001104659-22-029079	130147	0001807622	028-22049			Certares Management LLC
0001104659-22-029079	130148	0001512397	028-14346			Knighthead Capital Management, LLC
0001104659-22-029078	130144	0001807622	028-22049			Certares Management LLC
0001104659-22-029078	130145	0001512397	028-14346			Knighthead Capital Management, LLC
0001104659-22-029076	130143	0001512397	028-14346			Knighthead Capital Management, LLC
0001667108-22-000001	130149	0001534653	028-17303			Skandinaviska Enskilda Banken AB (publ)
0001172661-22-001006	130142	0000940445	028-04852			BURNEY CO/
0001297254-22-000004	130124					WESTWOOD HOLDINGS GROUP INC.
0001607761-22-000006	130127					WESTWOOD HOLDINGS GROUP INC.
0000949471-22-000004	130126					WESTWOOD HOLDINGS GROUP INC.
0001607760-22-000004	130125					WESTWOOD HOLDINGS GROUP INC.
0001844161-22-000005	130122					Arch Capital Group Ltd.
0000834237-22-008705	130123	0001364742	028-12019			BlackRock Inc.
0000834237-22-008704	170690					Nationwide Mutual Funds/Nationwide Fund Advisors
0000834237-22-008704	170689					RUSSELL FRANK CO
0000834237-22-008704	170691					Nationwide Variable Insurance Trust and Nationwide Fund Advisors
0001567619-22-005334	130131	0001512944	028-14368			Hall Kathryn A.
0001567619-22-005082	130015	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005078	129615	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005075	129954	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005074	129921	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005073	129990	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005072	129533	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005070	129277	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005069	129255	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005068	129909	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005067	129808	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005066	129576	0001911876	028-22275			BSN Capital Partners Ltd
0001567619-22-005065	130111	0001911876	028-22275			BSN Capital Partners Ltd
