ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001228242-21-000011	0	841	16261643	N
0001493152-21-024051	1	1	10400	
0000950123-21-012659	0	37	671542	N
0001764059-21-000007	0	119	330714	N
0001387322-21-000015	0	62	15319403	
0000950123-21-012599	6	4294	49139053	N
0001655156-21-000003	0	49	134031	N
0001376474-21-000315	0	41	379815	N
0001376474-21-000314	0	48	358429	N
0001376474-21-000313	0	49	466804	N
0001376474-21-000311	0	51	329667	N
0001376474-21-000310	0	54	308893	N
0001376474-21-000309	0	48	214353	N
0001750183-21-000007	0	120	1188110	N
0001012975-21-000351	2	24	321845	N
0001376474-21-000308	0	48	272875	N
0001104659-21-118199	0	7	3634355	
0001447228-21-000010	0	28	2484890	
0001701057-21-000006	0	68	226783	N
0001883134-21-000004	0	302	122340	N
0001883134-21-000003	0	335	133078	N
0001883134-21-000002	0	302	122340	N
0001542108-21-000004	0	100	633020	N
0001818759-21-000004	0	277	582336	N
0001567619-21-017250	0	1	18744	N
0001567619-21-017248	0	1	17413	N
0001567619-21-017247	0	1	16823	N
0001567619-21-017245	0	1	16979	N
0000950123-21-012428	0	4	8849	N
0000950123-21-012427	0	5	38313	N
0001104659-21-116827	0	5	854229	
0001533964-21-000006	3	1437	1029134	N
0000884548-21-000005	0	166	833018	N
0001580642-21-004477	1	3136	12547276	
0001580642-21-004476	1	3136	12547276	
0001580642-21-004475	1	3136	12547276	
0001580642-21-004474	1	3136	12547276	
0001580642-21-004473	1	3136	12547276	
0001580642-21-004472	1	3136	12547276	
0001580642-21-004454	1	3136	12547276	
0001580642-21-004453	1	3136	12547276	
0001580642-21-004452	1	3136	12547276	
0001613939-21-000027	0	930	902195	N
0001567619-21-017057	0	1	6100	N
0001613939-21-000026	0	753	829724	N
0001567619-21-017051	0	361	1740249	N
0001567619-21-017016	0	112	272701	N
0001567619-21-017006	9	26485	962518342	N
0001613939-21-000025	0	798	841362	N
0001613939-21-000024	0	847	863815	N
0001613939-21-000023	0	794	773066	N
0001613939-21-000022	0	795	843593	N
0001613939-21-000021	0	789	807666	N
0001613939-21-000020	0	799	803087	N
0001613939-21-000019	0	830	838037	N
0001613939-21-000018	0	858	804807	N
0001613939-21-000017	0	804	784952	N
0001613939-21-000016	0	792	772669	N
0001613939-21-000015	0	745	648056	N
0001613939-21-000014	0	758	664589	N
0001818759-21-000003	0	286	610844	N
0001818759-21-000002	0	290	650541	N
0001811005-21-000008	0	236	218604	
0001811005-21-000007	0	223	192634	
0001811005-21-000006	0	217	178135	
0001811005-21-000005	0	196	173264	
0001011443-21-000015	0	4	16289	
0001011443-21-000014	0	555	7638718	N
0001519924-21-000012	0	131	2090796	N
0001398344-21-018670	0	245	1772301	
0001632078-21-000008	0	132	324562	N
0001172661-21-001916	0	73	470314	
0001172661-21-001915	0	73	422440	
0001172661-21-001914	0	70	386880	
0001172661-21-001913	0	68	347569	
0001172661-21-001912	0	65	316334	
0001172661-21-001911	0	64	263987	
0001172661-21-001910	0	70	345924	
0001740491-21-000008	0	696	178234	N
0001740491-21-000007	0	678	161226	N
0001398344-21-018573	0	103	205790	
0001398344-21-018572	0	10116	181043	
0001398344-21-018569	0	92	169361	
0001398344-21-018568	0	65	119454	
0001398344-21-018566	0	65	134626	
0001398344-21-018562	0	34	34274	
0001398344-21-018561	0	82	77898	
0001085146-21-002636	0	114	173032	N
0001879757-21-000009	0	1502	163217	N
0001879757-21-000008	0	1375	135804	N
0001879757-21-000007	0	1102	121486	N
0001879757-21-000006	0	1072	101505	N
0001613939-21-000013	0	749	644300	N
0001613939-21-000011	0	805	932515	N
0001613939-21-000010	0	818	777095	N
0001764754-21-000023	0	2626	1930394	N
0001764754-21-000022	0	2561	1799219	N
0001764754-21-000021	0	2468	1489775	N
0001764754-21-000020	0	2541	1875597	N
0001764754-21-000019	0	2484	1675657	N
0001764754-21-000018	0	2487	1613593	N
0001764754-21-000017	0	2397	1516712	N
0001764754-21-000016	0	2376	1353005	N
0001764754-21-000015	0	2405	1503005	N
0001764754-21-000014	0	2252	1283996	N
0001764754-21-000013	0	2163	1146192	N
0001764754-21-000012	0	2163	1120208	N
0001764754-21-000011	0	2112	1007663	N
0001764754-21-000010	0	2065	975893	N
0001764754-21-000009	0	2054	962596	N
0001764754-21-000008	0	2044	759011	N
0001764754-21-000007	0	1968	743679	N
0001764754-21-000006	0	1799	690131	N
0001764754-21-000005	0	1783	654966	N
0001613939-21-000009	0	751	621144	N
0000950123-21-012109	0	3592	178439109	N
0001713458-21-000003	0	1139	903193	N
0001089877-21-000025	1	1244	21524224	
0001535847-21-000003	1	2233	4985680	N
0001613939-21-000008	0	825	994987	N
0001832093-21-000005	0	256	125197	N
0001832093-21-000004	0	241	145190	N
0001839307-21-000004	0	243	161162	N
0001628280-21-017949	0	70	2683616	N
0001398344-21-018156	0	24	163804	
0001850996-21-000003	1	289	169653	N
0001137774-21-000127	0	835	62187	
0001137774-21-000126	0	656	27890	
0001137774-21-000125	0	415	7673	
0001137774-21-000124	0	2	25	
0001062993-21-008065	0	512	505429	N
0001731191-21-000009	0	22	366925	N
0001777817-21-000004	0	359	339614	N
0001862965-21-000004	0	45	104	N
0001012975-21-000336	0	24	10487072	N
0001688382-21-000006	0	88	364641	
0001085146-21-002633	0	63	212312	
0001085146-21-002632	0	825	3334546	N
0001847956-21-000005	0	87	196162	
0001372130-21-000004	0	223	525785	N
0001740491-21-000006	0	668	153771	N
0000903783-21-000005	0	331	364191	N
0001420506-21-001346	0	71	363239	N
0001839826-21-000009	0	98	174219	N
0001279708-21-000005	0	42	185476	N
0000947871-21-000964	2	945	6722941	
0001062993-21-008001	0	1	92143	N
0001536558-21-000004	0	0	0	N
0001633055-21-000007	0	57	363842	
0001325091-21-000019	2	13	142848	
0001325091-21-000018	2	2811	24073585	N
0001325091-21-000017	2	22	276624	
0001325091-21-000016	2	2401	21959772	N
0000950123-21-011883	12	87	79923	N
0000897070-21-000007	0	110	1108749	N
0001512858-21-000004	0	46	380389	N
0001420506-21-001342	0	589	393442	N
0001602476-21-000003	0	101	258290	N
0001536262-21-000004	0	23	428918	N
0001843867-21-000009	0	63	181949	N
0000950123-21-011879	2	3555	16749	N
0001325091-21-000015	2	3	3065	
0001325091-21-000014	2	327	1586562	
0001325091-21-000013	2	135	407812	
0001325091-21-000012	2	2055	23648347	N
0001754960-21-000164	0	132	113756	N
0001567619-21-016316	4	52	2197308	N
0000949509-21-000019	2	1	52910	
0001492815-21-000004	0	26	979404	N
0001172661-21-001906	0	9	2536554	
0001350706-21-000014	3	3	516029	N
0001720777-21-000003	0	280	306496	N
0001398344-21-016733	0	535	3606947	
0001466697-21-000015	0	466	917192	
0001172661-21-001905	1	7	236567	
0001466697-21-000014	0	804	1084280	N
0001172661-21-001904	2	5	174988	
0001172661-21-001903	2	2	34404	
0001681614-21-000006	0	31	438128000	N
0001580642-21-003941	1	920	16117461	
0001262124-21-000012	0	138	703306	N
0001524828-21-000013	2	69	200136	
0001599054-21-000004	0	78	628591	N
0001740837-21-000011	2	68	564164	N
0001740837-21-000010	2	70	452006	N
0001740837-21-000009	2	70	335592	N
0001811005-21-000004	0	261	431217	
0001740837-21-000008	2	73	214007	N
0001721608-21-000006	0	64	968790	N
0001398344-21-016691	0	2	21050	
0001085146-21-002622	0	82	345971	N
0001085146-21-002621	0	79	119435	N
0001085146-21-002620	0	68	104233	N
0000921895-21-002177	0	1	647	
0001641604-21-000005	0	26	192260	
0001879206-21-000003	0	69	97452	N
0001540944-21-000003	0	138	552832	N
0001014306-21-000006	0	185	480703	N
0001172661-21-001900	1	84	485473	
0001172661-21-001898	1	20	273456	
0001568890-21-000004	0	125	250465	N
0000895421-21-000475	16	31178	758132599	N
0001729254-21-000006	0	969	243735	N
0001104659-21-108204	1	53	1119722	N
0001104659-21-108202	1	49	690053	N
0001104659-21-108200	2	43	2269038	N
0001104659-21-108199	1	41	1631620	N
0001104659-21-108195	3	34	2269601	N
0001104659-21-108194	4	41	2275848	N
0001104659-21-108192	0	182	500200	
0001085146-21-002619	4	1626	16890378	N
0001600035-21-000005	0	931	826393	
0001524828-21-000011	2	69	200136	
0001062993-21-007811	0	728	51721402	N
0001772593-21-000008	0	8	233353	N
0000894205-21-000006	0	80	688738	Y
0001142941-21-000008	0	273	214496	N
0000950123-21-011720	6	3342	39772973	N
0001172661-21-001897	0	16	110176	
0001704720-21-000061	0	5	3276837	N
0001451531-21-000005	1	566	2013832	N
0001418812-21-000051	1	1	658464	
0001409427-21-000007	0	255	2325	N
0001764968-21-000004	0	138	273326	N
0001569638-21-000004	1	229	1023117	N
0001580642-21-003855	0	472	1421078	
0001730083-21-000003	1	15	16627	N
0000919574-21-005479	0	4	179026	
0001172661-21-001894	1	58	604972	
0000919574-21-005475	0	4	168830	
0000919574-21-005473	0	3	185496	
0000919574-21-005471	0	4	141216	
0000919574-21-005469	0	5	125565	
0001015086-21-000008	0	396	4276514	N
0000919574-21-005465	0	6	125623	
0000919574-21-005463	0	5	149049	
0000950123-21-011704	0	732	681818	N
0001625959-21-000003	0	247	1814565	N
0001085146-21-002618	0	498	958385	N
0001085146-21-002617	0	139	194454	N
0001632574-21-000006	1	10	135810	N
0001616328-21-000003	0	274	967430	N
0001681614-21-000003	0	25	191989000	N
0000947871-21-000946	0	661	10646622	
0001133219-21-000006	0	33	272608	N
0001133219-21-000005	0	33	270366	N
0000936698-21-000003	0	116	981523	N
0001420506-21-001327	0	211	1237007	N
0001420506-21-001325	0	292	2971249	N
0001105863-21-000005	0	164	603267	N
0001398344-21-016447	0	1	43821	
0001086611-21-000003	0	78	479980	N
0001080628-21-000006	0	764	5030766	
0001632253-21-000003	0	58	191566	N
0000045319-21-000005	3	408	2586504	N
0000950123-21-011665	0	42	468809	N
0000950123-21-011673	0	30	460120	N
0000950123-21-011667	0	43	524755	N
0000950123-21-011670	0	27	528063	N
0000950123-21-011671	0	38	531044	N
0000950123-21-011674	0	44	397924	N
0000950123-21-011672	0	22	344949	N
0000950123-21-011668	0	25	245856	N
0000950123-21-011669	0	43	583170	N
0000950123-21-011666	0	26	455926	N
0001178913-21-002758	3	412	3912355	
0000950123-21-011650	8	624	44315081	N
0001717479-21-000007	0	250	611716	N
0001415345-21-000004	1	59	739560	N
0001642274-21-000004	0	24	151018	N
0001848237-21-000004	0	305	239397	N
0001085146-21-002615	0	685	1573068	N
0001616004-21-000004	0	90	252566	N
0001740491-21-000005	0	695	207806	N
0001085146-21-002614	0	46	3767838	N
0001567619-21-016000	2	2	194658	N
0001493152-21-020457	0	1808	3112704	
0001172661-21-001892	0	58	1189867	
0001821219-21-000006	0	18	132408	N
0001138486-21-000004	0	501	827312	N
0001388028-21-000004	0	73	391909	N
0000890163-21-000042	0	117	1121707	
0001104659-21-106977	0	702	2149040	
0001599273-21-000003	0	85	1977386	N
0001606587-21-001239	0	104	80801	N
0000936938-21-000003	0	134	158512	N
0001062993-21-007633	0	44	117587	N
0001738723-21-000001	0	453	14723	N
0001733456-21-000003	0	36	128693	N
0000810121-21-000007	0	3808	2778373	N
0001844873-21-000007	0	81	188126	N
0001420506-21-001319	0	34	527347061	N
0000820434-21-000002	0	55	32149	N
0001398344-21-016368	0	986	454961	
0001767905-21-000003	0	5	192064	N
0000928052-21-000003	0	1116	4102292	N
0001160099-21-000007	0	50	171861	N
0001420506-21-001310	0	11	214120	N
0001172661-21-001890	0	12	81947	
0001080382-21-000009	0	685	1142524	
0001800641-21-000003	0	28	223689	N
0001160099-21-000006	0	50	171861	N
0001104659-21-106781	1	350	2037387	
0001172661-21-001889	0	21	182863	
0001315863-21-000708	0	1	9060	
0001012975-21-000326	0	150	7706312	
0001420506-21-001308	0	947	1816638	N
0001316580-21-000006	0	177	9114054	N
0001771067-21-000005	0	9	280373	N
0001536336-21-000007	0	13	179059	N
0001771067-21-000004	0	8	233353	N
0001067926-21-000005	0	44	1866	N
0001104659-21-106637	0	1	0	
0001700286-21-000009	0	26	186197	N
0001167376-21-000019	2	1	0	N
0000950123-21-011616	1	1	162928	N
0001104659-21-106530	0	44	346188	
0001104659-21-106544	0	3	315702	N
0001597857-21-000005	1	186	429348	N
0001583825-21-000005	3	1	820669	N
0001214659-21-008719	0	162	1305825	
0001062993-21-007586	0	163	5099031	N
0001555829-21-000005	0	228	1932715	N
0000950123-21-011622	1	1	342098	N
0001104659-21-106512	0	377	1277514	
0001420506-21-001306	0	285	423692	N
0001513137-21-000004	0	7	251558	N
0001846532-21-000020	0	269	321716	N
0001737088-21-000004	0	923	228199	N
0000950123-21-011596	6	542	20841906	Y
0001717479-21-000006	0	241	589306	N
0001104659-21-106652	0	50	810065	N
0001811739-21-000022	0	84	166057	N
0001214659-21-008717	0	202	376195	
0001845199-21-000003	0	447	146933	N
0001665590-21-000004	0	35	314285	N
0001606587-21-001238	0	24	296525	N
0001085146-21-002611	0	829	2822251	N
0001104659-21-106531	0	76	178757	
0001301396-21-000005	0	526	1080966	N
0001593387-21-000005	3	372	790836	N
0001652442-21-000003	0	30	2773212	N
0000950123-21-011621	1	1	266083	N
0001104659-21-106546	0	1	0	
0001062993-21-007590	0	28	6927270	N
0001698926-21-000003	0	122	183645	N
0000732847-21-000006	0	83	285709	N
0001062993-21-007588	0	172	975767	N
0001104659-21-106528	0	189	299884	
0001496201-21-000004	2	134	1432197	N
0001791965-21-000004	1	999	2023271	N
0001131181-21-000003	0	111	355646	N
0001104659-21-106636	0	2	35314	
0000914208-21-000482	11	19532	406582151	N
0001864910-21-000002	0	611	264569	N
0001085146-21-002610	0	23	4031478	N
0001606587-21-001236	0	334	832709	N
0001106832-21-000006	0	335	2976955	N
0001695459-21-000006	0	1	100763	N
0001782124-21-000009	0	23	601567	N
0000950123-21-011625	1	1	185156	N
0001162695-21-000004	0	40	458000	N
0001167376-21-000020	2	146	143174	N
0001569137-21-000004	0	117	2091518	N
0001420506-21-001305	0	127	309891	N
0001608046-21-000006	0	505	52642460	N
0001106832-21-000007	0	32	8496	N
0001568787-21-000004	6	269	1084041	N
0000950123-21-011623	1	1	117397	N
0001085146-21-002612	0	64	3330802	N
0000919192-21-000007	0	2182	12474857	N
0001405086-21-000228	1	49	1087929	N
0000950123-21-011593	0	741	40402632	N
0001420506-21-001303	0	156	3628143	N
0001741129-21-000006	0	38	487918	N
0001104659-21-106494	0	1208	381275	
0000861177-21-000011	5	18257	233723292	N
0001630888-21-000005	0	977	2817856	N
0001742435-21-000006	0	845	537654000	N
0001165002-21-000075	4	449	9870580	N
0001449434-21-000008	2	117	17670047	N
0001636587-21-000026	0	117	194599	N
0001172661-21-001887	0	42	2880652	
0001172661-21-001886	0	4	216338	
0000902219-21-000385	10	7618	600777243	N
0001567619-21-015936	0	3	256961	N
0001595888-21-000021	4	11652	255735516	N
0001725243-21-000004	0	90	179961	N
0001567619-21-015935	1	1884	3083150	N
0001567619-21-015933	1	25	144791	N
0001578621-21-000005	2	1089	6616780	N
0000902664-21-003906	0	40	1271116	
0001214659-21-008711	2	296	819982	
0001441843-21-000006	0	24	1276001	
0001567619-21-015932	0	63	7761758	N
0001564702-21-000006	0	776	1513105	N
0001531879-21-000012	3	32	304763	N
0001567619-21-015931	0	940	22256428	N
0001540866-21-000005	0	10	504199	N
0001420506-21-001302	0	144	363327	N
0001214659-21-008708	0	92	161995	
0001420506-21-001301	0	12	511127	N
0001493152-21-020260	0	48	602061	Y
0001567619-21-015930	1	2894	8872616	N
0001567619-21-015929	0	2	63466	N
0001567619-21-015928	1	100	398410	N
0001398344-21-016346	1	2640	19334972	
0000950123-21-011571	3	134	5449403	N
0001104659-21-106457	0	121	3519599	
0000950123-21-011566	8	623	44008549	N
0001050442-21-000014	0	83	5236785	N
0001848704-21-000002	0	136	214810	N
0001766357-21-000007	0	30	694365	N
0001803988-21-000003	0	64	176588	N
0001853322-21-000005	0	862	230833	N
0001085146-21-002609	0	126	17083306	N
0001104659-21-106450	0	3	365652	
