ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001803662-20-000001	0	98	104760	N
0001315863-20-000312	0	1	101218	
0001085146-20-000997	0	72	90845	
0001420506-20-000349	0	90	166127	N
0001730889-20-000005	0	150	150080	N
0001806668-20-000001	0	56	105480	N
0001085146-20-000996	0	75	106455	
0001420506-20-000346	0	87	164364	N
0001420506-20-000343	0	107	0	N
0000950123-20-002992	0	1	122951	N
0001802451-20-000001	0	408	93681	N
0001214659-20-002770	0	96	103607	
0001778131-20-000028	0	313	2114056	N
0001778131-20-000027	0	357	2033868	N
0001778131-20-000026	0	242	2102677	N
0001778131-20-000025	0	198	1987242	N
0001778131-20-000024	0	190	1563652	N
0001778131-20-000023	0	133	1603607	N
0001778131-20-000022	0	125	1399166	N
0001778131-20-000021	0	61	1294561	N
0001778131-20-000020	0	60	1335129	N
0001778131-20-000019	0	62	1329569	N
0001778131-20-000018	0	59	1337067	N
0001778131-20-000017	0	57	1386093	N
0001778131-20-000016	0	51	1271608	N
0001778131-20-000015	0	50	1187089	N
0001778131-20-000014	0	49	1081831	N
0001778131-20-000013	0	47	1328032	N
0001778131-20-000012	0	46	1260011	N
0001778131-20-000011	0	38	1063253	N
0001778131-20-000010	0	38	1126192	N
0001778131-20-000009	0	32	1023237	N
0001778131-20-000008	0	31	902248	N
0001778131-20-000007	0	30	826887	N
0001806226-20-000001	0	374	122871	N
0001778131-20-000006	0	30	918621	N
0001778131-20-000005	0	30	826500	N
0000870156-20-000011	0	29670	829257	N
0001760076-20-000004	1	56	117377	
0000950123-20-002922	11	3617	70037084	N
0001567619-20-006509	0	9	355452	N
0001606587-20-000349	0	492	177650	N
0001085146-20-000991	0	58	175376	
0001085146-20-000990	0	78	113385	
0001085146-20-000989	0	39	100845	
0001567619-20-006178	7	1721	38184445	N
0001805758-20-000001	0	32	162	N
0001806222-20-000001	0	435	103973	N
0000038777-20-000081	16	4422	190327136	
0001806091-20-000001	0	191	113091	N
0000919574-20-002265	1	5	31565	
0000919574-20-002264	1	12	188332	
0000919574-20-002263	1	15	345656	
0000919574-20-002262	1	18	349207	
0000919574-20-002261	1	10	136188	
0000919574-20-002260	1	20	153047	
0000919574-20-002259	1	16	92624	
0001483532-20-000002	0	32	1168	N
0001805754-20-000001	0	23	102131	N
0000051762-20-000002	0	156	1584142	Y
0001104659-20-030271	0	3	377378	
0001104659-20-030269	0	8	280572	
0001760076-20-000003	1	75	277833	
0001760076-20-000002	1	83	256051	
0001760076-20-000001	1	57	183943	
