ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001778243-20-000025	23511	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000024	19425	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000023	107234	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000022	21882	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000021	24769	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000020	30394	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000019	13283	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000018	32254	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000017	14205	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000016	14933	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000015	70263	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000014	18410	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000013	21833	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000012	31435	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000011	27375	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000010	109167	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000009	49156	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000008	61774	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000007	22769	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000006	16727	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000005	27818	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000004	12184	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000003	90858	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0001778243-20-000002	26391	0001778131	028-20206			BI Asset Management Fondsmaeglerselskab A/S
0000950123-20-002922	11460		028-17868			ValueInvest Asset Management S.A.
0000950123-20-002922	11459		028-00203			OppenheimerFunds, Inc.
0000950123-20-002922	11458		021-205239			Macquarie Funds Management Hong Kong Limited
0000950123-20-002922	11457		028-16230			Jackson Square Partners, LLC
0000950123-20-002922	11456		028-14981			Macquarie Investment Management Austria Kapitalanlage AG
0000950123-20-002922	11455		028-06487			First Trust Advisors L.P.
0000950123-20-002922	11454		028-05267			Macquarie Investment Management Business Trust
0000950123-20-002922	11453		028-11525			Macquarie Capital Investment Management LLC
0000950123-20-002922	11452		028-13126			Macquarie Investment Management Global Limited
0000950123-20-002922	11450		028-13122			Macquarie Bank Limited
0000950123-20-002922	11451		028-13124			Macquarie Investment Management Limited
0001437749-20-004826	12673	0001593324	028-17117			Penserra Capital Management LLC
0001023875-20-000028	26735	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000096	27404	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000095	23773	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000094	32789	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000093	14411	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000092	23738	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000091	45827	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000090	26430	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000089	11580	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000088	19560	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000087	27155	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000086	28039	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000085	66010	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000084	28642	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000083	14652	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000082	32613	0000038777	028-00734			FRANKLIN RESOURCES INC
0000038777-20-000081	20206	0001543160	028-18146			Benefit Street Partners LLC
0000950123-20-002760	15357		028-17598			Russell Investments Group, Ltd
0000950123-20-002712	30688		028-13122			Macquarie Bank Limited
0000950123-20-002712	30689		028-13124			Macquarie Investment Management Limited
0000950123-20-002712	30690		028-13126			Macquarie Investment Management Global Limited
0000950123-20-002712	30691		028-11525			Macquarie Capital Investment Management LLC
0000950123-20-002712	30692		028-05267			Macquarie Investment Management Business Trust
0000950123-20-002712	30698		028-17868			ValueInvest Asset Management S.A.
0000950123-20-002712	30694		028-14981			Macquarie Investment Management Austria Kapitalanlage AG
0000950123-20-002712	30695		028-16230			Jackson Square Partners, LLC
0000950123-20-002712	30696		021-205239			Macquarie Funds Management Hong Kong Limited
0000950123-20-002712	30697		028-00203			OppenheimerFunds, Inc.
0000950123-20-002712	30693		028-06487			First Trust Advisors L.P.
0001003031-20-000005	32715		028-01186			Dimensional Fund Advisors LP
0001003031-20-000005	32718		028-05508			AJO, LP
0001003031-20-000005	32717		028-01185			Frontier Capital Management Co., LLC
0001003031-20-000005	32716		028-10309			DSM Capital Partners LLC
0001801342-20-000001	33353	0000275309				FIDELITY CAPITAL TRUST
0001801342-20-000001	33376					Aimee Eudy
0001801342-20-000001	33355	0000706211				T. Rowe Price Growth & Income Fund, Inc.
0001801342-20-000001	33356	0001177017				T. Rowe Price Retirement Funds, Inc.
0001801342-20-000001	33357	0000931151				T. Rowe Price U.S. Equity Research Fund, Inc.
0001801342-20-000001	33358	0000810893				PIMCO FUNDS
0001801342-20-000001	33359	0000880195				FIDELITY ABERDEEN STREET TRUST
0001801342-20-000001	33360	0000722574				FIDELITY ADVISOR SERIES I
0001801342-20-000001	33361	0000744822				FIDELITY INVESTMENT TRUST
0001801342-20-000001	33362	0001261788				Trust for Advised Portfolios
0001801342-20-000001	33363					Kwasi D. Yeboah
0001801342-20-000001	33364					Stephen L. Burtolini
0001801342-20-000001	33365					Jeffrey Rottinghaus
0001801342-20-000001	33366					Jerome A. Clark
0001801342-20-000001	33367					Team Managed
0001801342-20-000001	33368					Daniel J. Ivascyn
0001801342-20-000001	33369					Andrew J. Dierdorf
0001801342-20-000001	33370					Team Managed
0001801342-20-000001	33371					Jed Weiss
0001801342-20-000001	33372					Ronald T. Bates
0001801342-20-000001	33373					Wyatt A. Lee
0001801342-20-000001	33374					Alfred T. Murata
0001801342-20-000001	33375					Brett F. Sumsion
0001801342-20-000001	33354	0000080249				T. Rowe Price New Income Fund, Inc.
0001388167-20-000002	14772		028-17598			Russell Investments Group, Ltd
0001167711-20-000001	31363	0001080434	028-04701			ABERDEEN ASSET MANAGEMENT PLC/UK
0001167711-20-000001	31377	0001075869	028-04413			WELLS CAPITAL MANAGEMENT INC
0001167711-20-000001	31376	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001167711-20-000001	31375	0001280965	028-11123			TORTOISE CAPITAL ADVISORS, L.L.C.
0001167711-20-000001	31374	0000315282	028-01074			TEMPLETON INVESTMENT COUNSEL LLC
0001167711-20-000001	31373	0000080255	028-00115			PRICE T ROWE ASSOCIATES INC /MD/
0001167711-20-000001	31372	0001163368	028-10952			PACIFIC INVESTMENT MANAGEMENT CO LLC
0001167711-20-000001	31371	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001167711-20-000001	31364	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001167711-20-000001	31365	0001086364	028-04295			BLACKROCK ADVISORS LLC
0001167711-20-000001	31366	0001086433	028-04377			FEDERATED INVESTMENT MANAGEMENT CO
0001167711-20-000001	31367	0001385495	028-12282			FIAM LLC
0001167711-20-000001	31368	0000764532	028-01526			FIDUCIARY MANAGEMENT INC /WI/
