,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,Q
E. Ohman J:or Asset Management AB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
EVERENCE CAPITAL MANAGEMENT INC,0.9155011628160376,0.08449883718396242,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
"Eagle Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"Endurance Wealth Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Erste Asset Management GmbH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Estabrook Capital Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
FRONT BARNETT ASSOCIATES LLC,0.0,0.42368799354981074,0.0,0.0,0.5763120064501891,0.0,0.0,0.06975461717828858
Farmers & Merchants Trust Co of Chambersburg PA,0.543412359734185,0.11363808414158176,0.3429495561242331,0.0,0.0,0.0,0.0,0.10584704488545565
"Financial Connections Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
"First Fiduciary Investment Counsel, Inc.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
GFI Investment Counsel Ltd.,0.48929380397508504,0.0,0.5107061960249148,0.0,0.0,0.0,0.0,0.12126233918438445
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Gifford Fong Associates,0.28225402542611455,0.15241897391872625,0.4538415918528458,0.0,0.0,0.0,0.11148540880231333,0.1150121737392597
"Glen Eagle Advisors, LLC",0.526411017293729,0.15465040348711984,0.3189385792191512,0.0,0.0,0.0,0.0,0.10584704488545565
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Grassi Investment Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Gulf International Bank (UK) Ltd,0.691452743361705,0.308547256638295,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
HALL LAURIE J TRUSTEE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"HANTZ FINANCIAL SERVICES, INC.",0.6162963015178115,0.0,0.3837036984821885,0.0,0.0,0.0,0.0,0.12126233918438445
HENDLEY & CO INC,0.4901616635149264,0.0,0.5098383364850736,0.0,0.0,0.0,0.0,0.12126233918438445
HERITAGE INVESTORS MANAGEMENT CORP,0.3216245664343249,0.0,0.4435470622480668,0.12637424655454219,0.10845412476306608,0.0,0.0,0.12513420870939365
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Hanson & Doremus Investment Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Hayek Kallen Investment Management,0.4539013606659929,0.0,0.5460986393340072,0.0,0.0,0.0,0.0,0.12126233918438445
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06422099471510542
Hudson Canyon Capital Management,0.4367511928907842,0.0,0.5632488071092158,0.0,0.0,0.0,0.0,0.06916375745542061
Ilmarinen Mutual Pension Insurance Co,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"Independent Solutions Wealth Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"Iyo Bank, Ltd.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08138399869820445
JACOBS & CO/CA,0.34672993431107135,0.09966743071462132,0.5536026349743073,0.0,0.0,0.0,0.0,0.10584704488545565
JTC Employer Solutions Trustee Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1206614031955397
"Jarislowsky, Fraser Ltd",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
King Wealth,0.5551580503081858,0.0,0.44484194969181423,0.0,0.0,0.0,0.0,0.12126233918438445
LATHROP INVESTMENT MANAGEMENT CORP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.397297688982901,0.04310858064225521,0.5595937303748437,0.0,0.0,0.0,0.0,0.0638913665599484
LVM CAPITAL MANAGEMENT LTD/MI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Lakehouse Capital Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07501645628759807
"Legacy Wealth Management, LLC / MS",0.5737486062987399,0.0,0.42625139370126014,0.0,0.0,0.0,0.0,0.12126233918438445
Lester Murray Antman dba SimplyRich,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
MCDANIEL TERRY & CO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
MENLO ADVISORS LLC,0.4950865477810218,0.0,0.5049134522189781,0.0,0.0,0.0,0.0,0.12126233918438445
MOUNT VERNON ASSOCIATES INC /MD/,0.2965763298777434,0.13061834726890506,0.5728053228533515,0.0,0.0,0.0,0.0,0.10584704488545565
MSH Capital Advisors LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
"Mathes Company, Inc.",0.0,0.21967905435924795,0.780320945640752,0.0,0.0,0.0,0.0,0.11122121171136233
Meridian Financial Partners LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1474259671351266
Morton Capital Management LLC/CA,0.545656124959467,0.0,0.4543438750405331,0.0,0.0,0.0,0.0,-0.04839976844369198
NEVILLE RODIE & SHAW INC,0.31837781529974885,0.0,0.6816221847002512,0.0,0.0,0.0,0.0,0.12126233918438445
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.43179913119751245,0.09476544992234794,0.47343541888013957,0.0,0.0,0.0,0.0,0.10584704488545565
NKCFO LLC,0.3567054715010352,0.38014028369286323,0.2631542448061016,0.0,0.0,0.0,0.0,0.07811205407878193
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0997897138238206
"Nicollet Investment Management, Inc.",0.699289343667269,0.300710656332731,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.11826644671791277,0.8817335532820872,0.0,0.0,0.0,0.0,0.11122121171136233
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02230856894883959
"PFS Partners, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.015415538189179512
PHILADELPHIA TRUST CO,0.4766776339049885,0.0,0.5233223660950115,0.0,0.0,0.0,0.0,0.12126233918438445
"PHYSICIANS FINANCIAL SERVICES, INC.",0.6566894345975656,0.3433105654024343,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
PROFESSIONAL ADVISORY SERVICES INC,0.7268502219097863,0.2731497780902137,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.3935081136576896,0.12018897059316708,0.4863029157491432,0.0,0.0,0.0,0.0,0.10584704488545565
Pensionfund Sabic,0.44269499371629467,0.0,0.5573050062837053,0.0,0.0,0.0,0.0,0.12126233918438445
"Plotkin Financial Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
ROANOKE ASSET MANAGEMENT CORP/ NY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
ROWLAND & CO INVESTMENT COUNSEL/ADV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
