,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta
"Banco de Sabadell, S.A",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Banque Cantonale Vaudoise,0.0,0.4136799043220819,0.2572270221877121,0.32909307349020606,0.0,0.0,0.0
Bartlett & Co. LLC,0.0,0.5312779470365422,0.0,0.4687220529634578,0.0,0.0,0.0
Baskin Financial Services Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,0.5703190898099266,0.4296809101900732,0.0,0.0,0.0,0.0
Biechele Royce Advisors,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Border to Coast Pensions Partnership Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Bull Street Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Bulltick Wealth Management, LLC",0.0,0.49077155357087654,0.0,0.5092284464291235,0.0,0.0,0.0
CI INVESTMENTS INC.,0.0,0.5745934122885672,0.4254065877114329,0.0,0.0,0.0,0.0
CLARET ASSET MANAGEMENT Corp,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COLONY GROUP LLC,0.0,0.5140894138395519,0.0,0.48591058616044824,0.0,0.0,0.0
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.26249344130508867,0.17183998113044638,0.5656665775644649,0.0,0.0,0.0
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.0,0.3935710723491535,0.6064289276508464,0.0,0.0,0.0
"CSM Advisors, LLC",0.0,0.5065625478371467,0.0,0.49343745216285323,0.0,0.0,0.0
"Cambridge Investment Research Advisors, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Canal Insurance CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Canton Hathaway, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Centerpoint Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Centre Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Cito Capital Group, LLC",0.0,0.12388198067594082,0.0,0.8761180193240592,0.0,0.0,0.0
Clare Market Investments LLC,0.0,0.2668171995923538,0.29756280514276146,0.43561999526488476,0.0,0.0,0.0
Close Asset Management Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Colorado Capital Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Community Bank & Trust, Waco, Texas",0.0,0.2529225673823848,0.14221783698785082,0.6048595956297644,0.0,0.0,0.0
Consolidated Investment Group LLC,0.0,0.0,0.0,0.5662745106226279,0.4337254893773721,0.0,0.0
Cordatus Wealth Management LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Crossmark Global Holdings, Inc.",0.0,0.6746290278824174,0.3253709721175826,0.0,0.0,0.0,0.0
DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dixon Mitchell Investment Counsel Inc.,0.0,0.592297613050245,0.0,0.40770238694975497,0.0,0.0,0.0
E. Ohman J:or Asset Management AB,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EVERENCE CAPITAL MANAGEMENT INC,0.0,0.7105359569739097,0.28946404302609036,0.0,0.0,0.0,0.0
"Eagle Capital Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Endurance Wealth Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0
Erste Asset Management GmbH,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Estabrook Capital Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.6795457651405198,0.0,0.0,0.3204542348594801,0.0
Farmers & Merchants Trust Co of Chambersburg PA,0.0,0.6509585973933861,0.0,0.34904140260661404,0.0,0.0,0.0
"First Fiduciary Investment Counsel, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Frisch Financial Group, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fruth Investment Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GFI Investment Counsel Ltd.,0.0,0.4857873700179137,0.0,0.5142126299820863,0.0,0.0,0.0
Gifford Fong Associates,0.11034501246825966,0.2592022516902914,0.31097613582357425,0.31947660001787465,0.0,0.0,0.0
"Glen Eagle Advisors, LLC",0.0,0.49428069361274984,0.19451888343855372,0.3112004229486964,0.0,0.0,0.0
"Global Financial Private Client, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
Grandview Asset Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Grassi Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Greenwich Wealth Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gulf International Bank (UK) Ltd,0.035373659653577236,0.5738352931735808,0.3907910471728418,0.0,0.0,0.0,0.0
HALL LAURIE J TRUSTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"HANTZ FINANCIAL SERVICES, INC.",0.0,0.6000722671315399,0.0,0.3999277328684601,0.0,0.0,0.0
HBW Advisory Services LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HENDLEY & CO INC,0.0,0.5033356173150916,0.0,0.4966643826849084,0.0,0.0,0.0
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.2847471560521205,0.11959865722489747,0.3148255819674649,0.20206191197543624,0.0787666927800808,0.0
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hanson & Doremus Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hayek Kallen Investment Management,0.0,0.49400863332836653,0.0,0.5059913666716335,0.0,0.0,0.0
Hemington Wealth Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hudson Canyon Capital Management,0.0,0.3081510754649732,0.23352164321419425,0.4583272813208326,0.0,0.0,0.0
Ilmarinen Mutual Pension Insurance Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Independent Solutions Wealth Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
JACOBS & CO/CA,0.0,0.3257227542424247,0.25452003902179343,0.41975720673578193,0.0,0.0,0.0
JTC Employer Solutions Trustee Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Jarislowsky, Fraser Ltd",0.0,1.0,0.0,0.0,0.0,0.0,0.0
King Wealth,0.0,0.6071900840252389,0.0,0.39280991597476117,0.0,0.0,0.0
LATHROP INVESTMENT MANAGEMENT CORP,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.3935857603482087,0.13773010783372464,0.4686841318180667,0.0,0.0,0.0
LVM CAPITAL MANAGEMENT LTD/MI,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lakehouse Capital Pty Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Legacy Wealth Management, LLC / MS",0.0,0.4375696411700698,0.0,0.4260312477304943,0.1363991110994359,0.0,0.0
Lesa Sroufe & Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lester Murray Antman dba SimplyRich,0.0,0.3548804227592083,0.0,0.6451195772407916,0.0,0.0,0.0
Lipe & Dalton,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MENLO ADVISORS LLC,0.0,0.5405208093848729,0.0,0.4594791906151272,0.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.2749820044564485,0.28319067893695277,0.44182731660659874,0.0,0.0,0.0
"Mathes Company, Inc.",0.0,0.0,0.4549597537878788,0.5450402462121212,0.0,0.0,0.0
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.36066749554137095,0.0,0.6393325044586291,0.0,0.0,0.0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.3541343525784664,0.22250501580606724,0.4233606316154663,0.0,0.0,0.0
NKCFO LLC,0.0,0.3138865620727082,0.38883554577438123,0.29727789215291067,0.0,0.0,0.0
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.0,0.49120165925494735,0.5087983407450526,0.0,0.0,0.0,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,0.26313052443106244,0.7368694755689376,0.0,0.0,0.0
OneAscent Wealth Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.48626065548744535,0.0,0.5137393445125547,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.4843998404817463,0.5156001595182537,0.0,0.0,0.0,0.0
PROFESSIONAL ADVISORY SERVICES INC,0.0,0.5336767155370501,0.4663232844629499,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.3401355139381131,0.25757926468700887,0.40228522137487793,0.0,0.0,0.0
Pensionfund Sabic,0.0,0.47297044193480975,0.0,0.5270295580651904,0.0,0.0,0.0
"Plotkin Financial Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ROWLAND & CO INVESTMENT COUNSEL/ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Reynders McVeigh Capital Management, LLC",0.0,0.4020778339409794,0.0,0.5979221660590207,0.0,0.0,0.0
S&CO INC,0.0,0.4490199446481073,0.0,0.5509800553518927,0.0,0.0,0.0
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.20574748255012557,0.4268737671699764,0.3673787502798981,0.0,0.0,0.0
SHIKIAR ASSET MANAGEMENT INC,0.0,0.3785897725773061,0.6214102274226939,0.0,0.0,0.0,0.0
SIT INVESTMENT ASSOCIATES INC,0.0,0.5239346053438646,0.0,0.47606539465613534,0.0,0.0,0.0
