,advanced_micro,amazon,apple,palo_alto,microsoft,salesforce,meta,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08550405894271022
ADELL HARRIMAN & CARPENTER INC,0.0,0.2136022941485453,0.5612026711415071,0.22519503470994753,0.0,0.0,0.0,0.07076668788926509
AM INVESTMENT STRATEGIES LLC,0.0,0.38264587302493613,0.617354126975064,0.0,0.0,0.0,0.0,0.035496361219776694
AMICA MUTUAL INSURANCE CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
APPLETON PARTNERS INC/MA,0.0,0.26644578184032425,0.7335542181596758,0.0,0.0,0.0,0.0,0.06343809571225772
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.2623135932410066,0.0,0.0,0.7376864067589933,0.0,0.0,0.049329298945667614
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Ardevora Asset Management LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
Ashburton (Jersey) Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06109467981586137
"Aurora Investment Managers, LLC.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"Aurora Private Wealth, Inc.",0.0,0.21996929066470905,0.7800307093352908,0.0,0.0,0.0,0.0,0.06343809571225772
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,0.5029731675360196,0.0,0.4970268324639804,0.0,0.0,0.07520347658245148
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.37818612834694876,0.0,0.0,0.6218138716530512,0.0,0.0,0.049329298945667614
BOSTON FAMILY OFFICE LLC,0.0,0.31129384635005863,0.5432311119918987,0.0,0.0,0.14547504165804273,0.0,0.05683162189367171
"BROWN, LISLE/CUMMINGS, INC.",0.0,0.3782941405989466,0.6217058594010534,0.0,0.0,0.0,0.0,-0.0029283438983285937
Banque Cantonale Vaudoise,0.0,0.3359172301792727,0.6640827698207273,0.0,0.0,0.0,0.0,0.06343809571225772
Bartlett & Co. LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07520347658245148
Beaton Management Co. Inc.,0.0,0.590835772895342,0.0,0.0,0.0,0.0,0.4091642271046581,0.03849465516056538
"Bensler, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007935507373769976
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Border to Coast Pensions Partnership Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02788575044799925
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.23389666756166655,0.7661033324383335,0.0,0.0,0.0,0.0,0.06343809571225772
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.37485559770484705,0.625144402295153,0.0,0.0,0.0,0.0,0.014876352875408137
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
"Cito Capital Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08931227334904158
Clare Market Investments LLC,0.0,0.29570275815653263,0.42887364928182753,0.0,0.2754235925616399,0.0,0.0,0.0626569570801256
Close Asset Management Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
"Colorado Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"Community Bank & Trust, Waco, Texas",0.0,0.16358642678944357,0.8364135732105563,0.0,0.0,0.0,0.0,0.06343809571225772
Consolidated Investment Group LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1297526224187016
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
E. Ohman J:or Asset Management AB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
EVERENCE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
Estabrook Capital Management,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
"First Fiduciary Investment Counsel, Inc.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
GFI Investment Counsel Ltd.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Gifford Fong Associates,0.14293408047219494,0.35632837287225216,0.5007375466555529,0.0,0.0,0.0,0.0,0.07249029336851487
"Glen Eagle Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Grassi Investment Management,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Gulf International Bank (UK) Ltd,0.051220485851114175,0.32256107229562014,0.0,0.0,0.6262184418532657,0.0,0.0,0.0630844288574548
HALL LAURIE J TRUSTEE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
HENDLEY & CO INC,0.0,0.0,0.4816023293976223,0.0,0.5183976706023776,0.0,0.0,0.07520347658245148
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.14523558998150507,0.469208402671234,0.26007828774405356,0.0,0.12547771960320744,0.0,0.07506187202492919
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
Handelsbanken Fonder AB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08550405894271022
Hayek Kallen Investment Management,0.0,0.0,0.5370797758887772,0.0,0.4629202241112227,0.0,0.0,0.07520347658245148
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03564264212555423
Hudson Canyon Capital Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03564264212555423
Intermede Investment Partners Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.005889936374737953
"Iyo Bank, Ltd.",0.0,0.22814604319332332,0.0,0.0,0.5300734538369608,0.24178050296971587,0.0,-0.007295073746639624
JACOBS & CO/CA,0.0,0.30262175268830266,0.6973782473116974,0.0,0.0,0.0,0.0,0.06343809571225772
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.13829508538843888,0.45931043917643305,0.0,0.402394475435128,0.0,0.0,0.028598650627790673
LVM CAPITAL MANAGEMENT LTD/MI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
Lakehouse Capital Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
"Legacy Wealth Management, LLC / MS",0.0,0.0,0.4005044377340902,0.1330754555514085,0.4664201067145013,0.0,0.0,0.09338652519453487
Lesa Sroufe & Co,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
Lester Murray Antman dba SimplyRich,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
MCDANIEL TERRY & CO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.24818458366259363,0.4588153820839974,0.0,0.2930000342534089,0.0,0.0,0.0626569570801256
"Mathes Company, Inc.",0.0,0.38031892462061206,0.619681075379388,0.0,0.0,0.0,0.0,0.06343809571225772
Meridian Financial Partners LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08931227334904158
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04361867425649969
NEVILLE RODIE & SHAW INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.19612682322956312,0.40196087681260506,0.0,0.40191229995783184,0.0,0.0,0.0626569570801256
NKCFO LLC,0.0,0.3860181874100469,0.24920695720455088,0.0,0.36477485538540233,0.0,0.0,0.04476708000562982
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04701229451008517
"Nicollet Investment Management, Inc.",0.0,0.4288858641922475,0.0,0.0,0.5711141358077526,0.0,0.0,0.049329298945667614
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.013792195170427164
PHILADELPHIA TRUST CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.1827386577961792,0.4217310956648042,0.0,0.39553024653901653,0.0,0.0,0.0626569570801256
Pensionfund Sabic,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007935507373769976
S&CO INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.20265349543686897,0.4130803026898282,0.0,0.3842662018733029,0.0,0.0,0.0626569570801256
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.0,0.4234067654134586,0.0,0.5765932345865413,0.0,0.0,0.004907170033650432
SONATA CAPITAL GROUP INC,0.0,0.44031251075036726,0.5596874892496327,0.0,0.0,0.0,0.0,0.06343809571225772
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
STONERIDGE INVESTMENT PARTNERS LLC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
"Scott & Selber, Inc.",0.0,0.3433272453172578,0.0,0.0,0.6566727546827422,0.0,0.0,0.049329298945667614
South Dakota Investment Council,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03564264212555423
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"State of Alaska, Department of Revenue",0.0,0.31937686686148337,0.6806231331385166,0.0,0.0,0.0,0.0,0.06343809571225772
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.013792195170427164
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.4014593573035926,0.5985406426964075,0.0,0.0,0.0,0.0,0.06343809571225772
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.26671141355619854,0.7332885864438015,0.0,0.0,0.0,0.0,0.06343809571225772
TOWER BRIDGE ADVISORS,0.0,0.0,0.42082309892990677,0.0,0.5791769010700931,0.0,0.0,0.07520347658245148
TRUST CO OF OKLAHOMA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"TSFG, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
Te Ahumairangi Investment Management Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04498352317361978
Treasurer of the State of North Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06109467981586137
"Ulland Investment Advisors, LLC",0.0,0.403886704746714,0.5961132952532859,0.0,0.0,0.0,0.0,-0.0029283438983285937
VALICENTI ADVISORY SERVICES INC,0.0,0.48689534192850614,0.5131046580714939,0.0,0.0,0.0,0.0,0.06343809571225772
VALLEY NATIONAL ADVISERS INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08931227334904158
"Violich Capital Management, Inc.",0.0,0.0,0.44730885015585375,0.0,0.5526911498441462,0.0,0.0,0.07520347658245148
"Vishria Bird Financial Group, LLC",0.0,0.35661673609199335,0.6433832639080066,0.0,0.0,0.0,0.0,0.06343809571225772
WADE G W & INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08931227334904158
WEDBUSH SECURITIES INC,0.0,0.24997346831921943,0.7500265316807805,0.0,0.0,0.0,0.0,0.06343809571225772
WESTWOOD MANAGEMENT CORP /IL/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049329298945667614
WFA Asset Management Corp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007935507373769976
"Wayfinding Financial, LLC",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0018788326935308883
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05785958357905269
Wesleyan Assurance Society,0.0,0.0,0.36909047653628574,0.0,0.6309095234637142,0.0,0.0,0.07520347658245148
"Westbourne Investment Advisors, Inc.",0.0,0.0,0.39733284860541856,0.0,0.3817195899269047,0.0,0.22094756146767675,0.06327744847018661
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03756391807547386
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03337739276382769
