,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta
GFI Investment Counsel Ltd.,0.0,0.4878243189325191,0.5121756810674809,0.0,0.0,0.0,0.0
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gifford Fong Associates,0.06824466959743893,0.32336363053287864,0.29847629439163836,0.0,0.0,0.3099154054780441,0.0
"Glen Eagle Advisors, LLC",0.0,0.6200444916072042,0.3799555083927958,0.0,0.0,0.0,0.0
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grassi Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gulf International Bank (UK) Ltd,0.0,0.709200480803321,0.0,0.0,0.0,0.29079951919667907,0.0
HALL LAURIE J TRUSTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"HANTZ FINANCIAL SERVICES, INC.",0.0,0.4723902619656237,0.5276097380343763,0.0,0.0,0.0,0.0
HBW Advisory Services LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HENDLEY & CO INC,0.0,0.4999495111466435,0.5000504888533565,0.0,0.0,0.0,0.0
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.34455725744000953,0.30032943684665586,0.2368769838045926,0.11823632190874209,0.0,0.0
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hanson & Doremus Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hayek Kallen Investment Management,0.0,0.5652478663417988,0.43475213365820115,0.0,0.0,0.0,0.0
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hudson Canyon Capital Management,0.0,0.4387920751609701,0.5612079248390299,0.0,0.0,0.0,0.0
Ilmarinen Mutual Pension Insurance Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0
