,advanced_micro,amazon,apple,palo_alto,microsoft,salesforce,meta,Q
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09175595384112024
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022689504043326397
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.3811011362932721,0.6188988637067279,0.0,0.0,0.0,0.0,0.06991612513890816
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
SONATA CAPITAL GROUP INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"Scott & Selber, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
South Dakota Investment Council,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04316971200927649
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09175595384112024
"State of Alaska, Department of Revenue",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012338028412602106
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.27474989736096206,0.7252501026390379,0.0,0.0,0.0,0.0,0.06991612513890816
"TSFG, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
Triple Frond Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012634248288145892
"Ulland Investment Advisors, LLC",0.0,0.4350323066523567,0.5649676933476433,0.0,0.0,0.0,0.0,0.01751376622796425
VALICENTI ADVISORY SERVICES INC,0.0,0.5351328381935101,0.4648671618064899,0.0,0.0,0.0,0.0,0.06991612513890816
"Violich Capital Management, Inc.",0.0,0.0,0.37592983922799184,0.0,0.624070160772008,0.0,0.0,0.08083419285212737
"Vishria Bird Financial Group, LLC",0.0,0.4183963605692258,0.5816036394307742,0.0,0.0,0.0,0.0,0.06991612513890816
WEDBUSH SECURITIES INC,0.0,0.2653349962162031,0.734665003783797,0.0,0.0,0.0,0.0,0.06991612513890816
"Wayfinding Financial, LLC",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025814098672459304
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09202404121377934
"Westbourne Investment Advisors, Inc.",0.0,0.0,0.5208148148081343,0.0,0.0,0.0,0.4791851851918657,0.07431660330028068
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049562157607394686
ZEVIN ASSET MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
