,advanced_micro,amazon,apple,palo_alto,microsoft,salesforce,meta
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.24818458366259363,0.4588153820839974,0.0,0.2930000342534089,0.0,0.0
"Mathes Company, Inc.",0.0,0.38031892462061206,0.619681075379388,0.0,0.0,0.0,0.0
Meridian Financial Partners LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.19612682322956312,0.40196087681260506,0.0,0.40191229995783184,0.0,0.0
NKCFO LLC,0.0,0.3860181874100469,0.24920695720455088,0.0,0.36477485538540233,0.0,0.0
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Nicollet Investment Management, Inc.",0.0,0.4288858641922475,0.0,0.0,0.5711141358077526,0.0,0.0
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0
PHILADELPHIA TRUST CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.1827386577961792,0.4217310956648042,0.0,0.39553024653901653,0.0,0.0
Pensionfund Sabic,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
S&CO INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.20265349543686897,0.4130803026898282,0.0,0.3842662018733029,0.0,0.0
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SILVERLAKE WEALTH MANAGEMENT LLC,0.0,0.0,0.4234067654134586,0.0,0.5765932345865413,0.0,0.0
SONATA CAPITAL GROUP INC,0.0,0.44031251075036726,0.5596874892496327,0.0,0.0,0.0,0.0
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0,0.0,0.0,0.0,1.0,0.0,0.0
STONERIDGE INVESTMENT PARTNERS LLC,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Scott & Selber, Inc.",0.0,0.3433272453172578,0.0,0.0,0.6566727546827422,0.0,0.0
South Dakota Investment Council,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"State of Alaska, Department of Revenue",0.0,0.31937686686148337,0.6806231331385166,0.0,0.0,0.0,0.0
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,0.4014593573035926,0.5985406426964075,0.0,0.0,0.0,0.0
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.26671141355619854,0.7332885864438015,0.0,0.0,0.0,0.0
TOWER BRIDGE ADVISORS,0.0,0.0,0.42082309892990677,0.0,0.5791769010700931,0.0,0.0
TRUST CO OF OKLAHOMA,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"TSFG, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Te Ahumairangi Investment Management Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Treasurer of the State of North Carolina,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Ulland Investment Advisors, LLC",0.0,0.403886704746714,0.5961132952532859,0.0,0.0,0.0,0.0
