,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,Q
"CSM Advisors, LLC",0.0,0.5065625478371467,0.0,0.49343745216285323,0.0,0.0,0.0,0.1340068679436804
"Cambridge Investment Research Advisors, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08892003132137487
Canal Insurance CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Canton Hathaway, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
"Centerpoint Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Centre Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05647567788058189
"Cito Capital Group, LLC",0.0,0.12388198067594082,0.0,0.8761180193240592,0.0,0.0,0.0,0.14549978313125253
Clare Market Investments LLC,0.0,0.2668171995923538,0.29756280514276146,0.43561999526488476,0.0,0.0,0.0,0.1266398658612933
Close Asset Management Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Colorado Capital Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
"Community Bank & Trust, Waco, Texas",0.0,0.2529225673823848,0.14221783698785082,0.6048595956297644,0.0,0.0,0.0,0.1266398658612933
Consolidated Investment Group LLC,0.0,0.0,0.0,0.5662745106226279,0.4337254893773721,0.0,0.0,0.18749193602659697
Cordatus Wealth Management LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Crossmark Global Holdings, Inc.",0.0,0.6746290278824174,0.3253709721175826,0.0,0.0,0.0,0.0,0.10461527912978336
DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Dixon Mitchell Investment Counsel Inc.,0.0,0.592297613050245,0.0,0.40770238694975497,0.0,0.0,0.0,0.14549978313125253
E. Ohman J:or Asset Management AB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
EVERENCE CAPITAL MANAGEMENT INC,0.0,0.7105359569739097,0.28946404302609036,0.0,0.0,0.0,0.0,0.10461527912978336
"Eagle Capital Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
"Endurance Wealth Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Erste Asset Management GmbH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Estabrook Capital Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.6795457651405198,0.0,0.0,0.3204542348594801,0.0,0.09306461929869843
Farmers & Merchants Trust Co of Chambersburg PA,0.0,0.6509585973933861,0.0,0.34904140260661404,0.0,0.0,0.0,0.14549978313125253
"First Fiduciary Investment Counsel, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Frisch Financial Group, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Fruth Investment Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
GFI Investment Counsel Ltd.,0.0,0.4857873700179137,0.0,0.5142126299820863,0.0,0.0,0.0,0.14549978313125253
Gifford Fong Associates,0.11034501246825966,0.2592022516902914,0.31097613582357425,0.31947660001787465,0.0,0.0,0.0,0.14427368169022867
"Glen Eagle Advisors, LLC",0.0,0.49428069361274984,0.19451888343855372,0.3112004229486964,0.0,0.0,0.0,0.1266398658612933
"Global Financial Private Client, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Grandview Asset Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Grassi Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Greenwich Wealth Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
Gulf International Bank (UK) Ltd,0.035373659653577236,0.5738352931735808,0.3907910471728418,0.0,0.0,0.0,0.0,0.13546856247886715
HALL LAURIE J TRUSTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"HANTZ FINANCIAL SERVICES, INC.",0.0,0.6000722671315399,0.0,0.3999277328684601,0.0,0.0,0.0,0.14549978313125253
HBW Advisory Services LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
HENDLEY & CO INC,0.0,0.5033356173150916,0.0,0.4966643826849084,0.0,0.0,0.0,0.14549978313125253
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.2847471560521205,0.11959865722489747,0.3148255819674649,0.20206191197543624,0.0787666927800808,0.0,0.13628472751775653
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Hanson & Doremus Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Hayek Kallen Investment Management,0.0,0.49400863332836653,0.0,0.5059913666716335,0.0,0.0,0.0,0.14549978313125253
Hemington Wealth Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08413012794117666
Hudson Canyon Capital Management,0.0,0.3081510754649732,0.23352164321419425,0.4583272813208326,0.0,0.0,0.0,0.0683494314593719
Ilmarinen Mutual Pension Insurance Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
"Independent Solutions Wealth Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
JACOBS & CO/CA,0.0,0.3257227542424247,0.25452003902179343,0.41975720673578193,0.0,0.0,0.0,0.1266398658612933
JTC Employer Solutions Trustee Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2567383445802589
"Jarislowsky, Fraser Ltd",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
King Wealth,0.0,0.6071900840252389,0.0,0.39280991597476117,0.0,0.0,0.0,0.14549978313125253
LATHROP INVESTMENT MANAGEMENT CORP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.3935857603482087,0.13773010783372464,0.4686841318180667,0.0,0.0,0.0,0.09842272272840048
LVM CAPITAL MANAGEMENT LTD/MI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Lakehouse Capital Pty Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08892003132137487
"Legacy Wealth Management, LLC / MS",0.0,0.4375696411700698,0.0,0.4260312477304943,0.1363991110994359,0.0,0.0,0.1650981329971286
Lesa Sroufe & Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
Lester Murray Antman dba SimplyRich,0.0,0.3548804227592083,0.0,0.6451195772407916,0.0,0.0,0.0,0.14549978313125253
Lipe & Dalton,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1706890393243132
MCDANIEL TERRY & CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12031052693819186
MENLO ADVISORS LLC,0.0,0.5405208093848729,0.0,0.4594791906151272,0.0,0.0,0.0,0.14549978313125253
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.2749820044564485,0.28319067893695277,0.44182731660659874,0.0,0.0,0.0,0.1266398658612933
"Mathes Company, Inc.",0.0,0.0,0.4549597537878788,0.5450402462121212,0.0,0.0,0.0,0.12980453532284403
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09720920727602199
NEVILLE RODIE & SHAW INC,0.0,0.36066749554137095,0.0,0.6393325044586291,0.0,0.0,0.0,0.14549978313125253
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.3541343525784664,0.22250501580606724,0.4233606316154663,0.0,0.0,0.0,0.1266398658612933
NKCFO LLC,0.0,0.3138865620727082,0.38883554577438123,0.29727789215291067,0.0,0.0,0.0,0.0977868954002478
NORTHSTAR ASSET MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13819146449482064
"Nicollet Investment Management, Inc.",0.0,0.49120165925494735,0.5087983407450526,0.0,0.0,0.0,0.0,0.10461527912978336
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,0.26313052443106244,0.7368694755689376,0.0,0.0,0.0,0.12980453532284403
OneAscent Wealth Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08413012794117666
PHILADELPHIA TRUST CO,0.0,0.48626065548744535,0.0,0.5137393445125547,0.0,0.0,0.0,0.14549978313125253
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,0.4843998404817463,0.5156001595182537,0.0,0.0,0.0,0.0,0.10461527912978336
PROFESSIONAL ADVISORY SERVICES INC,0.0,0.5336767155370501,0.4663232844629499,0.0,0.0,0.0,0.0,0.10461527912978336
