,0
STONEBRIDGE CAPITAL MANAGEMENT INC,0.0028017682758653
STONERIDGE INVESTMENT PARTNERS LLC,0.0025002508327394
"Scott & Selber, Inc.",0.0016727604009046336
South Dakota Investment Council,0.0017746655925120333
Southland Equity Partners LLC,0.0049046186937838
"Sowa Financial Group, Inc.",0.0086123156621062
"State of Alaska, Department of Revenue",0.0021637273298241665
Sutton Wealth Advisors Inc.,0.0037920297919848
"TAGStone Capital, Inc.",0.0039183433258704
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0019980915879358
THOMAS STORY & SON LLC,0.0019855834723997
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0028030864200005337
TOWER BRIDGE ADVISORS,0.00272653207012935
TRUST CO OF OKLAHOMA,0.0021315477569331
"TSFG, LLC",0.00170597887030155
Te Ahumairangi Investment Management Ltd,0.00223119394068505
Thrivent Financial for Lutherans,0.0010515185296273
Tower View Investment Management & Research LLC,
Treasurer of the State of North Carolina,0.0022661456548967
Triple Frond Partners LLC,0.0010000364663281
"Ulland Investment Advisors, LLC",0.0037459386431682997
VALICENTI ADVISORY SERVICES INC,0.002993401113670767
VALLEY NATIONAL ADVISERS INC,0.00205626574059045
VAUGHAN DAVID INVESTMENTS LLC/IL,0.0010154081695505
Vestcor Inc,0.0014436625348785
"Vigilant Capital Management, LLC",0.0020421283784521666
"Violich Capital Management, Inc.",0.0041308539401824
"Vishria Bird Financial Group, LLC",0.003955440276093967
WADE G W & INC,0.00194030670599105
WEDBUSH SECURITIES INC,0.002764825763418633
WESTWOOD MANAGEMENT CORP /IL/,0.005562973047428
WFA Asset Management Corp,0.002118757404233
"Wallington Asset Management, LLC",0.0017406398357190998
"Wayfinding Financial, LLC",0.0046022570303847
"Werlinich Asset Management, LLC",0.0089142111283664
Wesleyan Assurance Society,0.00270951693075115
"Westbourne Investment Advisors, Inc.",0.004577392238396766
"Whetstone Capital Advisors, LLC",0.0051433177677906
ZEVIN ASSET MANAGEMENT LLC,0.0015505713947111
