,0
ABNER HERRMAN & BROCK LLC,0.0066315482164436
ADELL HARRIMAN & CARPENTER INC,0.0021865089625829003
AM INVESTMENT STRATEGIES LLC,0.0064425900831992
APPLETON PARTNERS INC/MA,0.00154778336581565
AR ASSET MANAGEMENT INC,0.0026091246500187
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0012825881886656
"Aurora Private Wealth, Inc.",0.00134328795601485
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0011916619345652
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0026360927299539
BOSTON FAMILY OFFICE LLC,0.00198390873386735
"BROWN, LISLE/CUMMINGS, INC.",0.0017069800514576
Banque Cantonale Vaudoise,0.001212949941197
Beaton Management Co. Inc.,0.0027474527861644496
Biechele Royce Advisors,0.0013957681475267
CI INVESTMENTS INC.,0.0028492873135319
"COMMONWEALTH EQUITY SERVICES, LLC",0.0011698661749752
"CONWAY CAPITAL MANAGEMENT, INC.",0.005424781381695
"Cambridge Investment Research Advisors, Inc.",0.0011783885303746
Clare Market Investments LLC,0.005977783714761251
"Community Bank & Trust, Waco, Texas",0.0017752581300902498
Consolidated Investment Group LLC,0.0012705609314777
"Crossmark Global Holdings, Inc.",0.0015547721003113
EVERENCE CAPITAL MANAGEMENT INC,0.0014382569640955
"Frisch Financial Group, Inc.",0.001012409760001
Gifford Fong Associates,0.0038154014572194
"Glen Eagle Advisors, LLC",0.0013822434699103
"Global Financial Private Client, LLC",0.0012795837164052
Grandview Asset Management LLC,0.0019782558704406
Gulf International Bank (UK) Ltd,0.00198683517301995
HENDLEY & CO INC,0.0010195787492482
HERITAGE INVESTORS MANAGEMENT CORP,0.0022515773903884
Handelsbanken Fonder AB,0.001314479871481
Hayek Kallen Investment Management,0.0021492174872109
Hemington Wealth Management,0.0020652828726463
Intermede Investment Partners Ltd,0.0012915049901633
"Iyo Bank, Ltd.",0.0015617727922900499
JACOBS & CO/CA,0.0013090372705043
Janney Montgomery Scott LLC,0.0010415038929354
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0015258488041191998
Lakehouse Capital Pty Ltd,0.0061814441596073
"Legacy Wealth Management, LLC / MS",0.00229186326244
Lester Murray Antman dba SimplyRich,0.0014360492795613
Lipe & Dalton,0.0016557629915183
MOUNT VERNON ASSOCIATES INC /MD/,0.0030850395111539
"Mathes Company, Inc.",0.002426131043369
NEVILLE RODIE & SHAW INC,0.001978049343421
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0019075286763961
NKCFO LLC,0.005026027910361
"Nicollet Investment Management, Inc.",0.0044934742732342
"Norman Fields, Gottscho Capital Management, LLC",0.0021042623776732
"Old North State Wealth Management, LLC",0.0026300057977103
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0035318678186991
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.00240858621848295
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0010687591638636
"Reynders McVeigh Capital Management, LLC",0.001158871631081
"Riverview Capital Advisers, LLC",0.0012795498800223
SENTRY INVESTMENT MANAGEMENT LLC,0.0018626756438309
SHIKIAR ASSET MANAGEMENT INC,0.0033985280137064
SONATA CAPITAL GROUP INC,0.0023048698834309
"Scott & Selber, Inc.",0.0019451173074463
South Dakota Investment Council,0.0017310393719091
Southland Equity Partners LLC,0.0014311846246238
"Sowa Financial Group, Inc.",0.0034245997644237
"State of Alaska, Department of Revenue",0.0018219917664777
"TAGStone Capital, Inc.",0.004286581496693
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0020622857291933
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.00149330212864365
TOWER BRIDGE ADVISORS,0.0010546115682845
"TSFG, LLC",0.0012375355269106
Triple Frond Partners LLC,0.0025416145809585
"Ulland Investment Advisors, LLC",0.00183620584188445
VALICENTI ADVISORY SERVICES INC,0.0029117924550111
"Violich Capital Management, Inc.",0.0014053817993453
"Vishria Bird Financial Group, LLC",0.0025052282341666
WEDBUSH SECURITIES INC,0.0019598104792581
"Wallington Asset Management, LLC",0.0010058656997968
"Werlinich Asset Management, LLC",0.0087699751195419
"Westbourne Investment Advisors, Inc.",0.0049860005498395
"Whetstone Capital Advisors, LLC",0.0043154154494774
White Pine Investment CO,0.0024063322102198
ZEVIN ASSET MANAGEMENT LLC,0.0019451811251268
