,0
ABNER HERRMAN & BROCK LLC,0.00437250580529185
ADELL HARRIMAN & CARPENTER INC,0.0029130208583508
AM INVESTMENT STRATEGIES LLC,0.01065533354358595
AMICA MUTUAL INSURANCE CO,0.0035214767316294002
APPLETON PARTNERS INC/MA,0.0027239141502384996
AR ASSET MANAGEMENT INC,0.0097810996513941
ASSET PLANNING SERVICES INC /LA/ /ADV,0.00240054775216615
AZZAD ASSET MANAGEMENT INC /ADV,0.002098333464937
"AllGen Financial Advisors, Inc.",0.0011892245173938
Amica Retiree Medical Trust,0.002950560135647567
"Anchor Investment Management, LLC",0.0016727251316742
Ashburton (Jersey) Ltd,0.0035741155260531
Aspen Investment Management Inc,0.00125419210199155
"Aurora Investment Managers, LLC.",0.0033094902990932003
"Aurora Private Wealth, Inc.",0.0020909664019365
Avalon Global Asset Management LLC,0.0019625709145628
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.00354621394224935
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0027012645746574
BOSTON FAMILY OFFICE LLC,0.0021462888209528
BOSTON RESEARCH & MANAGEMENT INC,0.0016446118391960501
Baldrige Asset Management LLC,0.0031906744401497
"Banco de Sabadell, S.A",0.001676781441733
Banque Cantonale Vaudoise,0.002020234942590033
Bartlett & Co. LLC,0.0035463634246659997
Baskin Financial Services Inc.,0.0017522731737733
Beaton Management Co. Inc.,0.00130531202414725
Biechele Royce Advisors,0.0052440563277171
Border to Coast Pensions Partnership Ltd,0.0010709669578941
"Bull Street Advisors, LLC",0.0019305025584933
"Bulltick Wealth Management, LLC",0.0018247230212268
CI INVESTMENTS INC.,0.0021571408701055996
CLARET ASSET MANAGEMENT Corp,0.0018261636632967
COLONY GROUP LLC,0.0016550340673122
"COMMONWEALTH EQUITY SERVICES, LLC",0.0019894483729532
"CONWAY CAPITAL MANAGEMENT, INC.",0.011534289640204549
"CSM Advisors, LLC",0.0017539652200966
"Cambridge Investment Research Advisors, Inc.",0.0010593872052765
Canal Insurance CO,0.0019310285167698
"Canton Hathaway, LLC",0.0013867248982951
"Centerpoint Advisors, LLC",0.0012800998485161
"Centre Asset Management, LLC",0.0018553330272047
"Citadel Investment Advisory, Inc.",0.0042472936010614
"Cito Capital Group, LLC",0.0104939498660164
Clare Market Investments LLC,0.008565882822318767
Close Asset Management Ltd,0.0072331126883507
"Colorado Capital Management, Inc.",0.0025256653139801
"Community Bank & Trust, Waco, Texas",0.004030388286524599
Consolidated Investment Group LLC,0.00124427988484085
Cordatus Wealth Management LLC,0.0019516942015599
"Crossmark Global Holdings, Inc.",0.00134746937673605
DEROY & DEVEREAUX PRIVATE INVESTMENT COUNSEL INC,0.0010030542225461
Dixon Mitchell Investment Counsel Inc.,0.00142036539052155
E. Ohman J:or Asset Management AB,0.0034190516543534
EVERENCE CAPITAL MANAGEMENT INC,0.001648618140472
"Eagle Capital Management, LLC",0.0012390387470551
"Endurance Wealth Management, Inc.",0.0034060523829886
Erste Asset Management GmbH,0.0018053015250596
Estabrook Capital Management,0.0045120771642469
FRONT BARNETT ASSOCIATES LLC,0.0018686225192452999
Farmers & Merchants Trust Co of Chambersburg PA,0.0017610325163838
"First Fiduciary Investment Counsel, Inc.",0.0023741013793436
"Frisch Financial Group, Inc.",0.004857216466838
Fruth Investment Management,0.0010519883927058
GFI Investment Counsel Ltd.,0.00308129479250585
Gifford Fong Associates,0.004462440646358075
"Glen Eagle Advisors, LLC",0.0019053124288370665
"Global Financial Private Client, LLC",0.003133476088787
Grandview Asset Management LLC,0.0057566850894265
Grassi Investment Management,0.0021600842687648
Greenwich Wealth Management LLC,0.0046196120218241
Gulf International Bank (UK) Ltd,0.0020446754838628
HALL LAURIE J TRUSTEE,0.0033380642710722
"HANTZ FINANCIAL SERVICES, INC.",0.0012122431566221
HBW Advisory Services LLC,0.0015843257947167
HENDLEY & CO INC,0.00318409256955985
HERITAGE INVESTORS MANAGEMENT CORP,0.00246504513223742
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0045543521828593
Hanson & Doremus Investment Management,0.0011467178281579
Hayek Kallen Investment Management,0.00514701950766795
Hemington Wealth Management,0.0063504686180258
Hudson Canyon Capital Management,0.0020937227102123335
Ilmarinen Mutual Pension Insurance Co,0.0013847979804941
"Independent Solutions Wealth Management, LLC",0.0020475893264468
JACOBS & CO/CA,0.0022611000674639665
JTC Employer Solutions Trustee Ltd,0.0012974550269557
"Jarislowsky, Fraser Ltd",0.0013280844594664
King Wealth,0.00252207798796355
LATHROP INVESTMENT MANAGEMENT CORP,0.0017754257430207
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.003159336436878333
LVM CAPITAL MANAGEMENT LTD/MI,0.0031473880915298
