,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,google,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
ADELL HARRIMAN & CARPENTER INC,0.28804168296944116,0.10793626981713635,0.46111779553109183,0.14290425168233067,0.0,0.0,0.0,0.0,0.046307529932976946
AM INVESTMENT STRATEGIES LLC,0.0,0.3100076012652277,0.6899923987347722,0.0,0.0,0.0,0.0,0.0,0.006158898838048283
AMICA MUTUAL INSURANCE CO,0.5364961421037368,0.0,0.4635038578962632,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
APPLETON PARTNERS INC/MA,0.283266053449937,0.14334482732283482,0.5733891192272281,0.0,0.0,0.0,0.0,0.0,0.0458712407487727
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
ASSET PLANNING SERVICES INC /LA/ /ADV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
AZZAD ASSET MANAGEMENT INC /ADV,0.3889316008046776,0.0,0.6110683991953223,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
Amica Retiree Medical Trust,0.42395377341347285,0.18559826411652286,0.3904479624700043,0.0,0.0,0.0,0.0,0.0,0.0458712407487727
"Anchor Investment Management, LLC",0.59881740980196,0.0,0.40118259019804003,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
Ashburton (Jersey) Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
"Aurora Investment Managers, LLC.",0.46744191770181015,0.0,0.5325580822981899,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
"Aurora Private Wealth, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
Avalon Global Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.4768020750059658,0.0,0.5231979249940343,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.671098936813477,0.328901063186523,0.0,0.0,0.0,0.0,0.0,0.0,0.027101929378025417
BOSTON FAMILY OFFICE LLC,0.29572821096446467,0.17014997209416025,0.421534038733214,0.0,0.11258777820816111,0.0,0.0,0.0,0.03637141843832648
BOSTON RESEARCH & MANAGEMENT INC,0.5759584863975755,0.0,0.42404151360242454,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
"BROWN, LISLE/CUMMINGS, INC.",0.37266774803178726,0.24764139959519843,0.3796908523730143,0.0,0.0,0.0,0.0,0.0,-0.09547385319813835
Baldrige Asset Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
"Banco de Sabadell, S.A",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
Banque Cantonale Vaudoise,0.41694690870939405,0.15385622293733275,0.4291968683532733,0.0,0.0,0.0,0.0,0.0,0.0458712407487727
Bartlett & Co. LLC,0.4857940669600676,0.0,0.5142059330399322,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
Baskin Financial Services Inc.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
Beaton Management Co. Inc.,0.5334916483400497,0.2907892142491302,0.0,0.0,0.0,0.17571913741082004,0.0,0.0,-0.055712191563673796
"Bensler, LLC",0.46911906384043245,0.0,0.5308809361595676,0.0,0.0,0.0,0.0,0.0,-0.07278459821563546
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
Border to Coast Pensions Partnership Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011190347278425735
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08340986349026727
"Bulltick Wealth Management, LLC",0.5921927077415842,0.0,0.4078072922584158,0.0,0.0,0.0,0.0,0.0,0.012885020357281653
CI INVESTMENTS INC.,0.633152477292993,0.366847522707007,0.0,0.0,0.0,0.0,0.0,0.0,0.027101929378025417
CLARET ASSET MANAGEMENT Corp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
COLONY GROUP LLC,0.5032912367317992,0.0,0.4967087632682008,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.20474294770637022,0.7952570522936298,0.0,0.0,0.0,0.0,0.0,0.0443881484086358
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.29386220397210977,0.7061377960278902,0.0,0.0,0.0,0.0,0.0,-0.029527978230890588
"CSM Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.019608516658172807
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005366433327004331
Canal Insurance CO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
"Centerpoint Advisors, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
"Centre Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488374254290465
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.08243237778324518
"Cito Capital Group, LLC",0.10758058105859004,0.0,0.89241941894141,0.0,0.0,0.0,0.0,0.0,0.06612364445965689
