,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google
Banque Cantonale Vaudoise,0.0,0.20199020973151285,0.39976611583333305,0.39824367443515407,0.0,0.0,0.0,0.0
Bartlett & Co. LLC,0.0,0.0,0.5131743625654077,0.48682563743459223,0.0,0.0,0.0,0.0
Baskin Financial Services Inc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,0.55009431627221,0.0,0.0,0.0,0.0,0.4499056837277901,0.0
"Bensler, LLC",0.0,0.0,0.4504602273191595,0.5495397726808405,0.0,0.0,0.0,0.0
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Border to Coast Pensions Partnership Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CI INVESTMENTS INC.,0.0,0.41663439217739023,0.0,0.5833656078226098,0.0,0.0,0.0,0.0
COLONY GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.2155880613063814,0.7844119386936186,0.0,0.0,0.0,0.0,0.0
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.32762578285144356,0.6723742171485564,0.0,0.0,0.0,0.0,0.0
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Canal Insurance CO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Centre Asset Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Cito Capital Group, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Clare Market Investments LLC,0.0,0.26519397483778795,0.46290365866983507,0.27190236649237715,0.0,0.0,0.0,0.0
Close Asset Management Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Colorado Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Community Bank & Trust, Waco, Texas",0.0,0.14191188115002412,0.8580881188499759,0.0,0.0,0.0,0.0,0.0
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
E. Ohman J:or Asset Management AB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EVERENCE CAPITAL MANAGEMENT INC,0.0,0.2687752016226327,0.0,0.7312247983773673,0.0,0.0,0.0,0.0
Erste Asset Management GmbH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estabrook Capital Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Farmers & Merchants Trust Co of Chambersburg PA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Financial Connections Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"First Fiduciary Investment Counsel, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GFI Investment Counsel Ltd.,0.0,0.0,0.4869296596765139,0.5130703403234861,0.0,0.0,0.0,0.0
Gifford Fong Associates,0.13679970942961267,0.31092798203432237,0.552272308536065,0.0,0.0,0.0,0.0,0.0
"Glen Eagle Advisors, LLC",0.0,0.16522177117193662,0.34520990657498507,0.48956832225307817,0.0,0.0,0.0,0.0
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Grassi Investment Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gulf International Bank (UK) Ltd,0.046861181882880965,0.3029135875301324,0.0,0.6502252305869866,0.0,0.0,0.0,0.0
HALL LAURIE J TRUSTEE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HENDLEY & CO INC,0.0,0.0,0.5182180416826706,0.48178195831732934,0.0,0.0,0.0,0.0
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.09973594637251366,0.3612480118719292,0.2699515770151966,0.18027021434151905,0.08879425039884146,0.0,0.0
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hayek Kallen Investment Management,0.0,0.0,0.5527584095174755,0.44724159048252465,0.0,0.0,0.0,0.0
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Hudson Canyon Capital Management,0.0,0.0,0.5158396686558318,0.4841603313441682,0.0,0.0,0.0,0.0
Intermede Investment Partners Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iyo Bank, Ltd.",0.0,0.17114417252126862,0.23880476816190307,0.404671748237206,0.0,0.18537931107962238,0.0,0.0
JACOBS & CO/CA,0.0,0.265832122663692,0.7341678773363081,0.0,0.0,0.0,0.0,0.0
Janney Montgomery Scott LLC,0.0,0.26962279328359434,0.7303772067164057,0.0,0.0,0.0,0.0,0.0
King Wealth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATHROP INVESTMENT MANAGEMENT CORP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.11700191615759303,0.4825849393823479,0.4004131444600591,0.0,0.0,0.0,0.0
LVM CAPITAL MANAGEMENT LTD/MI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lakehouse Capital Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Legacy Wealth Management, LLC / MS",0.0,0.0,0.41440701431834925,0.46193108121010745,0.12366190447154331,0.0,0.0,0.0
Lesa Sroufe & Co,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lester Murray Antman dba SimplyRich,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCDANIEL TERRY & CO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MENLO ADVISORS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.22360717263960772,0.4855641773829515,0.29082864997744073,0.0,0.0,0.0,0.0
"Mathes Company, Inc.",0.0,0.3515727583942923,0.6484272416057077,0.0,0.0,0.0,0.0,0.0
Meridian Financial Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Morton Capital Management LLC/CA,0.0,0.0,0.4813872666842118,0.5186127333157882,0.0,0.0,0.0,0.0
NEVILLE RODIE & SHAW INC,0.0,0.0,0.6805187418710833,0.31948125812891676,0.0,0.0,0.0,0.0
