,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta,Q
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.6246146178092346,0.0,0.0,0.0,0.37538538219076534,0.0,0.10453927881606329
BOSTON FAMILY OFFICE LLC,0.0,0.4360501079055164,0.41092261431334043,0.0,0.15302727778114325,0.0,0.0,0.12936638247495752
BOSTON RESEARCH & MANAGEMENT INC,0.0,0.631232862800853,0.36876713719914694,0.0,0.0,0.0,0.0,0.13209333871046375
Baldrige Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"Banco de Sabadell, S.A",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Banque Cantonale Vaudoise,0.0,0.6614705304395713,0.33852946956042873,0.0,0.0,0.0,0.0,0.13209333871046375
Bartlett & Co. LLC,0.0,0.6038403564658922,0.39615964353410776,0.0,0.0,0.0,0.0,0.13209333871046375
Baskin Financial Services Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Beaton Management Co. Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Border to Coast Pensions Partnership Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.042681370445565525
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"Bulltick Wealth Management, LLC",0.0,0.6654581064509562,0.33454189354904385,0.0,0.0,0.0,0.0,0.05609336868826996
CI INVESTMENTS INC.,0.0,0.6336392806975442,0.0,0.0,0.0,0.3663607193024559,0.0,0.10453927881606329
CLARET ASSET MANAGEMENT Corp,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
COLONY GROUP LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.0,0.6570488226370359,0.0,0.0,0.34295117736296415,0.0,0.016089037660470706
"CSM Advisors, LLC",0.0,0.5100155334786378,0.48998446652136207,0.0,0.0,0.0,0.0,0.08804107708752801
Canal Insurance CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Canton Hathaway, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"Centerpoint Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Centre Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07828710504376817
"Cito Capital Group, LLC",0.0,0.17655023976752757,0.8234497602324724,0.0,0.0,0.0,0.0,0.13209333871046375
Clare Market Investments LLC,0.0,0.2611155890004818,0.4575450257052952,0.0,0.0,0.281339385294223,0.0,0.12180868202681627
Close Asset Management Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Colorado Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
"Community Bank & Trust, Waco, Texas",0.0,0.35840757517003063,0.6415924248299694,0.0,0.0,0.0,0.0,0.13209333871046375
Consolidated Investment Group LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15634748844832222
Cordatus Wealth Management LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10783918897260525
