,amazon,apple,microsoft,palo_alto,salesforce,meta,advanced_micro,google,Q
Dixon Mitchell Investment Counsel Inc.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
E. Ohman J:or Asset Management AB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
EVERENCE CAPITAL MANAGEMENT INC,0.2803756985129826,0.0,0.7196243014870174,0.0,0.0,0.0,0.0,0.0,0.04101332258404111
"Eagle Capital Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
"Endurance Wealth Management, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
Erste Asset Management GmbH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
Estabrook Capital Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
FRONT BARNETT ASSOCIATES LLC,0.6605175108967979,0.0,0.0,0.0,0.339482489103202,0.0,0.0,0.0,0.02402352792588469
Farmers & Merchants Trust Co of Chambersburg PA,0.0,0.42678058118192475,0.5732194188180751,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Financial Connections Group, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07301227116060123
"First Fiduciary Investment Counsel, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
"Frisch Financial Group, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
GFI Investment Counsel Ltd.,0.0,0.5698883742944876,0.4301116257055124,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
Gifford Fong Associates,0.2120024960273798,0.4740642218563148,0.2297982803660248,0.0,0.0,0.0,0.08413500175028067,0.0,0.061601206067190495
"Glen Eagle Advisors, LLC",0.14744575403230295,0.36532242998490877,0.48723181598278836,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
