,advanced_micro,amazon,apple,palo_alto,salesforce,meta
Triple Frond Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0
"Ulland Investment Advisors, LLC",0.0,0.5141913929363594,0.4858086070636406,0.0,0.0,0.0
VALICENTI ADVISORY SERVICES INC,0.0,0.5770919094782182,0.4229080905217819,0.0,0.0,0.0
"Violich Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0
"Vishria Bird Financial Group, LLC",0.0,0.458449083821391,0.541550916178609,0.0,0.0,0.0
WEDBUSH SECURITIES INC,0.0,0.36982815789031753,0.6301718421096824,0.0,0.0,0.0
"Wallington Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0
"Westbourne Investment Advisors, Inc.",0.0,0.0,0.5143729776450792,0.0,0.0,0.4856270223549208
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,1.0
ZEVIN ASSET MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0
